#调值	［1］55［2］21［3］52［5］213
#ɿ	
ts [1]资姿咨兹滋 [3]紫姊子梓滓 [5]自字	
tsʰ [2]雌赐池驰瓷慈辞祠词持赤 [3]此耻 [5]刺次伺秩斥	
s [1]斯厮撕施私狮螄尸思丝司思诗 [3]死 [5]势誓四肆似祀寺饲事侍	
#ʅ	
tʂ [1]知蜘支枝脂之芝汁只 [2]置执侄质直值织职植殖 [3]纸只指旨止址趾 [5]制智翅致稚至痔治志痣蛰掷	
tʂʰ [1]痴齿吃 [2]迟尺	
ʂ [2]嗜时湿十拾实失室食识适释石 [3]屎史使驶始 [5]世逝是氏示视士仕柿试市式饰	
ʐ [2]日	
#i	
p [2]毙泌庇鼻毕必逼碧璧壁 [3]彼鄙比 [5]蔽币闭陛被避备弼	
pʰ [2]皮疲脾琵枇匹僻霹 [5]屁	
m [2]迷谜弥秘眉楣篾密蜜 [3]米觅 [5]溺	
t [1]低 [2]迭的嫡狄笛敌涤 [3]底抵 [5]帝蒂弟第递隶地	
tʰ [1]梯 [2]堤替涕题提蹄啼剔踢 [3]体 [5]剃	
n [2]犁离篱璃梨厘立笠粒栗力历 [3]礼狸李里理鲤 [5]厉励丽莉荔利痢	
tɕ [1]鸡饥肌几（茶~）基箕姬机讥 [2]杞缉集辑急级及疾即鲫棘极戟脊迹积籍绩寂激击 [3]挤己纪几虮 [5]戒祭际济剂计继髻寄	
tɕʰ [1]溪妻凄欺期悽 [2]齐脐奇骑岐棋旗其祈泣七漆乞 [3]启起岂 [5]契企器弃气汽戚	
ɕ [1]些西栖犀兮玺牺熙希稀蟋锡 [2]系徙习袭吸悉膝息熄媳隙昔惜夕席析 [3]洗嬉嘻禧喜 [5]细系戏	
ȵ [2]泥倪尼呢疑 [3]你 [5]仪义腻逆	
Ǿ [1]衣依医伊 [2]移遗一壹 [3]椅以已亦 [5]夷毅艺缢宜蚁谊议易姨意怡异邑乙逸抑忆亿翼益易	
#u	
p [2]不 [3]补捕讣卜 [5]布怖部步	
pʰ [1]铺（~床）[2]赴仆蒲菩脯葡朴扑瀑浦 [3]甫谱普 [5]铺（店~）	
m [2]木沐 [3]牡母拇 [5]暮慕墓募幕	
f [1]呼乎夫肤俘麸 [2]胡湖糊狐壶葫蝴胡符扶芙俘忽弗佛幅福蝠腹辐覆伏服袱复 [3]虎浒府腑斧抚釜腐辅 [5]户互护付赋傅咐父附富副负妇复	
t [1]都（~市）[2]独读犊督毒 [3]堵赌 [5]肚妒杜肚度渡度踱	
tʰ [2]途屠徒涂图突凸秃 [3]土吐 [5]兔	
n [2]奴卢炉芦庐律鹿禄六陆录 [3]努鲁橹虏卤 [5]怒路露鹭	
ts [1]租诸 [2]卒逐足 [3]祖组阻 [5]做著助	
tsʰ [1]粗初 [2]锄猝族促 [3]楚 [5]醋	
s [1]苏酥梳疏蔬舒输殊 [2]速宿叔俗束蜀属 [3]鼠暑墅署薯 [5]素诉塑恕数竖漱述术	
z [2]如入 [3]儒乳辱褥	
tʂ [1]猪诛蛛株朱硃珠 [2]啄竹筑轴祝烛嘱 [3]煮主 [5]驻柱住注蛀铸	
tʂʰ [2]触除厨橱雏出畜 [3]拄储处	
ʂ [1]书 [2]熟 [5]树	
k [1]姑孤辜 [2]骨谷 [3]古估股鼓 [5]故固雇顾	
kʰ [1]枯箍 [2]哭酷 [3]苦 [5]库裤	
Ǿ [1]乌污巫诬 [2]吴蜈梧悟恶无物屋 [3]五伍午武舞侮 [5]误务雾戊勿	
#y	
n [2]驴率绿 [3]吕旅缕履 [5]虑滤	
tɕ [2]橘局 [5]剧	
tɕʰ [1]蛆 [2]曲 [3]取 [5]砌	
ɕ [2]胥徐绪婿戌 [5]絮序叙	
ȵ [3]女	
Ǿ [2]疫 [3]屿 [5]域役	
#ɚ	
Ǿ [2]儿而 [3]尔耳饵 [5]二贰	
#a	
p [1]巴芭疤笆杷 [2]爸八拔 [3]把 [5]坝把（刀~）罢	
pʰ [2]耙爬钯 [5]帕怕	
m [1]妈 [2]麻抹 [3]马码 [5]骂	
f [2]法乏发伐筏罚	
t [2]搭答沓达 [3]打 [5]大	
tʰ [1]他 [2]踏搨塔榻遢溻塌	
n [1]垃拉 [2]那拿纳腊蜡辣捺 [3]哪	
ts [2]杂	
tsʰ [1]差（~别，~不多）[2]擦	
s [3]洒傻撒萨	
tʂ [1]渣扎（针~）[2]眨闸炸（油~）扎（~紧）轧 [5]诈榨炸（轰~）	
tʂʰ [1]杈叉岔钗 [2]茶搽查插察察	
ʂ [1]沙纱痧砂杉 [2]杀	
x [2]虾（~蟆）[5]吓（~一跳）	
Ǿ [1]阿	
#ia	
