#备注：《广东电白旧时正话》 陈云龙	
#调值	[1]³³ [2]²¹³ [3]³¹ [5]⁵⁵ [7a]⁵ [7b]²¹⁴
#ɨ	
ts	[1]将{~来}浆张章樟刚{~来到}[3]蒋桨奖长掌[5]橡丈仗杖酱将{大~}匠帐胀障瘴象像1{佛~}涨
tsʰ	[1]枪昌倡[2]墙长肠场常详祥[3]抢[5]畅唱
ȵ	[5]让壤酿
s	[1]商伤[2]尝裳偿[3]赏[5]上{~面}尚
z	[1]央秧殃[2]烊洋羊杨阳扬疡[3]养痒[5]样
k	[1]疆僵姜{姓}缰薑
kʰ	[2]强{~大}[3]强{勉~}
h	[1]香乡[3]享响饷[5]向

#uaŋ	
k	[1]光□{冷~~：很冷}[3]广
kʰ	[2]□{纱~：用于绕线的轮}[5]旷扩况矿

#ɐŋ	
p	[1]崩绷[3]□{~口仔：兔唇}[5]凭3{倚靠}
pʰ	[1]烹□{一~：一庹}[2]朋彭膨棚庞凭2{文~}
m	[1]猛{拔}[2]盲虻萌盟[3]猛莽蟒[5]孟□{量词，截。断~砖：断砖}
w	[1]晃{~头：摇头}[2]横
t	[1]登灯[3]等戥[5]凳邓
tʰ	[1]□{磊：把碗~起来}[2]腾滕藤
n	[2]能□{~ni³³：蜻蜓}[3]愣{吓倒我一~：吓得我一跳}[5]□{~屎：用力大便}
ɬ	[1]生牲笙甥[3]省[5]擤
l	[3]冷[5]□{狗相~：狗交配}
ts	[1]曾{姓}增憎僧争筝睁挣㬹{脚后跟}□{磨的上下两块分别叫上~、下~}□{髻}[5]赠 
tsʰ	[1]撑{~船}[2]曾{~经}层橙[5]撑{顶起来}
k	[1]更{三~}庚羹耕□{~痂：结痂}迳{鼻梁~：鼻梁}[3]梗耿[5]更
kʰ	[3]肯1哽[5]□{lɐu³³~：篦子}□{厉害}
ŋ	[2]□{猪头~：腮腺炎}[5]硬
h	[1]坑亨烘3{臭~~：很臭}[2]衡恒□{掹~：绷紧}[3]垦恳肯2[5]杏1幸
Ø	[1]莺罂{瓶子}[3]□{~脚：硌脚}

#uɐŋ	
kʰ	[1]框筐轰[2]狂[5]□{~倒：绊倒}

#eŋ	
p	[1]冰兵[3]丙秉饼[5]病柄并
pʰ	[1]拼1凭1{椅~：椅靠背}[2]平评瓶屏萍苹频[5]并{~且}並聘拼2{~音}
m	[2]鸣明名铭冥[5]命
w	[3]永2{对照发音人读音}泳2{对照发音人读音}
t	[1]丁钉疔叮掟{扔}[3]顶鼎[5]锭订定淀□{地方}
tʰ	[1]听厅[2]亭停庭蜓□{lɐu²¹³~：故意}[3]艇挺
n	[1]拎{拿}□{果蒂}[2]宁仍[3]□{鱼篓}[5]□{“那样”的合音}
ɬ	[1]星腥[3]醒[5]姓性鉎{锈}
l	[1]零2{孤~~}灵2{~水：机灵}铃2{车~}[2]陵棱菱凌铃{马~薯}零1{~分}灵1{~活}[3]领岭[5]令另靓{美}
ts	[1]蒸精晶贞侦征正2{~月}[3]井整[5]证症静净郑正1{~话}政□{“这样”的合音}
tsʰ	[1]称{~重}清青[2]澄惩丞情睛呈程逞乘埕{坛}[3]请[5]称{相~}秤
s	[1]升声[2]绳城诚成承[5]胜剩盛圣
z	[1]应1{~该}鹰婴樱鹦英缨{牛pan⁵⁵~须：络腮胡子}□{~ɔŋ²¹³：一种蛙，叫声一声应，一声ɔŋ²¹³}[2]蝇盈赢营荧萤形1型1刑1[3]影映颖1泳1永1[5]应2{答~}
k	[1]京荆惊鲸经[3]境景警颈[5]敬竟镜径劲
kʰ	[1]卿倾[2]琼□{澄}[3]顷[5]庆杏2{对照发音人读音}
ŋ	[2]迎凝
h	[1]兴{~起}轻兄1{堂~}[2]行{走}形2{对照发音人读音}型2{对照发音人读音}刑2{对照发音人读音}桁[5]兴{高~}

#ɔŋ	
ts	[1]庄装赃桩妆[5]葬壮状撞藏{西~}
tsʰ	[1]仓苍疮舱窗[2]藏床[3]闯厂
s	[1]双[3]爽
kʰ	[2]恐{害怕}
Ø	[2]□{zeŋ³³~：一种蛙，叫声一声应，一声~}

#oŋ	
p	[3]捧[5]泵
pʰ	[2]篷蓬[5]碰□{发胀}
m	[1]朦{~眼：眼睛小}[2]蒙[3]懵□{~……~……：越……越……}[7b]梦甭{“冇用”的合音}
f	[1]风枫疯丰封峰蜂锋[2]冯逢缝[3]棒[5]讽凤奉俸
t	[1]东冬中1{~间}[3]董懂[5]动冻栋洞垌{水田}戙{整立}
tʰ	[1]通[2]同铜桐筒童瞳□{迁就}[3]桶捅统[5]痛□{~仔：棍子}
n	[1]□{蛤~：蝌蚪}𪒬{饭~：锅巴}[2]农脓浓1[5]□{钻人}
ɬ	[1]松{~开}嵩[2]崇[5]送宋餸{菜}
l	[1]窿{洞}[2]隆笼聋龙咙砻[3]拢陇垄笼{~仔：小术箱}[5]弄
ts	[1]棕鬃宗综中2{~学}忠终踪钟盅春[3]总种{谷~}肿[5]纵重{好~}种{~植}仲{杜~}诵颂讼
tsʰ	[1]聪葱匆忽充囱冲涌{河~：河汊}衷[2]虫从丛松{~木}重{~复}[3]宠[5]铳
z	[1]翁雍[2]熊融茸容蓉镕庸荣戎绒[3]拥勇涌[5]用
k	[1]公蚣工功攻弓躬宫恭供□{凸}[3]拱{~门}巩[5]供贡共□{~脓：溃脓}拱{~起身：爬起来 } 
kʰ	[1]□{量词，朵}[2]穷[3]孔恐吼[5]控
h	[1]空胸凶腔兄2[2]虹红洪鸿雄弘宏[5]烘{文：热}
Ø	[1]壅{葬}[3]擁{推}□{~火：生火}[5]蕹瓮

#ioŋ	
ȵ	[2]浓2{热闹；人多}[3]蛹{黄蜂~}

#ap	
t	[7a]答搭踏沓□{一~屋：一座房屋}
tʰ	[7a]塌塔
n	[7a]纳□{铁~：码钉}
ɬ	[7a]圾{垃~}
l	[7a]腊蜡垃{~圾}
ts	[7a]杂闸铡习2袭集{白：鸟停歇}
tsʰ	[7a]插□{撮箕(装垃圾用)}□{~菌：野生磨菇}
s	[7a]煠{放人沸水中略煮}
k	[7a]鸽甲□{脱~：脱臼}胛佮{合伙}
h	[7a]盒合洽喝
Ø	[7a]鸭押

#ɐp	
t	[7b]耷{垂头}跌1{~跤}□{重~~：很重}
tʰ	[7b]□{擦水}
n	[7b]粒□{~口：闭嘴}埝{凹}
ɬ	[7b]涩□{zem²¹³~骨：肋骨}□{~碎：琐碎}
l	[7b]立1笠1□{套}□{~~乱乱：杂乱}
ts	[7b]集{文}执汁
s	[7b]湿十什拾
z	[7b]揖入□{静~~：很静}
k	[7b]蛤{青蛙}
kʰ	[7b]䆟{盖住}
ŋ	[7b]岋{不平衡}□{点头}□{鱼上钩}
h	[7b]恰
Ø	[7b]罯{~药：敷药}

#iɐp	
t	[7b]□{猪脚~：猪脚趾甲}
n	[7b]□{瘪：车胎~}□{撮取}
l	[7b]立2{对照发音人读音}笠2{对照发音人读音} 
tsʰ	[7b]缉辑习1
ȵ	[7a]眨{~眼：眨眼}
k	[7b]急及2
kʰ	[7b]级吸及1

#ep	
t	[7a]叠碟蝶谍
tʰ	[7a]贴帖
n	[7a]捏聂
ɬ	[7a]涉□{~牙：塞牙}
ts	[7a]接折褶
tsʰ	[7a]妾
s	[7a]摄
z	[7a]叶页腌胁
k	[7a]劫挟狭1{~掌}夹蝎
kʰ	[7a]狭2{~隘：收气}
h	[7a]协

#iep	
ȵ	[7a]业蹑{~手~脚：指手画脚}

#it	
n	[7b]□{~~仔：一点点}

#at	
p	[7a]八拔
m	[7a]袜抹
f	[7a]发法乏伐髮發
w	[7a]滑猾挖罚筏
t	[7a]达笪{竹~：竹床}
tʰ	[7a]㒓{赖账}
n	[7a]□{白~：白癜风}
ɬ	[7a]撒萨刷□{ŋat⁵~：小气}
l	[7a]辣{邋~遢：脏}□{镬~：锅底灰}
ts	[7a]札轧蚻{虼~：蟑螂}
tsʰ	[7a]擦察
s	[7a]杀
k	[7a]虼{~蚻：蟑螂}
ŋ	[7a]啮{牛吃草}□{子ɬat²¹⁴：小气}
h	[7a]辖核2{~对}
Ø	[7a]压握{~手}

#uat	
tsʰ	[7a]□{男阴}
k	[7a]括刮

#ɐt	
p	[7b]不□{撮取}
m	[7b]密1蜜乜{什么}物
f	[7b]佛窟沸忽
w	[7b]核1{果~}𣝗□{熏}□{青~~：很青}□{~路：绕路}
t	[7b]突凸
tʰ	[7b]□{阻挡}□{~下去：滑下去}
ɬ	[7b]膝悉术率2{~领}述恤戌1□{用手卡住脖子}
l	[7b]率1{比~}律□{脚~头：膝盖}甩{碰~皮：蹭破皮}
ts	[7b]卒1窒{堵塞}疾侄质□{擦}
tsʰ	[7b]漆出七赤
s	[7b]虱实失室塞
z	[7b]日一1
h	[7b]讫乞
Ø	[7b]一2

#iɐt	
p	[7b]笔毕
pʰ	[7b]匹□{打水~：打水漂儿}
m	[7b]密2
k	[7b]吉橘□{粪箕~：指小孩天折。在当地，小孩夭折后，装在粪箕里，用扁担一头扛着去埋}
kʰ	[7b]吃{食}喫蚀
ŋ	[7b]□{~牙：磨牙}

#uɐt	
tʰ	[7b]□{矮~~：很矮}
k	[7b]骨掘
kʰ	[7b]屈倔

#et	
p	[7a]别鳖必
pʰ	[7a]撇
m	[7a]灭篾
t	[7a]夺跌2{~打丸}秩
tʰ	[7a]铁脱
ɬ	[7a]薛泄雪
l	[7a]列烈裂2{~开}捋劣猎
ts	[7a]蜇{海~}折1{~断}浙节截绝捷□{~旮旯：挠胳肢窝}
tsʰ	[7a]彻撤切
s	[7a]舌设说折2{~本}
z	[7a]热悦阅月越日粤穴乙逸
k	[7a]杰决诀结洁□{~花：摘花}碣{石~：龙眼品种名} 
kʰ	[7a]揭缺竭
h	[7a]歇血
Ø	[7a]籺{有馅的糯米食品}

#ɔt	
p	[7a]钵钹勃
pʰ	[7a]拨泼
m	[7a]末沫没
f	[7a]阔
w	[7a]活
t	[7b]□{肥~~：很胖}
ɬ	[7b]率1戌2{对照发音人读音}
l	[7b]捋2{对照发音人读音}
ts	[7b]卒2{对照发音人读音}
s	[7b]□{唆使}
k	[7a]割葛
h	[7a]攉{~刀布：鐾刀布}

#iak	
ɬ	[7a]削[7b]鹊
l	[7a]略掠□{用刀刨木使圆滑}
ts	[7a]雀1{麻~}着{到：~墟}
ȵ	[7a]弱1溺
z	[7a]药
k	[7a]脚却

#ɐk	
p	[7b]北百柏伯白泊{梁山~}□{杯⁼~：槽糕}
pʰ	[7b]拍魄□{~门仔：简易门}
m	[7b]墨默麦脉觅□{玄孙}□{大头~：头大的人}
f	[7b]□{树枝反弹打人}
w	[7b]惑划画或
t	[7b]得德特
n	[7b]□{用指甲格}□{白~~：很白}
ɬ	[7b]□{一~肩头：一边肩膀}
l	[7b]簕{刺}□{瘦~~：很瘦}
ts	[7b]则侧泽择宅
tsʰ	[7b]贼拆策册测
k	[7b]格革隔
kʰ	[7b]刻2{用刀~}克{对照发音人读音}□{~kʰeu⁵⁵：抬杠}□{打紧~：打死结}
ŋ	[7b]逆额
h	[7b]黑赫吓客刻1{时~}
Ø	[7b]轭

#ek	
p	[7b]逼碧璧壁
pʰ	[7b]僻辟劈
m	[7b]擘{撕；掰}
t	[7b]滴嫡笛敌狄籴趯{驱赶}
tʰ	[7b]踢剔□{笔画名称：挑}
ɬ	[7b]息熄媳惜昔适释锡析
ts	[7b]即直值职织殖植责积迹脊籍藉席夕只{量词}隻绩寂蛰 
tsʰ	[7b]赤尺戚
s	[7b]色识式饰石
z	[7b]忆亿抑翼域益亦译易液腋疫役
k	[7b]极击激戟屐
kʰ	 [7b]□{挑；拨} 

#ɔk	
p	[7a]博膊薄驳{接}雹剥1{~削}□{堤坝}[7b]簸1
pʰ	[7a]朴扑仆粕{蔗~：甘蔗渣}
m	[7a]莫膜幕寞剥2{~皮}
f	[7a]缚
w	[7a]镬{锅}获龌{~龊：肮脏}
t	[7a]度{量} 
tʰ	[7a]托
n	[7a]□{吸气}
ɬ	[7a]索朔塑敕{吸}□{散散~~：零零散散}
l	[7a]落烙骆洛络乐1{娱~} 
ts	[7a]作凿昨提桌卓
tsʰ	[7a]镯龊{龌~：肮脏}
z	[7a]若诺约跃
k	[7a]各阁搁角觉1郭桷{~子：椽}
kʰ	[7a]确霍觉2
ŋ	[7a]鄂颚鳄岳乐2{音~}
h	[7a]鹤学壳
Ø	[7a]恶

#iɔk	
t	[7a]啄□{剁}
ts	[7a]酌
tsʰ	[7a]嚼□{口~：口里没味}雀2{孔~}
ȵ	[7a]虐
Ø	[7b]□{打~：打嗝}
	
#uɔk	
k	[7a]郭廓{对照发音人读音}国

#ok	
p	[7b]卜□{金~：柚子}
pʰ	[7b]醭{食物变质长毛}
m	[7b]木目穆牧
f	[7b]福幅蝠复腹覆服伏2
t	[7b]独读笃督毒{文}擉{用锐器刺}㞘{底：镬~}涿{一~屎}
tʰ	[7b]秃□{手tsɐn³³~：胳膊肘儿}
n	[7b]□{搓揉}
ɬ	[7b]宿肃缩淑粟蟀
l	[7b]鹿禄六陆绿辘睩□{鸡窝}碌{一~：一节}
ts	[7b]族竹筑2{对照发音人读音}逐轴祝粥足续烛嘱俗1触1
tsʰ	[7b]速畜蓄促束1筑1触2{对照发音人读音}搐{~气：抽噎}
s	[7b]叔熟俗2束2{对照发音人读音}赎属蜀足{百~：蜈蚣} 
z	[7b]沃肉郁育辱玉狱欲浴旭
k	[7b]谷菊掬局焗{闷}鞠□{~印：盖印}□{抓住} 
kʰ	[7b]曲
ŋ	[7b]哭
Ø	[7b]屋

#iok	
ȵ	[7b]喐{动：~手}

#ŋ̍	
Ø	[1]嗯{应答声}[3]梧{~州}嗯{不乐意的应答声}
