#备注：《广东电白旧时正话》 陈云龙	
#调值	[1]³³ [2]²¹³ [3]³¹ [5]⁵⁵ [7a]⁵ [7b]²¹⁴
#ɨ	
ȵ	[2]饶{对照发音人读音}姚{对照发音人读音}尧{对照发音人读音}

#ou	
p	[1]煲{煮}[3]保堡宝[5]报暴
pʰ	[2]袍[3]抱
m	[1]毛1{头~}[2]毛2{~主席}[3]冇1{不；没}[5]帽冇2{别；不要}
t	[1]刀叨[3]倒祷[5]到道稻盗导毒{白，~鱼：以毒物毒杀鱼}
tʰ	[1]滔[2]掏桃逃淘陶萄涛[3]讨[5]套
n	[1]獳{生气}[3]恼脑
ɬ	[1]臊搜[3]嫂[5]扫
l	[1]捞1{搅拌}褛{~巾：披巾}黸{锅底灰}[2]劳牢[3]老佬[5]□{~水：用两个碗互倒以便快速把热水弄凉}
ts	[1]遭糟[3]早枣蚤[5]灶造
tsʰ	[1]操[2]曹槽[3]草[5]躁糙
k	[1]高膏篙羔糕[3]稿搞[5]告
kʰ	[5]靠酷
ŋ	[2]熬[5]傲
h	[2]豪壕毫耗[3]好{形容词}[5]浩好{动词}号□{白颈~：眼镇蛇}
Ø	[5]袄懊奥

#am	
t	[1]耽担{动词}頕{抬头}啗{衔}[3]胆[5]担{名}淡
tʰ	[1]贪[2]潭谭谈痰[5]探
n	[1]喃{~斋：道公佬念咒}[2]南男[3]揽1{抱}揇{拇指与中指张开的距离}腩{~肉：五花肉}[5]𨂾{跨越}
l	[2]篮蓝[3]览揽2{包~}榄{橄~}冧{~篷头：秃宝盖头}[5]滥缆舰
ɬ	[1]三[2]□{傻}
ts	[1]□{~tse1：蝉}[3]斩[5]暂站{~立；车~}渐 
tsʰ	[1]参搀杉□{~胁：撑硬}[2]蚕馋惭[3]惨□{盘；碟}[5]渗
s	[1]衫
k	[1]甘柑监[3]感敢减橄[5]监{国子~}
kʰ	[1]勘
ŋ	[1]啱{合适}[2]岩
h	[2]咸鹹[3]喊

#ɐm	
t	[3]□{蘸}□{脚~仔：腿肚子}顿{~脚：跺脚}抌{击：~胸}□{榕木~：榕树的气根}[5]□{~百银：差不多一百两很子}□{耳~：耳垂}
tʰ	[1]□{品尝}[5]䐺{哄；骗} 
n	[1]□{~口：无牙抿嘴状}□{~吃：贪吃}[2]腍{烂： 肉没有煮~}[3]恁{思考}□{舀}[5]□{~水：水田积水}
ɬ	[1]心2
l	[2]林淋临[5]林{~头(地名)} 
ts	[1]砧针斟[3]枕[5]浸
tsʰ	[1]侵2[2]寻沉[5]□{~草：除草}侵1
s	[1]森深[3]沈审婶[5]甚
z	[1]音阴1荫
kʰ	[2]蠄{~蟧：蜘蛛}蟾{~蜍}[3]砍2
ŋ	[1]□{~头：额头前突}
h	[1]钦2[2]含函街[3]砍1樖{棵}冚{~𠾴唥：笼统，全部}[5]坎撼陷
Ø	[1]阴2庵鹌{~鹑}□{~煲仔：药罐子}颔{~lut⁵：下巴}□{躲藏}[3]揞{用手盖住}[5]暗

#iɐm	
ɬ	[1]心1
ȵ	[1]□{一~仔：一撮}[2]淫壬[3]饮{动词}饮{名词，米汤}[5]任纴
k	[1]今金□{~钉：按图钉}[3]锦[5]禁妗㩒{以手按物}
kʰ	[1]襟钦1[2]琴禽擒岑[3]槛

#em	
t	[2]怎[3]点[5]店
tʰ	[1]添[2]甜[5]垫
n	[1]拈{白~佬：扒手}[2]鲇黏[5]念验
l	[2]廉镰帘□{薄~：鲢鱼}[3]敛□{舔}□{掭笔}[5]殓□{瓣} 
ts	[1]尖沾瞻占{~卦}粘{~米}[5]占{~据}佔
