	注释：-白，=文
l	[2]雷擂[3]累{积～}蕊俨垒锐屡[5]□{塞}[6]累{连～}类内泪[7]箩-{鱼篓}水-{露～}
ts	[1]锥追朘{男阴}[3]嘴=[5]最醉缀赘[7]嘴-{奶～：奶头}
tsʰ	[1]炊推崔吹=[2]锤=[3]坐=喘[5]碎脆=粹瘁翠[6]罪
s	[1]鳃沙-[2]垂谁随隋髓=[3]水[5]岁=[6]睡=瑞穗癞-[7]螺-脶
k	[1]阶-{楼～}圭闺规傀龟窥归[3]鬼轨诡傀[5]盖-{～洋：地名}贵桂绘会{～计}溃桧
kʰ	[1]开-亏魁盔-[2]奎逵葵癸[5]块愧[6]柜
v	[1]煨[2]危桅[3]我-[5]爱-[6]魏
#aiŋ	
p	[1]崩[2]□{抹掉}
pʰ	[1]烹[2]朋瓶-[3]崩-{塌方}[6]□{斜倚}
m	[2]盟萌[2]猛=[6]孟
f	[2]横=
t	[1]灯-登钉-{名词}睑疔澄丁[3]等顶-[5]钉-{动词}凳订
tʰ	[1]厅[3]藤-謄腾亭-[2]挺-[5]定-{～案}□{配对}[6]邓[7]澄-{把水～～}
l	[1]□{奶，乳汁}[2]铃-能零[3]冷[5]□{～屎：使劲排便}[6]楞
ts	[1]曾增憎筝臻争=罾[5]挣{使劲挣扎}
tsʰ	[1]撑[2]层曾{～经}蹭[5]□{～～：钹}[6]赠[7]塍{田}
s	[1]生=牲=甥星僧参{人～}[2]□{吆喝}[3]省=□{睾丸}[5]腥擤[7]鳞-
k	[1]耕根跟庚羹[3]哽耿粳埂=梗[5]更□{人体贴近以改变温度}
kʰ	[1]轻-牵-{牵引、搀扶}[3]肯垦恳[6]□{冻结}
ŋ	[3]凝黏[6]硬=
x	[1]亨哼[2]行咸恒痕[3]很狠[5]□{小病}[6]幸杏行{品～}恨
∅	[1]恩[5]应-□{盖子}
#ŋ	
∅	[6]唔{不}
#ɿ	
ts	[1]资咨谘兹滋疵雌[3]子=紫梓
tsʰ	[5]次刺
s	[1]私丝思斯撕司师狮[2]瓷辞祠饲词[3]死=此使史驶[5]四=肆[6]似寺伺自字士事恃巳
tʃ	[1]支只之芝枝脂膣{阴门}[3]止扯纸=只旨指柱[5]志痣至致制滞炙=[7]汁执质织职
tʃʰ	[1]痴雉[2]池退驰持[3]齿耻侈[5]翅试-[6]治稚秩直=蛰植殖[7]赤=尺=斥
ʃ	[1]施尸诗[2]时莳鲥[3]始□{屡次}矢是[6]豉十拾实蚀饰是氏誓逝示市视嗜柿=[7]湿失识室释[5]世试势
#ua	
k	[1]乖[2]□{鼓起}[3]拐[5]怪[7]刮
kʰ	[1]夸跨垮[3]蒯[5]快刽
#ø	
p	[1]飞-被-{棉～}[6]□{泡沫}
m	[3]尾[5]妹-[7]糜{粥}縻
f	[7]或
l	[5]□{反复切割}
ts	[1]锥{鼓起}□{衣着不清楚}[3]□{吮吸}[7]□{吸住}
tsʰ	[1]吹-炊-[3]出-[5]脆-絮-[6]绝[7]出=
s	[3]髓-雪-[5]税[6]舌{口渴}[7]说雪=戍薛
k	[1]箕-{非脶指纹}[2]垢□{割}[5]锯-[7]决诀
kʰ	[1]嬉-{玩}[3]饥渠{他}蕨{～须包：蕨粉包的饺子}[5]气-{蒸气}[6]竭-{枯干}[7][7]阙镢缺蕨=
ŋ	[2]鱼渔揉{～纸团}[6]月[7]□{脚踩}
x	[1]墟-[2]□{斜看一眼，怒视，乜斜}[3]许-{～愿}[6]熻{焖煮，闷热}[7]血=歙
∅	[3]□{应答词}[7]嗝
v	[6]越粤悦说{人名用字}
#a	
p	[1]爸拔-[3]八-摆[5]拜[7]八=
pʰ	[2]排牌[3]拍-[5]派[6]败稗卜{萝～}[7]拍=拔
m	[1]妈[2]埋[3]买[6]卖迈
f	[1]诙[2]怀槐淮[3]血-[6]坏=
t	[1]呆[3]打底-[5]戴带=[7]鞑{～子：仇视蒙古人的称呼}□{赠送}
tʰ	[1]他胎苔{舌～}[2]台苔{青～}[3]铁-贴-[5]太泰态替-[6]代袋=贷待怠[7]塔塌榻踏沓
l	[1]拉[2]来=泥-[3]乃奶[5]那[6]赖濑癞奈耐[7]□{～住：刚好}
ts	[1]遮灾栽=斋[3]者宰滓[5]蔗债载再[7]札砸窄
tsʰ	[1]差车獭钗[2]材财裁齐-[3]采彩睬踩[5]蔡菜=[6]在寨截[7]插察擦赤-
s	[1]赊奢筛-衰[2]豺佘蛇=紫[3]舍耍洒洗-塞-{阻塞}[5]舍细-赛帅婿晒[6]社射麝笠-力-{勤～：勤劳}勺□{融}[7]塞-{主动堵塞}
k	[1]该皆阶=街[2]改解结-{打～}夹-嘎[5]介界芥疥丐戒届械盖=[7]夹=挟峡
kʰ	[1]开=[2]喀卡-[3]揩楷凯卡=□{翅膀}[5]溉慨概[6]□{限量}[7]怯{丑陋}
ŋ	[2]崖涯[3]雅[5]艾=[6]碍
x	[1]哈[2]孩鞋谐[3]海蟹解{会}[6]亥害=懈狭[7]瞎辖洽
∅	[1]阿埃挨哀[2]啊[3]矮蔼霭[5]爱=隘[7]压-
v	[1]歪蛙娲曰[3]划{分划}[6]外划={笔～}
#uaŋ	
k	[1]关[3]梗={茎}[5]贯惯[7]梗-{茎}
