	注释：-白，=文
f	[1]花[2]华铧哗[3]割-[5]化[6]画划乏活猜伐筏罚话=滑=[7]法发
t	[3]打{肏}[7]答搭笪
tʰ	[3]脱-□{击}[6]达挞={鞭～}[7]脱=
l	[2]萝-{～藤}哪{～咤}[3]□{烤鱼，熨衣裳}[6]拿纳腊蜡
ts	[1]渣抓咤[3]拽[5]乍炸榨[7]札□{～下来，向下拉下来}
tsʰ	[1]叉杈岔{三～口}[2]茶查[3]獭{水獭}切{～菜}拽[5]岔{～路}[6]□{隔开}辣□{黄～，蟑螂}[7]铡-
s	[1]沙纱□{木桶干燥而缝松裂开}酥[2]□{人}[3]杀-萨[5]□{扒动晒物}[6]煠{清水煮}[7]屑
k	[1]家加伽枷痴嘉佳瓜[3]贾假寡[5]嫁稼价驾架挂卦[7]甲葛割=隔-
kʰ	[2]卡{密合}[3]客-阔-[7]渴阔=客={乞食～}
ŋ	[1]□{离缝}[2]牙芽衙
x	[2]虾霞=遐瑕□{胳肢}[3]下{～面}吓-[6]夏厦暇下{～去}[7]霞{红～}
∅	[1]鸦鸭押[2]□{阻塞拥挤}[3]哑噢[5]亚[7]压=
v	[1]挖蛙[3]瓦[6]话-{～事：说话}
#iu	
t	[1]丢[5]□{捉起}[7]竹
tʰ	[1]抽[2]稠绸[3]丑
l	[1]溜[2]刘流留榴瘤馏硫琉[3]柳[5]溜-{滑走}绺[6]六绿录陆{～续}
ts	[1]周州洲[3]酒帚[5]咒□{拧}[7]足筑烛术嘱祝
tsʰ	[1]秋鞦[2]囚仇筹泅={～渡}畴[3]手-丑[5]臭溴嗅[6]就袖逐轴宙肘[7]促捉
s	[1]修羞-收[2]□{收回绳索}[3]手=首守黍[5]秀绣锈[6]受授寿俗熟属赎[7]栗宿缩肃叔淑
k	[1]鸠[3]九久韭纠□{水向上激起}[5]救[7]掬鞠
kʰ	[1]丘邱[2]求球裘[3]粬-臼[6]旧局舅[7]曲粬=
x	[1]休[3]朽[7]畜蓄
∅	[1]优优幽悠[2]由邮油尤柔犹游牛=[3]有友酉扭纽□{水土相和}[5]幼[6]又右祐辱褥欲玉狱柚[7]育诱郁裘-
#ia	
p	[3]壁-{墙～}[6]□{～～烂：烂糊糊}[7]壁-{犁～：犁铧}
pʰ	[1]□{摊开}[3]□{瞎摸}[7]□{拟声词，以竹击肉}
m	[1]摸-
t	[1]爹[3]摘{撕裂}
tʰ	[3]拆-[7]籴
l	[3]□{领取}[6]□{竹编晒器}[7]烈{快}
ts	[7]1绩{～缉：织藤布}[5]借□{婶婶}
tsʰ	[2]斜{歪～}畲[5]斜{偏～，～水：屋顶斜度}[6]谢{姓，感～}蓆-
s	[1]罅{张开}[2]邪[3]写[5]泻[6]谢{花～}鹊
k	[1]瘸{～骹～手：手足指头不灵活}[3]□{涩}[5]架={摆～子}
