拼音	IPA	調號	單字
z	tsɿ	1	支枝=肢之芝資姿咨滋孳𢫴[用指甲抓；心裏癢癢]
z	tsɿ	3	子籽仔姊梓只=紙旨指
z	tsɿ	5	痔志至致窒桎
z	tsɿ	6	字自寺-
z	tsɿ	7	只-
c	tsʰɿ	1	雌疵侈差[參～]嗤
c	tsʰɿ	2	詞祠辭慈磁糍茲瓷𢫴[亂抓]
c	tsʰɿ	3	齒恥此趾址
c	tsʰɿ	5	次賜刺翅
s	sɿ	1	絲噝私思司斯撕嘶廝詩師獅尸施
s	sɿ	2	時蒔[～菇子：荸薺]
s	sɿ	3	死矢屎使史駛始
s	sɿ	5	四肆式試=誓逝嗜廁-[茅～]
s	sɿ	6	侍恃峙是事示市柿士仕視似飼氏寺=
gw	kɯ	1	嘅[我～書：我的書]
gw	kɯ	6	个-[這樣]
kw	kʰɯ	5	去-
xw	xɯ	5	去-
w	ɯ	2	兒而
w	ɯ	3	耳餌爾邇
w	ɯ	6	二貳
bi	pi	1	屄
bi	pi	3	比
bi	pi	5	閉潷[～湯]憋秘-
bi	pi	6	被-備-幣弊
bi	pi	7	筆逼=必畢
pi	pʰi	1	批披庇屄[媽～：女陰]
pi	pʰi	2	皮疲脾啤琵枇
pi	pʰi	3	痞鄙彼鼻
pi	pʰi	5	屁
pi	pʰi	7	辟譬避僻劈=壁=匹
di	ti	1	低的[我～書]
di	ti	2	嘀[～嗒：滴水的聲音]
di	ti	3	底抵詆砥的[目～]
di	ti	5	帝蒂締諦笠-
di	ti	6	弟遞第地
di	ti	7	敵滴=的[～確]嫡[～親]
ti	tʰi	1	梯
ti	tʰi	2	提=題堤啼蹄
ti	tʰi	3	體
ti	tʰi	5	替剃屜
ti	tʰi	7	踢惕剔笛迪
li	li	1	濾[～子：可以漏水的裝魚的竹簍子]
li	li	2	離籬梨犁黎釐狸驢-[～膠；叫～子]
li	li	3	里理鯉李禮旅履澧
li	li	5	粒栗莉[茉～花]笠=[斗～]
li	li	6	利痢俐麗厲蠣勵靂吏荔蒞律率[比～]濾-[～乾]
li	li	7	力历瀝立
zhi	tɕi	1	雞基箕肌機譏稽知梔-枝-[荔～]
zhi	tɕi	2	雞[(變調)～雞：小男孩的生殖器]
zhi	tɕi	3	擠己紀嘴-
zhi	tɕi	5	計繼寄祭醉-季際寂淬-雞[(變調)雞～：小男孩的生殖器]
zhi	tɕi	6	技積-[～纍]聚炙=[膾～人口]
zhi	tɕi	7	急及極積=[～極]織=迹績=擊吉即激脊汁執摯質擲
chi	tɕʰi	1	欺妻淒趨癡
chi	tɕʰi	2	其棋期旗麒琪歧祁齊奇騎琦崎持遲池馳弛
chi	tɕʰi	3	起=啟喜-
chi	tɕʰi	5	氣[有～；～死人]汽器砌棄趣-
chi	tɕʰi	7	七柒膝漆戚及乞緝尺=喫=赤=斥叱吸
shi	ɕi	1	西犧稀希嘻犀
shi	ɕi	2	此溪徐-
shi	ɕi	3	洗喜=席=十起-
shi	ɕi	5	細世勢戲試-[～本事]歲-碎-[零～]絮-[棉～]氣-[出～不贏；冇～噠：餓了]習[(變調)慣～：慣壞]
shi	ɕi	6	繫[聯～]系[箢箕～]
shi	ɕi	7	濕習析淅晰息熄媳錫=昔惜悉蟋失=隙識釋室夕汐婿-敘-泣
i	i	1	衣依醫伊矣
i	i	2	移姨夷怡飴遺
i	i	3	椅依以已
i	i	5	意億憶異翼肄
i	i	6	易[容～]
i	i	7	一壹易揖抑邑譯驛益溢逸佚軼腋
bu	pu	3	補
bu	pu	5	布怖
bu	pu	6	步部簿
bu	pu	7	不
pu	pʰu	1	鋪[～開]浦
pu	pʰu	2	婆-[貓～子]葡蒲[～扇]菩[～薩]
pu	pʰu	3	普譜輔-捕脯伏-[～噠地頭上]
pu	pʰu	5	鋪[藥～]破-
pu	pʰu	7	仆撲樸赴瀑覆-[～在高頭嘅是一～碗]
mu	mu	3	母拇
mu	mu	6	墓幕暮慕睦磨-[～粉子；～子]穆
mu	mu	7	木沐目牧
fu	fu	1	夫膚麩敷呼傅枯[又]窠-[鳥～：鳥窩]
fu	fu	2	扶芙壺胡湖猢糊葫蝴符狐弧浮=
fu	fu	3	火-夥-[～計]府腑腐斧服伏=[埋～]洑
fu	fu	5	副富賦付附負[正～]褲[又]縛
fu	fu	6	父負[～擔]護戶會-伙[傢～：東西]
fu	fu	7	福幅蝠复腹覆=忽佛彿哭[又]
dhu	ȶʉ	1	豬居朱珠誅蛛株侏車[～馬炮]諸矩-
