#符号说明：-白=文/书*俗?待考	
#调值	［1］31［2］213［3］35［5］51［6］353
#ɿ	
ts	［1］资滋知{～了:蝉}［2］自{～家:自己}直{频度副词:不停地}［3］紫子姊{～妹}［5］恣{形容什么事儿都不管的态度}［6］自{～个儿:自己}字牸{～牛:母牛}
tsʰ	［1］呲{～牙}［2］词祠瓷雌疵［3］□{～面:和面时反复地揉捏}［5］次刺伺
s	［1］撕私丝司思些{这～个:这么多}巳［2］惜{可～了}［3］死［5］四饲{～料}［6］寺
#ʅ	
tʂ	［1］知支枝芝汁{奶～儿}［2］指{手～头}趾{脚～头}侄秩{～序}只{量词}直{形容词}值{～当}执汁{墨～}织职质{～量}［3］纸止址指{～着:打算，计划;依靠}掷{～色子}［5］制智至{冬～}痔治置志
tʂʰ	［1］痴{～呆}眵{～麻糊:眼屎}迟嗤{噗～}［2］池豉{豆～}尺吃赤{～脚医生}［3］齿［5］翅
ʂ	［1］师狮诗尸［2］时涩{～巴:形容口涩}湿十拾虱{～子}实{～在}室{教～}食识{熟～:熟悉}石［3］使史始屎{～壳郎}［5］是式试世势视什{家伙什:家具、用具}适{～合}［6］士柿事市
ʐ	［5］日{～子}
#ʅə	
tʂ	［1］蔗{甘～，新}［2］遮这{～个}折{～个跟头}蜇{～人}蛰{惊～}哲［3］者［6］这{～可怎么着}
tʂʰ	［1］车［3］扯{～烂}［5］扯{～过来}撤彻
ʂ	［1］赊{～账}［2］舌折{断}蛇［3］舍{～哩:舍得}［5］射{～四方:婚事习俗}［6］社
ʐ	［3］惹［5］热
#ɚ	
∅	［2］儿［3］耳［6］二
#i	
p	［1］屄［2］鼻荸{～荠}逼滗{挡住渣滓倒出液体}［3］比秕{～圪拉:形容瘪}［5］篦{～子}箅{～子:炊具}蓖{～麻}臂闭币壁{邻家～舍:邻居}必毕{～业}
pʰ	［1］批坯{～子:砖坯}［2］皮脾啤裴{～里村}劈［3］匹{一～布}［5］屁痹{麻～大意}僻{偏～}
m	［1］眯{～缝:半闭着眼}［2］迷{～眼:眼睛进沙粒}弥{～勒佛儿竹～子:竹篾片}［3］米□{(用橡皮)擦}□{～猫:母猫}［5］密{～漏儿}蜜秘
t	［1］低堤提{～溜}［2］抵{牛～角:牛犄角}笛敌的{目～}滴［3］底抵{～押}抵{～锅:补锅}［5］第弟帝［6］地递
tʰ	［1］梯［2］题提{～手}踢{～腿}啼{～哭:哭}蹄{猪～儿}［3］体［5］剃替剔嚏
n	［2］泥［3］你［5］腻{～歪}拟{～稿子}
l	［2］犁梨藜{蒺～蔓儿:蒺藜}离{～哩远:离得远}篱［3］李礼里{～头;几～}理鲤［5］丽荔栗力历{～头}沥{～青}立粒［6］厉利
ts	［1］□{指面条煮熟后因放置太久，普通话说“坨了”}［2］集积即脊蒺{～藜蔓儿:蒺藜}鲫{～瓜片子:鲫鱼}绩籍{～贯}［3］挤［5］际剂{～儿:面剂}稷
tsʰ	［2］齐脐{肚荸～:肚脐}七漆缉{～鞋}傶{～乎:凑近，靠近}［5］砌{～墙}涕{鼻～}
s	［1］西［2］息{气～:臊气}媳习席锡席{酒～}［3］洗［5］细
tɕ	［1］基鸡机饥{饿}几{茶～}今{～年}［2］急级极{无～:县名}吉激击［3］几给{递～}［5］寄记技季冀纪忌系{～鞋带}继{过～}
tɕʰ	［1］欺［2］奇骑棋旗期{日～}祁{～村:村名}［3］起启{～开}［5］去{上哪儿～}契{地～}器气汽
ɕ	［1］希稀［2］吸畦奚{～某人:批评、责备某人}［3］喜{～欢:高兴}［5］戏［6］系{联～}
∅	［1］衣医［2］移姨胰{～子:香皂}一乙揖{作～}［3］以椅倚{塞紧以使牢固}尾{～巴}［5］意易{容～}益译亿翼{鼻～:鼻翅}疫［6］艺{～儿:技术}
#u	
p	［2］不［3］补谱{家～}［5］布{～置}［6］部簿步
pʰ	［1］铺{动词}［2］菩普脯{胸～子}蒲{～扇}滹{～沱河}扑［3］仆{女～}［5］铺{～子}
f	［1］夫孵麸{～子}浮妇{～女}［2］符扶复{～混肥:复合肥}福幅辐{～条}服伏{三～}［3］府斧腐{～竹}［5］父富复{～习}傅副付附{～中}
t	［1］都［2］独读犊{牛～子}毒厾{指，戳}［3］赌堵肚{～子:胃}［6］肚{～子疼}杜度渡{～口儿}
tʰ	［2］徒涂{糊～}图突秃［3］土［5］吐兔
n	［2］奴［3］努{～嘴}
l	［2］卢炉芦轳{辘～}撸{～起袖子}［3］鲁卤{～水}［5］鹿录禄褥［6］路露{～水}
ts	［2］租卒{象棋子}族足［3］祖组
tsʰ	［1］粗［5］醋
s	［1］苏酥［2］速□{～～儿:蟋蟀}［5］素嗉{～子}［6］竖
tʂ	［1］猪朱珠蛛{～蛛:蜘蛛}［2］竹烛嘱碡{碌～}［3］主煮拄［5］注{～意}铸祝{～寿}［6］柱住箸{～子:筷子}
tʂʰ	［1］畜{～牲}吹-{～着}［2］初{大年～一}除锄出{～来}［3］楚础处{～关系}杵{～他一拳}帚{扫～}［5］处{去～}憷{发～:怯场}
ʂ	［1］书输梳{～脑袋:梳头}舒［2］赎秫{～秸}束{～鹿:河北辛集的旧称}［3］数{动词}暑鼠黍{～子}属［5］数{名词}漱{～～嘴}术{武～}［6］竖树
ʐ	［2］如茹［3］乳{腐～}溽{～着:被褥、垫子、衣服等湿了还继续坐着、穿着}［5］入
k	［1］估{～量}姑{～子:尼姑}蛄{拉～:蝼蛄}箍{～子}［2］骨谷{～子:粟}［3］古股鼓［5］固顾［6］姑{称谓词}
kʰ	［1］枯［2］窟{～窿}［3］苦［5］库裤
x	［1］呼［2］胡{姓;～采:胡子}糊煳葫湖蝴狐{～子:狐狸}壶和{打麻将～了}哭{啼～}忽{～闪}核{枣～}囫［3］虎［5］互护［6］户{～口}瓠{～子}
∅	［1］乌{～黑}戊{天干}［2］吴梧吾{支支～～}物{～件儿:东西}屋无{～极:县名}［3］五伍午武舞鹉□{～哩:助词，意为“等等”}［5］务杌{～子:高脚无靠背的凳子}［6］雾误
#y	
n	［3］女
l	［2］驴［3］吕铝旅捋［5］律率绿
tsʰ	［1］蛆［2］焌［3］取娶［5］黢{～黑}
s	［2］须{必～}徐戌{地支}俗{～气:麻烦，形容来回反复地说或做某些细小的事儿惹人烦}续{～茬}［5］絮婿碎{耳～:耳屎}
tɕ	［1］居拘车{～马炮}［2］橘菊局锔{～盆儿}［3］举［5］据锯{～子}句剧{话～}
tɕʰ	［1］屈{受～}［2］区{地～}渠{～浇地:用渠水浇灌的庄稼地}曲{大～}蛐{～蟮:蚯蚓}［5］去{～皮儿}处{～暑}
ɕ	［1］虚［3］许
∅	［1］淤{～住血了}［2］鱼于榆［3］雨语羽［5］遇{～对:遇见}裕育玉狱［6］预
#ɑ	
p	［1］巴芭疤扒{双手扒使身体悬空或向上}［2］八拔［3］㞎{～～:屎}把{刀～;一～;～屎}［5］霸罢{～了他了:罢免他了}把{介词，～饭吃喽;～儿～儿:男阴}爸{新}［6］耙{～地}
pʰ	［1］乓{乒～球:乒乓球}［2］钯爬趴［5］怕
m	［2］麻{发～}抹{～桌子}［3］马［6］骂
f	［2］法发{一～儿:发小}发{头～}罚乏{解～}
t	［2］答搭达沓［3］打［6］大{～小}
tʰ	［1］他［2］踏{～实}塔塌溻{～湿}
n	［2］拿那{～儿}［3］哪{～个}［5］那{～边儿}纳{～鞋底}捺
l	［1］拉{～车}［2］剌{用刀划}瘌{疤～}拉{～:拉屎}［5］辣腊蜡［6］落{～下:将物品忘在某处}
ts	［2］杂砸□{用缝纫机缝制}［3］咋{～儿:怎么}
tsʰ	［2］擦礤{～子:平整土地的农具之一}
s	［2］撒{～手}萨{菩～}索{利～}
tʂ	［2］闸炸{油～}眨扎{使针～他:用针扎他}铡焯{菜在热水里过一下}［3］拃［5］栅{～栏}榨炸{～弹}
tʂʰ	［1］叉［2］查茶茬插察［5］杈{树～}岔
ʂ	［1］沙纱［2］杀［3］傻洒{～水:往外泼水}［5］□{～沥沥哩:形容食物口感粗糙}
k	［3］嘎{～咕:形容人心眼坏}
kʰ	［3］卡{～车}
x	［1］哈{点头～腰儿}
#iɑ	
n	［6］娘{母亲的面称和背称}
l	［3］俩
tɕ	［1］家加痂［2］甲夹裌{～袄:双层的袄}［3］贾假{真～;放～}［5］嫁稼价架驾
tɕʰ	［1］揢{用双手虎口掐住}［2］掐［3］卡{～住}
ɕ	［1］虾［2］侠洽{齐～:村名}瞎匣{戏～子:收音机}［5］吓{～唬}厦{～架:门脸突出的檐下那块区域}［6］下{～头}夏
∅	［1］丫{～环}［2］牙芽衙鸭押压丫{脚～子}［3］哑{～巴}［5］亚轧{～棉花}
#uɑ	
tʂ	［1］抓［3］爪{鸡～}
tʂʰ	［2］□{～字儿:抓石子游戏;～皮:形容小孩子外向}
ʂ	［2］刷
ʐ	［2］挼{洗衣服揉搓的动作}
k	［1］瓜［2］挂{～面}刮［3］寡剐［5］挂{～上}卦
kʰ	［1］夸［5］挎
x	［1］花华{中～}［2］划{～船}滑猾铧{犁～子:犁铧}［5］化［6］画话
∅	［1］洼{坑坑～～}挖［3］瓦{砖～}［5］袜［6］瓦{～刀}
#ɤ	
f	［2］佛
t	［2］嘚{～～:小声不停地说}
tʰ	［5］特
k	［1］哥{～俩儿}歌佝{～偻:身体蜷缩着}鸽［2］疙{～瘩}圪{常用前缀，～针}割葛各阁{出～儿:出嫁}格胳嗝{打～}膈{～应:讨厌，不喜欢}咯{～:咯吱}革{改～}［5］个［6］哥{称谓语}
kʰ	［1］科颗［2］可{副词，表程度深}窠{一～臼小米儿:形容小米量少}渴磕壳{鸡蛋～}［3］可{～怜}［5］课靠{～那边儿点儿}克客{～人}
ŋ	［1］呃{表肯定的语气词，相当于“嗯”}［2］鹅蛾讹［3］我{旧读}［5］恶{～人}
x	［2］和{～气}河何荷蛤{～蟆}喝{新派}合{新派}盒劐{～开}豁{～丫子:豁口}核{～实}［5］贺鹤
#iɛ	
p	［2］别{～人}憋［5］别{～扭}
pʰ	［2］撇{～嘴}［3］撇{～玉米:掰玉米}
m	［2］末{～了儿:事情的最后}［5］灭{～喽火}
t	［1］爹{父亲的面称和背称}［2］跌碟叠
tʰ	［2］贴帖{～子:请帖}铁蝶{蝴～}
n	［2］捏{～煮饺儿:包饺子}苶{～巴:话少，不活泼}［3］乜{第三人称单数}［5］镊{～子}孽{造～}捏{把头发～起来}虐{～待}
l	［3］咧{～嘴}［5］猎列烈裂
ts	［2］接节截疖{～子}［3］姐［5］借［6］褯{布～}
tsʰ	［2］切
s	［2］斜邪{～乎}屑{木～}楔揳{用东西锤}［3］写［5］射{～鸟}谢卸泄
tɕ	［1］街阶［2］秸{麦～}杰结揭隔{～着}劫{～道}［3］解{～开}□{“几个”的合音}［5］戒界介芥疥{～蛤蟆:癞蛤蟆}届
tɕʰ	［2］茄客{单用，指有亲戚关系的客人}
ɕ	［2］鞋协歇蝎血［5］械解{～事儿:明事理}
∅	［2］爷噎额{～拉盖儿:额头}［3］也野［5］叶页拽{拖}业［6］夜
#uɤ	
p	［1］波玻［2］拨脖博剥={～削}驳={～壳枪}［3］簸{动词}［5］簸{～箕}
pʰ	［1］坡［2］婆泼{～水一～葱}朴［5］破
m	［2］磨{～刀}魔膜抹{～子}［3］抹{～和:乱抹}［5］末{肉～儿}沫{泡～}摸{估～}墨={～斗鱼}［6］磨{～面;～子:石磨}
t	［1］多［2］哆{～嗦}掇{拾～}夺［3］躲［5］剁［6］垛{柴火～}
tʰ	［1］拖托={委～}［2］托={～盘:托菜用的盘子}驮驼脱拓{～泥钱儿:用人模刻泥人}
n	［2］挪
l	［2］骡摞{～起来}罗{姓;用于筛粮食的农具}萝{～卜}锣箩{筛面粉等谷物的工具}啰{～嗦}脶［5］络{拢～:用手捋(胡子)}乐{形容高兴}
ts	［1］作{～坊}［2］嘬{聚缩嘴唇吸取}作{～揖}［3］左撮{一～儿}［5］做{鸡～窝}作{～业}［6］坐座
tsʰ	［1］搓［2］矬{矮}撮{～哩走:(把垃圾)撮走}［5］错
s	［1］梭蓑{～衣}［2］缩{抠～:小气}嗍{吮吸}［3］锁［5］塑
tʂ	［2］桌镯捉
tʂʰ	［2］戳{～子:印章}
ʂ	［2］说［3］所
k	［1］锅［2］郭䦆{小～头}过{～来}［3］果裹馃{～子:油条}国［5］过{～道儿}
kʰ	［2］棵［5］括{～弧}阔
x	［2］和{～面}活喝{～水(老派)}喝{吆～}合{～眼儿:闭眼}［3］火伙唬{吓～}［5］货霍或［6］户{窗～}祸和{～上点儿水}
∅	［1］窝蜗□{～着了:肠胃消化不良，积食}［2］握{～手}［3］我［5］卧
#yɛ	
l	［5］劣
ts	［1］□{～剂儿:揪饺子剂}［2］绝
s	［2］雪薛
tɕ	［2］倔{～骡子}橛{木～}撅{～屁股}决诀{～窍儿}［3］撅{掰断}［5］倔{脾气～}
tɕʰ	［2］瘸缺
ɕ	［1］靴［2］穴
∅	［3］哕{～出来:从胃里吐出}［5］月越
#æ	
p	［2］蝙{檐～蝠:蝙蝠}百白伯{大～:伯伯}柏{～树}掰［3］摆［5］拜辈{老～儿:常和“人们”连用，表示上年纪的长辈们}［6］败稗{～子}
pʰ	［2］排牌拍［3］迫{强～}［5］派
m	［2］埋［3］买［5］麦脉{摸～}［6］卖迈
t	［1］呆待{～着}［3］逮歹{好～}［5］再在{介词}待{～客}带代袋戴大{～夫}［6］大{～陈:镇名}
tʰ	［1］胎［2］台抬□{藏起来，收起来}［5］太态泰
n	［3］奶哪{～个}［5］耐
l	［2］来［6］赖{耍～}癞{～蛤蟆}
ts	［1］灾栽［3］宰载［5］在{～道儿:迷信}
tsʰ	［2］猜才财材裁［3］采彩［5］菜蔡
s	［1］腮鳃［5］赛
tʂ	［2］斋侧{～楞着身儿:侧歪着身体}泽{深～:县名}择{～菜}宅窄摘责{～任}［5］债寨
tʂʰ	［1］钗差{出～}［2］柴豺测{～字儿}拆策册［3］踩{使脚～豆～儿:弄烂的豆子，可用于磨豆腐}
ʂ	［1］筛{～子}山{～药:红薯}［2］色［3］洒{～水:洗完手将沾在手上的水甩掉;往外泼水}［5］晒［6］蟮{蛐～:蚯蚓}
k	［1］该［3］改［5］盖概
kʰ	［1］开［3］楷
ŋ	［1］挨{～着}［2］捱{～打}［5］碍爱{～好儿:讲究个人形象}
x	［2］孩还{副词}［3］海［6］亥{地支}害
#uæ	
tʂ	［6］拽{拉}
tʂʰ	［1］揣{～着}［5］踹
ʂ	［2］摔［5］帅
k	［2］掴{脖子～:耳光}［3］拐［5］怪
kʰ	［5］块快会{～计}
x	［2］怀槐获{～鹿:今河北鹿泉}［6］坏
∅	［1］歪{不正，～}［2］歪{～～:用于指责人没边儿没沿儿地说话}［3］崴{～脚}［6］外
#ɔ	
p	［1］包［2］薄雹{～子}剥{～开}膊{胳～}［3］保堡宝饱［5］报豹爆［6］抱
pʰ	［2］袍刨{挖}泡{尿～:尿}［3］跑［5］泡{～哩水里:泡在水里}炮刨{推～:刨子}
m	［2］毛猫茅{～子:厕所}摸［3］卯{地支}铆［6］冒帽
t	［1］刀［2］叨{～～:嘴里不停地抱怨}［3］岛倒{打～}导祷{～告}［5］到倒{～水}［6］道稻
tʰ	［1］涛掏［2］桃逃{～学儿:逃课}淘{～米}陶沱{滹～河}托-{使手～着:用手托着}庹{一～:两臂伸直的长度}［3］讨［5］套
n	［1］孬［2］挠［3］脑恼［5］闹
