1	#漢字	聲	韻	調	解釋
2	〇	l	in	2	
3	㑃		æ	5	
4	㒼	m	ɵ	2	
5	㓟	pʰ	iᶽ	1	
6	㔶	k	ɵ	3	
7	㔶	k	ɵ	5	
8	㔷		ʏ	1	
9	㖏	ȵ	iã		語氣詞，表示提醒
10	㖏	ȵ	iaʔ	8	
11	㖸	ȵ	iã	6	
12	㛴	n	æ	6	
13	㢊		ɑˠ	3	
14	㢼	p	iɪʔ	7	
15	㥡	tsʰ(tʃʰ)	ʮ(ʯ)	5	
16	㦌	h	uəʔ	7	
17	㧙	b	iɪʔ	8	
18	㧦	ɕ	iɵ	1	
19	㨟	ɡ	ᴇ	2	
20	㨪	h	uɑ̃ˠ	5	
21	㩝	ɦ	æ	2	
22	㩺	pʰ	iᶽ	3	
23	㪗	tʰ	øʏ	3	
24	㪥	ts	uˠ	1	
25	㪬	z(ʒ)	oʔ	8	
26	㫰	l	ɑ̃ˠ	6	
27	㬟	f	ən	1	
28	㬵	tɕ	iæ	1	
29	㮶	s(ʃ)	oʔ	7	
30	㱟	pʰ	iᶽ	1	
31	㶚	p	uˠ	5	
32	㷈		əʔ	7	
33	㷟	tʰ	ᴇ	1	
34	㸠	d	iæ	6	
35	㹂	tɕʰ	i	5	
36	㼈	l	ɜuᵝ	2	
37	㼑	l	i	6	
38	㼭	d	i	6	
39	㽂	s(ʃ)	əʔ	7	
40	㽱	k	æ	3	
41	㽹	f	ᴇ	5	
42	㾂	h	ᴇ	1	
43	㾋	ɕ	ʏ	5	
44	㾘	k	ã	3	
45	㾦	b	ᴇ	2	
46	㾹	z	ɑˠ	2	
47	㿭	tsʰ	ɑˠʔ	7	
48	㿯	t	aʔ	7	
49	㿴	t	aʔ	7	
50	䀫	k	aʔ	7	
51	䂻	z	ã	6	
52	䃗	p	oʔ	7	
53	䃰	tsʰ	aʔ	7	
54	䄸	pʰ	oʔ	7	
55	䆅	ts	iᶽ	5	
56	䈆	d	ɑˠ	6	
57	䈰	s	æ	1	
58	䈳	d	aʔ	8	
59	䉬	f	iᶽ	5	
60	䊓	z(ʒ)	ʮ(ʯ)	6	
61	䌟	p	ɑˠʔ	7	
62	䌠	tɕʰ	i	1	
63	䌥		iən	3	
64	䏒	pʰ	i	5	
65	䐇	m	in	3	
66	䐇	m	in	6	
67	䐈	ts(tʃ)	əʔ	7	
68	䐊	ɦ	uən	6	
69	䐛	t	aʔ	7	
70	䐥		oŋ	3	
71	䐬	z	æ	2	
72	䐽	m	ɵ	2	
73	䑆	ɦ	iã	6	
74	䑵	m	æ	6	
75	䖆	ȵ	iã	6	
76	䘟	t	iæ	5	
77	䛀	f	ᴇ	5	
78	䛛		uᴇ	5	
79	䛬	t	iæ	1	
80	䞁		i	5	
81	䞋	tsʰ	ən	5	
82	䥛	tɕ	iəʔ	7	
83	䩍	l	iæ	6	
84	䫈	z	ən	6	
85	䫌	pʰ	iᶽ	3	
86	䫜		æ	1	
87	䬵	ɡ	ᴇ	6	
88	䭂		iəʔ	7	
89	䭤	tɕʰ	i	3	
90	䰾	p	ɑˠ	1	
91	䱀		ɑ̃ˠ	1	
92	䱗	tsʰ	ɵ	1	
93	䲉	s	ɿ	1	
94	䴉	ɦ	uᴇ	2	
95	䴱	tʰ	ɜuᵝ	1	
96	䵑	ȵ	iən	6	
97	䶕	b	uˠ	2	
98	一		iəʔ	7	
99	丁	t	in	1	
100	七	tsʰ	iɑˠ	1	
101	七	tsʰ	iɪʔ	7	
102	丈	z(ʒ)	ɑˠ	6	
103	丈	z(ʒ)	ã	6	
104	三	s	ɑˠ	1	
105	三	s	ᴇ	1	
106	上	z(ʒ)	ã	6	
107	上	z	ɑ̃ˠ	6	
108	下	ɕ	iɑˠ	3	
109	下	ɦ	uˠ	6	
110	下	ɦ	iuˠ	6	
111	不	p	əʔ	7	
112	不	p	iɪʔ	7	
113	丏	m	i	6	
114	丐	k	ᴇ	5	
115	丑	tsʰ(tʃʰ)	øʏ	3	
116	且	tsʰ	iᶽ	3	
117	且	tsʰ	iɑˠ	3	
118	丕	pʰ	ᴇ	1	
119	世	s(ʃ)	ʮ(ʯ)	5	
120	丘	tɕʰ	ʏ	1	
121	丙	p	in	3	
122	丞	z(ʒ)	ən	2	
123	丟	t	øʏ	1	
124	並	p	in	1	
125	並	b	in	6	
126	丫		iɑˠ	1	
127	丫		uˠ	1	
128	中	ts(tʃ)	oŋ	1	
129	中	ts(tʃ)	oŋ	5	
130	丰	f	oŋ	1	
131	串	tsʰ(tʃʰ)	ɵ	5	
132	丸	ɦ	iɵ	2	
133	丸	ɦ	uɵ	2	
134	丹	t	ᴇ	1	
135	主	ts(tʃ)	ʮ(ʯ)	3	
136	乃	n	ᴇ	1	
137	乃	n	ᴇ	6	
138	久	tɕ	ʏ	3	
139	之	ts(tʃ)	ʮ(ʯ)	1	
140	乍	z	uˠ	6	
141	乎	ɦ	ɜuᵝ	2	
142	乏	v	aʔ	8	
143	乒	pʰ	in	1	
144	乓	pʰ	ã	1	
145	乖	k	uɑˠ	1	
146	乖	k	uᴇ	1	
147	乘	tsʰ(tʃʰ)	ən	5	訓讀，本字為“趁”
148	乘	z(ʒ)	ən	2	
149	乙		iəʔ	7	
150	乜	m	i	6	
151	九	tɕ	ʏ	3	
152	乞	tɕʰ	iəʔ	7	
153	也	ɦ	ɑˠ	2	
154	也		i	1	
155	也	ɦ	aʔ	8	
156	乩	tɕ	iᶽ	1	
157	乳	z(ʒ)	ʮ(ʯ)	6	
158	乾	dʑ	i	2	
159	乾	k	ɵ	1	
160	亂	l	ɵ	6	
161	了	l	iæ	1	
162	了	l	iæ	6	
163	予	ɦ	yᶽ	2	
164	事	z	ɿ	6	
165	二	ȵ	iᶽ	6	
166	二		əl	6	
167	于		yᶽ	1	
168	云	ɦ	yən	2	
169	互	ŋ	ɜuᵝ	6	
170	五		ɜuᵝ	1	
171	五	ŋ		6	
172	井	ts	in	3	
173	亙	k	ən	5	
174	些	s	iᶽ	1	
175	亞		iɑˠ	1	
176	亞		uˠ	1	
177	亞		iuˠ	1	
178	亟	tɕ	iəʔ	7	
179	亡	m	ɑ̃ˠ	2	
180	亡	v	ɑ̃ˠ	2	
181	亢	kʰ	ɑ̃ˠ	5	
182	交	k	æ	1	
183	交	tɕ	iæ	1	
184	亥	ɦ	ᴇ	6	
185	亦	ɦ	iəʔ	8	
186	亨	h	ã	1	
187	亨	h	ən	1	
188	享	ɕ	iã	3	
189	京	tɕ	iən	1	
190	亭	d	in	2	
191	亮	l	iã	6	
192	亳	b	oʔ	8	
193	人	z(ʒ)	ən	2	
194	人	ȵ	iən	2	
195	什	s(ʃ)	əʔ	7	
196	什	z(ʒ)	əʔ	8	
197	仁	z(ʒ)	ən	2	
198	仁	ȵ	iən	2	
199	仂	l	əʔ	8	
200	仃	t	in	1	
201	仄	ts	əʔ	7	
202	仆	f	ʉᵝ	5	
203	仇	z(ʒ)	øʏ	2	
204	仇	dʑ	ʏ	2	
205	今	tɕ	iən	1	
206	介	k	ɑˠ	5	
207	介	tɕ	iɑˠ	5	
208	仍	z(ʒ)	ən	2	
209	仔	ts	ɿ	3	
210	仕	z	ɿ	6	
211	他	tʰ	ɑˠ	1	
212	仗	ts(tʃ)	ã	5	打~
213	仗	z(ʒ)	ã	6	炮~
214	付	f	ʉᵝ	5	
215	仙	s	i	1	
216	仞	z(ʒ)	ən	6	
217	仟	tsʰ	i	1	
218	代	d	ᴇ	6	
219	令	l	in	6	
220	以		iᶽ	1	
221	仰	ȵ	iã	3	
222	仲	z(ʒ)	oŋ	6	
223	仳	pʰ	iᶽ	3	
224	仵		ɜuᵝ	1	
225	仵	ŋ		6	
226	件	dʑ	i	6	
227	任	z(ʒ)	ən	2	
228	任	z(ʒ)	ən	6	
229	任	ȵ	iən	2	
230	份	v	ən	6	
231	仿	f	ɑ̃ˠ	3	
232	企	tɕʰ	iᶽ	3	
233	伉	kʰ	ɑ̃ˠ	5	
234	伊		iᶽ	1	
235	伍		ɜuᵝ	1	~子胥
236	伍	ŋ		6	
237	伎	dʑ	iᶽ	6	
238	伏	b	ʉᵝ	6	
239	伏	v	oʔ	8	
240	伐	v	aʔ	8	
241	休	ɕ	ʏ	1	
242	伕	f	ʉᵝ	1	
243	伙	h	ɜuᵝ	3	
244	伯	p	ɑˠʔ	7	
245	伯	p	əʔ	7	
246	估	k	ɜuᵝ	3	
247	伲	ȵ	iᶽ	6	
248	伴	b	ɵ	6	
249	伶	l	in	2	
250	伸	s(ʃ)	ən	1	
251	伺	z	ɿ	2	
252	伺	z	ɿ	6	
253	似	z	ɿ	6	
254	伽	ɡ	ɑˠ	2	
255	佃	d	i	2	
256	但	d	ᴇ	6	
257	佇	z(ʒ)	ʮ(ʯ)	6	
258	佈	p	ʉᵝ	5	
259	位	ɦ	uᴇ	6	
