#調值	[1]11 [2]21 [3]52 [4]44 [5]22 [6]25				
#符號說明:	-白=文				
#aŋ					
ɕ	[2]塞-				
b	[2]辟{～開}				
dʑ	[2]斜				
h	[2]瞎峽狹轄霞瑕遐匣脇脅[6]夏下				
l	[1]□{黏}[2]苶烈[4]惹舐[6]瀝{～燥}				
m	[1]乜[4]搣				
pʰ	[1]劈{～柴火}[2]啪[3]擘{～開}拍{～一耳光}				
t	[2]扚{～東西}[5]滴{～水}點{未～味道}				
tɕ	[1]家嘉佳加伽迦間□{剛，正}[2]稼甲澀袷胛茄迹恰[3]假[5]價駕架嫁季{過～}				
tɕʰ	[2]喫洽[5]笡{～訖}				
tʰ	[2]踢{～一腳}[4]舐				
Ø	[1]鴉丫椏[2]涯崖牙衙芽伢壓鴨押掖日{～子}[3]啞[4]耶-雅也-[5]亞[6]爾{這}				
#ua					
dz	[2]瘸				
h	[1]花[2]豁華滑樺罰髮猾乏法[5]化[6]畫話劃{～一刀}				
k	[1]瓜呱锅{洗～湯}[2]刮括割合{一～米}摑{～一耳光}蛤剮寡聒嘓括[5]掛挂卦				
kʰ	[1]誇[3]垮[4]話{說}[5]跨				
s	[2]索{索取;繩子}失刷趖{速行;滑}[5]涮				
ts	[1]抓□{點}[3]蚱[5]啄撾				
Ø	[1]爬挖蛙[2]襪娃[3]搲[4]瓦				
#ai					
b	[2]牌排徘迫{～擊炮}[6]敗				
dz	[2]柴豺翟				
h	[2]鞋还[4]蟹[6]害駭				
k	[1]街皆階[5]蓋丐界戒介芥屆械				
kʰ	[1]揩[3]楷				
l	[1]□{躺}[4]奶[6]賴癩㸊奈				
m	[2]埋[4]買媽[6]未{～有}賣				
p	[1]跛屄[3]擺捭[5]拜辈[6]未				
pʰ	[5]派				
s	[1]筛酾[5]曬				
t	[5]帶				
tʰ	[5]泰太汰				
ts	[5]債				
tsʰ	[1]釵[5]蔡				
Ø	[3]矮[6]艾				
#uai					
dz	[6]寨□{淋}				
h	[2]淮槐徊懐[6]壞				
k	[1]乖[3]蝈{蟆～:青蛙}[4]擓[5]怪				
kʰ	[3]塊[5]快塊筷會噲膾				
s	[1]衰摔[3]灑甩色[5]帥率蟀				
ts	[3]指{～月亮}[4]擲{～東西}[5]缀-{一～葡萄}				
