#符号说明：-白=文/书*俗?待考	
#调值	［1］21［2］42［3］45［5］21［6］33［7］213
#ɿ	
ts［3］紫子籽梓{木～树}姊［5］渍 {～水:积水}[6］自字柿{～儿:柿子}	
tsh［2］瓷 {～器}词 慈 磁 糍 祠［5］刺 {鱼～}次［6］□{～手:擦手}	
s［1］斯师丝思蛳司［2］死使［5］四 {～月蛾儿:扁豆，又名“蛾眉豆儿”}［6］寺侍饲事	
#ʅ 	
tʂ［1］知蜘{～网}支枝芝［3］指纸只{～有}止趾址［5］制智志痣翅□{椅子～儿:椅子靠背}[6］直植痔侄{～儿}织{纺～}[7］织{～布}只{一～}	
tʂh［1］□{看}[2］池迟治{～鱼:杀鱼}[3］耻齿□{跌倒:尔过细点，莫～啰(你小心点，不要跌倒了)}匙［5］斥{刺～皮:调皮}炽{火～}治{～理}[7］尺	
ʂ［1］施{～凉:乘凉}诗［2］时{背～:不走运}[3］始屎［5］世势誓试［6］是市实食{猪～}视拾{～粪}石［7］失{～误事:耽误}室湿	
#ɚ	
［2］儿［3］耳饵［6］二［7］日	
#i	
p［3］比［5］闭背 {～后}臂［6］蓖{～麻}箅{～子:蒸饭用的器具}鐾 {～刀}倍鼻{鼻涕}背{～诵}被{～□u33:被子}[7］辈{一～儿的:同辈}笔逼壁{隔～:邻居}碧{～绿}	
ph［1］披批［2］匹{一～布}陪赔皮脾啤［3］痞{打～:不守规则}[5］匹{马～}配屁僻［7］劈{～柴}	
m［1］眯{～下子:打个盹}[2］迷{～信}梅煤{～油灯}媒{做～}眉霉{～豆腐:腐乳}[3］米每［5］女{～儿:猫}[6］妹昧谜{～子:谜语}[7］密蜜	
t［1］低堆［2］底抵［5］对碓队兑［6］弟地笛的{目～}[7］滴嫡敌	
th［1］梯推［2］题提［3］体［5］剃退替屉［7］踢	
l［1］□{不停地动}[2］雷梨犁离璃［3］旅礼尔{第二人称代词}李里理鲤屡垒［6］累利类［7］立笠{斗～}粒力历栗栎{～子树儿}沥{～饭:用竹器将米中的水过滤掉}	
tɕ［1］鸡饥{～荒}机基［3］几 {～个}挤咀{姚家～:地名}嘴［5］祭计寄记醉季最{～好:程度副词}去-{出～}剂济{接～:救助、帮忙}继{过～}系 {～鞋带}[6］罪{犯～}技［7］级急吉极{～好的:很好}积{△～粪如～金}迹{～儿:痕迹}脊{背～骨}绩激屐{木～儿:木制拖鞋}鲫	
