参考资料	刘兴策《宜昌方言研究研究》
k	①□（水冷，使皮肤感到疼痛）②格革隔胳③给（白）嗝
kʰ	②客咳刻克
x	①喝（～彩）②纥曷黑赫吓（白）核
ts	①遮②摺折浙则贼窄摘责③者④这
tsʰ	①车②辄泽择宅拆策册彻撤③扯
s	①奢赊②摄涉涩舌设折（弄～了）瑟虱塞③捨④射舍（宿～）
ʐ	②热③惹
零	②轭
	ie
p	①憋②别鳖
pʰ	②撇
m	②灭蔑
t	①爹②叠牒蝶谍迭跌
tʰ	②贴铁
n	②聂镊猎列烈裂捏劣（文）孽④咧（即“这”）
tɕ	①嗟（～来之食）②接捷劫杰孑节截结诘洁揭竭③姐④借藉
tɕʰ	②怯切且④妾
ɕ	①些②邪斜脅协歇蝎血（又）③写④泻卸谢泄亵
零	①耶椰②爷业孽谒噎③也野冶④夜
	ye
tɕ	②绝厥孓（孑～）掘倔崛蹶撅（～子）决诀④倔（～强）
tɕʰ	②缺阙（宫～）茄瘸
ɕ	①靴②薛屑雪血穴
零	②阅悦月曰越粤樾钺③惹（又）
	ɯ
kʰ	④去
	ɚ
零	②儿而日③尔耳饵洱珥佴迩④二贰
	ɿ
ts	①资姿咨知支枝肢兹滋辎之芝只（两～）②置执汁蛰（惊～）姪质直值殖植织职掷炙③紫姊子梓滓纸只（～有）旨指脂止趾址④自字智致至窒痔峙治志痣
tsʰ	①雌疵痴嗤②瓷糍（～粑）慈磁辞祠词池驰迟持恃秩赤斥尺③此齿侈（奢～）匙耻④刺赐翅次雉稚
s	①斯撕厮嘶豉（豆～）私司丝思施师狮尸诗②饬食蚀识适释石时鲥湿十什（～物）拾实失室矢③豕死屎史驶使始④似祀巳（辰～）寺嗣饲伺是氏示视嗜士仕市柿俟事侍试式饰
	ʅ
ʐ	②日（又）肏
	i
p	②笔毕必弼逼碧壁③彼比④闭箅（～子）弊币毙陛避
pʰ	②皮疲琵匹僻辟霹脾③痹（麻～）鄙庇④屁
m	①咪②泌蜜密弥觅迷靡糜③米④谜（文）
t	①低②的（目～）滴笛敌狄籴③底抵④帝弟第递隶
tʰ	①梯剔②题提堤啼蹄踢涕嚏③体④替屉
n	②黎犁梨倪篱璃力厘历尼泥呢溺栗匿暱③礼你里理鲤李屡④丽离例厉励荔腻利莉痢吏
tɕ	①鸡稽几（～乎）机饥肌基姬羁②缉辑集及级汲吸给（供～）疾吉即戟屐积籍鲫稷棘极绩寂击激③挤几（～何己纪）④祭际济荠计继系（～鞋带）季技妓寄记忌既冀
tɕʰ	①妻凄悽溪欺期骑②齐脐蛴奇岐祁耆鳍其棋旗祈七漆膝乞迄吃戚③启岂起杞砌（又）④砌契企器弃气汽
ɕ	①西栖犀兮奚牺嘻嬉禧熙希稀虽（白）②习袭悉息熄媳隙昔惜席夕锡析婿③洗喜蟢（～子）屣④细系係戏
零	①衣依医伊②宜谊仪蚁移易夷姨胰懿疑怡贻一乙逸抑弋益亦译逆液腋缢③椅以拟已矣尾（又）迤④意异肄翼毅亿忆艺呓诣瞖义议熠
	u
p	②不③补④布佈怖步埠（商～）部簿捕阜（又）
pʰ	①铺（～设）②仆朴扑蒲脯菩勃卜瀑曝讣③普谱甫④铺（店～）
m	②模（～子）目穆牧木沐③母拇
f	①夫肤敷俘（～虏）②扶符复弗拂彿佛③府俯腑腐辅斧抚釜④付赋附傅赴父富副妇负阜埠
t	①都②笃督毒独读牍③堵赌肚（～子）④妬蠹杜肚（腹～）度踱渡镀
tʰ	②徒屠途图突秃③土吐（～痰）④吐（呕～）兔
n	②奴卢芦炉庐（茅～）鹿禄绿③努鲁橹滷虏④怒路赂露
k	①姑辜孤②骨谷③古估（～计）盬（～子）贾（商～）股鼓④故固雇顾
kʰ	①枯箍②哭瓠（～芦）窟酷③苦④库裤
x	①呼乎②胡蝴湖狐壶忽浒（水～）③虎④户沪戽（～水）互护瓠（文，～子，又）
ʐ	②如儒入肉③汝乳辱
ts	①租诸猪朱株珠铢茱②卒③祖组煮主④著苧（～麻）箸（筷子）助柱驻注住铸
tsʰ	①粗初②除储锄厨猝出族帚③褚（姓）杵楚处（相～）④醋处（～所）
s	①苏酥梳疏蔬书舒枢输殊②续术述秫速黍赎嘱熟③暑薯鼠数（动词）④素诉嗉庶恕墅署豎戍数（名词）
零	①乌坞钨污巫诬②吾梧吴蜈无毋勿物屋③五伍午舞武鹉侮④误悟恶（可～）务雾
	y
n	②驴律率（效～）③女吕旅缕履④虑滤
tɕ	①居车（～马炮）拘驹疽②橘局侷③举④据锯巨钜拒距遽聚具俱句惧矩剧
tɕʰ	①蛆区驱趋②渠瞿屈③取娶④去（文）趣
ɕ	①虚嘘墟胥（又）樨须鬚需虽（又）荽②徐蓄恤③许④序叙绪絮
零	①淤迂②鱼渔于吁盂於余馀愚虞娱郁域狱裕浴③语与雨宇禹羽屿④御誉预豫遇寓芋俞榆愉渝愈喻玉
	ai
p	①□（脚～了）③摆④拜败稗
pʰ	②排（文）③排（白）④派
m	②埋③买④卖迈
t	①呆（文）③歹逮④戴带待怠殆代袋贷大（～夫）
tʰ	①胎②台苔抬③□（～子，对中原地区人的戏称）④态太泰
n	①褦（～襶）②来③乃奶④耐奈赖癞
k	①偕稭（麦～）该阶皆街③改解（讲～）④盖丐概介芥疥界尬届戒械
kʰ	①开揩③凯恺楷④溉慨
x	②孩偕谐鞋还（～有）③海蟹④亥骇解（姓）懈害
ts	①灾栽斋③宰④载再在寨债
tsʰ	①猜差（出～）钗②才财材豺裁柴③彩採睬④菜蔡
s	①腮筛（～子）④赛晒
零	①哀唉②埃挨崖岩呆（白）③矮④碍艾爱霭蔼隘
	uai
tsʰ	③揣
s	①衰摔③甩④帅率（统～）
k	①乖③拐④怪
kʰ	③傀（～儡）块蒯④会（～计）刽快筷
x	②怀槐淮④坏
零	①歪③崴④外
	ei
p	①杯背卑碑禆俾婢悲篦（～麻子）④贝敝蔽辈背倍臂被备
pʰ	①胚（～胎）坯（土～）披批②培陪赔裴④沛配佩譬辔
m	①黴②梅枚玫媒煤眉楣媚没（～有）③每美④妹昧谜（白）寐没（～有，又）
f	①非飞妃菲②肥③匪④废肺吠痱（～子）沸费
n	②雷③儡馁累（～积）垒④内累（劳～）类泪
ʐ	④瑞蕊
	uei
t	①堆④对队碓兑
tʰ	①推②颓③腿④退
k	①圭闺规龟归③诡轨晷鬼④瑰鳜桂跪癸柜贵
kʰ	①盔亏窥②魁奎逵夔葵揆④溃愧
x	①灰诙恢麾挥辉徽②回③贿悔毁④会（开～）绘晦汇慧彗惠秽讳卉荟
ts	①追锥③嘴④最罪缀（点～）赘醉坠
tsʰ	①崔催吹炊②槌垂锤④脆翠悴粹
s	①虽（文）绥②谁随髓③水④碎岁税遂隧穗睡
ʐ	④锐睿
零	①煨巍威②危桅为（作～）帷维惟唯围违微薇③委餧伟苇纬尾④卫为（～什么）伪位遗魏未味胃蝟谓畏慰
	au
p	①包胞③保褒堡宝饱④报抱铇雹暴爆豹
pʰ	①抛泡②袍刨③跑④炮泡（又）
m	①猫②毛矛茅锚谋③卯亩（白）某（白）牡④冒帽貌
t	①刀叨（唠～）③祷岛倒（打～）④到倒（～水）道稻盗导
tʰ	①滔掏涛②桃逃陶萄淘③讨④套
n	①挠②劳捞唠牢铙③老④闹
k	①高膏羔糕铰（白）③稿搞搅（白）告窖（白）
kʰ	①敲（白）③考烤④靠犒
x	①蒿薅②豪毫号（呼～）③好（～坏）④浩好（喜～）耗号（～数）
ts	①遭糟召招③早枣蚤澡爪（～牙，～子）④躁灶皂造罩
tsʰ	①抄钞操②曹巢③草騲炒吵
s	①骚臊梢捎稍②苕③扫（～地）嫂④扫（～帚）潲（～水，～雨）
ʐ	②饶挠（又）③扰绕（围～）
零	①爊（～白菜）②熬③袄咬（白）④傲鏊奥懊坳（山～）拗（脾气～）
	iau
p	①膘（肥～）标彪③表錶
pʰ	①飘②瓢③漂（～白）④票漂（～亮）
m	①猫（白）②苗描③藐渺秒④妙庙谬（文）
t	①刁雕貂③鸟（又）④钓吊掉调（～动）
tʰ	①挑②条调（～和）④跳粜
n	②燎療聊辽撩瞭③了（～结）④寥廖尿料
tɕ	①交郊铰（文）胶教（～书）焦椒骄娇浇②嚼③绞狡搅（文）剿矫缴④教（～育）校（对）较窖（文）觉轿叫窍
tɕʰ	①敲（文）锹缲（～边）②樵瞧乔桥荞憔③巧④鞘（刀～）诮
ɕ	①消霄宵硝销嚣萧箫骁③小晓④孝酵肴餚淆校（学～）效笑
零	①妖邀要（～求）腰么（～二三）夭②摇谣窑姚尧③咬（文）舀（～水）杳④要（重～）耀
	əu
m	②牟眸③亩（文）某（文）④茂贸
f	②浮③否
t	①兜③斗抖陡④斗（～争）豆逗荳
tʰ	①偷②头投④透
n	①耨②楼③搂篓④漏陋
k	①勾钩沟③狗苟④垢彀（往上～）够构购媾
kʰ	①抠③口④叩（文，～头）扣寇蔻
x	①齁②侯喉猴③吼④后厚候
ts	①邹周舟州洲②祝粥③走肘帚④奏昼纣宙皱绉骤咒做
tsʰ	①抽②绸稠筹愁雠酬仇③丑瞅④凑臭（香～）
s	①搜飕馊蒐收②宿（～舍）缩③叟手首守④嗽（咳～）瘦漱（～口）兽受授售寿
ʐ	②肉柔揉蹂
零	①区（姓）欧讴殴③藕偶呕（～吐）④沤（久浸于水中）怄（～气）
	iəu
t	①丢
n	①溜②流硫琉刘留榴③纽扭柳④谬（又）
tɕ	①揪鸠阄（拈～）③酒九久韭灸④就救究舅臼咎旧柩
tɕʰ	①秋丘②囚求球仇（姓）酋
ɕ	①修羞休②粟③朽④秀锈绣袖嗅（用鼻～）
零	①忧优悠幽②尤邮由油游犹牛③有友酉莠④诱又右祐柚釉幼黝
	an
p	①班斑颁扳般搬③板版④扮瓣办半伴绊
pʰ	①攀潘②盘③爿④盼袢（纽～）判叛
m	②蛮瞒馒③满④曼慢漫幔
f	①番藩翻②凡帆梵烦繁樊③反④范犯泛饭贩
t	①担（～任）丹单（～独）③胆④担（～子）谈诞旦但惮弹（子～）蛋
tʰ	①贪滩摊②谭谈痰檀壇弹（～琴）③毯坦④探炭叹
n	②南男婪蓝篮难（～易）兰拦栏③览揽榄缆懒漤④滥难（患～）烂
k	①甘柑泔（～水）蚶尴（～尬）干肝竿（竹～）干（～湿）③感敢橄桿擀赶④干
kʰ	①堪勘嵌（白）看（～守）刊③龛坎瞰侃④看
x	①酣鼾憨②含函邯咸（白）鹹（白）衔（白）寒韩闲（白）③喊罕④撼陷（白）旱汗汉苋（白）
ts	①簪沾粘占瞻僭氈黏（～米）③盏展④暂站佔蘸赞绽溅（白）栈战颤
tsʰ	①参搀餐潺汆②蚕惭谗馋残蝉禅缠诞③惨产铲谄④忏灿
s	①三杉衫山珊删膻③陕散（鞋带～了）④赡散（～会）讪疝扇搧善膳擅单（姓）禅（～让）
零	①庵淹（白）安鞍④谙暗岸按案雁（白）晏（白）
	iɛn
p	①鞭边编③贬扁匾蝙④辩辨辫变汴便（方～）
pʰ	①篇偏②便（～宜）骈④骗片
m	②绵棉眠③免勉娩缅④面麵
t	①颠③点典④敁（～掇）店电殿奠佃垫
tʰ	①添天②甜田填③忝舔
n	①黏鲇拈②廉镰簾奁连联年怜莲③脸碾辇撚④敛殓念练炼恋
tɕ	①监尖兼间（文，房～）奸姦煎肩坚③检捡简柬拣谏剪茧涧④鉴舰渐剑间（～断）践件箭溅贱荐见
tɕʰ	①歼（～灭）签佥纤谦迁笺千牵铅②潜钳乾（～坤）虔嵌（文）③浅遣④欠歉
ɕ	①暹嫌仙鲜先②衔（文）咸（文）鹹（文）闲（文）涎贤弦③显险④陷（文）馅限苋（文）现线羡县
零	①淹（文）阉醃焉蔫研烟燕（～京）②盐炎阎严颜延筵俨檐芫③掩眼演兖④验厌靥（酒～）艳砚焰酽雁（文）晏（文）谚宴燕（～子）嚥
	uan
t	①端③短④断段锻缎
tʰ	②团
n	②鸾③暖卵④乱
k	①官关观（参～）冠（衣～）鳏③管馆④贯惯罐灌观（道～）冠（～军）
kʰ	①宽③款
x	①欢②桓还（～原）环③缓④唤换焕幻患宦
ts	①专砖钻③转（～车）④赚撰篆传（～记）转（～动）
tsʰ	①川钏穿②船传（～达）椽③喘④篡纂串窜
s	①酸闩栓④算蒜涮
ʐ	②然③冉染软阮
零	①弯湾豌②完丸纨玩顽③皖宛碗腕惋婉晚挽娩（又）④万
	yɛn
tɕ	①绢捐涓③捲（～起）④圈（猪～）卷倦眷券
tɕʰ	①圈（圆～）②全痊泉权拳鬈③犬④劝
ɕ	①鲜宣喧②旋镟眩悬玄③癣选险（又）④楦
零	①冤渊②员圆园元缘沿原源袁辕援垣③远④院愿怨
	ən
p	①奔③本④笨
pʰ	①烹膨②盆彭
m	②门④闷
f	①分芬纷②坟焚汾③粉④愤粪奋忿份喷（～水，～香）
t	①蹲登灯敦墩③等④饨（馄～）凳邓盾遁顿钝瞪
tʰ	①吞②腾誊藤疼屯囤豚臀③□（震动）
n	②伦仑沦轮能楞（又）③冷④论嫩楞
k	①跟根更（～换）庚羮耕③亘哽粳耿④更（～加）亘
kʰ	①坑③恳垦肯
x	①哼②痕恒衡③很④恨杏（白）
ts	①针斟珍榛臻真尊遵曾（姓）增憎赠僧争筝睁③枕诊振震疹④镇阵
tsʰ	①村皴撑②沉岑陈尘臣曾（～经）层澄橙存娠（又）趁成城④趁（又）寸衬忖蹭
s	①琛深森参（人～）身申伸辰娠孙生牲笙甥②神晨唇③审婶沈损筍省（～长）④什甚葚渗肾慎逊顺
ʐ	②壬任（姓）人仁仍③忍④任（责～）妊认刃
零	①恩④硬（白）
	in
p	①彬宾槟殡鬓冰兵傧③禀丙柄秉饼④病并併
pʰ	①拼姘②贫频凭平评萍瓶屏③品④聘
m	②明盟萌鸣名茗铭冥螟民③闽悯闵敏泯皿④命
