连城县文亨镇文保村客家话同音字表			资料来自开篇vol.21							
	1阴平44 2阳平22 3上声52 5阴去31 6阳去113 7阴入35 8阳入53									1110
	1	2	3	5	6	7	8			
#ɿ										
ʦ	资姿咨兹滋辎㧗（人用指甲或动物用爪在物体上划过（多指攻击性行为）；拉，扯）		组阻紫姊（文）子梓	醉渍（液体渗入纸张，衣服等）		自（白，~家：自己）				
ʦʰ	差㼮（搓，磨使去污垢）	锄荠（马~：荸荠）瓷糍慈磁辞词祠		刺（文）次	脐（腹~脐窿：肚脐眼）自（文，~留地）巳字寺					
s	梳（~头）疏（疏远）蔬（青菜青~：统称各类蔬菜）腮鳃（文）斯厮撕开私师狮司丝思绥	侪（尔个~：你们）	死使（~到佢今后不敢（转文的说法）	絮（白，~芋卵：在芋头根部披上一层稻草或树叶，起保护水分的作用，稻草或树叶腐烂后又成肥料）赐四肆嗣使（~命）史驶	似祀（祭祀）伺饲士仕柿事恃侍					
#ʅ										
ʧ	知（文，~之为~之）支枝（文，荔~）肢栀（文，~子花）脂之芝腟（女阴）		旨指（动词）止趾址	制製智致稚（幼稚）至置志誌痣知（~识分子）	这（~个）					
ʧʰ	雌蜘（蜘蛛）雉（~鸡）痴嗤（嗤笑）豸（虫~）	池驰迟持治（宰杀收拾：~鱼|~猪|~鸡）□（鸡~：鸡虱）	此耻齿	试（白，~一下：试试）	滞翅痔治（~疗）饬					
ʃ	施尸屍嗜诗尸（懒~：懒惰）	时鲥	豕指（白，手~爪：手指头）矢屎（屙~：拉屎|腹~：肚子|女子~：女孩子）	世（文）势试（文，考~）式施	誓逝是（~非）氏豉（豆~）示视市莳（~田：插秧）□（~mie1：屁股）					
#i										
p	蓖（~麻）碑卑陂（文~：地名）螕（牛~：寄生在牛身上的一种吸血昆虫）		彼俾比	蔽闭箅庇痹（麻~）憋		臂秘（~书）泌笔毕必弼逼迫碧璧（~州：地名）壁（文）				
pʰ	批披丕	皮疲脾琵（~琶）枇（~枇）便（~依）	被（被子）婢鄙	疵（吹毛求疵）屁	敝弊币毙陛（陛下）被（被打，被迫）备鼻	譬（~比）避撇（文，一~：一捺）匹（一~布）僻辟劈（文）				
m		迷糜（粥，本地不用）弥靡眉楣媚冥□（~边：边缘)	米美			谜物（白，係~：什么）沕（~水：潜水）	秘（~书）密（文，机~）蜜觅抿：喙~起来			
