fy	1	35	书输枢抒舒虚吁(长~短叹)	
fy	2	13	殊薯谁	
fy	3	53	许暑曙署黍鼠水墅	
fy	5	11	树=戍竖庶恕睡税	
ty	1	35	猪丢	
ly	1	35	溜(邪~、~滑，很滑)遛	
ly	2	13	留刘硫瘤榴琉馏浏流(~动)	
ly	3	53	柳旅吕侣铝	
ly	5	11	绺溜(水~，水往下掉)□(给树剪枝)□(~豆节，在豆角旁边插上树枝供蔓攀缘)	
tɕy	1	35	纠周州洲舟帚(扫~)□(堵塞小洞;强行将物塞给某人;~子，瓶塞儿)	
tɕy	2	13	□(鸡毛~，鸡毛掸子)□(很:水~清;~绿:~青)	
tɕy	3	53	九酒久韭肘	
tɕy	5	11	救究昼咒嘴=醉扭-(拧)	
tɕʰy	1	35	秋丘邱蚯鳅抽趋蛆淬	
tɕʰy	2	13	求球仇囚愁=绸酬筹	
tɕʰy	3	53	丑取娶	
tɕʰy	5	11	纣臭就旧脆翠粹萃袖(领~:衫~)	
ȵy	2	13	牛	
ȵy	3	53	扭=纽忸	
ȵy	5	11	□(扭曲变形)	
ɕy	1	35	修休收须需戌虽绥鳃(鱼~)	
ɕy	15	15	徐随隋髓□(~气：衣物因汗水浸沤而发出的难闻气味)	
ɕy	3	53	朽手首守	
ɕy	5	11	秀绣序叙絮婿绪受授兽寿隧燧祟	
ky	1	35	诸猪=(~八戒)朱株珠蛛茱洙居拘车(~马炮)俱(都)橘追	
ky	3	53	主煮矩举	
ky	5	11	住柱蛀注驻铸著箸句锯=剧据踞坠缀赘	
kʰy	1	35	吹炊区	
kʰy	2	13	垂锤捶槌除厨储渠瞿袪(~风)	
kʰy	3	53	处杵	
kʰy	5	11	去-巨距拒炬柜(餐~;实~，衣柜)具俱(~乐部)住(又)柱(又)树-	
ŋy	2	13	鱼渔愚隅娱舆	
ŋy	3	53	语女汝	
ŋy	5	11	遇寓玉迂御	
y	1	35	淤(~泥;小~，用来浇菜的人尿于)吁(呼~)孺优忧悠□(没精神，寡言笑)	
y	2	13	余臾谀萸庾如儒由油邮游尤鱿攸	
y	3	53	与屿雨羽禹宇有友诱西	
y	5	11	俞愉喻愈榆瑜觎予预豫誉裕芋熨(~tiɛ11，安排、整理妥当)又右幼佑釉柚	
pa	1	35	八巴疤吧(酒~)爸捌	
pa	2	13	□(打~背，让大人背在背上)□(粘)□(~兹，赶忙）	
pa	3	53	把靶□(~~，孩语，指粪便)伯-	
pa	5	11	霸把(刀~)	
pʰa	1	35	拍趴	
pʰa	2	13	爬耙扒杷琶划-(~龙船)	
pʰa	3	53	啪(象声词:充满气体或液体的物体爆裂)	
pʰa	5	11	怕拔罢白(说~;打~，撒谎)	
ma	1	35	妈抹马(~虎)	
ma	2	13	麻蟆	
ma	3	53	马(骑~)码蚂	
ma	5	11	骂	
fa	1	35	发法花(鲜~)花(~钱)	
fa	2	13	筏华铧划=(~船;~得来合算;~算，掂量，计划)	
fa	5	11	罚伐阀话化画	
ta	1	35	答搭嗒	
ta	2	13	□(动物用爪子抓挠)□(烂麻~~，表面很不平整)	
ta	3	53	打	
ta	5	11	哒	
tʰa	1	35	他她它拆塔插叉杈差察坼	
tʰa	2	13	査茶搽	
tʰa	5	11	踏挞(~扫帚，竹扫把)遢榻沓=岔杂	
la	1	35	拉垃啦(~~队)蜡腊(~肉;~瘦，很瘦)纳撩	
la	2	13	拿□(缝隙)□(~起，起身，起床;~坳，爬山)	
la	3	53	喇那	
la	5	11	辣邋哪沓(一~纸)	
tsa	1	35	匝砸扎(~针;驻~)渣喳闸眨摘窄	
tsa	3	53	扎(~紧)	
tsa	5	11	乍炸(~弹;发~，开裂)榨诈蚱=咋(~咯，什么)	
sa	1	35	撒=萨杀沙纱痧杉刷煞(~弦、~完，结束)□(~气，身体舒服)擘(~开，张开)	
sa	2	13	□(眼睛偷偷地扫视)	
sa	3	53	傻耍萐(~扇，纸扇)	
sa	5	11	□(用刀切)	
ka	1	35	家加嘉枷痂甲钾夹佳	
ka	2	13	架(~子)□(~~，孩语:(鸡、鸭)蛋)	
ka	3	53	假贾胯(~下)	
ka	5	11	价架(~桥，建桥;-~飞机)驾嫁	
