来源：	杨述祖 1983《太谷方言志》；Forward 27增补修订																
说明：	代表城关(明星镇）音系																
#符号说明：-白=文*俗?待考																	
#调值	［1］22［3］323［5］45［7］11［8］434																
#ɒ																	
p	[1]巴芭{~蕉}疤爬-{~下}耙-{~地}趴吧				[3]把{~住} 靶{打~}		[5]霸爸罢把{刀~子}坝耙										
pʰ	[1]琶{琵~}爬=耙={倒打一~}			[5]怕帕													
m	[1]麻蟆妈		[3]马码玛	[5]骂													
f	[3]耍-																
t	[1]当-{~中}荡铛裆		[3]打挡档{～案}党		[5]大当{典~}宕												
tʰ	[1]他汤{米~}它唐塘糖堂螳			[3]躺{~下}倘		[5]烫											
n	[1]拿囊{内～}		[3]攮	[5]齉{~鼻}													
l	[1]拉{~车}郎螂廊狼		[5]浪朗														
ts	[1]搽{~药}脏{腌~}渣将{黑~来}长-{~短}张肠-{~子}章樟障咱茶-场-{~子}						[3]长{~大}涨{上~}掌{~心}揸				[5]诈榨乍藏脏{心~}炸丈仗{炮~}仗{擀面~}帐{~蓬}胀栅匠{木~}						
tsʰ	[1]茶=查叉畅-茬岔差{~错}仓苍藏昌场={戏~}肠={~胃病}常尝茬{头~韭菜}叉{三股~}								[3]敞{~开}厂镲			[5]差{~别}唱{~戏}钗畅帐唱倡岔诧					
s	[1]沙纱桑{~树}伤{~寒}常-尝-茬-丧商萨霎{一～～：一会儿}					[3]洒傻嗓-{~子}晌-{~午}撒赏偿={得不~失}						[5]上{~山}裳{衣~}尚沙{~箩子}					
k	[1]刚钢缸{水~}杠{双~}纲冈			[3]港岗{站~}肛{~门}		[5]杠											
kʰ	[1]糠康慷		[3]抗-{~东西}扛		[5]炕												
ŋ	[1]肮{~脏}鸦{~雀雀}昂		[3]哑														
x	[1]行-{银~}航杭夯{打～}			[5]吓下-{~面}夏-{~天} 巷-{~巷}													
Ø	[1]家-{你～}		[5]上-{天～}														
#iɒ																	
n	[1]牙-芽-{豆～}娘			[3]雅-{~安：地名}仰-{~起来：抬起来}				[5]压-{~面}									
l	[1]量梁凉粮{~食}粱{高～}梁良			[3]两俩		[5]亮晾{圪～:累}辆{车～}谅量{数～}											
