来源：	李小平 1991《临县方言志》；灰原哀 木瓜 整理录入
kʰ	［1］康糠慷［3］可扛［5］抗炕
x	［1］□{～馍馍：馏馒头}［2］行航杭河何菏□{～地嘞：什么事自己能说了算}□{～枣：瓷器中长时间泡制的一种酒枣}荷{～上：拿上}［5］贺夯□{太阳～一～：用太阳小晒一下}巷上-{荷～：扛上}
ŋ	［1］肮屙［2］蛾鹅俄讹昂［3］我［5］饿
Ø	［2］哦{叹词，表示应诺：～嘞：行}［3］哦{叹词，表条无可素何：～，将就着办吧}［5］哦{叹词：装示叮嘱：去吧，～}
#iɔ	
n	［2］娘仰-{～起脑来，抬起头来}［3］仰{～望}
l	［2］良凉量粮梁梁［3］两{～个：几～辆}［5］亮谅量
ts	［1］将{～来}浆{水水～～}［3］蒋奖桨［5］酱浆糊将{大～}
tsʰ	［1］枪呛{～得很厉害呦，呛得非常厉害}［2］墙［3］抢［5］呛{～得不行}
s	［1］相{互～}箱用镶［2］襄详祥［3］想［5］相{～貌}湘象像橡{～树}
tɕ	［1］僵疆缰姜江刚-{～～地，刚才}［3］讲虹［5］降{～服；下降}
tɕʰ	［1］腔［2］羌{～族}强{坚～}［3］强{勉～}［5］戗{卧～，门督的横梁}
ɕ	［1］香乡［2］降{～着嘴，压制管呢}［5］享响［5］饷向项
Ø	［1］央秧殃洋［2］羊杨扬阳［3］疡仰=养痒［5］样
#əŋ	
p	［1］奔锛崩绷={～补丁}［2］锛{～～，一种斧头}［3］本［5］笨蚌{～阜}迸=绷={裂开}蹦{跳}
pʰ	［1］喷{～水}烹［2］盆朋棚=彭膨蓬篷［3］捧［5］碰喷{～鼻香}
m	［1］焖{～饭}［2］门虻萌盟蒙=［3］猛懵蠓{～子}［5］孟{～子}梦闷
f	［1］分芬纷风丰封蜂［2］焚坟冯峰缝{～纫}逢［3］粉讽［5］愤忿份粪奋枫凤奉俸缝
t	［1］登蹬灯［2］□{～一种用来敲击的工具}［3］等［5］凳锻澄橙瞪邓
tʰ	［1］吞腾藤［2］誊疼腾{～开，移开}［3］□{～憨话：说憨话}［5］□{圪～儿，为攀高而修的小阶梯}
n	［1］那{～些：那些}［2］能［5］宁{～做甚呀：宁愿做什么呀}
l	［1］陵凌菱［3］冷=［5］楞
ts	［1］曾{姓}增争铮睁［2］□{形容词：疼得～～～，～～～：疼得一下一下地}［5］憎赠筝挣
tsʰ	［1］参{～差}岑撑［2］曾{～经}层秦［3］蹭糁{饭中的小异物}［5］衬
s	［1］森参{人～}僧生笙甥［2］寻［3］省{～长；节～；反～}瘆{圪～人嘞：嘴心里暗自着怕}［5］渗
z	［1］仍{～然}□{小孩小闹口中发出的声音}［3］扔{～掉}
tʂ	［1］针斟珍榛臻真诊疹征惩蒸拯贞侦正{～月里}征［3］振震整［5］枕{～头；～上}镇阵症正{～是}政郑掷
tʂʰ	［1］称={～呼}逞{～能}［2］沉陈尘辰晨臣乘承丞呈程成诚城盛{～满}橙［5］趁慎称{相～}
ʂ	［1］深身申伸娠升声［2］神绳［3］沈审婶［5］甚葚肾胜剩圣盛{昌～}□{～一下：弄一下}
ɻ	［1］□{～～地，走路困乏的样子}［2］壬任{姓}人仁［3］□{～一把：拧一把}纫{缝～机}忍刃［5］任{～务}认
k	［1］跟根庚羹耕耿［2］□{～的，自己的}［3］更{～换}哽埂［5］更{～加}□{里头有～，指里面有重要的东西}
kʰ	［1］坑吭{～气}［3］恳垦肯［5］□{～这里起身：从这儿动身}
x	［1］亨哼［2］痕恒衡横={～直；蛮～}［3］很［5］恨□{～不动，搬不动}
Ø	［1］嗯{叹词，表示疑问}［2］嗯{叹词，表示呼唤}［3］嗯{叹词，表示感叹：～，你再么：你再这样做嘛}［5］嗯{叹词，表示应答}
#iəŋ	
p	［1］彬兵宾槟冰□{～住问，逼住问}［3］丙秉饼=禀［5］殡鬓并病=
pʰ	［2］贫频凭=平=坪=评姘瓶=屏萍［3］品［5］聘拼
m	［1］□{～地，干事不利索的样子}［2］民抿{～嘴}鸣=明=名=铭［3］闽悯敏皿抿{～死：用手指按死}［5］命=抿{～在嘴里：含在嘴里}
t	［1］丁钉疔叮订{～条约}顶{～嘴}［3］顶{～起来}鼎［5］锭钉={～住}定出
tʰ	［1］听{～话}厅亭艇［2］停廷庭蜓［3］挺［5］听{～天由命}
n	［1］□{～些：那些}［2］银凝您宁{安～}［3］拧咛叮咛{～喃：责备}［5］硬佞宁{～少活一岁，不少说一句}
l	［2］林淋临邻鳞零灵铃伶拎翎［3］檩另领岭［5］赁吝另
ts	［1］精=晶晴={眼～}［3］津尽{～前}井［5］浸尽{～好的进}晋静净=
tsʰ	［1］侵亲{～戚}清=晴=青=蜻{～蜓}［2］情［3］寝请［5］亲{～家}
s	［1］心辛新薪星=腥=［3］醒=［5］迅信讯性姓
tɕ	［1］今金禁{～不住}襟{巾}斤筋荆京惊经{～过，～纬}［3］锦紧仅谨［5］禁{～止}妗近敬竞镜竞劲基胫颈径靖靳
tɕʰ	［1］轻［2］琴禽擒勤芹卿擎黥［3］钦倾寝倾［5］庆磐
ɕ	［1］欣兴{～旺}馨□{～～地走；走路时身体上下起伏度大的样子}［2］行{～为，品～}形型刑陉［3］□{～下一场雪哩：下下一场雪了}□{～～哈哈，不严肃}［5］兴高{～幸}□{～下不走，死皮赖脸呆下不走}
Ø	［1］吟音饮{～酒}阴萌因姻殷鹰营鹦樱婴缨英［2］淫匀寅蝇盈赢营=堂萤［3］引瘾尹［5］窨{～子}饮{～牛}洇{纸～嘞}印应={～该，答～}盈映颖
#uəŋ	
t	［1］墩蹲东冬□{～衣裳，缝纫机做衣服}墩{～地}［2］咚{～～～：象声词}［3］董憧栋□{～浑了水}桶{一下乱子：闯下祸了}［5］敦{～厚}屯砘{碌～}饨{馄～}囤顿钝盾遁动冻洞
tʰ	［1］通［2］同铜㭎豚臀童瞳［3］筒囱桶捅统犊［5］痛□{打～：戏开场锣鼓声}
n	［2］农脓浓侬［5］嫩
l	［2］论{～语}仑伦论轮龙年隆［3］笼拢陇垅［5］论现论弄
ts	［1］中{～国}忠钟{～表，钟情}盅终［3］准纵{～横，放纵}总中{打～中哩}种{～子}肿［5］仲种{～树}众重
tsʰ	［1］村皴春格聪充冲{～锋}松-{～树}［2］存唇纯丛从{～容，跟从}虫崇重［3］寸蠢匆宠［5］冲{～好，解好}
s	［1］孙松{～树}［2］嵩［3］損逊笋怂讼［5］顺舞送宋诵颂
z	［2］戎绒茸冗［3］□{干部太～：干部不力}［5］润闰
k	［1］公蚣工功攻弓躬宫恭拱供{～给，～养}［3］滚汞巩［5］棍贡巩
kʰ	［1］昆坤空［3］啃捆孔控恐［5］困
x	［1］昏婚浑萦烘{～～地：头烧得旺的样子}［2］魂混弘宏红洪鸿横{老}［3］哄［5］混轰
Ø	［1］温痘［2］文纹蚊闻岔［3］稳吻刎［5］问瓮
#yəŋ	
tɕ	［1］君窘邵军宗棕尊遵［3］钧菌均迥［5］俊粽
tɕʰ	［2］群裙琼穷
ɕ	［1］熏薰兄=胸凶{言～，～恶}［2］循巡句苟殉勋熊雄［3］□{～住说：逼迫说}［5］训
Ø	［1］晕雍痈□{～开：推开}［2］云荣融容琴熔［3］允永泳拥甬勇涌［5］熨韵运用
#aʔ	
p	［7］八扒把{～饭吃咾}
pʰ	［7］帕胖［8］脖冹{凉、冷}
f	［7］法［8］乏伐筏罚
t	［7］答搭达
tʰ	［7］拓榻沓踏{～实}［8］踏{～步}
ts	［7］扎眨轧{～钢}作泽择责咂
tsʰ	［7］察擦侧测策册而插{～秧}查{检～}［8］杂铡炸{～油糕}插{～门}
s	［7］杀瑟索色=啬
tʂ	［7］窄摘
tʂʰ	［7］拆铲{～粪}搀{～扶}［8］宅
tʂʰ	［7］涩虱色-
x	［7］瞎［8］盒辖蛤匣
ŋ	［7］额
#iaʔ	
p	［7］百佰柏伯白{～术}碧
pʰ	［7］泊{湖～}迫拍蝙［8］白-
m	［7］灭麦脉
n	［7］鸭押
tɕ	［7］夹甲挟胛
tɕʰ	［7］恰洽客
ɕ	［7］狭峡胁协［8］匣=
#uaʔ	
ts	［7］桌卓捉
tsʰ	［7］戳镯促［8］□{～～地：行动迅速的样子}
k	［7］刮{～风}
x	［7］滑猾获
Ø	［7］握［8］袜
#yaʔ	
tɕ	［7］觉{～悟}角
tɕʰ	［7］确□{～在一打里：挤在一块儿}
ɕ	［7］穴
Ø	［7］哕{干～}□{～住水：积住水了}
#əʔ	
p	［7］拔钹不博□{～饼儿：烙～子}
pʰ	［7］泼勃卜扑仆{～倒，～人}瀑{～布}破［8］簿
m	［7］末抹沫没莫摸=墨-默-陌木目穆们=
f	［7］佛{仿～}福幅蝠复覆［8］服腹伏佛{～教}
t	［7］得德的{好～}
tʰ	［7］托忒特［8］趿
n	［7］那{～家：他们家}
l	［7］劣肋勒嘞
ts	［7］则［8］怎
tsʰ	［7］取娶
s	［7］相{～守：相处}［8］相{～跟}
tʂ	［7］秩质褶蛰执汁哲浙折{～断}着{衣～}酌直值殖植只职织炙这［8］这=
tʂʰ	［7］彻撇辙赤斥吃绰［8］侄着{睡～}直{～性子}值{～得}
ʂ	［7］摄涉湿什设失识式饰适释［8］十拾舌折{～哩：断了}实室食蚀石佘
ɻ	［7］热弱［8］日若
k	［7］合{～子，量器}鸽割葛各阁搁格隔戈圪{词头}［8］胳{～膊}去圪{词头}
kʰ	［7］磕渴刻{时～；刀～}咳克客叩可{～是}［8］去{～呀不：去不去}
x	［7］喝{～水；～彩}郝鹤黑赫核{审～；～心}［8］合{～同}
ŋ	［7］鄂恶{～人}额扼轭□{一种粉面和萝卜和制的食品}
#iəʔ	
b	［7］别{区～；告～}鳖鳖笔必北逼璧壁臂毕
pʰ	［7］撒匹僻勞［8］鼻别{～的；～虑：另眼相持}
m	［7］蜜密墨=默=觅
t	［7］跌蝶谍的{目～}滴嫡笛狄□{性交，含有贬义}
tʰ	［7］铁贴踢剔［8］帖叠碟牒
n	［7］聂镊蹑擘捏匿逆
l	［7］猎粒列烈裂分～略掠历［8］立力裂{～子：龟裂}
ts	［7］接捷集辑{编～}节裁疾嚼即鯽积迹脊籍藉{狼～}寂缉{通～令}
tsʰ	［7］砌妾缉{～鞋口子}切{～开}七漆雀{麻～}鹊{喜～}戚碛［8］集截
s	［7］塞{～子}袭薛泄{～漏}楔{～子}悉膝熄昔惜夕锡析［8］习席
tɕ	［7］急及极级杰揭结吉洁脚戟击激警给{供～}家
tɕʰ	［7］却劫怯泣乞讫祈［8］□{玩跷跷板}
ɕ	［7］吸歇蝎息□{～哩两搭：打上两巴掌}［8］学{～习}□{树～庄稼：指干扰生长}
Ø	［7］揖噎一逸虐疟约岳乐{音～}抑益亦译贻腌［8］叶页业药钥
#uəʔ	
t	［7］掇{拾～；掂～}夺铎独读牍笃督毒□{～起来，立起来}□{～子，屁股}涂{惑～：胡涂}厾{～点}
tʰ	［7］脱突秃［7］犊毒独{～户蒜，未分瓣的蒜}
n	［7］□{～～地，不精干的样子}□{～里去：捅进去}
l	［7］捋律率{利～}鹿录禄绿陆烙{～铁}辘轳雒{娃}
ts	［7］撮拙术{白～}诼啄涿浊族竹筑逐祝烛触蜀做属{～文}嘱
tsʰ	［7］出□{～老刃子哩：卷刃了}□{烧火不要～：拉风箱用力不要过猛}［8］卒猝□{鬼～上哩：鬼迷了心窍}
s	［7］说术{算～}述叔淑束［8］勺熟赎属{金～}
z	［7］蠕{圪～一下，少动一动}［8］辱褥入
k	［7］聒骨郭国虢谷锢{～露锅：补烂锅}个核{杏～子}
kʰ	［7］括阔廓扩哭酷窟
x	［7］豁忽霍藿或感壑{沟～}［8］活
Ø	［7］屋□{～的，闷热的}□{～起来：插起来}［8］勿物五伍午往{～前走}□{～家：他或他们}
#yəʔ	
tɕ	［7］绝厥决诀橘足局□{～的：憋闷的}撅{～一把：拉一把}
tɕʰ	［7］屈掘倔缺菊掬曲黢{～黑：非常黑}［7］橛{～字}嚼
ɕ	［7］雪戌血恤速肃宿畜{牲～，～牧}蓄削［8］俗续
Ø	［7］悦阅越～南曰粤域郁育狱欲浴裕［8］月越{～发好：更好}
#ɑ˞	
p	［1］把r{铁～}
s	［1］衫r{小布～}
f	［1］法r{办～}
#iɑ˞	
p	［5］百r{过～}
n	［2］牙r{奶～}
#uɑ˞	
x	［5］画r{～～}
s	［2］刷r{铁～}
Ø	［2］弯r{拐～}
#yɑ˞	
tɕ	［2］角r{糖～}
Ø	［2］噦r{～得吐出来}
#ə˞	
t	［2］豆r{红～}
k	［2］鸽r{木～}［5］盖r{锅～}
p	［5］盆r{铁～}
tʂʰ	［5］秤r{～：名词}
#iə˞	
pʰ	［5］皮r{树～}
n	［5］牛r{放～}
tɕʰ	［5］钱r
ɕ	［5］孩r
Ø	［2］叶r{树～}
p	［5］饼r{烧～}
ts	［2］枝r{树～}
#uə˞	
tʰ	［2］脱r{碗～}
tsʰ	［2］窗r{天～}村r葱r
l	［2］泪r
p	［3］榜r{出～}
t	［2］对r{一～}
k	［2］核r{杏～}
#yə˞	
tɕ	［5］圈r{猪～}
tɕʰ	［2］裙r曲r{小～}
#or	
m	［5］帽r
tʰ	［5］桃r
ŋ	［3］袄r
ts	［3］枣r［5］罩r{口～}
#iə˞	
p	［2］表r
#ɔ˞	
tʰ	［2］驼r
#iɔ˞	
s	［2］像r
#u˞	
z	［3］女r
k	［5］盖r{锅～}
#iu˞	
tɕ	［2］锯r
