来源：	李小平 1991《临县方言志》；灰原哀 木瓜 整理录入
#ʮ	
ts	［1］猪诸阻珠蛛株朱珠-［3］煮柱{～拐棍儿}主帚［5］坐座著箸筷子助柱驻注住蛀铸
tsʰ	［1］蛆初［2］除储锄厨雏［3］楚础暑处{相～、～所}杵{用脑～：用头顶}［5］挫{～一～：擦一擦}
s	［1］梳疏蔬书舒抒倏枢输姝殊［2］梭{织布～子}锁琐{～碎}鼠黍署{行～}薯{红～}数秫粟［5］庶恕竖数{～学}戍树
z	［2］如儒［3］汝乳［5］擩={～进去：伸进去}蠕擩{～草：人工铡草时把草塞进刀里}
#ər	
Ø	［2］儿而［3］尔耳饵扔-［5］二贰
#ʮə	
ts	［1］专-砖-庄装桩［3］转-{～眼}［5］钻{～子、～孔}篆-传-{～记}壮状转-{～动}
tsʰ	［1］川-穿-疮窗［2］传-{～达}椽-船-床［3］窜-喘-闯撞［5］错{～误}串-篡-创
s	［1］酸-霜孀双［2］所爽［5］算-蒜-双{～生，双胞胎}
z	［3］软-阮-
#ʅə	
tʂ	［1］沾-粘-瞻-［3］展-者-［5］战-颤-占-缠-{～脚，(旧)裹～}
tʂʰ	［1］车=［2］缠-蝉-禅-［3］扯=
ʂ	［1］扇-奢=膻-［2］禅?{～着：休息着没事干}［3］陕-闪-［5］善-膳-扇-单-{姓～}禅-{～让}社=射-麝-舍=
ɻ	［2］然-燃-［3］碾-染-{印～厂}冉-［5］染-{～袄儿}
#a	
p	［1］爬-巴疤笆［2］把{～握}□{拉屎}［5］霸把{～子}坝耙罢
pʰ	［1］琶［2］爬［5］怕
m	［1］妈么［2］麻蟆{圪～：青蛙}［3］马码{～子}［5］骂
t	［3］打［5］他她它
n	［2］拿［3］那=哪{～里}［5］哪{叹词，表示否定}
l	［2］拉{～车}啦［5］拉{～闲，聊天儿}
ts	［3］闸昨［5］诈蚱乍榨栅炸{～弹}喳
tsʰ	［1］叉权钗差{～别}□{病愈}［2］茶搽查茬［3］岔{圪～路}［5］岔{～路}错=差{～下哩}
s	［1］萨沙纱［2］洒厦撒［5］沙{挑～：挑捡}
tʂ	［2］遮［3］□{～在，用物小心}［5］蔗炸{锅～哩}
tʂʰ	［1］车-［3］扯-
ʂ	［1］奢赊傻生{～月}［2］蛇舍-{居～}［3］舍-{～去}［5］社-赦舍-{宿～}
ɻ	［3］惹
k	［5］尬{尴～}
kʰ	［3］卡{～车；关～}
x	［2］还［5］赫下-夏-{～收}哈
Ø	［1］阿啊{叹词，表示疑问}［2］啊{叹词，表示疑问}［3］啊{叹词，表示安慰}［5］啊{叹词，表示惊讶}
#ia	
p	［1］绷-{～补丁}［5］进-{～火星}绷-{裂开}蹦-{跳}
pʰ	［2］□{～东西，把东西放到上面}棚{厦～}［3］□{～叶子，折叶子}［5］啪{象声词}
m	［1］蒙-{反应迟钝}［3］□{～堰，水满往外溢}猛-{～子果里，突然间}［5］□{～～，唢呐口哨或小孩脱枝皮儿自制的口哨}孟-{地名用字}
t	［2］爹-
n	［1］□{你们，你些的合音}牙［2］芽衙［3］哑仰{圪～，半躺着睡下}［5］亚压砑{～平}
l	［1］□{漫无边际地闲聊}［2］□{用刀切开一条缝}［3］冷-唡{算～}［5］□{～到后边，落到后边}
ts	［3］姐-［5］借-籍-{～故}褯{～子，尿布}
s	［2］邪-斜［3］些-写-［5］卸-
tɕ	［1］家=加痂嘉佳枷［3］假{真～}贾{姓}［5］假{放～}驾架稼嫁价
tɕʰ	［1］□{～起来，抱起来}［2］茄卡{(旧)～车，～住理}［3］卡{～死}
ɕ	［1］虾［2］霞瑕遐□{～步：走路的样子}□{～面：把面上了碱之后放一会儿，使酸碱中和}［3］□{～开腿：分开腿(有下流意味)}［5］下={底～，～降}杏夏={姓}夏={～收}
Ø	［2］鸦丫{～头}蚜爷-涯崖={山～}［3］也-{～是}野-绥脱雅［5］夜-
#ua	
ts	［1］抓［3］爪{～子}
tsʰ	［3］□{～起来：揭起来}
s	［1］{捋：～榆钱钱}［3］耍［5」唰{象声词}
z	［1］□{～人：诬蔑人}□{～粪：耕种时施引子肥}［5］□{～手：甩手}
k	［1］瓜刮{～泥}［3］寡剐［5］挂卦逛
kʰ	［1］夸［3］垮胯［5］跨
x	［1］花华［2］铧划{～船；～派：数说别人的不好}□{～利：老年人干净利索的样子}［3］画{笔～}［5］化桦画{～画}话划{计～}
