#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平33 2阳平32 3阴上21ʔ 5阴去212 6阳去45 7阴入55ʔ 8阳入43ʔ
碑	pi1	
揹	pi1	背在背上
蜱	pi1	臭虫
肥	pʰi2	
簰	pʰi2	竹筏
比	pəeʔ3	
婢	pʰi1	婢女
拜	pa5	
痹	pi5	
痱	pi5	
滗	pi5	禽类笼子的盖子，把水滗出来
吠	pi6	
八	piəʔ7	
披	pʰi1	
皮	pʰi2	
皮	pʰi2	一~针
疕	pʰəeʔ3	痂，蜗牛壳
屁	pʰi5	
稗	pi6	
鼻	pʰi6	
眯	mi1	闭嘴
眉	mi2	
埋	mi2	
米	məeʔ3	
买	məeʔ3	
卖	mi6	
沕	mi6	潜水
物	mi5	用于“什么”
解	faʔ8	不解合音：不会
知	ti1	
滴	ti6	一点点
提	tʰi2	训，唔~：不必
蹄	tʰi2	
底	təeʔ3	
抵	təeʔ3	
弟	tʰi1	
渧	ti5	滴落
戴	teə5	~帽子
地	ti6	土地，墓地
跌	təeʔ7	跌倒，滴落
碟	tʰeɨʔ8	
啼	tʰi2	
替	tʰi5	
剃	tʰi5	
忒	tʰiəʔ7	太，过于
贴	tʰiəʔ7	
铁	tʰiəʔ7	
帖	tʰiə7	请帖，一~药
茧	ni1	训，老茧
泥	ni2	
奶	nəeʔ3	妈妈
蒂	pi5	
奈	nəe5	谁，哪个
捏	niəʔ8	
篱	li2	篱笆，笊篱
狸	li2	
犁	li2	
梨	li2	
来	li2	
痢	li2	训，癞~：皮藓
李	ləeʔ3	李子，姓氏
鲤	ləeʔ3	鲤鱼，鲢鲤：穿山甲
里	ləeʔ3	单位，衬里
礼	ləeʔ3	
利	li6	
荔	li6	
□	liəʔ7	胳肢窝
猎	liəʔ8	跟随，放牧
栽	tsi1	
蚔	tʃʰɨə2	鸡虱
齐	tsʰi2	牙齿齐
徐	tsʰi2	
子	tsəeʔ3	名词后缀，小称义
绺	tsəeʔ3	训，一绺毛发，一捆稻草
槛	tsʰi1	训，门槛
醉	tsi5	
节	tsiəʔ7	一节
接	tsiəʔ7	
绝	tsʰiəʔ8	
筛	tsʰi1	
追	tsʰi1	训
刷	tsʰi5	训，刷，刮
脆	tsʰi5	
菜	tsʰeə5	
切	tsʰiəʔ7	
插	tsʰiəʔ7	
试	tʃʰɨə5	
湿	tʃʰiəʔ7	
西	sɨə1	
狮	sɨə1	
箠	si1	竹鞭
徐	si2	
洗	səeʔ3	
髓	səeʔ3	
细	si5	
婿	si5	
岁	si5	
雪	siəʔ7	
楔	siəʔ7	垫桌角
薛	siəʔ7	
折	tʃiəʔ7	
是	çiʔ3	用于“什么”
食	ʃiəʔ8	
医	i1	
依	i1	
衣	i1	
鞋	çi2	
寅	i2	
姨	i2	
矮	əeʔ3	
以	iəeʔ3	
易	əeʔ7	
围	vi2	
畏	vi5	
未	vi6	
味	vi6	
挖	viəʔ7	
越	viəʔ8	
鸡	ci1	
街	ci1	
枝	tʃɨə1	文读
枝	ci1	
箕	ci1	
机	ci1	
旗	cʰi2	
棋	cʰi2	
己	ciəeʔ3	天干
几	kiəeʔ3	
记	ci5	记得，指环
寄	ci5	
痣	tʃɨə5	
疥	ci5	
□	ciaʔ7	用于胳肢窝
喙	ciəʔ7	训，鸟喙
挟	ciəʔ7	
颊	ciəʔ7	
结	ciəʔ7	修路
夹	cʰiəʔ8	
龟	kui1	
饥	ci1	
扣	kuəeʔ8	训，反手敲脑门
鬼	kuəeʔ3	
跪	kui6	
癸	kui5	
桂	kui5	
季	kui5	
贵	kui5	
嘴	kui5	训
柜	kui6	
蕨	kuiəʔ7	
溪	cʰi1	
骑	cʰi2	
奇	cʰi2	
蜞	cʰi2	蚜虫
齿	cʰiəeʔ3	
□	ciəeʔ3	用于如何
起	cʰiəeʔ3	
徛	cʰi1	
气	cʰi5	
器	cʰi5	
眨	cʰiəʔ7	训，闭眼，眨眼
缺	cʰiəʔ7	
吹	kʰui1	
炊	kʰui1	
疖	kʰui2	训，脓疮
热	ɲiəʔ8	
蟹	çiəeʔ3	
喜	çiəeʔ3	
戏	çi5	
係	çi6	
狭	çiəʔ8	
税	fi5	租借
肺	fi5	
睡	fi6	
血	fiəʔ7	
面	miə5	一~旗
篾	miəʔ8	
宜	i2	便宜
染	ɲiəʔ3	
耳	ɲiəeʔ3	
蚁	ɲiəeʔ3	
二	ɲi6	
入	ɲiəeʔ8	
日	ɲiəeʔ8	
余	vøə2	
如	vøə2	
乳	vøəʔ3	腐乳
俞	vøə6	
猪	cøə1	
珠	cøə1	
朱	cøə1	
车	cøə1	
橱	cʰøə2	
主	cøəʔ3	
煮	cøəʔ3	
举	cøəʔ3	
柱	cʰøə1	
苎	cʰøə1	
句	cøə5	
锯	cøə5	
箸	cøə6	
住	cøə6	
锤	kʰui2	
鼠	cʰøəʔ3	
鱼	ɲøə2	
女	ɲøəʔ3	
书	føə1	
梳	sɨə1	
输	føə1	
疏	sɨə1	
墟	føə1	
薯	føə2	
水	føəʔ3	
许	føəʔ3	
树	føə6	
