#符号说明：-白=文/书*俗?待考	
#调值	［1］42［2］13［3］53［5］44
#ɿ	
ʦ [1]姿咨脂兹滋滓之芝辎 [3]紫纸姊旨指子梓止趾址只{~有}[5]自至字=	
ʦʰ [1]雌眵□{~怂：笨蛋}蹭-{~一~}[2]瓷{~器}疵{吹毛求~}池迟-慈磁辞词祠 [3]此齿 [5]刺赐翅次侍字-	
s [1]斯厮撕师狮尸司丝思释 [2]时 [3]死私矢屎使史驶始 [5]似祀巳{辰~}四肆示视嗜试寺饲嗣市	
z [2]扔-	
#ʅ	
tʂ [1]知蜘{~蛛}支枝肢栀{~子花}执汁质织职 [2]直值植殖 [5]志痣制智致窒痔置治稚{幼~}	
tʂʰ [1]斥尺吃赤嗤叱哧{象声词}饬{捯~}[2]驰迟=持侄秩 [3]耻	
ʂ [1]施湿诗失室适虱饰式 [2]十匙拾{~起来}实食蚀识石 [5]世势誓逝是氏士仕柿事	
ʐ [1]日	
#ɚ	
Ǿ [2]儿 [3]而尔耳饵 [5]二贰{~心}	
#i	
p [1]蓖{~麻}碑卑笔毕必弼逼碧璧壁匕 [3]陛{~下}彼鄙比 [5]蔽弊敝币毙闭箅{~子}臂婢	
pʰ [1]批披纰匹{一~马}僻劈 [2]皮疲脾琵{~琶}枇{~杷}鼻 1{~子}啤痞 [3]秕{~谷}[5]避被-{~子}庇譬痹{麻~}屁	
m [1]迷密蜜 [2]糜弥靡民眉- [3]眯{眼睛进了尘土}米悯敏 [5]谜寐-泌觅	
t [1]低滴=的{目~}[2]笛狄敌= [3]底抵 [5]递帝弟=第=地=	
tʰ [1]堤梯踢剔 [2]题提蹄啼惕 [3]体 [5]替涕剃屉弟-地-第-	
l [1]立笠粒栗力历□{~pa0：新手}[2]黎犁离{~别}篱{~笆}梨娌厘来-狸{野猫}[3]礼李里理鲤 [5]例励丽隶荔离{~开}利痢吏 [0]哩璃{玻~}	
ʨ [1]祭际鸡稽饥{~饿}肌基几 1{~乎}机讥饥{~荒}缉{~鞋口}急级给{供~}吉即鲫积脊戟迹击激绩今-{~个：今天}棘{沙~}[2]辑{编~}及疾极寂籍 1藉{狼~}[3]挤技妓几 2 {茶~}己纪{~律}几 3{~个}[5]荠剂计继系 1{~鞋带}寄冀记既季祭际济纪	
ʨʰ [1]妻欺泣七漆膝乞戚凄沏 [2]齐脐{~带}奇骑岐祁鳍其棋期旗起杞祈箕{簸~}集{~合}[3]启企岂 [5]砌契{~约}器弃忌气汽去-	
ȵ [1]匿逆{顺~}溺{~死}[2]泥尼疑倪你 1{~ti0：你们}[3]倚椅你 2拟 [5]腻	
ɕ [1]西栖犀牺嘻嬉熙希稀吸飞-{~虫：麻雀}悉息熄媳惜昔席夕析锡隙蟋熙□{~活：可怜}[2]奚兮习袭沂肥-{胖}[3]徙玺洗喜□{~鼻涕}[5]细婿-{女~}系 2 {联~}戏费-{~油}	
Ǿ [1]伊医衣依邑揖{作~}乙一逸溢忆亿抑翼益亦译役疫易 1 {交~}[2]宜仪移夷姨饴遗怡贻□{~ma0：现在}[3]蚁矣已以胰尾- [5]艺缢谊义议易 2{难~}意异毅诣{造~}懿	
#u	
p [1]不北- [3]补堡{地名用词}[5]布怖部簿埠{商~}	
