來源：	Hynuza 整理增補自：趙駿程 1963《汾陽話与普通話》；李衛鋒 2018《汾陽方言研究》																				
說明：	代表城關音系																				
#符號說明：-白=文*俗?待考r兒化																					
#調值	［1］324［2］22［3］312［5］55［5b］51［7］2［8］312																				
#ɿ																					
p	［1］屄{女陰；饞～嘴：詈語}［3］比餅-{～子：指傳統的幹餅、小烙餅}秕{～穀兒，不飽滿的穀粒}彼鄙潷{～水，把水濾去}滗{～水，把水濾去}瘪{～球，沒氣的球}［5］備被-{～子}婢避璧鐾臂敝蔽弊毖斃篦{～梳，細齒梳；～頭髮：用細齒梳梳頭}蓖陛閉幣病-{遊百～}箅																				
pʰ	［1］批坯披砒帔［2］皮疲琵痹平-{太～，～陸：村名}坪-{鄧家～：村名}枇［3］脾痞庇□{～開：把細長木棍劈開成爲更細的長條}否［5］屁譬																				
m	［2］明-{第～：明天；～啦：天亮了；～～亮亮，～蛋蛋地}迷謎糜靡彌弥眉楣冥-{～婚}［3］米［5］命-{一條～，沒～，要～，拼～}寐{圪～，打～麻：打盹兒。另懷疑是「瞑」，集韻有梗四去聲讀法。}□{递。～过来}																				
t	［1］低羝{羖～：未騸公綿羊}釘-{名詞}［3］頂-{～事；～針兒；～住}底抵柢［5］地弟第遞帝蒂釘-{動詞}靪{補～}逮-{～捕}定-{～醒}																				
tʰ	［1］梯聽-听-［2］提堤題啼蹄停-{～～兒地：祈使語，令安靜、不動}［3］體［5］剃涕替嚏屜屉																				
l	［1］□{～～拉拉：做事不緊湊}［2］凌-{凍～}釐厘狸離{～石：地名}离{～石：地名}籬璃梨犁黎劙{～開：拿刀尖劃開}靈{～堂}黧{貓狗雞等雜亂不一的毛色：～麻麻}鈴-［3］裏{～外}禮里{二～地}理娌鯉李綹{小～：小偷}嶺-{拐～底：村名}岭-{拐～底：村名}［5］利俐痢莉麗丽隸例厲勵吏離{～開，～𣝗兒桃兒，～得遠}离離{～開，～𣝗兒桃兒，～得遠}蒞																				
ts	［1］資姿諮咨茲兹滋輜吱之芝支枝肢脂幾{～乎}機飢{～啦，不～}饑{～荒：債務}饥{餓：～啦，不～；～荒：債務}肌基稽雞精-{～明}菁-{玉蔓～：苤藍}譏几{茶～～；條～}［3］子{～弟}籽姊紫梓幾{～塊}己擠止只{不～}址旨指紙濟{～南}井-{～兒：水井}［5］鏡-淨-字自至志誌痣記紀忌計季技寄既冀繼祭際劑濟{救～；養～巷：地名}嫉寂地{結構助詞。這～，那～，好好～，兀～，美歪～}甑霽																				
tsʰ	［1］跐{～踩，用力踩踏}欺妻悽青-{黑～}清-{～湯寡水}棲栖淒凄［2］臍期慈磁瓷詞祠辭雌齊其旗棋麒箕奇騎歧葵{蜀～：花名}鰭耆祁［3］此起豈杞祈啓启齒侈豉［5］次伺刺賜剘{～柴：用鍘刀切柴禾}氣气汽棄弃器翅契																				
s	［1］斯撕嘶司思私絲施屍尸師獅螄詩希稀西犧粞恓{～惶：可憐}嘻師星-{～宿}腥-{惡～：嗜肉；豬～氣：豬肉的腥味}燍{～氣：餿味}澌{～氣：餿味}興-{唐～莊}兮奚熙犀粞嬉［2］時匙畦{一～子菜：一塊菜地}餳-{指麥芽糖及其製品。～瓜兒，～油，～鐗}肥-{腳～：腳掌寬}［3］醒-{定～}死史駛使始矢屎洗喜璽擤{～鼻涕}𪖥{～鼻涕}［5］寺恃侍嗣四似俟肆巳祀士仕市柿氏視事是試嗜示系係繫細戲婿{女～子}飼																				
nᶻ	［1］抳{用手或腳碾碎}［2］宜誼尼泥倪寧-{昌～宮：地名}霓［3］你=［5］膩□{打～：半坡停車給車輪下方填阻擋下滾的物體}																				
Ø	［1］衣依醫揖應-{～允}伊［2］移宜誼沂儀遺夷姨胰疑貽飴蠅-贏-營-{長巷～：地名}頤{圪～：下巴至喉結部位}［3］已以倚椅蟻尾{～巴}委{～咐}矣溢?{锅～啦}［5］義議易毅肄意異异藝億憶翼影-{～乎乎：影子；燈～兒}映-{～鏡兒：照鏡子}翳																				
#ʅ																					
tʂ	［1］知蜘蒸-{～饃饃}［3］整-{～好：整理好；～起牌：玩棋時把牌疊好}［5］致{導～}緻{精～}滯製制稚雉置治智痔蛭擲正-{翻～，～手，栓～}																				
tʂʰ	［1］癡鴟［2］遲池馳弛持［3］恥																				
ʂ	［1］升-{一～米}聲-{～音}声-{～音}［2］□{活～：形容人緣好或子孫滿堂}盛-{～飯}城-{～子裏，南偏～，瀦～。村名}成-{1.～管。2.～家莊：村名}［5］世逝誓勢剩-{～下}																				
#ʮ																					
nᶻ	［3］女={～的，～生，～人}語{倒言～，表示過後翻話。「當時咧不說，過啦麼才夾倒言～咧？」}																				
l	［2］驢閭［3］呂吕鋁侶侣旅縷褸屢壘-{～牆}垒-{～墙}履［5］慮虑濾淚-泪-累-{～事：礙事}																				
ts	［1］居拘駒車{象棋子}［3］矩舉嘴-［5］句距據据劇鋸具俱懼醉-聚苣{甜～芽兒，苦～芽兒：野菜名}巨拒																				
tsʰ	［1］驅趨蛆樗{～樹：椿樹}䙡{活～～：活結}［2］區瞿渠［3］取={爭～}娶={婚喪嫁～}［5］去趣覷																				
s	［1］虛虚墟噓詡荽{芫～}兄-{～弟，弟～}稀{僅見於「～粥」一詞；變讀}［2］須徐需遂-{半身不～}髓-［3］許［5］序敘緒絮穗繐隨-{陪～}歲-諱-{忌～}煦舍{居～，變讀}																				
Ø	［2］於于餘余魚漁迂盂愚虞榆逾愉芫［3］語雨與与宇禹羽葦-{～子}營-{長巷～：地名，又讀}［5］御禦譽裕預豫遇寓愈喻芋娛鬱玉籲吁蔚{姓氏}																				
#i																					
p	［1］邊-編-{～派：造謠詛咒別人}鞭-［3］別*{把槍～在腰裏}别*{把枪～在腰里}［5］變-便-{方～}遍-辮																				
pʰ	［1］偏-［2］便-{～宜}［3］片-{～子：X光底片，或指電影}諞{～能}苤{～藍}［5］片-{一～}騙-{夾哄帶～}																				
m	［2］□{～～斜斜：悄沒聲兒的壞}棉-綿-{～～土}［5］面-麪-																				
t	［1］掂-踮［3］點-典-{～禮：舉辦婚禮}敁{～敪：指指點點}［5］店-墊-簟{～蓆：草編的蓆}奠-{(燒香時的)～水，～酒}殿-{金鑾～}靛-□{li(上聲)～，未熟的青麥子碾出來的食物，外省稱碾轉}																				
tʰ	［1］天-添-填-{～空}［2］田-{姓或地名用}填-{填塞}甜-［3］舔腆{～出臉的}																				
l	［2］連-蓮-簾-鐮-褳-帘-［3］臉-□{～ti(去聲)，未熟的青麥子碾出來的食物，外省稱碾轉}［5］煉-炼-鏈-殮-戀?{捩～：孩子不聽話，不停提要求}恋?{捩～：孩子不聽話，不停提要求}練?{～腰：向背後下腰}藺{馬～：捆扎粽子用的草繩}																				
tɕ	［1］遮-{～羞，遮住，遮苫}尖-肩-堅-煎-沾-氈-{趕～兒}毡{赶～儿}［3］姐展-搌-{～布：洗碗布}剪-［5］借□{指屬相蛇，龍～馬羊}佔-{霸～}箭-見-賤-濺-劍-腱-{牛～子}件-鍵-毽-纏-{～腳}																				
tɕʰ	［1］籤-{竹～～}籖-{竹～～}签-{竹～～}千-牽-鍁-{鐵～}杴-{鐵～}車-先-遷-韆［2］茄鉗{手～子}前-錢-纏-［3］且扯-{拉～；～羹：拉麪}淺-槏{門～子：門檻}檻-{門～子；疑為「槏」}繾?{等、待：～不得他來我倒吃完啦}［5］欠-芡-縴-{拉～}歉-槧{～板：門上的匾額}																				
ɕ	［1］些賒-扇-{動詞}搧羶-先-{～生：老師}仙-鮮-{～靈靈：很新鮮}涎-［2］邪斜蛇-河-{～灘；峪道～}何-{～家莊：村名}寒-{傷～：一種病；～食：寒食節}［3］寫荷{拿：～過來，～將來，～上，～不動}捨-{～不得}顯-癬-蘚-閃-{打～：閃電}［5］灺{火～啦：火熄滅}謝泄瀉卸社-{公～；～會}舍-{房～；上林～}麝-{～香}現-{～喫～做}縣-線-獻-{供～：供品}献-{供～：供品}扇-騸-苫-{覆蓋}鼾-{打～睡：打呼嚕}旱-{～地；天～}漢-{老～：丈夫}善-赦-射-{注～}汗-{腳～臭；～衫}䗣{油～：蚜蟲}																				
ȵ	［1］你{用於屬格如：～爹，～媽，～家，等。實際為「你些」的合音}［2］年-拈-黏-粘-苶{～呆}言-{倒～語，表示過後翻話。「當時咧不說，過啦麼才夾倒～語咧？」}［3］碾-輦-攆-捻{繩兒：用手捻線}我-{東鄉及城區部分人的口音}［5］唸-{～書}硯-釅捻{～子：煙花爆竹引線}																				
k	［1］哥-{妻～}歌-{口～～：順口溜}乾-{乾燥意}-杆-竿-肝-{～花}泔-疳［3］趕-擀［5］幹-{～不～}																				
kʰ	［1］看-{～財奴}勘{～借}［3］顑{受～：生活條件不好}砍-□{～住：跌倒或碰傷}可-{緩和，程度變輕：可疼，～些儿了}［5］看-																				
ŋ	［1］屙安-{～燈，～寬帶}鞍-{馬～子}菴-{～子：小草屋}庵-{福慧～：街道名}垵{～瓜種豆}埯{～瓜種豆}［2］嚴-{～偶：嚴絲合縫}［3］唵-{～喫麨麪}我掩-揞{～住，～上些兒磺胺粉}［5］餓-案-{～板兒}岸-																				
Ø	［1］煙-咽-{～喉}蔫-胭-菸{喫～}烟-{吃～，冒～}［2］沿-{河～兒}爺鹽-閻-{～王}檐-蜒-{蟲類爬行貌}緣-{對～法：有緣分}［3］喏-{唱～}也野黶{黑～～：黑痣}靨{笑～～：酒窩}惹-{～不起}染-{～病；～匠鋪}掩?{～壁兒：影壁；～欄墻兒}［5］夜液腋嚥-沿-{邊邊～～}堰{（抵擋洪水的）護村～}-焰-驗-墕-{谷雨～：村名}																				
#u																					
p	［1］波玻菠播搬-般-［3］簸{顛～}［5］簸{～箕兒}婆{～～：外婆}半-伴-{陪～}拌-																				
pʰ	［1］潘-{姓氏}坡頗［2］婆{丈夫的母親}盤-［3］叵拚{～出的了}［5］破判-{～卷子}																				
m	［2］磨{～刀兒}魔摩瞞-{～不住}模{～特兒}蔓-{～菁}［3］滿-抹{～油}［5］□-{～坡坡：不陡的坡}磨{石～}□{夾～：蠻幹莽撞}鏝{掂銅錢賭博時說的，巴子，～兒}																				
t	［1］𠛫{～刮子：扇耳光}端-{～盤子；～五}□{跌落而摔。～爛花盆}［3］朵躲短-{長～}［5］剁垛跺斷-段-緞-惰椴{～木扁擔}																				
tʰ	［1］猯{～子：獾子，狗獾}貒{～子：獾子，狗獾}［2］團-团-摶［3］妥橢［5］唾																				
n	［3］暖-［5］糯懦																				
l	［1］囉{囉嗦}																				
tʂ	［1］磚-鑽-［3］轉-左佐昨［5］轉-坐座鑽-左{老派。～手}																				
tʂʰ	［1］爨{～子：熱開水的長筒壺；～茶倒水}汆*{本字爲爨。～子：熱開水的長筒壺}穿-攛-［2］欑{～火}椽-船-篅{～盒兒：以前用於裝飯菜或送禮的木盒}［3］喘-［5］篡-串-竄-																				
ʂ	［1］酸-痠-唆梭挲{卜～：撫摸}蓑［3］所鎖瑣索{～性}［5］算-蒜-																				
ɻ	［3］軟-																				
k	［1］鍋棺-官-{～道；～名}［3］管-果裹［5］觀-{長春～}灌-罐-過冠-																				
kʰ	［1］科蝌棵顆{一～}寬-［3］款-{～～兒地：小心翼翼地}顆{～～：顆粒}敤{擊打：～喽狗的两板子。把狗的～喽一扁担。}［5］騍{～馬}課嗑{～瓜子}闊?{～事}																				
x	［2］歡-和{～平；～～：共同；～麪}禾［3］火夥伙□{一～：一下子}［5］換-喚-貨禍和{連詞，介詞}患-																				
Ø	［1］剜-豌-彎-窩倭踒萵渦捼蝸［2］丸-完-［3］碗-腕-午{晌～}［5］臥																				
#y																					
l	［2］圙{圐～：圈的分音詞}［5］𥽸{有粘稠度，稀飯熬得～}戀{～人：粘人}恋{～人：粘人}																				
tɕ	［1］□{從某物上面往下拽：～斷，～一疙瘩兒衛生紙}［3］捲-［5］卷-{～子：試卷}絹-圈-{豬～}眷-{親戚六～}																				
tɕʰ	［1］圈-{圓～～}［2］痊-拳-{打～}顴-蜷-鬈{～子：頭髮漩渦}全-{～環：完整}泉-{三～鎮，鎮名}［3］圈-{～住：關在一定的空間裏}［5］勸-																				
ɕ	［1］靴揎塇暄-［5］旋-漩-鏇楦碹{窯洞上方的曲線形部分。法～兒，卷～兒：蓋窯洞的工序。}桊{牛鼻～：拴牛鼻子的器物}																				
Ø	［1］冤-［2］轅-{駕～，～條}元-原-圓-{團～}園-{～子}垣-{～頭，村名}［3］遠-［5］院-{～裏}																				
#a																					
p	［1］巴芭疤粑{～嘍鍋：粥飯煮得糊了鍋}笆扒*{～牆牆：爬牆}㞎吧［3］把{動詞}靶［5］耙{～地}把{名詞，如刀～子，車～}罷壩霸鈀爸																				
pʰ	［1］葩［2］耙{～子}爬琶杷［3］怕帕																				
m	［2］媽{老派面稱}麻蟆［3］馬碼螞瑪［5］罵																				
t	［1］爹{老派，稱呼父親}［2］打［3］大=																				
tʰ	［1］他她它																				
n	［2］南{～無}𪐀{～糕}拿［3］哪																				
l	［1］拉垃啦［2］□{～嘍手：劃破手}□{毛衣結得～：毛衣織得稀拉不緊湊}［3］□{～糊：馬虎}［5］落{～下}																				
ts	［1］喳渣蹅{站。～到牀牀上}扎{馬～～}臢{腌～}將{取～來：拿來}楂［2］咱{新派}［3］槎{剁砍：～肉；～斷}［5］乍詐炸{～藥}榨柵{～～：柵欄}奓*{～死毛頭：頭髮豎起}齰{老鼠啃咬。被套子里的棉花叫咕儿～啦}																				
tsʰ	［1］差={相～}叉杈［2］查碴茬茶搽咱{老派}扠?{～住門：用門閂將門封住}□{～家：安排靈柩安葬等事宜的人}［3］叉鑔拃{大拇指與中指撐開的最大長度}衩［5］差={～不多}岔詫□{～聲：聲音嘶啞}																				
s	［1］痧砂沙紗痧鯊莎仨［3］撒灑洒［5］廈厦沙{挑揀篩選。把好的～出來，賴的不要}□{單～：指不多，孩子少，一單半片，太單～，遇上事事情没帮手}																				
tʂ	［1］爭-{～氣}睜-{～開眼}																				
