#声调	1阴平22 2阳平21 3阴上13 5阴去55 6阳去33 7阴入53 8阳入3
#注释	*训=文-白
#资料来源	《福建四保话的古音痕迹及同音字汇》，《闽西四堡马屋客家话音韵研究》，《福建省连城县四堡客家话研究》，《连城四堡方言的几个特点》
#a	
#ɿ	
ts	[1]租资姿咨辎兹滋[3]祖组阻子紫梓
tsʰ	[1]粗雌蛆疽初[2]锄瓷慈磁辞词祠[3]楚此恥[5]次赐醋刺[6]助自字族
s	[1]私司师狮丝思苏酥梳疏蔬斯厮撕廝[3]所使史驶[5]素嗣诉塑数肆[6]巳寺饲伺似祀士仕事=侍柿序
#ʅ	
tʃ	[1]支芝蜘脂之枝=肢膣{女阴}[3]旨指止趾址指{九﹣台阶：九级台阶（木台阶）}[5]制智至致置{~东西}志痣
tʃʰ	[1]蚩嗤痴雉[2]徐池驰迟持恃治{屠宰}[3]只*{~有：只有}[5]趣试-[6]治姪秩
ʃ	[1]虚墟{集市}嘘需输竖诗戍施尸舒书[2]时鲥匙{泥~}殊薯[3]鼠史使驶黍署暑许矢屎□{刚好}[5]试=庶恕势[6]嗜是视逝树誓豉示市氏
ʑ	[1]淤[2]如余尔儿儒禹而于[3]雨宇羽雨{弓把~：彩虹}[6]愉俞喻裕芋御誉预豫吁寓
#u	
p	[1]夫{~娘}晡{晚上}匍*{蹲}[3]补斧[5]布佈怖
pʰ	[1]敷[2]菩扶{~手}瓠{金~：南瓜}蒲符-芙{~蓉}浮{一泡}[3]脯辅捕谱普浦殕{霉}[5]铺{店~}讣[6]部簿步阜埠腐伏{孵}孵{本字为伏}
b	[2]模诬[3]母舞-{~龙}[5]暮慕墓募
f	[1]乎呼夫肤俘户-{~槛*：门槛}[2]呼胡湖狐壶[3]互户护虎浒府腑[5]戽=付赋富副[6]父符附傅妇服
v	[1]乌污[2]巫无[3]舞=[5]雾[6]务
t	[1]都[2]驴[3]堵赌肚吕旅鲤-{鲢~：穿山甲}[6]妒蠢虑滤
tʰ	[2]徒屠途塗图[3]土秃{~卵：孵化不了的蛋}[5]吐兔[6]度渡镀杜
l	[2]奴卢庐炉鸬卤黸{锈}[3]努鲁虏吐*[5]露[6]路鹭
k	[1]猪诸居车朱诛株珠拘佢-{第三人称}姑孤萁-{用于烧火的蕨类植物} 驹[3]古估牯股鼓举矩主住煮[5]注句剧故固雇顾著巨拒距据锯注蛀铸
kʰ	[1]柱区驱趋嬉-{玩}-丘-{一~田}[2]除厨橱{台~：抽屉}[3]苦臼-{石~}[5]库裤处去-驻[6]箸酷储具俱
g	[2]吴鱼渔愚虞[3]女语[6]误悟娱遇
#ia	
b	[1]摸-
f	[5]洒*
tʰ	[2]提
g	[1]惹
ts	[3]姐{~~：祖母}[5]借
tsʰ	[2]斜畲[3]且[6]谢
s	[1]些[2]邪[3]写[5]泻卸
kʰ	[6]帚*
0	[2]耶爷[3]野[6]夜
#ua	
p	[1]飞-[5]背{腰~}
pʰ	[2]赔[6]背{~东西}
b	[2]梅霉枚媒煤[3]尾[6]妹
f	[1]灰
t	[1]堆[5]对碓队兑剁
tʰ	[1]推梯[2]台{ ~橱：柜子}[3]腿[5]退褪蜕[6]代袋
l	[2]来雷[3]□{完成：谈论～下：谈了一下子话}□{表佩服的语气词}[5]耐[6]累-{困乏}
ts	[1]脧{男阴}灾{水~}
tsʰ	[2]裁*{剁}[5]菜
s	[3]耍=[5]赛
k	[1]瓜该胲{喉结}[3]改拐寡[5]盖怪挂卦概溉
kʰ	[1]夸垮跨开开{脱﹣衫：脱下衣服}
g	[1]呆[6]外碍
h	[2]鞋谐[3]海[6]亥骇蟹懈害
0	[1]哀煨[5]爱{要}
#iu	
t	[1]丢[2]刘流留榴硫琉[3]柳
l	[1]溜[5]流*{溪~：河}
ts	[3]酒[5]揫[6]纠
tsʰ	[1]秋[2]囚[6]就袖
s	[2]泅[5]秀绣锈
g	[3]扭纽=
tʃ	[1]周舟州洲[3]肘帚[5]昼咒究
tʃʰ	[1]抽[2]绸稠筹[3]丑臭[5]臭[6]宙纣
ʃ	[1]修羞休收[2]酬[3]手首守朽[5]兽[6]受授寿售
k	[1]纠鸠[3]九久玖韭灸[5]救咎究
kʰ	[1]丘=舅臼=[2]求球[6]旧
0	[1]忧优幽[2]由柚釉游邮尤鱿[3]有友[5]幼[6]柚釉又右佑
#au	
p	[1]包胞[3]饱[5]豹爆
pʰ	[1]抛=抱[2]刨袍咆[3]跑[5]炮泡疱
b	[2]谋牡矛卯茅[3]某亩[6]貌茂贸
f	[3]否
t	[1]兜[3]斗陡抖鸟-[5]斗钓-吊-
tʰ	[1]偷[2]头投条-[3]掉敨{~气：喘气}[5]透粜-[6]豆调-毒{~鱼}
g	[1]咬[2]牛聱{歪}[3]藕
l	[1]捞{连词：~你去：跟你去}[2]楼搂*{掏}[3]了-纽-[6]闹料-漏陋
ts	[1]邹[3]爪走[5]奏燥绉
tsʰ	[1]操抄钞馊[3]躁湊[5]槽*{搅动}
s	[1]肖稍梢潲叟搜[2]筲愁-焯*[3]巢*[5]瘦嗽
k	[1]交郊胶教勾钓沟阉[3]狡铰搅搞狗苟[5]教校较叫够构
kʰ	[1]敲抠[3]巧口[5]扣冠叩
h	[1]厚[2]侯喉猴[5]孝[6]后候
0	[1]欧殴[3]呕拗[5]讴怄坳
#io	
p	[1]彪标[3]表
pʰ	[1]飘漂[2]瓢嫖薸{浮萍}[5]票漂
b	[2]苗描[3]猫秒[5]谬猫*{~~官*：蜻蜓}[6]庙妙
g	[2]尧饶挠[6]尿
ts	[1]焦蕉椒[3]剿[5]醮
tsʰ	[1]锹[2]樵{柴}[5]噪[6]噍{咀嚼}
s	[1]肖消宵霄硝销[2]箫{桥*~ ：蜘蛛}[3]小[5]笑鞘
ʃ	[1]嚣[3]晓[6]戽-
k	[1]骄娇浇[3]缴[5]美*叫
kʰ	[2]茄乔侨桥桥*{~箫*：蜘蛛}[5]翘撬窍[6]轿
0	[1]妖夭邀腰[2]摇谣窑姚[3]舀[5]要[6]耀鹞
#ue	
k	[1]饥-{腹~：饿}[3]虮{蚜虫}[5]嘴-
kʰ	[1]吹-炊-[2]疖*{疮}痤*{疮}[6]倦*
#uə	
kʰ	[1]盔魁恢[3]傀[5]会=刽桧块[6]溃
g	[2]危桅[6]伪魏
#ui	
k	[1]规圭硅闺龟归{当~;﹣来}[3]鬼轨诡[5]桂季贵
kʰ	[1]亏窥[2]槌-锤逵葵[6]跪柜
#iau	
t	[1]刁貂雕=[5]钓=吊=
tʰ	[1]挑=[2]条=调=[5]跳=
l	[1]撩[2]燎獠潦僚聊疗辽[3]瞭了=[6]廖料=
#aŋ	
p	[1]班斑=颁般搬㧍{拔}㧍{~脓：化脓}[3]扳板=版粄{米制品}[5]扮半[6]谤
pʰ	[1]拌-{摔打}蕃番潘攀[2]盘庞蚌彭膨[3]伴-反-[5]盼襻拌=判叛胖泛-{空}[6]办=畔
b	[1]粘*{粘贴}[2]蛮馒莽蟒吂{还没有}[3]满瞒[6]慢幔慢蔓㿸{体垢}
f	[1]欢-翻[2]桓环烦繁凡帆梵[3]反[5]幻贩泛蘸*[6]范犯唤换稳*{平稳}嫁*{~乞：嫁给}
v	[1]弯湾[2]还横[3]宛婉皖碗腕晚[5]挽[6]万
t	[1]耽担单丹[3]胆[5]诞旦
tʰ	[1]贪淡-滩摊听-[2]覃潭谭谈痰檀壇燀{~火：烤}弹[3]毯坦[5]探叹炭淡=但[6]弹
l	[1]懒澜{口水}[2]南男蓝篮难婪兰栏晾[3]览揽榄缆[6]滥难烂僆{小母鸡}
ts	[1]争-簪踭{后跟}㬹{后跟}[3]斩[5]赞
tsʰ	[1]参餐按*{拿手用力按}[2]蚕惨惭残晟{刺眼}[3]杉产铲[5]璨[6]暂赚站栈溅饯攒
s	[1]三珊删山桑衫[3]伞糁{米粒}省{节省}[5]散撒疝讪
tʃ	[1]正{~月}沾[3]整{修理}[5]正{~好}正{刚刚}
tʃʰ	[2]程[6]郑
ʃ	[1]声[2]成城
k	[1]监{~督；太~}尴庚羹{调~白：青江菜}经-{织}[3]感敢瞰橄减港哽咁{那么样}[5]干降=更-
kʰ	[1]刊坑[3]坎砍侃款[5]勘
g	[1]啱{刚刚好}[2]岩癌[6]硬
h	[1]夯[2]行{~为；～路}茎{长条物品的量词}[3]撼陷[5]喊
0	[1]罂-
#iaŋ	
p	[3]丙秉饼[5]柄偋{躲藏}
pʰ	[2]平坪[6]病
b	[2]名[5]挤*[6]命 -
f	[1]兄
t	[3]岭领
g	[2]迎酽{浓}严[5]䁐{看见}
ts	[1]精{俊秀}[3]井
tsʰ	[1]青清[2]晴-情[3]请醒-[6]静-净
s	[2]赢*{引诱}[3]醒=[5]姓
k	[1]惊[3]颈[5]镜
kʰ	[1]轻
0	[2]赢{来不~：来不及}营荧莹[3]影={电～；~响}[5]映
#uaŋ	
pʰ	[1]翻{呕吐}[6]饭-
t	[1]端[3]短[5]断碫{石制的台阶}
