来源：	杨红 2017《介休市张良村方言语音研究》；Hynuza, Skanda 整理录入
说明：
#符号说明：	-白=文*俗?待考
#调值	［1］13［3］523［5］45［7］13［8］523
#ɿ
p	［1］屄{女阴}［3］比妣秕彼譬鄙饼□{除去液体}［5］备被币匕臂蓖避闭毙蔽敝篦陛
pʰ	［1］批琵砒枇蚍皮披脾{～气}啤坯［3］痞疲脾{心肝～胃}庇［5］屁
m	［1］迷糜靡咪眯弥眉媚明名［3］米［5］命谜汨郿面
ʦ	［1］资姿咨慈滋兹孽支肢枝孜瓷磁梓吱之芝龇只{一～}鸡饥肌几{～乎}机讥玑基骑箕嫉羁［3］紫姊子仔籽止址旨酯脂纸只{～是}几{～两}己挤［5］自字至志痣计继妓技伎寄姬纪记忌蓟既季悸冀骥镜际
ʦʰ	［1］瓷慈词祠辞雌齿磁奇骑琦崎企祁祈鳍其欺期棋旗琪麒箕杞岂畦歧唏蹊［3］此豉启起［5］刺赐次疵伺翅侍□{～住了：生锈}差{参～不齐}讫气汽器弃契
nz	［1］泥尼倪［5］腻{～粘人}
s	［1］斯撕司私丝思诗时厮施师狮尸嗜匙蟋溪希稀兮牺犀曦熙檄［3］死屎史使驶始喜嘻嬉禧玺［5］是示士视仕市柿事试四肆似己恃豕峙饲嗣伺祀氏谥寺矢舐系戏
ȵ	［5］义-
Ø	［1］移夷姨医贻怡衣依蝇遗漪猗彝裔宜应={答～一声}［3］尾-{～巴}已以溢{水～出来了}［5］艺呓易义=仪蚁议忆亿伊肄矣意臆异毅邑翼颐沂奕胰迤噫翌懿屹抑羿诣映{～～镜子里的自己}
#ɥ
ʦ	［1］猪诸朱株诛珠蛛侏厨-除-居车{～马炮}渠拘驹［3］煮翥阻主拄帚诅俎给-举［5］住注柱驻炷蛀助著铸据锯剧巨拒矩柜-炬遽具俱惧飓句距
ʦʰ	［1］初除=厨=储锄雏躇□{～展：伸直}□{由于风向或天气的关系，灶火往家里冒烟}区驱岖躯趋渠瞿癯［3］处{～朋友}楚褚［5］处{到～}矗搐去
nz	［1］鱼-渔-盂-{痰～}榆-{～林}［3］女语-［5］寓-遇-
s	［1］梳疏蔬书舒锄枢输姝殊抒兄-虚墟嘘徐［3］署暑薯曙鼠黍墅数{～～}杵许栩诩［5］数{～字}竖戍树庶
z	［1］如茹［3］乳汝儒蠕孺濡
Ø	［1］鱼渔于余迂愚虞榆瑜愉俞竽谀臾欤围-{～住：围住}［3］雨禹羽裕屿语［5］遇与誉予御娱吁玉寓喻慰-尉-喂-{～水}逾芋愈蔚-驭郁
#i
p	［1］婆-［3］簸{～豆豆}［5］簸{～箕}
pʰ	［1］坡-［3］□{～树枝枝；从树上折下树枝}［5］破-劈
m	［1］磨{～刀石}魔-{～子：疯癫神志不清的人}馍-{发财～～：过节时蒸的一种馒头}［3］抹-{～口红}［5］磨{～房}
t	［1］爹多-驼-{骆～}［3］□{～下来；吊下来}［5］大-
tʰ	［1］拖-［3］□{～下：表示贬义的躺下}
l	［3］□{单手拿物，使物体重心不稳：把孩～出呀}［5］□{～腰：下腰}
tʂʰ	［1］车-蛇-［3］扯-［5］撤-
ʨ	［1］皆秸阶街茄{～子}［3］姐=解{～救}［5］介芥疥界借届戒械左-{～胳膊}
ʨʰ	［1］擦-{～水}搓-{～鱼鱼：一种用手搓成的长条面食，常用高粱面或者莜面制成}［3］且［5］错-{～了：错位}
ȵ	［1］挨-{～掴}［5］□{～住不哭：忍住不哭}
ɕ	［1］斜邪些鞋偕谐携［3］写［5］谢榭解{姓}蟹懈泻泄卸
k	［1］哥-{大～：妻子的兄长}
kʰ	［3］可{～了；好转}［5］可{副词，～这～那到处是}
ŋ	［1］蛾{～～}［3］我-［5］饿-
x	［1］河-［3］荷-{拿}
Ø	［1］爷咿咦［3］野冶也［5］夜液腋一
#u
p	［1］脯{胸～子}葡{～萄}［3］补捕堡［5］布部步簿怖抱
pʰ	［1］铺菩葡匍脯{鸡～肉}［3］普谱浦蒲圃［5］铺
m	［1］毛-谋{计～}模{～范生}牟{～取利益}眸［3］某亩母拇姆模{～子}牡［5］暮墓慕募牧牟姓谋{沉溺于：小孩们就～了耍电脑。}
t	［1］都嘟［3］堵赌睹肚胃［5］肚腹杜度渡镀踱妒蠹
