#注释	江苏靖江方言同音字汇，有一定修改，转录者落橙
#调值	[1]⁴³³[2]²²³[3]³³⁴[5]⁵¹[6]³¹[7]⁵⁵[8]³⁴
#ɿ	
tɕ	[1]針斟珍榛臻真徵蒸貞偵正{～月}征[3]枕診疹拯整[5]鎮振震證症正{～直}政
tɕʰ	[1]稱{～呼}[5]趁稱{相～}秤
dʑ	[2]沉陳塵辰晨臣澄懲乘塍承丞呈程成城誠[6]陣鄭
ɕ	[1]深身申伸娠升聲[3]沈審嬸[5]胜勝聖
ʑ	[2]壬神人{文讀}仁刃唇{又音}繩仍盛{～滿}[6]葚甚任{責～}紉腎{又音}慎{又音}認剩盛{興～}
Ǿ	[3]忍刃{又音}韌
#uəŋ	
k	[3]滾[5]棍
kʰ	[1]昆崑坤[3]捆[5]困
h	[1]昏婚葷[5]混{～賬}
ɦ	[2]魂餛渾混{～亂}
Ǿ	[1]溫瘟[3]穩吻刎
#yᴇŋ	
tɕ	[3]凖准
tɕʰ	[1]椿春[3]蠢
ɕ	[5]舜
ʑ	[2]唇純蒓醇[6]腎慎順潤閏{文讀}
#oŋ	
p	[5]迸
pʰ	[3]捧[5]碰{又音，碰撞}
b	[2]朋棚篷蓬[6]□{～～飛：蚊蟲或者灰尘飛得到處都是}□{量詞，一～煙}
m	[2]萌盟蒙[3]猛蠓[6]孟懵夢
f	[1]風楓瘋豐封峰蜂鋒[5]諷
v	[2]馮逢縫[6]鳳奉俸縫{文讀}
t	[1]東冬[3]董懂[5]凍棟
tʰ	[1]通[3]桶捅統[5]痛
d	[2]同銅桐筒童瞳[6]動洞
n	[2]農膿儂濃[6]弄{文讀}
l	[2]籠聾隆龍[3]攏隴壟[6]弄{白讀～堂}
ts	[1]棕鬃宗綜蹤[3]總[5]粽縱{跳躍}
tsʰ	[1]聰怱蔥囪
s	[1]鬆嵩松[3]慫[5]送宋
z	[2]叢崇從[6]誦頌訟
k	[1]公蚣工功攻弓躬宮恭供{～給}□{～膿：發炎化膿}[3]汞拱鞏[5]貢供{上～}
kʰ	[1]空{～虛}[3]孔恐[5]控空{～缺}
ɡ	[6]共
h	[1]轟烘[3]哄{～騙}擤[5]哄{起～}
ɦ	[2]弘橫{文讀，～豎}宏紅洪鴻虹
Ǿ	[1]翁[5]甕{～臭：悶着發臭}
#ioŋ
tɕ	[1]中{當～}忠終鐘锺盅[3]窘塚種{～類}腫[5]中{射～}眾種{～樹}
tɕʰ	[1]充衝舂[3]寵[5]銃□{瞌～：瞌睡}□{坍～：指丢面子}
dʑ	[2]瓊蟲窮重{～復}[6]仲重{輕～}
ȵ	[2]戎{白讀}絨{白讀}冗絨{白讀}
ɕ	[1]兄胸凶兇
ʑ	[2]戎{文讀}絨{文讀}熊{又音}雄{又音}茸絨{文讀}
ɦ	[2]榮營{又音，～生}塋熊雄融容蓉鎔{物品毀爛}[6]用
Ǿ	[1]雍癰庸擁{動詞，蹲}[3]允永泳詠甬勇湧
#iŋ	
p	[1]彬賓檳冰兵[3]稟丙秉柄餅[5]殯鬢倂
pʰ	[1]姘拼[3]品[5]聘
b	[2]貧頻憑平坪評瓶屏萍[6]病並
m	[2]民鳴明名銘[3]閩憫敏抿皿{～嘴：閉}[6]命
t	[1]丁釘{鐵～}靪疔蜓[3]頂鼎[5]釘{～住}訂
tʰ	[1]廳汀[3]艇挺[5]聽
d	[2]亭停廷庭[6]錠定
l	[2]林淋臨鄰鱗磷陵淩菱靈零鈴伶拎翎[3]檁領嶺[6]吝令另{～干：讓衣服上的水流掉變干}
ts	[1]津精晶睛[3]盡{～前}井[5]浸進晉親{～家}俊
tsʰ	[1]侵親清青[3]寢請
s	[1]心辛新薪星腥蜻[3]旬{又音}殉省{反～}醒[5]信訊迅性姓
z	[2]尋秦荀旬循巡情晴䝼[6]盡{～力}靜靖淨
tɕ	[1]今金禁{～不住}襟巾斤筋莖京荊驚經[3]錦緊謹境{又音}景警頸[5]禁{～止}勁境敬竟鏡競徑
tɕʰ	[1]欽卿鯨輕傾[3]頃[5]撳慶磬
dʑ	[2]琴禽擒勤芹擎[6]僅近
ȵ	[2]任{姓}吟人{白讀}凝凝迎寧[6]賃認{白讀}韌{又音}寧佞
ɕ	[1]欣興{～旺}馨[5]釁興{～趣}
ɦ	[2]淫銀寅蠅行{～為}盈贏形型刑營螢[6]幸{文讀}
Ǿ	[1]音陰蔭因姻湮殷鷹鶯鸚櫻{文讀}英嬰纓[3]飲引隱尹影穎[5]印應{～用}應{～對}映瀴{冷}
#yŋ	
tɕ	[1]肫均鈞君軍
tɕʰ	[1]菌
dʑ	[2]群裙[6]郡
ɕ	[1]熏勳薰[5]訓
ɦ	[2]勻云雲[6]運{又音}孕
Ǿ	[3]允{又音}[5]閏{文讀}熨韻運暈
#ɑʔ	
p	[7]八
pʰ	[7]帕
b	[8]拔
m	[8]抹沫{又音，饞～}襪
f	[7]法髪發
v	[8]乏伐筏罰
t	[7]答搭遝
tʰ	[7]搨塔榻塌獺
d	[8]踏達
n	[8]納捺
l	[8]癩臘蠟鑞辣瘌落{白讀，脫～得}
ts	[7]紮眨劄紮{～營}
tsʰ	[7]插擦察拆{白讀，～爛糊}㿭赤{～豆}
dz	[8]雜
s	[7]撒薩殺
z	[8]閘炸{用油～}鍘{～尿：小便}
k	[7]夾裌峽甲{白讀}夾隔{白讀，～壁}
kʰ	[7]掐
ɡ	[8]軋
ŋ	[8]□{器物缺口}
h	[7]瞎
ɦ	[8]盒狹匣轄
Ǿ	[7]阿{～哥}鴨押壓
#iɑʔ	
l	[8]略掠
ts	[7]爵
tsʰ	[7]雀鵲
s	[7]削
z	[8]嚼
tɕ	[7]甲{文讀}胛䥛着{～色}腳覺{文讀，～得}
tɕʰ	[7]恰㪕卻確
dʑ	[8]着{～火}劇{白讀，戲～}□{～頸：扭到脖子}
ȵ	[8]捏{白讀}虐瘧
ɕ	[7]爍
ʑ	[8]若{又音}弱{又音}勺芍{～七～八：形容歪斜}
ɦ	[8]藥鑰躍學{文讀}
Ǿ	[7]約
#uɑʔ	
k	[7]刮括聒豁刮
h	[7]甩{～尾巴}□{用手或鞭子来打}
ɦ	[8]滑猾劃
Ǿ	[7]挖
#yɑʔ	
ɕ	[7]刷
ʑ	[7]涮
Ǿ	[7]曰
#ɔʔ	
p	[7]博剝駁北百柏伯迫擘卜
pʰ	[7]帕{文讀}泊{梁山～}樸朴拍魄撲仆
b	[8]杷薄泊{停～}白帛
m	[8]蟆莫膜幕寞摸墨默陌麥脈木目穆牧
f	[7]福幅蝠複腹覆復
v	[8]縛服伏
t	[7]篤督厾{扔}沰{～雨：淋雨}
tʰ	[7]溻託托禿
d	[8]鐸踱獨讀牘犢毒
n	[8]諾
l	[8]落{文讀}烙駱酪洛絡樂{娛～}鹿祿六陸綠錄
ts	[7]作足
tsʰ	[7]錯{～雜}促
s	[7]塑{～膠}索{風涼～～}朔速肅宿縮粟
z	[8]續鑿族俗續{～頭：磕頭}
k	[7]各閣擱胳郭鑊覺{白讀，～得}角國虢穀谷
kʰ	[7]廓擴殼哭酷
ŋ	[8]鄂嶽{白讀}岳{白讀}
h	[7]郝蠚霍藿
ɦ	[8]鶴學或惑獲斛
Ǿ	[7]惡{善～}握屋沃
#yɔʔ	
tɕ	[7]酌桌卓琢啄涿捉竹築祝粥菊掬燭囑
tɕʰ	[7]綽焯戳畜{～牲}麯觸曲
dʑ	[8]着{附～}钁濁鐲逐軸局
ȵ	[8]肉褥{白讀}□{～成一團：用手用力揉搓}
ɕ	[7]叔畜{～牧}蓄束{動詞，吮吸}
ʑ	[8]若弱熟淑贖蜀屬辱褥{文讀}
ɦ	[8]嶽{文讀}岳{文讀}樂{音～}域育玉獄欲慾浴
Ǿ	[7]郁
#əʔ	
p	[7]不
b	[8]勃{動詞，用木棒擾動}
m	[8]末沫沒物{文讀}
f	[7]彿
v	[8]佛物{文讀}勿
t	[7]得德{粘住}□{投擲}
tʰ	[7]脫{～落得}忒
d	[8]突特凸
n	[8]納{又音}
l	[8]捋肋勒
ts	[7]只{白讀，～有}則側窄摘{文讀}責
tsʰ	[7]測拆{文讀}㿭{文讀}策冊廁
dz	[8]澤擇宅
s	[7]澀瑟虱塞色嗇
z	[8]賊{扯}
k	[7]格革隔{文讀}
kʰ	[7]咳刻克客
ŋ	[8]額
h	[7]嚇{～一跳}黑赫嚇
ɦ	[8]核{審～}
Ǿ	[7]扼軛
#iəʔ	
tɕ	[7]摺褶蟄執哲蜇折{～斷}浙質織只炙{～過來：側過來}
tɕʰ	[7]徹撤飭赤{文讀}斥尺
dʑ	[8]涉轍侄秩直值職殖植擲
ɕ	[7]攝濕設失室識式飾適釋
ʑ	[8]十什拾舌折{弄～了}實食蝕石
#uəʔ	
k	[7]鴿{又音}骨
kʰ	[7]闊窟
h	[7]忽
ɦ	[8]活核核{果子～}
#yəʔ	
tɕʰ	[7]出{又音}
ʑ	[8]入{又，不～调}
#ʊʔ	
p	[7]缽撥
pʰ	[7]潑
b	[8]鈸
t	[7]掇{慢慢移動重物}
tʰ	[7]脫{文讀}
d	[8]奪{微火慢燉}
l	[8]□{圍着趕雞}
tsʰ	[7]撮猝
ts	[7]□{一～虾：量詞}
s	[7]□{搕～：指垃圾}
k	[7]合{兩個人～得好}鴿割葛
kʰ	[7]磕渴闊{又音}
h	[7]喝{～酒}喝豁
ɦ	[8]合□{抖抖～～：形容不穩而抖動}
Ǿ	[7]噦搕{～𢶍：指垃圾}□{竹木腐朽}□{把火盖住}
#yʊʔ	
tɕ	[7]厥決訣橘拙
tɕʰ	[7]缺出屈
dʑ	[8]掘术述掘倔
ɕ	[7]血說
ʑ	[8]入術
ɦ	[8]月越粵穴疫役悅閱
Ǿ	[7]□{把鐵絲一類的物品折彎}
#iɪʔ	
p	[7]臂鱉憋筆畢必逼碧璧壁
pʰ	[7]撇匹僻劈
b	[8]枇鼻別弼辟
m	[8]滅蔑密蜜覓
t	[7]跌摘的滴嫡
tʰ	[7]屜帖貼鐵踢剔
d	[8]疊碟牒蝶諜笛敵狄糴
l	[8]獵立笠粒列烈裂劣栗律率力歴曆
ts	[7]接節卒即鯽積跡脊績
tsʰ	[7]妾緝輯切七漆膝黢戚
s	[7]薛泄屑楔雪悉膝{又音}戌恤蟀息熄媳惜昔錫析
z	[8]席捷集習襲截絕疾籍藉席夕寂
tɕ	[7]劫汁急級給揭結潔吉戟擊激
tɕʰ	[7]怯泣訖乞吃
dʑ	[8]及傑極劇{文讀}
ȵ	[8]聶鑷躡業熱孽捏{文讀}日{白讀}匿逆溺
ɕ	[7]脅吸揭{又音}蠍歇
ʑ	[8]日{文讀}
ɦ	[8]協拽逸翼亦譯易{又音}液腋葉頁
Ǿ	[7]揖噎乙一憶億抑益靨
