#注释	江苏靖江方言同音字汇，有一定修改，转录者落橙
#调值	[1]⁴³³[2]²²³[3]³³⁴[5]⁵¹[6]³¹[7]⁵⁵[8]³⁴
#ɿ	
ɦ	[2]戶{又音，戶檻}吳蜈吾梧胡湖狐壺乎葫胡[6]戶滬誤悟焐互護瓠
Ǿ	[1]烏汙塢[3]五伍午舞{又音}[5]惡{厭～}霧{又音}焐{又音}
#y	
l	[2]驢{文讀}[3]呂{文讀}旅{文讀}縷屢履[6]慮{文讀}濾{文讀}
tsʰ	[1]趨[3]取{文讀}娶{文讀}[5]趣{文讀}
s	[1]須鬚{文讀}需[5]婿{又音}
z	[6]聚{文讀}
tɕ	[1]豬{文讀}諸居車{～馬炮}誅蛛株朱蛛珠拘駒蜘{白讀}[3]煮舉拄主鬼{白讀，小～}掌{摩拳擦～}[5]著箸據鋸{文讀}俱矩駐註注蛀鑄句
tɕʰ	[1]樞區驅[3]褚處{相～}杵鼠[5]處{～所}去{文讀，～皮}
dʑ	[2]除儲渠廚殊{又音}瞿[6]苧巨拒距柱住具懼
ȵ	[3]女
ɕ	[1]書舒墟虛噓輸吁[3]暑黍汝許乳[5]庶恕戍
ʑ	[2]如殊儒[6]署薯豎樹
ɦ	[2]魚漁餘餘愚虞娛于盂榆逾愉[6]預愈遇芋
Ǿ	[1]於淤迂[3]語與{給～}雨宇禹羽[5]與{和}御禦譽預又音豫籲愈{又音}遇{又音}寓芋{又音}喻裕
#ɚ	
ɦ	[2]兒而
Ǿ	[3]爾耳餌[5]二{文讀}貳
#ɑ	
p	[1]芭爸[3]把{文讀，～握}㞎{～～：大糞，兒語}[5]拜{白讀，～年}
pʰ	[5]派{白讀，～頭}
b	[6]罷{白讀}
m	[5]媽
t	[3]打
tʰ	[1]他
d	[6]大{文讀}
n	[2]拿{文讀}[3]哪{文讀}[5]那
l	[1]拉[3]哪{白讀}
tsʰ	[1]叉杈差{～別}
s	[3]灑傻灑{白讀}
z	[6]昨
k	[5]界{又，不搭～}尬
h	[1]哈{動詞，撓癢癢}
#iɑ	
t	[1]爹{白讀}
ts	[3]姐{白讀}□{～眼睛：斜眼}[5]借
tsʰ	[3]且{白讀}[5]笡{斜}
s	[3]寫[5]瀉卸
z	[2]邪斜[6]謝
tɕ	[1]家{文讀}加{文讀}痂嘉傢蔗佳{文讀}[3]假{文讀}賈者[5]架{文讀}駕嫁{文讀}稼價{文讀}
tɕʰ	[1]□{看～头：看别人打牌}[3]扯
dʑ	[2]茄{形容孩子顽固}
ȵ	[3]惹
ɕ	[1]蝦{文讀}奢賒[3]廈{～門}捨[5]廈{大～}懈
ʑ	[2]霞{又音}瑕{又音}遐{又音}暇{又音}蛇佘[6]下{文讀}夏{又音}射麝
ɦ	[2]牙{文讀}芽{文讀}衙{文讀}霞瑕遐雅暇爺夜{又音，吃～飯}涯{文讀}崖{文讀}[6]砑夏{文讀}夜
Ǿ	[1]鴉{文讀}[3]也{又音}野{白讀}[5]亞
#uɑ	
ɡ	[2]□{～鋼板：用尖锐物体刮刻}
ɦ	[2]娃
Ǿ	[1]蛙窪
#yɑ	
tɕ	[3]爪
tɕʰ	[5]□{用腳～：用腳踩踏}
dʑ	[2]瘸{白讀}
Ǿ	[1]□{～手～腳：冬天手足因寒冷無法伸展}
#ɒ	
p	[1]褒包胞[3]保堡寶飽[5]報暴豹趵爆
pʰ	[1]拋[3]□{～兒：指社會上不正經的人}[5]泡炮泡
b	[2]袍跑刨{～地}麅[6]抱鮑刨{～平,～光}雹
m	[1]貓{～腰}[2]毛茅貓錨貓矛[3]卯[6]冒帽貌茂貿
t	[1]刀叨[3]禱島倒{顛～}[5]到倒{～水}
tʰ	[1]滔掏[3]討[5]套
d	[2]桃逃淘陶萄濤{～飯：用湯泡飯吃}[6]道稻盜導
n	[2]鐃撓[3]腦惱[6]鬧
l	[2]勞撈牢嘮[3]老[6]澇
ts	[1]遭糟抓[3]早棗蚤澡爪找[5]躁灶罩
tsʰ	[1]操抄[3]草騲炒吵[5]糙鈔
dz	[6]棹
s	[1]騷臊梢捎[3]掃{～地}嫂[5]掃{～帚}稍{～點：快一點}
z	[2]曹槽巢[6]皂造
k	[1]高膏{牙～}篙羔糕交{白讀}膠{白讀}教{白讀，動詞}[3]稿絞{白讀}狡{白讀}攪{白讀}搞[5]叫{白讀～花子}告膏{動詞，～油}教{白讀，没～當：指没有教养}酵{白讀}窖{白讀}覺{睡～}
kʰ	[1]敲[3]考烤[5]靠犒
ɡ	[6]□{蛮蛮～：不讲理，胡搅蛮缠}
ŋ	[2]熬熬[3]咬[6]傲
h	[1]蒿薅[3]好{～壞}[5]好{喜～}孝{白讀}
ɦ	[2]豪壕毫號{呼～}肴淆[6]浩耗號{～數}
Ǿ	[1]坳凹[3]襖懊{～惱}[5]奧懊{～悔}
#iɒ	
p	[1]膘標彪滮{液體從小口噴射}[3]表錶[5]嫑{不要的合音字}
pʰ	[1]飄[3]漂[5]票漂
b	[2]瓢嫖鰾
m	[2]苗描[3]藐渺秒[6]廟妙
t	[1]刁貂雕[3]鳥[5]釣弔
tʰ	[1]挑[3]□{～他，～你：為某人做了嫁衣，讓別人獲了好處}[5]跳跳糶
d	[2]條調{～和}[6]掉調{音～}
l	[1]撩[2]燎燎療聊遼寥[3]了[5]瞭料尥撂{～落得：扔掉}廖
ts	[1]焦蕉椒[3]姐{又音，小～}剿[5]嘦{只要的合音字}[1]鍬繰悄
tsʰ	[3]且{又音}[5]俏鞘
s	[1]些{白讀}消宵霄硝銷蕭簫[3]小[5]笑
z	[2]樵瞧
tɕ	[1]交{文讀}郊膠{文讀}教{文讀動詞}朝{今～}昭招驕嬌澆[3]絞{文讀}狡{文讀}攪{文讀}巧沼矯繳僥餃[5]教{文讀，～師}校{～對}較酵{文讀}窖{文讀}照詔叫{文讀}
tɕʰ	[1]超蹺{～脚：把脚放高}□{動詞，叫喊}[5]竅
dʑ	[2]朝{～代}潮喬僑蕎橋[6]趙兆召轎
ȵ	[2]饒[3]繞鳥{文讀}[6]繞{～線}
ɕ	[1]燒枵{～薄：形容很薄}囂[3]少{多～}曉[5]孝{文讀}少{～年}
ʑ	[2]韶紹{又音}[6]效{又音}校{又音}紹邵
ɦ	[2]搖謠窯姚堯[6]效校擾{又音}要{重～}耀鷂
Ǿ	[1]妖邀腰要{～求}幺吆[3]擾舀杳
#æ	
p	[3]擺[5]拜{文讀}[5]派{文讀}
b	[2]牌排牌簰培陪賠裴[6]罷{文讀}稗敗倍
m	[2]埋[3]買[6]賣邁
t	[1]獃[5]戴帶
tʰ	[1]胎台[3]大{白讀}[5]態太{文讀}泰
d	[2]臺苔抬[6]待怠殆貸代袋埭大{～夫}
n	[1]乃[3]奶[6]耐奈
l	[2]來[5]賴
ts	[1]災栽[3]宰載{年～}[5]再載{～重}債
tsʰ	[1]猜釵差{出～}[3]彩採睬[5]菜蔡
s	[1]腮鰓篩篩[3]灑{文讀}[5]賽曬寨{又音}
z	[2]才材財裁纔豺柴[6]在寨
k	[1]該皆{白讀}階{白讀}秸{白讀}佳{白讀}街[3]改解{白讀}[5]鋸{白讀}概溉蓋丐介{白讀}界{白讀}芥{白讀}戒{白讀}
kʰ	[1]開[3]凱揩楷[5]慨戤{～背凳：即椅子}
ɡ	[6]䬵{打嗝}
ŋ	[1]挨{又音}捱{又音，～打}[2]呆涯{白讀}崖{白讀}捱[6]礙艾外{～時間：拖延時間}
h	[3]海解{姓}蟹
ɦ	[2]孩鞋{指大哭}[6]亥害駭
Ǿ	[1]哀埃挨[3]也{白讀～是}藹矮[5]愛隘
#iæ	
t	[1]爹{文讀}[3]姐{文讀}
tsʰ	[3]且{文讀}
s	[1]些{文讀}
tɕ	[1]皆{文讀}階{文讀}秸{文讀}[3]解{文讀}[5]介{文讀}界{文讀}芥{文讀}疥屆戒{文讀}械
ɕ	[5]赦舍懈
ʑ	[2]社{又音}諧{又音}[6]社
ɦ	[2]爺{文讀}諧
Ǿ	[1]耶[3]也{文讀}野{文讀}
#uæ	
k	[1]乖[3]拐[5]怪
kʰ	[1]□{對身上～：往身上帶}[3]蒯{～出一块：平整的物体上多出一块}[5]塊快筷
h	[1]歪[3]甩{～你：打你}
ɦ	[2]懷槐淮[6]壞
Ǿ	[3]踒
#yæ	
tɕ	[3]拽{得意}
tɕʰ	[3]揣
dʑ	[2]瘸{文讀}
ɕ	[1]靴衰摔[5]帥
#ʌɤ	
p	[1]簸
pʰ	[1]頗剖[5]破{文讀}
m	[2]魔磨{～刀}摩饃模摹謀[3]某畝牡母拇[6]磨{石～}暮慕墓募
f	[3]否
t	[1]多[3]躲[5]剁
tʰ	[1]拖[3]妥橢[5]蛻{白讀}褪{白讀}
d	[2]駝馱舵惰[6]舵{又音}大{～人}惰{又音}垛{堆叠}
n	[2]挪[6]糯
l	[1]騾螺囉[2]羅鑼籮腡[3]裸瘰
ts	[1]鄒[3]左佐走{副詞，都}[5]做奏
tsʰ	[1]搓初{～勒眼睛：煙熏}[5]銼錯{～誤}湊
s	[1]蓑梭嗦莎梳疏蔬搜颼餿蓃[3]鎖瑣所叟[5]嗽瘦
z	[2]矬鋤雛愁[6]坐座
k	[1]歌哥過{～期}鍋戈[3]果裹馃[5]個{一～}過尬{又音}
kʰ	[1]科窠棵顆[3]可[5]課
ɡ	[2]個{～人}尬{又音}
ŋ	[2]蛾鵝俄訛[3]我[6]餓臥
h	[1]□{背一～：背駝着}□{～饅頭：蒸饅頭}□{～壞勒：上火引起嘴角破損}[3]火夥[5]荷{薄～}貨
ɦ	[2]河何荷{～花}和{～氣}禾[6]賀禍和{唱～}[1]阿{～膠}倭窩
#e	
p	[1]杯碑卑被{白讀～打}悲{牽引}[5]貝輩背
pʰ	[1]胚坯丕剖{又音}[1]□{～動：用木棍一類的工具撥動}[5]沛配轡
b	[2]焙{又音}[6]佩背{～誦}焙備{文讀}
m	[2]梅枚媒煤楣黴謀{又音}[3]每美某{又音}牡{又音}[6]妹昧媚寐茂{又音}
v	[2]浮{又音}
t	[1]堆[5]對碓
tʰ	[1]推[3]腿[5]太{白讀}退蛻{文讀}褪{文讀}
d	[6]隊兌
n	[6]內
l	[2]雷[3]儡累{積～}壘[6]累{極困}累{連～}類淚{文讀}□{你一言我一語地爭吵}
ts	[1]追[3]嘴[5]最綴醉
tsʰ	[1]催崔摧[5]脆翠粹
s	[1]雖尿[3]髓[5]碎歲綏
z	[2]隋[6]罪遂隧穗
#ue	
k	[1]盔魁圭閨規龜歸[3]詭軌癸鬼{文讀}[5]傀會{～計}劊檜鱖{文讀}桂貴
kʰ	[1]奎虧窺[3]□{不～定：不一定要做}[5]塊{又音}愧
ɡ	[2]逵葵[6]潰跪櫃
h	[1]恢灰麾揮輝徽[3]悔毀[5]賄晦諱
ɦ	[2]桅回茴會{不～的}危為{作～}違圍[6]匯會{開～}繪衛惠慧喂為{～何}位魏胃謂蝟彙
Ǿ	[1]煨威[3]萎委偽偉葦緯[5]穢畏慰
#ye	
tɕ	[1]錐[5]綴{又音}贅
tɕʰ	[1]吹炊
dʑ	[2]垂槌錘[6]墜
ɕ	[3]蕊水[5]稅
ʑ	[2]誰[5]銳[6]芮睡瑞
#øʏ	
t	[1]兜丟[3]斗抖陡[5]鬥
tʰ	[1]偷[3]㪗{～開來}[5]透
d	[2]頭投[6]豆逗
l	[1]溜[2]樓耬流留劉榴硫琉餾[3]簍摟柳{動詞，攪拌}□{動詞，捉弄}[6]漏陋
k	[1]勾{～住}鉤溝[3]狗苟[5]夠構購勾{～當}
kʰ	[1]摳瞘[3]口[5]叩扣寇
ŋ	[2]柔{白讀}揉牛[3]藕偶紐扭
h	[1]齁{咳嗽}[3]吼[5]鱟{彩虹}□{動詞，吸}
ɦ	[2]侯喉猴瘊候{又音，～車}□{～呼，打呼嚕}[6]候後厚后
Ǿ	[1]歐甌[3]嘔[5]漚慪
#iøʏ	
m	[6]謬
ts	[1]揪[3]酒[5]皺縐
tsʰ	[1]秋
dz	[6]驟
s	[1]修羞[5]秀繡宿{星～}銹
z	[2]囚[6]就袖
tɕ	[1]周舟州洲鳩鬮糾灸究[3]肘帚九久韭[5]晝咒救
tɕʰ	[1]抽丘[3]丑醜{動詞，故意使絆子對付某人}[5]臭
dʑ	[2]綢稠籌讎酬求球仇{動詞，吸吮}[6]紂臼舅咎宙授{又音，～過來：把某物傳遞過來}舊柩
ɕ	[1]收休[3]手首守朽[5]獸嗅
ʑ	[2]柔{文讀}[6]受壽授售
ɦ	[2]尤郵由油游猶[6]誘{又音}釉{又音}
Ǿ	[1]憂優悠幽[3]有友酉[5]莠誘又右佑柚鼬釉幼
#o	
p	[1]巴疤[3]把{白讀}[5]霸把{柄}壩壩
pʰ	[5]怕
b	[2]爬琶鈀耙
m	[2]麻痲[3]馬碼[6]罵
d	[2]茶{香～}
n	[2]拿{白讀}
ts	[1]楂渣遮[3]□{物體粉碎}[5]詐榨炸{～彈}乍
tsʰ	[1]車{馬～}[5]岔
dz	[2]茶塗茬查
s	[1]沙紗
k	[1]家{白讀}加{白讀}瓜[3]假{白讀}寡[5]架{白讀}嫁{白讀}價{白讀}掛卦
kʰ	[1]誇[3]垮[5]跨
ɡ	[2]□{～佔，強佔}[6]□{卡住}
ŋ	[2]牙{白讀}芽{白讀}衙{白讀}[3]瓦[6]瓦{～匠}
h	[1]蝦{白讀}花劐[5]化罅
ɦ	[2]華{中～}[6]夏{姓}下{白讀}夏{白讀}華{～山,姓}
Ǿ	[1]鴉{白讀}丫椏掗{硬要某人做}[3]啞{用指甲抓}[5]畫話
#æ̃	
p	[1]班斑頒扳[3]板版[5]扮瓣絆
pʰ	[1]攀[5]盼襻{纽铊～}
b	[2]爿{用足登}[6]辦
m	[2]蠻[5]漫{文讀}[6]慢
f	[1]帆藩翻番[3]反[5]泛販
v	[2]凡煩藩{又音}礬繁[6]范範犯飯萬蔓
t	[1]擔{～任}丹單{～獨}[3]膽撣[5]擔{挑～}旦
tʰ	[1]坍灘攤[3]毯坦[5]炭歎{身體順著滑下去}
d	[2]談痰檀壇彈{～琴}[6]淡誕但彈{子～}蛋
n	[2]難{～易}[6]難{患～}
l	[2]藍籃蘭攔欄然{又音}[3]覽攬欖纜懶[6]濫爛
ts	[1]攙沾{又音}□{～肉：剁肉}[3]斬盞[5]站{立}蘸贊灒顫
tsʰ	[1]餐[3]鏟產[5]燦
dz	[2]賺[6]暫鏨站{車～}綻棧
s	[1]三杉衫珊山刪[3]散{鞋帶～了}傘[5]散{分～}
z	[2]慚讒饞殘{動個不停}
k	[1]尷監{～視,～牢}艱間{白讀，中～}奸{白讀}[3]減{白讀}簡{白讀}揀[5]鑒{白讀}監{白讀}
kʰ	[1]鵮{啄}鉛[5]嵌艦
ɡ	[2]鉗{白讀}□{～～好，剛剛好}
ŋ	[2]顏[3]眼[5]雁
h	[1]憨[5]喊
ɦ	[2]咸鹹銜閑{白讀}還{～有}[6]陷餡限莧上{又音}
Ǿ	[1]淹{白讀}[5]晏
#iæ̃	
tɕ	[1]張章樟[3]長{生～}漲掌[5]帳賬脹障瘴
tɕʰ	[1]昌菖[3]廠[5]暢唱倡
dʑ	[2]長{～短}腸場常嘗[6]丈仗杖
ɕ	[1]商傷[3]賞晌
ʑ	[2]嘗{又音}裳償[6]尚上
#uæ̃	
m	[3]晚{白讀，～茶}
k	[1]鰥關[3]□{眼睛一～：環視四周}[5]慣
ɡ	[2]環
h	[5]□{動詞，丟掉}
ɦ	[2]還{～原}[6]患宦
Ǿ	[1]彎灣[3]晚{讀}文挽宛
#yæ̃	
ɕ	[1]閂拴[5]疝
#iɪ̃	
p	[1]貶鞭編邊蝙[3]扁匾[5]變遍
pʰ	[1]篇偏[5]騙片
b	[2]便{～宜}[6]辨辯汴便{方～}辮
m	[2]綿棉眠[3]免勉娩緬澠[6]面麺
t	[1]掂顛[3]點典[5]店
tʰ	[1]添天[3]舔腆[5]掭
d	[2]甜田填[6]電殿奠佃墊
l	[1]連{又音}[2]廉鐮簾連聯憐蓮良涼量{～長短}糧梁粱[3]兩斂臉斂[6]殮練煉楝戀亮諒輛量{數～}
ts	[1]煎尖殲箋將{～來}漿[3]剪蔣獎槳[5]箭濺薦醬將{大～}
tsʰ	[1]遷籖纖殲{又音}簽千扦槍嗆[3]淺搶
dz	[6]漸
s	[1]先宣仙鮮{新～}相{互～}箱廂湘襄鑲[3]踐{又音}鮮{～少}蘚選想[5]線相{～貌}
z	[2]潛錢涎前全泉旋牆詳祥[6]踐賤餞羨镟象像橡匠
tɕ	[1]檢兼搛間{文讀，中～}奸{文讀}肩堅疆僵薑礓韁姜江{文讀}[3]減{文讀}簡{文讀}柬繭講{文讀，才方所～}[5]鑒{文讀}監{文讀}劍間{～斷}諫澗建見降{下～}
tɕʰ	[1]謙牽羌腔[3]遣強{勉～}[5]欠歉
dʑ	[2]鉗{文讀}乾{～坤}虔掮強[6]儉件鍵健腱
