汉字	注释	声母	韵母	声调
翡		f	i	[5]
肥	2（化肥）	v	i	[2]
未		v	i	[6]
帝	2	t	i	[5]
提		d	i	[2]
题	2（问~）	d	i	[2]
蹄		d	i	[2]
啼	2	d	i	[2]
苔	2（青~）	d	i	[2]
来	1	l	i	[2]
离	（距~）	l	i	[2]
璃		l	i	[2]
篱		l	i	[2]
狸		l	i	[2]
梨		l	i	[2]
厘		l	i	[2]
李		l	i	[3]
里	2（城~）	l	i	[3]
里	（一~）	l	i	[3]
理		l	i	[3]
鲤		l	i	[3]
荔		l	i	[3]
离	2	l	i	[3]
利		l	i	[3]
痢		l	i	[3]
里	（～底：里面）	l	i	[3]
例		l	i	[6]
厉		l	i	[6]
励		l	i	[6]
丽		l	i	[6]
肌		tɕ	i	[1]
稽		tɕ	i	[1]
几	（茶~）	tɕ	i	[1]
基	2	tɕ	i	[1]
机		tɕ	i	[1]
饥		tɕ	i	[1]
讥		tɕ	i	[1]
□	（天萝~:油条）	tɕ	i	[1]
姊		tɕ	i	[3]
已		tɕ	i	[3]
纪	2（姓）	tɕ	i	[3]
麂		tɕ	i	[3]
祭	2	tɕ	i	[5]
际		tɕ	i	[5]
冀		tɕ	i	[5]
济		tɕ	i	[5]
剂		tɕ	i	[5]
季		tɕ	i	[5]
计		tɕ	i	[5]
继		tɕ	i	[5]
系	（~鞋带）	tɕ	i	[5]
髻		tɕ	i	[5]
纪	3（世~）	tɕ	i	[5]
致		tɕ	i	[5]
欺		tɕh	i	[1]
溪	2	tɕh	i	[1]
起		tɕh	i	[3]
杞		tɕh	i	[3]
岂		tɕh	i	[3]
企		tɕh	i	[3]
启		tɕh	i	[3]
□	（~救：抢救）	tɕh	i	[3]
菜		tɕh	i	[5]
器		tɕh	i	[5]
弃		tɕh	i	[5]
奇		dʑ	i	[2]
骑		dʑ	i	[2]
歧		dʑ	i	[2]
祁		dʑ	i	[2]
鳍		dʑ	i	[2]
棋		dʑ	i	[2]
期		dʑ	i	[2]
其		dʑ	i	[2]
祈		dʑ	i	[2]
技		dʑ	i	[6]
妓		dʑ	i	[6]
忌		dʑ	i	[6]
尼	2（～龙）	ȵ	i	[2]
疑	2（嫌～）	ȵ	i	[2]
沂		ȵ	i	[2]
宜		ȵ	i	[2]
儿	1（儿子;后缀）	ȵ	i	[3]
拟	2	ȵ	i	[3]
你		ȵ	i	[6]
尔	2（这）	ȵ	i	[6]
艺	2	ȵ	i	[6]
谊		ȵ	i	[6]
义	2（主～）	ȵ	i	[6]
议	2	ȵ	i	[6]
耳	2	ȵ	i	[6]
嬉	（玩儿）	ɕ	i	[1]
希		ɕ	i	[1]
稀		ɕ	i	[1]
熙		ɕ	i	[1]
牺		ɕ	i	[1]
洗		ɕ	i	[3]
喜		ɕ	i	[3]
蟢	（蜘蛛）	ɕ	i	[3]
矢		ɕ	i	[3]
屎		ɕ	i	[3]
四	1（一二三~）	ɕ	i	[5]
系	（关~）	ɕ	i	[5]
势		ɕ	i	[5]
誓	2（宣~）	ɕ	i	[5]
依		∅	i	[1]
医	2（~院）	∅	i	[1]
伊		∅	i	[1]
箕	2（粪~:簸箕）	∅	i	[1]
宜		∅	i	[2]
仪		∅	i	[2]
饴		∅	i	[2]
夷		∅	i	[2]
姨		∅	i	[2]
移		∅	i	[2]
毅		∅	i	[3]
已		∅	i	[3]
以		∅	i	[3]
易		∅	i	[3]
亿		∅	i	[3]
意		∅	i	[5]
忆		∅	i	[5]
异		∅	i	[6]
肆		∅	i	[6]
怖		p	u	[5]
捕		ph	u	[3]
甫		ph	u	[3]
脯	（杏~）	ph	u	[3]
普		ph	u	[3]
浦		ph	u	[3]
蒲	2（姓）	ph	u	[3]
殕	（食物长白毛）	ph	u	[3]
扶	1	b	u	[2]
菩		b	u	[2]
脯	（胸~）	b	u	[2]
□	（花~:花蕊）	b	u	[2]
部		b	u	[6]
牡		m	u	[3]
夫	2	f	u	[1]
府		f	u	[3]
腑		f	u	[3]
俯		f	u	[3]
武		f	u	[3]
舞	（跳~）	f	u	[3]
付		f	u	[6]
俘		v	u	[2]
敷		v	u	[2]
附		v	u	[6]
妇	2	v	u	[6]
负		v	u	[6]
阜		v	u	[6]
都	2（首~）	t	u	[1]
都	2（~是）	t	u	[1]
赌	2	t	u	[3]
斗	（一~）	t	u	[3]
妒		t	u	[5]
偷		th	u	[1]
敨	（展开）	th	u	[3]
透		th	u	[5]
途		d	u	[2]
头		d	u	[2]
投		d	u	[2]
图	2	d	u	[2]
堵		d	u	[6]
肚	2（猪~）	d	u	[6]
度	2（制~）	d	u	[6]
渡	2	d	u	[6]
镀	2	d	u	[6]
豆		d	u	[6]
逗		d	u	[6]
痘		d	u	[6]
努		n	u	[3]
卢		l	u	[2]
庐		l	u	[2]
萝	1（包~:玉米）	l	u	[2]
鲁		l	u	[3]
橹		l	u	[3]
虏		l	u	[3]
卤		l	u	[3]
流	1	l	u	[6]
漏		l	u	[6]
陋		l	u	[6]
