漢字	音標	注釋	
巴	pa1		
飽	pa3	白	
霸	pa5		
壩	pa5		
豹	pa5		
拋	pʰa1	白	
脬	pʰa1	俗	
拍	pʰaʔ7	白	
肉	baʔ7	訓	
咑	ta1	嘀～：嗩吶	
打	ta3		
罩	ta5	雞～	
搭	taʔ7	白	
答	taʔ7	白	
塔	tʰaʔ7		
挓	tʰaʔ7	俗	
垃	laʔ7	～圾	
查	tsa1		
昨	tsa1	～日	
早	tsa3		
差	tsʰa1	文	
炒	tsʰa3	白	
吵	tsʰa3		
插	tsʰaʔ7		
紗	sa1	文	
沙	sa1	豆～	
𥯥	sa1	俗，～箕	
蝕	sa5	俗，魚餌	
膠	ka1		
鮫	ka1	俗，馬～	
加	ka1	詞頭	
絞	ka3		
駕	ka5	文	
教	ka5	白	
漖	ka5	俗，粥稀	
甲	kaʔ7		
袷	kaʔ7	俗	
骹	kʰa1		
茭	kʰa1	～白筍	
尻	kʰa1	～川：屁股	
巧	kʰa3	白	
敲	kʰa5		
搉	kʰa5	～油：敲竹槓	
呴	ha1	俗	
孝	ha5	白	
鴉	a1		
阿	a1	文	
詏	a5	相～：言語相爭	
鴨	aʔ7		
亞	aʔ7	～洲	
罷	pa6		
泡	pʰa6	俗	
皰	pʰa6		
麻	ba2	文	
茉	maʔ8	加～菜：豬母菜	
踏	taʔ8		
疊	tʰaʔ8	白	
煠	saʔ8	俗，白水煮	
柴	tsʰa2		
鯪	la2	～鯉：穿山甲	
蟧	la2	俗，～蚜：長脚蜘蛛	
咬	ka6		
擐	ha2	～皮帶	
合	haʔ8	白	
笚	haʔ8	竹～：竹籜	
跛	pai3		
擺	pai3		
拜	pai5		
派	pʰai5		
沛	pʰai5		
腓	bai1	膣～：女陰	
䆀	bai3	俗，壞	
奈	tai1	無～何	
戴	tai5	文	
帶	tai5		
篩	tʰai1		
颱	tʰai1		
胎	tʰai1	文	
癩	tʰai3	～𰣻：骯髒	
太	tʰai5		
泰	tʰai5	文	
來	lai1		
內	lai5		
災	tsai1		
知	tsai1	白	
宰	tsai3		
指	tsai3	白，響～：彈指	
再	tsai5		
載	tsai5		
磜	tsai5	地名	
猜	tsʰai1		
彩	tsʰai3		
菜	tsʰai5		
獅	sai1		
犀	sai1		
腮	sai1	～腺	
西	sai1	白	
私	sai1		
師	sai1		
屎	sai3		
駛	sai3		
史	sai3	白	
賽	sai5		
婿	sai5		
皆	kai1		
該	kai1		
改	kai3		
解	kai3		
界	kai5		
戒	kai5		
屆	kai5		
蓋	kai5	文	
芥	kai5		
開	kʰai1	文	
凱	kʰai3		
概	kʰai5		
慨	kʰai5		
痎	hai1	俗，臭	
海	hai3		
哀	ai1		
埃	ai1		
挨	ai1	文	
排	pai2		
牌	pai2		
敗	pai6		
沛	pʰai6	豐～	
埋	bai2		
眉	bai2		
臺	tai2		
檯	tai2		
𧉟	tai2	俗，雞～	
代	tai6	文	
大	tai6		
鯉	tai6	～仔	
鮘	tai6	替，鯉魚	
舵	tai6	～公	
刣	tʰai2	替，殺	
治	tʰai2	殺	
待	tʰai6		
態	tʰai6		
來	lai2		
狸	lai2		
梨	lai2		
內	lai6	訓“裏”	
裏	lai6		
利	lai6	白	
才	tsai2		
材	tsai2		
財	tsai2		
豺	tsai2		
臍	tsai2		
裁	tsʰai2		
柿	sai6		
似	sai6	熟～	
姒	sai6	俗，同～：妯娌	
崖	ɡai2		
涯	ɡai2		
礙	ɡai6		
械	hai2		
諧	hai2		
孩	hai2		
害	hai6		
亥	hai6		
包	pau1		
胞	pau1		
鮑	pau1		
飽	pau3	文	
爆	pauʔ7	～牙	
拋	pʰau1	文	
跑	pʰau3		
卯	bau3		
兜	tau1		
斗	tau3		
鬥	tau5	白	
晝	tau5		
脰	tau5	俗，吊～：上吊	
偷	tʰau1		
敨	tʰau3	解開繩子	
透	tʰau5		
老	lau3	文	
澇	lau5	～屎：拉肚子	
糟	tsau1	紅～	
蹧	tsau1		
走	tsau3		
詔	tsau5		
灶	tsau5		
鈔	tsʰau1		
抄	tsʰau1		
吵	tsʰau3		
炒	tsʰau3	文	
草	tsʰau3	白	
臭	tsʰau5		
踃	sau1	～聲	
嗽	sau5		
掃	sau5	白	
膏	kau1		
糕	kau1		
篙	kau1		
交	kau1		
郊	kau1		
溝	kau1		
鉤	kau1		
垢	kau3		
狗	kau3	白	
九	kau3		
較	kau5		
夠	kau5		
教學	kau5	文	
剾	kʰau1	俗，刨	
薅	kʰau1	～草	
□	kʰau3		
釦	kʰau5		
扣	kʰau5		
哭	kʰau5		
礙	ɡau5		
吼	hau3		
號	hau3		
孝	hau5	文	
