文字		声母	韵母	声调调值	拼音	读音属性	注释
蓖		p	i	33	pi33		
碑		p	i	33	pi33		
脾		p	i	55	pi55	白读	~胃
琵		p	i	55	pi55		
枇		p	i	55	pi55		
篦		p	i	55	pi55		
彼		p	i	42	pi42		
比		p	i	42	pi42		
闭		p	i	35	pi35		
毙		p	i	35	pi35		
币		p	i	35	pi35		
婢		p	i	35	pi35		
被		p	i	35	pi35	(文读)	~动
备		p	i	35	pi35		
臂		p	i	212	pi212		
秘		p	i	212	pi212		
泌		p	i	212	pi212		
痹		p	i	212	pi212		
蔽		p	i	22	pi22		
敝		p	i	22	pi22		
弊		p	i	22	pi22		
避		p	i	22	pi22		
憋		p	i	22	pi22		
鳖		p	iʔ	2	piʔ2		
披		pʰ	i	33	pʰi33		
疲		pʰ	i	55	pʰi55		
脾		pʰ	i	55	pʰi55	文读	~气
鄙		pʰ	i	42	pʰi42		
丕		pʰ	i	42	pʰi42		
□		pʰ	iʔ	2	pʰiʔ2		趴在地上
□		b	i	55	bi55		沙~：小睡
米		b	i	42	bi42		
味		b	i	22	bi22		
□		b	iʔ	2	biʔ2		
篾		b	iʔ	5	biʔ5		
低		t	i	33	ti33		
知		t	i	33	ti33	文读	无~
蜘		t	i	33	ti33		
池		t	i	55	ti55		
底		t	i	42	ti42	文读	~稿
抵		t	i	42	ti42		
弟		t	i	35	ti35		
隶		t	i	35	ti35		
雉		t	i	35	ti35		野鸡
帝		t	i	212	ti212		
智		t	i	212	ti212		
致		t	i	212	ti212		
置		t	i	212	ti212		
地		t	i	22	ti22		
治		t	i	22	ti22		
□		t	i	22	ti22		什么
滴		t	iʔ	2	tiʔ2		
碟		t	iʔ	5	tiʔ5		
牒		t	iʔ	5	tiʔ5		
□		tʰ	i	33	tʰi33		~~：黏黏的
苔		tʰ	i	55	tʰi55		
提		tʰ	i	55	tʰi55		
啼		tʰ	i	55	tʰi55		
持		tʰ	i	55	tʰi55		
体		tʰ	i	42	tʰi42		
痔		tʰ	i	35	tʰi35		
替		tʰ	i	212	tʰi212		
涕		tʰ	i	212	tʰi212		
剃		tʰ	i	212	tʰi212		
翅		tʰ	i	212	tʰi212		
铁		tʰ	iʔ	2	tʰiʔ2		
黎		l	i	55	li55		
离		l	i	55	li55		
