#ɿ				
ts	[1]資姿咨痔[2]字[3]子姊紫[6]自			
s	[1]斯廝撕嘶私師獅螄司絲思詩[2]事			
#i				
p	[1]蓖碑卑悲[3]鄙比畀給髀□{pɐŋ22～：蜻蜓}[4]譬[5]臂秘泌庇痹潷[6]斃{被～}迫避備鼻篦			
pʰ	[1]胚坯披砒[2]皮疲琵枇脾[3]彼秕痱[4]被{棉～}婢[5]屁			
m	[1]□{塘～，蜻蜓}[2]糜{～子，～爛}眉楣微未味湄薇彌獼[4]美尾[5]沕[6]昧媚寐			
f	[1]非飛妃霏菲□{理髮，～頭}[2]肥[3]匪翡			
t	[1]啲{阿～}□{～ta33：嗩呐}[6]地哋			
n	[1]□{細～～：細小}[2]尼呢[4]你擬[6]膩			
ɬ	[1]絲[2]字士仕[3]死[5]四肆			
l	[1]璃[2]離{別～，距～}籬梨厘狸吏漓脷[4]李裏理鯉[6]厲利痢俐莉蜊{蛤～}			
tʃ	[1]知蜘支枝肢梔脂茲滋之芝恣嗞孳孜[3]紙只旨指止趾址[5]智致至置志誌痣痔[6]稚治			
tʃʰ	[1]雌疵差{參～}眵癡嗤黐[2]薺池馳踟侈瓷糍遲慈磁鸛辭詞祠寺嗣飼持恃弛侍伺[3]此恥齒始[4]似[5]刺賜翅次茨雉[6]峙			
ȵ	[1]兒{妹～}[2]宜誼疑			
ʃ	[1]施屍[2]匙{鑰～，湯～}是氏豉時蒔[3]矢屎[4]市[5]試[6]示視嗜			
k	[1]奇{～數}飢肌几基幾{～乎}機譏饑[3]己紀杞幾{老～}[5]寄記既暨[6]技妓忌			
kʰ	[2]奇{～怪}岐歧祁鰭其棋期旗麒祈[4]企徛			
h	[1]犧欺嬉熙希稀嘻□{ji55～：危險}[2]移易{容～}夷彝姨沂□{笑～～：傻笑}[3]起喜豈禧[4]已以[5]戲器棄氣汽[6]異			
j	[1]伊醫衣依□{～hi55：危險}[2]兒{幼～}二貳而怡頤胰[3]倚椅[4]耳餌矣爾議[5]意意懿噫[6]儀義			
#u				
p	[2]菢[3]補輔[5]布{藍～}佈{宣～}怖[6]部簿步埠{商～}			
pʰ	[1]鋪{床～}[2]葡蒲[3]譜圃{花～，苗～}普浦捕甫脯{果～}哺埔[4]脯{胸～}[5]鋪{店～}訃			
m	[1]模{～子，勞～}巫誣[2]無戊[4]武舞侮鵡母拇冇{沒有}姆[6]暮慕墓募務霧			
f	[1]枯呼乎夫膚敷俘孵麩[2]符扶芙[3]苦虎滸府腑俯斧撫釜[4]婦[5]庫褲戽賦咐{吩～}赴富副[6]付傅腐附父負駙{～馬}			
t	[1]都{首～，全～}嘟[3]堵賭睹[6]妒度渡鍍杜			
tʰ	[2]徒屠途塗圖[3]土[4]肚{豬～，～子}[5]吐{～痰，嘔～}兔			
n	[2]奴[4]努怒			
ɬ	[1]蘇酥鬚{鬍～}[5]素訴漱			
l	[2]盧爐蘆碼廬驢鞘顱[4]魯櫓虜鹵[6]路賂露{顯～，～水}鷺			
tʃ	[1]租[3]祖組[5]做{～工}			
tʃʰ	[1]粗[5]醋			
ʃ	[3]數{～錢}[5]數{～目，次～}			
k	[1]姑孤鳩辜估菇沽咕□{小氣}[3]古矗牯股鼓蠱[5]故固錮雇顧			
kʰ	[1]箍[2]葫			
h	[2]胡湖狐壺鬍蝴糊芋弧[4]戶滬[6]互護			
w	[1]烏汙嗚鎢鄔			
#y				
tʰ	[1]□{口水，吐口水}[4]女			
ɬ	[1]須{必～}需綏			
l	[4]呂旅履閭桐侶鋁[6]慮濾			
tʃ	[1]豬諸蛛株朱硃珠[3]煮主[5]著駐註注蛀鑄[6]序敘住箸聚			
tʃʰ	[1]蛆趨[2]徐褚除廚櫥雛殊[3]取娶[4]儲些杵柱拄緒[5]處{相～，到～}趣			
ʃ	[1]書舒誅輸{賭～，運～}[3]暑鼠黍曙□{偷}[5]絮庶恕署戍[6]薯豎樹{～立，松～}			
k	[1]居車{～馬炮}□{戇～～：傻乎乎}[3]舉矩[5]據鋸句[6]巨具懼炬			
kʰ	[1]樞拘駒俱區{專～}驅軀[2]瞿[4]佢拒距渠			
h	[1]坪虛噓[2]余餘榆逾愉愈喻裕俞瑜渝[3]許[4]與雨宇羽嶼[5]去{離～，除～}祛[6]譽預豫			
j	[1]於淤于迂[2]如魚漁儒愚虞娛遇寓盂禹茹[4]汝語[6]御禦			
#a				
p	[1]巴芭疤笆爸葩吧[2]□{落水～～：大雨嘩嘩下}[3]把{～握，刀～}靶[5]霸壩垻[6]罷			
pʰ	[1]趴□{～紙，證件}[2]爬琶杷耙扒□{車開～～：車開快}[5]怕			
m	[1]媽孑子□{動，往上攀爬}[2]麻{黃～，～瘋}癖[4]碼螞瑪[6]罵			
f	[2]□{風吹～～：風呼呼地吹}			
t	[1]打{量詞（十二個）}[3]打{擊～}[5]□{ti55～：鎖呐}			
tʰ	[1]他它她			
n	[1]□{疤痕}□{動，粘}□{～naŋ33：牽連}[2]拿[3]哪[4]那			
ɬ	[2]□{落雨～～：下小雨}			
l	[1]喇{～嘛，～叭}[3]□{聚攏}[5]罅旯			
tʃ	[1]楂渣抓摣[2]□{牙～～：無事找事，礙事，～～滾：亂哄哄}[5]詐榨炸{爆～，油～}乍			
tʃʰ	[1]叉杈差{～別，～錯}[2]茶搽查[5]岔汊			
ʃ	[1]莎沙紗裟砂鯊[3]耍[4]灑			
k	[1]加痂嘉家傢枷袈[3]假{真～}賈[5]假{放～}架駕嫁稼價咖□{～tʃat2：蟑螂}[6]□{丟～：丟臉}			
kʰ	[1]卡[2]□{吃}□{阻塞}			
ŋ	[1]□{哭～～：哇哇地哭}[2]牙芽衙螃訝[4]雅瓦{磚～，鋪～}			
h	[1]蝦哈{～腰，笑～～}蛤{～蟆}□{～人：欺負人}[2]霞遐[6]廈{大～，～門}下夏{姓～，春～}暇			
j	[1]□{拿，食～米：吃白飯，廢物}[2]□{喊～～：嗷嗷叫}[4]也			
w	[1]花蛙{青～}窪嘩娃[2]華{中～，姓～}樺[3]□{～公：小孩}[5]化[6]話			
∅	[1]鴉丫椏[3]啞[5]阿{～哥}亞			
#ua				
k	[1]瓜呱□{～老襯：死亡}[2]□{喊～～：呱呱亂叫}[3]寡剮[5]掛卦			
kʰ	[1]誇垮跨胯挎誇			
#ɛ				
p	[3]啤			
pʰ	[1]□{撲克}			
m	[1]哇祺孭{背}[2]□{～ɬɛ21：不清醒}□{乳房，乳汁}[3]□{歪斜}			
f	[1]啡[2]□{動,（用槍）射}[3]□{名，錢、鈔票}			
t	[1]爹[2]□{水流～～：細水流動}			
n	[1]□{粘（郵票）}			
ɬ	[1]些[3]寫[5]瀉卸赦			
l	[1]□{tʃʰɛ55～：多嘴多舌}			
tʃ	[1]遮[3]姐者[5]借蔗鷓[6]謝			
tʃʰ	[1]車{單～}奢□{～lɛ55：多嘴多舌}[2]邪斜[3]且扯□{動，走}[5]笆			
ʃ	[1]賒[2]蛇餘[3]捨[4]社[5]舍[6]射{放～}麝			
k	[3]□{這個人}[5]嘅			
kʰ	[1]□{糞便，屙～：屙屎}[2]茄騎□{笑～～，笑嘻嘻}			
ŋ	[1]□{哭～～，哇哇哭}			
h	[1]□{笑～～，得意地笑}			
j	[2]爺椰[4]惹野冶嘴[6]夜			
#uɛ				
k	[1]□{喊～～，亂嚷嚷}[5]□{撥，扒拉}			
#œ				
h	[1]靴			
t	[1]□{噘嘴}[3]朵{量，一～}			
#ɔ				
p	[1]波{～浪，～鞋（球鞋）}菠玻[5]簸{～米，～箕}播			
pʰ	[1]坡棵□{量詞（一～樹）}[2]婆菩[5]頗破			
m	[1]魔摩饃模{勞～}摸麼[2]磨{～刀，石～}蘑磨動作慢[5]臥			
f	[3]火夥伙[5]貨課			
t	[1]多[3]朵{花～}躲[6]墮惰			
tʰ	[1]拖[2]駝紽馱{～起，～運（貨物）}鴕砣坨陀[4]妥[6]舵橢			
n	[2]挪娜捼[6]糯懦			
ɬ	[3]鎖瑣所嗩			
l	[1]啰□{屁股}□{百～，小孩滿百日}[2]羅鑼算蘿{菠～，～蔔}騾螺腡邏[3]攞{買：～菜，拿：～過來}[4]裸			
tʃ	[3]左佐阻[6]座助			
tʃʰ	[1]搓初磋[2]鋤[3]楚礎[4]坐挫銼措[5]錯{寫～，交～}			
ʃ	[1]蓑梭唆梳疏蔬[6]傻			
k	[1]歌哥鍋戈[3]果裹餜[5]個過{太～，記～}			
kʰ	[1]坷苛顆			
ŋ	[2]蛾鵝俄餓娥峨[4]我			
h	[2]荷{薄～，～花}河何[3]可[6]賀			
w	[1]科蝌倭窩渦葛流蝸{～牛}[2]和{～氣，～泥，～聲}禾[4]禍			
∅	[1]阿{～膠}屙			
#ai				
p	[3]擺[5]拜[6]敗			
pʰ	[2]排牌篺稗[5]派			
m	[2]埋[4]買[6]賣邁			
t	[1]呆{書～子}[5]戴帶[6]大{老～，～夫}			
tʰ	[1]呔{名，領帶}[5]態太泰汰			
n	[4]乃奶			
ɬ	[1]□{浪費}[3]洗徙璽			
l	[1]拉孻{～仔：小兒子}[4]攋[5]癩[6]賴			
tʃ	[1]齋[5]債[6]寨			
tʃʰ	[1]猜釵差{出～}[2]豺柴[3]踩			
ȵ	[5]□{嚼}			
ʃ	[5]賽曬			
k	[1]皆階楷佳街[3]解{～放，姓～，了～，押～}[5]介界芥尬疥屆戒誡			
ŋ	[2]涯崖挨{～打}獃{～板}[6]艾			
h	[1]揩[2]孩諧鞋骸{骨～}偕[4]駭{驚～}械懈蟹			
w	[1]歪[2]懷淮[5]塊{一～（石頭），土～}[6]壞			
∅	[1]挨{～近}			
#uai				
k	[1]乖[3]拐[5]怪			
kʰ	[5]快筷			
#ɐi				
p	[1]跛[5]蔽閉[6]敝弊幣陛			
pʰ	[1]批捭紕			
m	[1]□{削}咪{擴音器}[2]迷謎猜{～，～語}靡[4]米			
f	[1]麾[5]廢肺費沸[6]吠			
t	[1]低[3]底抵{～押，～牾}[5]帝蒂諦締[6]弟第遞隸逮			
tʰ	[1]梯銻[2]堤題提蹄啼[3]體睇[5]嚏替涕剃			
n	[2]泥{水～，（糊牆）～子}[1]西犀荽[5]細婿			
l	[2]犁黎麗荔蠣嚟[4]禮[6]例勵			
tʃ	[1]擠劑[3]崽[5]制製祭際濟[6]滯			
tʃʰ	[1]妻淒棲[2]齊臍芥[5]砌			
ʃ	[1]篩[3]使{好～，大～}史駛柿[5]世勢[6]誓逝			
k	[1]雞[2]偈[5]計繼繫{～鞋帶}髻季			
kʰ	[1]稽溪奚[3]啟[5]契			
ŋ	[1]□{求人}[2]倪霓{～虹}桅危偽魏[4]蟻[6]藝			
h	[1]閪{女陰}[3]喺{在}[6]系{～統}係{是}			
