汉字	拼音	拼音	IPA	注释
愷	khai2	khai③	kʰai˥˧	
慨	khai3	khai⑤	kʰai˨˩˨	
呆	ngai5	ngai②	ŋai˥˥	
礙	gai7	gai⑥	gai˨˨	
海	hai2	hai③	hai˥˧	
孩	hai5	hai②	hai˥˥	
亥	hai6	hai④	hai˨˥	
哀	ai1	ai①	ai˦˥	
埃	ai1	ai①	ai˦˥	
唉	ai1	ai①	ai˦˥	
愛	ainn3	ainn⑤	ãi˨˩˨	
貝	pue6	pue④	pue˨˥	
貝	pue3	pue⑤	pue˨˩˨	寶~
沛	phai3	phai⑤	pʰai˨˩˨	
帶	tua3	tua⑤	tua˨˩˨	
泰	thai3	thai⑤	tʰai˨˩˨	
太	thai3	thai⑤	tʰai˨˩˨	
大	tai6	tai④	tai˨˥	文
大	tua7	tua⑥	tua˨˨	白
奈	nai6	nai④	nai˨˥	
賴	lai6	lai④	lai˨˥	文
賴	nai6	nai④	nai˨˥	文
賴	lua7	lua⑥	lua˨˨	白
癩	nai6	nai④	nai˨˥	
蔡	tshua3	tshua⑤	tsʰua˨˩˨	
蓋	kai3	kai⑤	kai˨˩˨	文
蓋	kua3	kua⑤	kua˨˩˨	白
丐	kai3	kai⑤	kai˨˩˨	
艾	ngai6	ngai④	ŋai˨˥	文
艾	hiann7	hiann⑥	hiã˨˨	白
害	hai7	hai⑥	hai˨˨	
藹	ai2	ai③	ai˥˧	
靄	ai2	ai③	ai˥˧	
拜	pai3	pai⑤	pai˨˩˨	
排	phai5	phai②	pʰai˥˥	~場
排	pai5	pai②	pai˥˥	
埋	mai5	mai②	mai˥˥	
齋	tse1	tse①	tsɛ˦˥	
豺	tshai5	tshai②	tsʰai˥˥	
皆	kai1	kai①	kai˦˥	
偕	kai1	kai①	kai˦˥	
稭	kai1	kai①	kai˦˥	
街	koi1	koi①	koi˦˥	
階	kai1	kai①	kai˦˥	
戒	kai3	kai⑤	kai˨˩˨	
芥	kai3	kai⑤	kai˨˩˨	文
芥	kua3	kua⑤	kua˨˩˨	白，~菜
芥	kah4	kah⑦	kaʔ˧˨	替，~藍，鳳凰音
芥	keh4	keh⑦	kɛʔ˧˨	替，~藍，新豐音
尬	kai3	kai⑤	kai˨˩˨	
界	kai3	kai⑤	kai˨˩˨	文
界	koi3	koi⑤	koi˨˩˨	白，地名
介	kai3	kai⑤	kai˨˩˨	
疥	koi3	koi⑤	koi˨˩˨	
届	kai3	kai⑤	kai˨˩˨	
揩	khoi1	khoi①	kʰoi˦˥	
楷	khai2	khai③	kʰai˥˧	
諧	hai5	hai②	hai˥˥	
駭	hai6	hai④	hai˨˥	
械	hai6	hai④	hai˨˥	
挨	ai1	ai①	ai˦˥	文
挨	oi1	oi①	oi˦˥	白
擺	pai2	pai③	pai˥˧	
派	phai3	phai⑤	pʰai˨˩˨	
牌	pai5	pai②	pai˥˥	
罷	pa6	pa④	pa˨˥	
稗	phuenn7	phuenn⑥	pʰuẽ˨˨	
買	bue2	bue③	bue˥˧	
賣	bue7	bue⑥	bue˨˨	
奶	nai2	nai③	nai˥˧	文
奶	ni6	ni④	ni˨˥	小稱
奶	ni1	ni①	ni˦˥	訓
奶	ne1	ne①	nɛ˦˥	替
奶	leng1	leng①	lɛŋ˦˥	替
債	tse3	tse⑤	tsɛ˨˩˨	
釵	thoi1	thoi①	tʰoi˦˥	
差	tshe1	tshe①	tsʰɛ˦˥	
柴	tsha5	tsha②	tsʰa˥˥	訓
篩	sai1	sai①	sai˦˥	~酒
篩	thai1	thai①	tʰai˦˥	
灑	sai3	sai⑤	sai˨˩˨	
灑	sa3	sa⑤	sa˨˩˨	又，瀟~
曬	sai3	sai⑤	sai˨˩˨	
佳	kia1	kia①	kia˦˥	
街	koi1	koi①	koi˦˥	
涯	ngai5	ngai②	ŋai˥˥	
崖	ngai5	ngai②	ŋai˥˥	
鞋	oi5	oi②	oi˥˥	
蟹	hoi6	hoi④	hoi˨˥	
解	hai6	hai④	hai˨˥	文
解	koi2	koi③	koi˥˧	白
解	koi3	koi⑤	koi˨˩˨	白
解	oi6	oi④	oi˨˥	白，會
懈	hai6	hai④	hai˨˥	
矮	oi2	oi③	oi˥˧	
隘	ai2	ai③	ai˥˧	
敗	pai7	pai⑥	pai˨˨	
邁	mai6	mai④	mai˨˥	
寨	tse7	tse⑥	tsɛ˨˨	
蔽	pi7	pi⑥	pi˨˨	
斃	pi7	pi⑥	pi˨˨	
敝	pi7	pi⑥	pi˨˨	
幣	pi6	pi④	pi˨˥	
弊	pi7	pi⑥	pi˨˨	
厲	li6	li④	li˨˥	
勵	li6	li④	li˨˥	
例	li7	li⑥	li˨˨	
祭	tsi3	tsi⑤	tsi˨˩˨	
際	tsi3	tsi⑤	tsi˨˩˨	
穄	tsi3	tsi⑤	tsi˨˩˨	
滯	thi3	thi⑤	tʰi˨˩˨	
制	tsi3	tsi⑤	tsi˨˩˨	
製	tsi3	tsi⑤	tsi˨˩˨	
勢	si3	si⑤	si˨˩˨	
世	si3	si⑤	si˨˩˨	文
世	sua3	sua⑤	sua˨˩˨	白，續
誓	si7	si⑥	si˨˨	文
誓	tsua7	tsua⑥	tsua˨˨	白，咒~
逝	si7	si⑥	si˨˨	文
逝	tsua7	tsua⑥	tsua˨˨	白，次
藝	goi7	goi⑥	goi˨˨	
刈	ngi6	ngi④	ŋi˨˥	
閉	pi7	pi⑥	pi˨˨	
批	phue1	phue①	pʰue˦˥	
陛	pi6	pi④	pi˨˥	
迷	mi5	mi②	mi˥˥	
米	bi2	bi③	bi˥˧	
謎	mi6	mi④	mi˨˥	
堤	toi1	toi①	toi˦˥	
低	ti1	ti①	ti˦˥	
底	ti2	ti③	ti˥˧	文
底	toi2	toi③	toi˥˧	白
抵	ti2	ti③	ti˥˧	文
抵	toi2	toi③	toi˥˧	白
帝	ti3	ti⑤	ti˨˩˨	
梯	thui1	thui①	tʰui˦˥	
體	thi2	thi③	tʰi˥˧	文
體	thoinn2	thoinn③	tʰõi˥˧	白
替	thi3	thi⑤	tʰi˨˩˨	文
替	thoi3	thoi⑤	tʰoi˨˩˨	白
涕	thi3	thi⑤	tʰi˨˩˨	
剃	thi3	thi⑤	tʰi˨˩˨	
提	thi5	thi②	tʰi˥˥	
題	toi5	toi②	toi˥˥	
蹄	toi5	toi②	toi˥˥	
啼	thi5	thi②	tʰi˥˥	
弟	ti6	ti④	ti˨˥	
第	ti6	ti④	ti˨˥	文
第	toinn6	toinn④	tõi˨˥	白
遞	ti5	ti②	ti˥˥	
遞	ti6	ti④	ti˨˥	
泥	ni5	ni②	ni˥˥	
犁	li5	li②	li˥˥	文
犁	loi5	loi②	loi˥˥	白
黎	li5	li②	li˥˥	文
黎	loi5	loi②	loi˥˥	白，姓氏
禮	li2	li③	li˥˧	文，少~
禮	loi2	loi③	loi˥˧	白
麗	li6	li④	li˨˥	
隸	ti6	ti④	ti˨˥	
擠	tsinn3	tsinn⑤	tsĩ˨˩˨	
濟	tsi3	tsi⑤	tsi˨˩˨	
濟	tsoi7	tsoi⑥	tsoi˨˨	替
妻	tshi1	tshi①	tsʰi˦˥	
凄	tshi1	tshi①	tsʰi˦˥	
齊	tshi5	tshi②	tsʰi˥˥	文
齊	tsoi5	tsoi②	tsoi˥˥	白
臍	tsai5	tsai②	tsai˥˥	
薺	tshi5	tshi②	tsʰi˥˥	
薺	tsinn5	tsinn②	tsĩ˥˥	~葱，荸薺
西	si1	si①	si˦˥	文
西	sai1	sai①	sai˦˥	白
棲	tshi1	tshi①	tsʰi˦˥	
犀	sai1	sai①	sai˦˥	
洗	soi2	soi③	soi˥˧	
細	soi3	soi⑤	soi˨˩˨	
婿	sai3	sai⑤	sai˨˩˨	
雞	koi1	koi①	koi˦˥	
稽	ki1	ki①	ki˦˥	
計	ki3	ki⑤	ki˨˩˨	文，夥~
計	koi3	koi⑤	koi˨˩˨	白
繼	ki3	ki⑤	ki˨˩˨	
溪	khoi1	khoi①	kʰoi˦˥	
啟	khi2	khi③	kʰi˥˧	
契	khoi3	khoi⑤	kʰoi˨˩˨	
倪	goi5	goi②	goi˥˥	
詣	tsi2	tsi③	tsi˥˧	俗
兮	hi1	hi①	hi˦˥	
奚	hi5	hi②	hi˥˥	
蹊	khi1	khi①	kʰi˦˥	俗
系	hi6	hi④	hi˨˥	
繫	hi6	hi④	hi˨˥	
係	hi6	hi④	hi˨˥	
縊	i3	i⑤	i˨˩˨	
杯	pue1	pue①	pue˦˥	
輩	pue3	pue⑤	pue˨˩˨	
背	pue6	pue④	pue˨˥	文，動詞
背	pue3	pue⑤	pue˨˩˨	文，名詞
背	pi3	pi⑤	pi˨˩˨	替，動詞
坯	phue1	phue①	pʰue˦˥	
胚	phue1	phue①	pʰue˦˥	
配	phue3	phue⑤	pʰue˨˩˨	
培	pue5	pue②	pue˥˥	
陪	pue5	pue②	pue˥˥	
賠	pue5	pue②	pue˥˥	
倍	pue6	pue④	pue˨˥	
佩	pue6	pue④	pue˨˥	
媒	bue5	bue②	bue˥˥	
枚	bue5	bue②	bue˥˥	
玫	bun5	bun②	bun˥˥	俗
梅	bue5	bue②	bue˥˥	
莓	bue5	bue②	bue˥˥	
莓	m7	m⑥	m˨˨	覆盆子
每	mue2	mue③	mue˥˧	
昧	mue6	mue④	mue˨˥	
妹	mue7	mue⑥	mue˨˨	
堆	tui1	tui①	tui˦˥	
堆	tu1	tu①	tu˦˥	口語
對	tui3	tui⑤	tui˨˩˨	
推	thui1	thui①	tʰui˦˥	新
推	tshui1	tshui①	tsʰui˦˥	文
推	tho1	tho①	tʰo˦˥	白
腿	thui2	thui③	tʰui˥˧	
退	tho3	tho⑤	tʰo˨˩˨	
頽	thue5	thue②	tʰue˥˥	
隊	tui7	tui⑥	tui˨˨	
餒	nue2	nue③	nue˥˧	
内	lai6	lai④	lai˨˥	訓“裏”
雷	lui5	lui②	lui˥˥	
儡	lui2	lui③	lui˥˧	
催	tshui1	tshui①	tsʰui˦˥	
崔	tshui1	tshui①	tsʰui˦˥	
罪	tsue6	tsue④	tsue˨˥	
罪	tso6	tso④	tso˨˥	白，得~
碎	tshui3	tshui⑤	tsʰui˨˩˨	
瑰	kui3	kui⑤	kui˨˩˨	
盔	khue1	khue①	kʰue˦˥	
魁	khue1	khue①	kʰue˦˥	
詼	khue1	khue①	kʰue˦˥	
恢	hue1	hue①	hue˦˥	
傀	kui2	kui③	kui˥˧	
塊	ko3	ko⑤	ko˨˩˨	俗
塊	to4	to⑤	to˨˩˨	又
灰	hue1	hue①	hue˦˥	
灰	hu1	hu①	hu˦˥	替
悔	hue3	hue⑤	hue˨˩˨	
賄	iu6	iu④	iu˨˥	俗
晦	hue3	hue⑤	hue˨˩˨	
回	hue5	hue②	hue˥˥	
匯	hue6	hue④	hue˨˥	
潰	khui6	khui④	kʰui˨˥	
兑	tue6	tue④	tue˨˥	
最	tsue3	tsue⑤	tsue˨˩˨	
劊	kuai3	kuai⑤	kuai˨˩˨	
會	kuai3	kuai⑤	kuai˨˩˨	
外	gua7	gua⑥	gua˨˨	
會	hue6	hue④	hue˨˥	
會	oi6	oi④	oi˨˥	訓“解”
繪	kuai3	kuai⑤	kuai˨˩˨	
乖	kuai1	kuai①	kuai˦˥	
怪	kuai3	kuai⑤	kuai˨˩˨	文
怪	kue3	kue⑤	kue˨˩˨	白，無~
淮	huai5	huai②	huai˥˥	
懷	huai5	huai②	huai˥˥	
槐	huai5	huai②	huai˥˥	
壞	huai6	huai④	huai˨˥	
拐	kuai2	kuai③	kuai˥˧	
掛	khua3	khua⑤	kʰua˨˩˨	文
掛	kua3	kua⑤	kua˨˩˨	佩戴
掛	kue3	kue⑤	kue˨˩˨	白，~紙
卦	kua3	kua⑤	kua˨˩˨	文
卦	kue3	kue⑤	kue˨˩˨	白
歪	uai1	uai①	uai˦˥	
畫	ue7	ue⑥	ue˨˨	名詞
畫	ueh8	ueh⑧	ueʔ˥˦	動詞
快	khuai3	khuai⑤	kʰuai˨˩˨	文
快	khue3	khue⑤	kʰue˨˩˨	白
快	khuann3	khuann⑤	kʰuã˨˩˨	白，~活
筷	khuai3	khuai⑤	kʰuai˨˩˨	
話	ue7	ue⑥	ue˨˨	
脆	tshui3	tshui⑤	tsʰui˨˩˨	
脆	tshui2	tshui③	tsʰui˥˧	又
歲	sue3	sue⑤	sue˨˩˨	
歲	hue3	hue⑤	hue˨˩˨	白
彗	hui6	hui④	hui˨˥	
綴	tshuak4	tshuak⑦	tsʰuat˧˨	
綴	tue3	tue⑤	tue˨˩˨	
贅	tsui6	tsui④	tsui˨˥	
税	sue3	sue⑤	sue˨˩˨	
説	sueh4	sueh⑦	sueʔ˧˨	
衛	ue6	ue④	ue˨˥	
鋭	jue6	jue④	dzue˨˥	
廢	hui3	hui⑤	hui˨˩˨	
肺	hui3	hui⑤	hui˨˩˨	
吠	pui7	pui⑥	pui˨˨	
穢	ue3	ue⑤	ue˨˩˨	
圭	kui1	kui①	kui˦˥	
閨	kui1	kui①	kui˦˥	
桂	kui3	kui⑤	kui˨˩˨	
奎	khui5	khui②	kʰui˥˥	
携	hi6	hi④	hi˨˥	
慧	hui6	hui④	hui˨˥	
惠	hui6	hui④	hui˨˥	
卑	pi1	pi①	pi˦˥	
碑	pi1	pi①	pi˦˥	
彼	pi2	pi③	pi˥˧	
俾	pi2	pi③	pi˥˧	
臂	pi3	pi⑤	pi˨˩˨	
披	phi1	phi①	pʰi˦˥	
譬	phi3	phi⑤	pʰi˨˩˨	
皮	phi5	phi②	pʰi˥˥	文
皮	phue5	phue②	pʰue˥˥	白
疲	phi5	phi②	pʰi˥˥	
脾	phi5	phi②	pʰi˥˥	文
脾	pi5	pi②	pi˥˥	
被	pi6	pi④	pi˨˥	文
被	phue6	phue④	pʰue˨˥	白，名詞
婢	pi6	pi④	pi˨˥	
避	pi7	pi⑥	pi˨˨	
糜	mi5	mi②	mi˥˥	文
糜	mue5	mue②	mue˥˥	白，粥
彌	ni2	ni③	ni˥˧	
靡	mi5	mi②	mi˥˥	
籬	li5	li②	li˥˥	
離	li5	li②	li˥˥	
離	li7	li⑥	li˨˨	
璃	li5	li②	li˥˥	
麗	li5	li②	li˥˥	
荔	li6	li④	li˨˥	文
荔	noi7	noi⑥	nõi˨˨	白，~果，荔枝
紫	tsi2	tsi③	tsi˥˧	
雌	tshur5	tshur②	tsʰɯ˥˥	
此	tshur2	tshur③	tsʰɯ˥˧	
刺	tshng3	tshng⑤	tsʰŋ˨˩˨	
刺	tshi3	tshi⑤	tsʰi˨˩˨	名詞
刺	tshiah4	tshiah⑦	tsʰiaʔ˧˨	白
疵	tshur1	tshur①	tsʰɯ˦˥	
斯	sur1	sur①	sɯ˦˥	
撕	sur1	sur①	sɯ˦˥	
厮	sur1	sur①	sɯ˦˥	
璽	jur2	jur③	dzɯ˥˧	俗
徙	sua2	sua③	sua˥˧	
賜	sur3	sur⑤	sɯ˨˩˨	
知	ti1	ti①	ti˦˥	文
知	ti3	ti⑤	ti˨˩˨	~識
知	tsai1	tsai①	tsai˦˥	俗
智	ti3	ti⑤	ti˨˩˨	
池	ti5	ti②	ti˥˥	
馳	tshi5	tshi②	tsʰi˥˥	
支	tsinn1	tsinn①	tsĩ˦˥	
支	ki1	ki①	ki˦˥	白
枝	ki1	ki①	ki˦˥	
肢	tsinn1	tsinn①	tsĩ˦˥	
肢	ki1	ki①	ki˦˥	白
梔	ki1	ki①	ki˦˥	
只	tsi2	tsi③	tsi˥˧	
紙	tsua2	tsua③	tsua˥˧	
侈	tshi2	tshi③	tsʰi˥˧	
施	si1	si①	si˦˥	
豕	si2	si③	si˥˧	
翅	tshi3	tshi⑤	tsʰi˨˩˨	魚~
翅	thi3	thi⑤	tʰi˨˩˨	
匙	si5	si②	si˥˥	
是	si6	si④	si˨˥	
氏	si6	si④	si˨˥	
豉	si7	si⑥	si˨˨	
兒	ji5	ji②	dzi˥˥	
兒	ni1	ni①	ni˦˥	白
爾	jur2	jur③	dzɯ˥˧	
羈	ki1	ki①	ki˦˥	
寄	kia3	kia⑤	kia˨˩˨	
企	ki6	ki④	ki˨˥	
企	khia6	khia④	kʰia˨˥	訓，~鵝
奇	khi5	khi②	kʰi˥˥	
奇	khia1	khia①	kʰia˦˥	
騎	khia5	khia②	kʰia˥˥	
歧	khi5	khi②	kʰi˥˥	
歧	ki5	ki②	ki˥˥	
技	ki6	ki④	ki˨˥	
妓	ki6	ki④	ki˨˥	
徛	khia6	khia④	kʰia˨˥	
宜	ngi5	ngi②	ŋi˥˥	
儀	ngi5	ngi②	ŋi˥˥	
蟻	hia6	hia④	hia˨˥	
義	ngi6	ngi④	ŋi˨˥	
議	ngi2	ngi③	ŋi˥˧	
誼	ngi3	ngi⑤	ŋi˨˩˨	
犧	hi1	hi①	hi˦˥	
桸	hia1	hia①	hia˦˥	
戲	hi3	hi⑤	hi˨˩˨	
椅	inn2	inn③	ĩ˥˧	
倚	i2	i③	i˥˧	文
倚	ua2	ua③	ua˥˧	白
移	i5	i②	i˥˥	
易	i6	i④	i˨˥	文
易	ek8	ek⑧	ɛk˥˦	文
易	iah8	iah⑧	iaʔ˥˦	白，~經
易	goi7	goi⑥	goi˨˨	訓
悲	pui1	pui①	pui˦˥	
鄙	phi2	phi③	pʰi˥˧	
比	pi2	pi③	pi˥˧	
庇	pi3	pi⑤	pi˨˩˨	
痹	pi3	pi⑤	pi˨˩˨	
泌	pi3	pi⑤	pi˨˩˨	
秘	pi3	pi⑤	pi˨˩˨	
痞	phi2	phi③	pʰi˥˧	文
痞	phainn2	phainn③	pʰãi˥˧	白
丕	phi2	phi③	pʰi˥˧	
屁	phui3	phui⑤	pʰui˨˩˨	
琵	pi5	pi②	pi˥˥	
備	pi6	pi④	pi˨˥	
鼻	phinn7	phinn⑥	pʰĩ˨˨	
篦	pin3	pin⑤	pin˨˩˨	
眉	bai5	bai②	bai˥˥	
楣	bai5	bai②	bai˥˥	
霉	bue5	bue②	bue˥˥	
美	mui2	mui③	mui˥˧	
媚	mi6	mi④	mi˨˥	
寐	mue6	mue④	mue˨˥	
地	ti7	ti⑥	ti˨˨	
地	to3	to⑤	to˨˩˨	俗，同“快”
尼	ni5	ni②	ni˥˥	
呢	ni1	ni①	ni˦˥	
呢	ni5	ni②	ni˥˥	
呢	ne1	ne①	nɛ˦˥	替
膩	jur6	jur④	dzɯ˨˥	文
膩	ji7	ji⑥	dzi˨˨	白
梨	lai5	lai②	lai˥˥	
履	li2	li③	li˥˧	
利	li6	li④	li˨˥	文
利	lai7	lai⑥	lai˨˨	白
咨	tsur1	tsur①	tsɯ˦˥	
資	tsur1	tsur①	tsɯ˦˥	
姿	tsur1	tsur①	tsɯ˦˥	
姊	tsi2	tsi③	tsi˥˧	
次	tshur3	tshur⑤	tsʰɯ˨˩˨	
瓷	tshur5	tshur②	tsʰɯ˥˥	
糍	tsi5	tsi②	tsi˥˥	
自	tsur7	tsur⑥	tsɯ˨˨	
私	sur1	sur①	sɯ˦˥	文
私	si1	si①	si˦˥	白，家~
私	sai1	sai①	sai˦˥	俗
死	si2	si③	si˥˧	
四	si3	si⑤	si˨˩˨	
肆	sur3	sur⑤	sɯ˨˩˨	文
肆	si3	si⑤	si˨˩˨	
致	ti3	ti⑤	ti˨˩˨	
遲	tshi5	tshi②	tsʰi˥˥	
稚	tsinn2	tsinn③	tsĩ˥˧	訓
師	sur1	sur①	sɯ˦˥	文
師	sai1	sai①	sai˦˥	白
獅	sai1	sai①	sai˦˥	
柿	sai6	sai④	sai˨˥	
脂	tsinn1	tsinn①	tsĩ˦˥	
指	tsi2	tsi③	tsi˥˧	
指	tsng2	tsng③	tsŋ˥˧	訓，~甲
指	tsoinn2	tsoinn③	tsõi˥˧	白，手~
指	ki2	ki③	ki˥˧	白，動詞
旨	tsi2	tsi③	tsi˥˧	
至	tsi3	tsi⑤	tsi˨˩˨	
示	si7	si⑥	si˨˨	
尸	si1	si①	si˦˥	
矢	si2	si③	si˥˧	
屎	sai2	sai③	sai˥˧	
視	si7	si⑥	si˨˨	
二	ji6	ji④	dzi˨˥	變調
二	ji7	ji⑥	dzi˨˨	
貳	ji6	ji④	dzi˨˥	變調
貳	ji7	ji⑥	dzi˨˨	
肌	ki1	ki①	ki˦˥	
飢	ki1	ki①	ki˦˥	
几	ki2	ki③	ki˥˧	
冀	ki3	ki⑤	ki˨˩˨	
器	khi3	khi⑤	kʰi˨˩˨	
棄	khi3	khi⑤	kʰi˨˩˨	
祈	khi5	khi②	kʰi˥˥	
伊	i1	i①	i˦˥	
懿	i6	i④	i˨˥	
夷	i5	i②	i˥˥	
姨	i5	i②	i˥˥	
肄	i3	i⑤	i˨˩˨	
你	lur2	lur③	lɯ˥˧	
厘	li5	li②	li˥˥	
李	li2	li③	li˥˧	
理	li2	li③	li˥˧	
里	li2	li③	li˥˧	
裏	li2	li③	li˥˧	文
裏	lai6	lai④	lai˨˥	白
鯉	li2	li③	li˥˧	
吏	li7	li⑥	li˨˨	
兹	tsur1	tsur①	tsɯ˦˥	
滋	tsur1	tsur①	tsɯ˦˥	
子	tsur2	tsur③	tsɯ˥˧	文
子	tsi2	tsi③	tsi˥˧	白
仔	tsur2	tsur③	tsɯ˥˧	
仔	tsai2	tsai③	tsai˥˧	
仔	kiann2	kiann③	kiã˥˧	訓
梓	tsur2	tsur③	tsɯ˥˧	
磁	tshur5	tshur②	tsʰɯ˥˥	
慈	tshur5	tshur②	tsʰɯ˥˥	
字	jur6	jur④	dzɯ˨˥	文
字	ji7	ji⑥	dzi˨˨	白
司	sur1	sur①	sɯ˦˥	文
司	si1	si①	si˦˥	白
絲	si1	si①	si˦˥	
思	sur1	sur①	sɯ˦˥	文
思	sur3	sur⑤	sɯ˨˩˨	文，意~
思	si1	si①	si˦˥	白，相~
伺	sur6	sur④	sɯ˨˥	
辭	sur5	sur②	sɯ˥˥	文
辭	si5	si②	si˥˥	白
詞	sur5	sur②	sɯ˥˥	
祠	sur5	sur②	sɯ˥˥	
巳	tsi6	tsi④	tsi˨˥	
祀	sur6	sur④	sɯ˨˥	
似	sur6	sur④	sɯ˨˥	
寺	si7	si⑥	si˨˨	
嗣	sur5	sur②	sɯ˥˥	
飼	sur6	sur④	sɯ˨˥	文
飼	tshi7	tshi⑥	tsʰi˨˨	白
置	ti3	ti⑤	ti˨˩˨	
痴	tshi1	tshi①	tsʰi˦˥	
恥	tshi2	tshi③	tsʰi˥˧	
持	thi5	thi②	tʰi˥˥	
持	ti5	ti②	ti˥˥	记~
峙	sur6	sur④	sɯ˨˥	
痔	thi6	thi④	tʰi˨˥	
治	ti7	ti⑥	ti˨˨	
治	ti6	ti④	ti˨˥	
治	thai5	thai②	tʰai˥˥	白
輜	tsur1	tsur①	tsɯ˦˥	
廁	tshe3	tshe⑤	tsʰɛ˨˩˨	
俟	sur6	sur④	sɯ˨˥	
士	sur6	sur④	sɯ˨˥	
事	sur7	sur⑥	sɯ˨˨	文
事	tai7	tai⑥	tai˨˨	白
史	sur2	sur③	sɯ˥˧	文
史	sai2	sai③	sai˥˧	白，姓氏
使	sai2	sai③	sai˥˧	
使	sai3	sai⑤	sai˨˩˨	
駛	sai2	sai③	sai˥˧	
芝	tsur1	tsur①	tsɯ˦˥	
之	tsur1	tsur①	tsɯ˦˥	
址	tsi2	tsi③	tsi˥˧	
止	tsi2	tsi③	tsi˥˧	
趾	tsi2	tsi③	tsi˥˧	
志	tsi3	tsi⑤	tsi˨˩˨	
誌	tsi3	tsi⑤	tsi˨˩˨	
痣	ki3	ki⑤	ki˨˩˨	
齒	tshi2	tshi③	tsʰi˥˧	文
齒	khi2	khi③	kʰi˥˧	白
詩	si1	si①	si˦˥	
始	sur2	sur③	sɯ˥˧	
試	tshi3	tshi⑤	tsʰi˨˩˨	
時	si5	si②	si˥˥	
市	tshi6	tshi④	tsʰi˨˥	
恃	si6	si④	si˨˥	
侍	si6	si④	si˨˥	
而	jur5	jur②	dzɯ˥˥	
耳	jur2	jur③	dzɯ˥˧	文
耳	hinn6	hinn④	hĩ˨˥	白
基	ki1	ki①	ki˦˥	
姬	ki1	ki①	ki˦˥	
己	ki2	ki③	ki˥˧	
紀	ki2	ki③	ki˥˧	
紀	ki3	ki⑤	ki˨˩˨	
記	ki3	ki⑤	ki˨˩˨	
欺	khi1	khi①	kʰi˦˥	
起	khi2	khi③	kʰi˥˧	
杞	khi2	khi③	kʰi˥˧	
棋	ki5	ki②	ki˥˥	
其	khi5	khi②	kʰi˥˥	
旗	ki5	ki②	ki˥˥	
期	khi5	khi②	kʰi˥˥	
忌	ki6	ki④	ki˨˥	文
忌	khi7	khi⑥	kʰi˨˨	白
疑	gi5	gi②	gi˥˥	
擬	ngi2	ngi③	ŋi˥˧	
嘻	hi1	hi①	hi˦˥	
嬉	hi1	hi①	hi˦˥	
禧	hi1	hi①	hi˦˥	
熙	hi1	hi①	hi˦˥	
喜	hi2	hi③	hi˥˧	
醫	ui1	ui①	ui˦˥	
意	i3	i⑤	i˨˩˨	
矣	i7	i⑥	i˨˨	
怡	i5	i②	i˥˥	
貽	i5	i②	i˥˥	
已	inn2	inn③	ĩ˥˧	
以	inn2	inn③	ĩ˥˧	
異	i6	i④	i˨˥	
機	ki1	ki①	ki˦˥	文
機	kui1	kui①	kui˦˥	白
譏	ki1	ki①	ki˦˥	
饑	ki1	ki①	ki˦˥	
幾	ki1	ki①	ki˦˥	
幾	ki2	ki③	ki˥˧	文
幾	kui2	kui③	kui˥˧	白
既	ki3	ki⑤	ki˨˩˨	
豈	kha2	kha③	kʰa˥˧	
氣	khi3	khi⑤	kʰi˨˩˨	文
氣	khui3	khui⑤	kʰui˨˩˨	白
汽	khi3	khi⑤	kʰi˨˩˨	
祈	khi5	khi②	kʰi˥˥	
沂	khi5	khi②	kʰi˥˥	俗
毅	ngi3	ngi⑤	ŋi˨˩˨	
希	hi1	hi①	hi˦˥	
稀	hi1	hi①	hi˦˥	
依	i1	i①	i˦˥	
衣	i1	i①	i˦˥	文
衣	ui1	ui①	ui˦˥	白
累	lui2	lui③	lui˥˧	
累	lui7	lui⑥	lui˨˨	
嘴	tshui3	tshui⑤	tsʰui˨˩˨	訓“喙”
髓	tshue2	tshue③	tsʰue˥˧	
隨	sui5	sui②	sui˥˥	
吹	tshue1	tshue①	tsʰue˦˥	
炊	tshue1	tshue①	tsʰue˦˥	
垂	sui5	sui②	sui˥˥	文
垂	sue5	sue②	sue˥˥	白
睡	sui6	sui④	sui˨˥	
瑞	sui6	sui④	sui˨˥	
蕊	lui2	lui③	lui˥˧	
規	kui1	kui①	kui˦˥	
詭	kui2	kui③	kui˥˧	
虧	khui1	khui①	kʰui˦˥	
窺	kui1	kui①	kui˦˥	
跪	kuinn6	kuinn④	kũi˨˥	
危	ngui5	ngui②	ŋui˥˥	
偽	ngui6	ngui④	ŋui˨˥	
麾	hui1	hui①	hui˦˥	
毀	huinn2	huinn③	hũi˥˧	
委	ui2	ui③	ui˥˧	
喂	ui2	ui③	ui˥˧	
為	ui5	ui②	ui˥˥	
為	ui7	ui⑥	ui˨˨	
壘	lui2	lui③	lui˥˧	
類	lui7	lui⑥	lui˨˨	
淚	lui6	lui④	lui˨˥	
醉	tsui3	tsui⑤	tsui˨˩˨	
翠	tshui3	tshui⑤	tsʰui˨˩˨	
悴	tsui6	tsui④	tsui˨˥	
綏	sui5	sui②	sui˥˥	
雖	sui1	sui①	sui˦˥	
荽	sui1	sui①	sui˦˥	
粹	tsui6	tsui④	tsui˨˥	
遂	sui5	sui②	sui˥˥	
隧	sui7	sui⑥	sui˨˨	
穗	sui7	sui⑥	sui˨˨	
追	tui1	tui①	tui˦˥	
槌	thui1	thui①	tʰui˦˥	
錘	tui5	tui②	tui˥˥	
錘	thui5	thui②	tʰui˥˥	
