音標	調類	調值	
bʰa	2	33	爬琶杷鈀
bʰa	5	14	怕
bʰa	6	34	耙罷
bʰai	2	33	排牌簰
bʰai	5	14	派
bʰai	6	34	稗敗
bʰaiʔ	7	5	拔
bʰan	5	14	盼襻
bʰan	6	34	辦
bʰan	1	212	扳
bʰaʔ	7	5	帕拍魄白
bʰi	5	14	沛配佩焙屁
bʰi	6	34	背敝弊幣斃陛倍被婢被避庇備
bʰi	1	212	批胚坯披丕
bʰi	2	33	培陪賠裴皮疲脾琵枇
bʰiaʔ	7	5	劈
bʰin	3	41	品
bʰin	2	33	貧頻憑評
bʰin	5	14	聘
bʰin	1	212	姘
bʰin	6	34	並
bʰinʔ	7	5	鼻
bʰiɑu	1	212	飄
bʰiɑu	2	33	瓢嫖
bʰiɑu	3	41	漂剖
bʰiɑu	5	14	票漂
bʰiɑŋ	2	33	平坪瓶屏萍
bʰiɑŋ	6	34	病
bʰiɑŋ	1	212	拼
bʰiɛn	1	212	篇偏
bʰiɛn	2	33	便
bʰiɛn	6	34	辨辯汴便辮
bʰiɛn	5	14	騙騙片
bʰiɛnʔ	7	5	别撇
bʰiʔ	7	5	匹僻闢
bʰo	1	212	頗坡
bʰo	2	33	婆
bʰo	5	14	破
bʰoʔ	7	5	薄泊薄泊雹
bʰu	1	212	鋪
bʰu	2	33	蒲菩脯
bʰu	3	41	譜普浦捕
bʰu	6	34	部簿步埠埠
bʰu	5	14	铺
bʰuʔ	7	5	樸朴卜撲仆僕曝瀑
bʰɑu	2	33	袍刨麅
bʰɑu	6	34	抱暴菢鉋
bʰɑu	1	212	泡抛
bʰɑu	3	41	跑
bʰɑu	5	14	炮泡
bʰɑŋ	1	212	烹
bʰɑŋ	2	33	彭膨
bʰən	1	212	噴
bʰən	2	33	盆朋棚篷蓬
bʰən	6	34	笨
bʰən	5	14	噴
bʰən	3	41	捧
bʰənʔ	7	5	勃𡋯餑
bʰɛʔ	7	5	迫
bʰœn	6	34	瓣伴拌
bʰœn	1	212	攀潘
bʰœn	2	33	盤
bʰœn	5	14	絆判叛
bʰœnʔ	7	5	潑
bʰɔŋ	1	212	滂
bʰɔŋ	2	33	旁螃肨龐
bʰɔŋ	6	34	傍蚌蚌
bʰɔŋ	5	14	胖
dʰa	1	212	他車
dʰa	3	41	扯
dʰai	6	34	大待怠殆貸代大
dʰai	1	212	胎
dʰai	2	33	臺苔抬
dʰai	3	41	奤
dʰai	5	14	態太泰
dʰaiʔ	7	5	踏搨沓塔榻塌溻達
dʰan	1	212	坍灘攤
dʰan	2	33	談痰檀壇彈
dʰan	3	41	毯坦
dʰan	6	34	淡誕但彈蛋
dʰan	5	14	炭嘆
dʰaʔ	7	5	赤尺
dʰi	3	41	呂稆旅縷屢體禮腿儡履李里裏理鯉累壘
