#符号说明：-白=文/书*俗?待考	
#调值	[1]³³⁴[2]¹¹²[3]⁵⁵[6]³²⁴[7]⁵[8]¹³
#ɿ	
Ø	[1]淤郁[2]余与儒于盂榆逾愉喻[3]汝寓宇禹羽[6]御誉预豫虞娱吁愈裕欲

#ɑ	
p	[1]芭褒鲍[3]霸堡[6]罢{~工}爆雹瀑 
pʰ	[2]跑[3]怕
m	[2]麻{~烦}[3]马卯{子丑寅~}[6]骂冒貌{礼~}
t	[3]岛打[6]大{~概}大{~夫}导稻
tʰ	[1]他滔涛
n	[3]哪那
l	[2]涝扰[3]老{~师}
ts	[1]遭昭沼诏眨[3]炸{~弹}澡[6]赵兆
tsʰ	[1]钗差{出~}超[2]查
s	[1]奢[2]韶[6]绍{介~} 
k	[3]界芥疥戒尬
x	[2]豪壕[6]浩
Ø	[3]奥懊澳沃

#iɑ	
m	[3]渺妙[6]谬
l	[2]燎聊辽掠[3]瞭{~解}[6]疗略
tɕ	[1]茄{番~}傢佳1郊狡樵骄[2]瘸[3]稼佳2较校{上~}矫 
tɕʰ	[1]悄[2]巢剿乔侨
ȵ	[2]尧[6]尿{~素}
ɕ	[1]梢捎鞘嚣消[2]霞瑕遐[3]侥[6]厦{大~}夏{姓}厦{~门}暇效校{学~}下
Ø	[1]要{~求}[2]耶涯谣衙姚[3]雅亚咬肴淆[6]邀耀跃

#uɑ	
k	[1]瓜[3]剐
kʰ	[1]夸[3]垮跨
x	[2]华{中~；姓}桦
Ø	[1]蛙洼挖

#ɛ	
t	[6]待怠贷
tʰ	[2]台{~州：地名}[3]态泰
n	[3]乃[6]奈
ts	[1]栽[3]载{年~}载{满~}寨在
tsʰ	[2]柴才{人~}纔[3]采睬蔡灿
s	[3]赛
k	[3]改{劳~}概溉丐
ŋ	[2]崖
x	[2]孩
Ø	[1]哀埃挨{~近}[3]爱

#iɛ	
tɕ	[1]皆阶[3]者介届解{~放}界
tɕʰ	[1]楷
ɕ	[2]谐[3]懈[6]械
Ø	[6]也

#uɛ	
s	[3]摔
kʰ	[3]蒯筷
x	[1]歪[2]槐淮

#yɛ	
ɕ	[3]帅率{~领}

#ei	
p	[1]裴卑婢悲[6]佩焙备
pʰ	[2]赔培[3]沛
m	[3]美
n	[6]类

#iᴇ	
tɕʰ	[2]茄{~子}斜
ɕ	[2]邪[3]泻卸舍{宿~}

#uei	
t	[3]兑[6]队
l	[3]吕旅虑屡儡累{劳~}履累{~积}累{连~}垒[6]锐
ts	[6]罪
tsʰ	[1]崔[3]脆翠粹[6]睡瑞
s	[2]谁[3]岁{万~}秽[6]遂隧穗
k	[1]窥[3]会1{~计}桂刽桧圭闺诡[6]溃绘
kʰ	[1]魁奎逵[3]傀会2{~计}愧
x	[1]恢挥辉灰[3]贿
Ø	[2]为{作~}唯违[3]惠慧萎委讳伟苇畏慰[6]卫伪未纬胃谓猬彙{词~}

#uə	
Ø	[1]蜗

#ɤ̞	
s	[2]佘

#iɤ̞	
ɕ	[1]稍

#əɯ	
p	[1]豹
pʰ	[1]颇抛[2]婆
m	[1]魔摩[2]模{~范}摹谋矛[3]某母[6]暮慕募茂贸幕
f	[3]否[6]负{~责}阜
t	[3]逗
tʰ	[2]投
ts	[3]走昼
tsʰ	[2]愁稠柔
s	[3]叟
kʰ	[3]叩寇
ŋ	[3]偶{~然}
x	[1]吼[2]侯喉猴
Ø	[1]欧瓯呕殴[2]儿而[3]耳[6]二

#iəɯ	
l	[2]硫琉[3]缕
tɕ	[1]鸠纠[3]宙咎究{研~}[6]袖{领~}售袖
tɕʰ	[2]囚
ɕ	[1]休[3]羞朽嗅
Ø	[1]忧优幽[2]尤邮犹[3]酉[6]诱又右

#æ᷉	
p	[1]颁攀般[6]绊
pʰ	[1]襻潘[2]彭膨[3]盼瓣判叛
m	[6]迈漫
f	[1]番[2]凡帆乏藩繁[3]泛[6]范{姓}範
t	[1]担{~心}丹{人~}[3]胆旦{元~}[6]诞但弹{子~}蛋
tʰ	[2]谭橝墰团{~结}[3]探坦叹
l	[2]鸾[3]览揽榄缆
ts	[1]沾[3]斩蘸瞻占{~卜}赞展毡战颤[6]暂站{车~}栈
tsʰ	[1]参{~加}惨餐篡[2]惭谗馋残蝉禅{~宗}[3]产{生~}
s	[1]珊
k	[1]尴干{天~}[3]感橄杆擀
kʰ	[1]堪刊铅1[3]凯慨坎砍勘看
x	[1]憨[2]含{包~}函衔韩罕[3]喊汉{~族}[6]憾酣鼾旱翰
Ø	[1]按

#iɛ᷉	
p	[6]辨辩汴便{方~}
pʰ	[1]蝙
m	[2]绵[3]免勉娩[6]缅
t	[1]颠[3]掂□{~子：毽子}[6]电奠佃
l	[2]廉怜恋连[3]脸[6]链
tɕ	[1]兼艰奸{强~}涧坚[3]碱鉴舰检简柬拣谏荐检剑[6]渐俭践羡件{文~}键健
tɕʰ	[1]歼谦迁遣笺铅2[2]潜钦钱{姓}乾全泉旋钳[3]歉
ȵ	[1]拈[2]言研{~究}[6]验撵
ɕ	[1]鲜{朝~}宣喧[2]闲轩贤[3]险宪献显选[6]限善膳单{姓}县
Ø	[2]炎阎{姓}然谚焉延沿盐[3]淹掩艳雁晏演砚燕{~子}宴[6]陷

#uæ᷉	
t	[6]断{决~}锻段缎
k	[1]观{参~}[3]贯灌冠{~军}罐
x	[2]桓环[3]唤焕[6]患宦
Ø	[1]豌弯[2]完丸[3]缓皖腕晚挽[6]玩顽幻

#yɛ᷉	
