tsɿ	1	姿资咨兹滋	
tsɿ	2	瓷磁词辞祠糍慈	
tsɿ	3	紫子姊梓滓	
tsɿ	6	自寺字	
tsʰɿ	1	雌	
tsʰɿ	3	此	
tsʰɿ	5b	刺赐次	
sɿ	1	斯撕私司丝思	
sɿ	3	死	
sɿ	5a	四肆	
tʂʅ	1	知蜘支枝肢之芝	
tʂʅ	2	迟驰池持	
tʂʅ	3	纸旨指止趾址只[～有]	
tʂʅ	5a	制智翅致至志置痣	
tʂʅ	6	痔治	
tʂʰʅ	7	执汁质织职	
tʂʰʅ	3	匙耻齿	
tʂʰʅ	7	侄植秩直值殖	
ʂʅ	1	施尸诗师狮	
ʂʅ	2	时	
ʂʅ	3	使矢屎始史驶	
ʂʅ	5a	世势示逝视试式	
ʂʅ	6	是士仕柿事市	
ʂʅ	7	十拾实食蚀湿识室石失	
pi	2	皮疲脾琵	
pi	3	彼比鄙	
pi	5a	贝-避毙	
pi	6	币被[～子]备	
pi	7	笔毕必弼璧壁逼	
pʰi	1	披批	
pʰi	5a	屁配-	
pʰi	7	别撇匹劈鼻	
mi	2	迷谜眉楣	
mi	3	米美	
mi	7	灭蔑黢[～黑]觅墨蜜默密脉	
ti	1	低爹[~娘]	
ti	2	堤题提蹄啼	
ti	3	底抵	
ti	5a	帝队-	
ti	6	第地弟	
ti	7	的[目~]滴嫡得德	
tʰi	1	梯	
tʰi	3	体	
tʰi	5b	剃屉退-	
tʰi	7	贴帖叠蝶谍铁踢剔笛敌替	
li	2	犁黎梨	
li	3	礼李里理鲤	
li	5a	厉丽	
li	6	荔利痢	
li	7	笠立粒烈列裂劣栗律率猎肋力勒历泪-	
tsi	2	徐齐脐	
tsi	3	姐=挤嘴	
tsi	5a	借=聚祭济集醉剂最-	
tsi	6	罪	
tsi	7	接节则责积脊籍鲫即绩际	
tsʰi	1	蛆妻	
tsʰi	3	取娶	
tsʰi	5b	趣砌碎翠	
tsʰi	7	捷截切绝七漆疾贼戚契寂绝	
si	1	西栖犀些=须需虽	
si	2	斜=邪[~毛野鬼:不正经的人]	
si	3	写=洗	
