	注释：白-，文=
#a	
p	[1]巴疤芭[3]把百-[5]坝霸爸耙{名}伯-[6]罢
pʰ	[1]白[2]爬耙{动}[3]拍-[5]怕[6]帕
m	[1]麦𢫦{打}[2]麻蔴痳蟆妈[3]马码[5]骂
t	[3]打答搭[5]嗒[6]□{瞄准着打}
tʰ	[1]杂
n	[1]拿{捉}纳岳嶽乐{音～}[2]牙芽衙[3]雅
l	[1]拉蜡猎[3]□{鞭打}
ts	[1]渣[3]扎紥[5]榨炸诈窄[6]匝
tsʰ	[1]差叉[2]茶[3]擦=拆=册□{裂开}[5]䖳岔[6]乍
s	[1]沙纱傻[2]□{男子～naŋ2 tsɿ sa2：男人；阿娘～aŋ1 nioŋ2 sa2：女人}
k	[1]家傢加伽枷痂茄{雪～}佳嘉[3]假贾甲神觉隔[5]架驾嫁稼价格-
kʰ	[1]掐[3]客-闸[6]匣
x	[1]学=[2]霞虾{～蟆}暇遐瑕[3]下{～面}吓[5]虾{鱼～}[6]下{～下}夏厦
h	[1]他踏[3]塔塌獭
∅	[1]鸦丫桠[3]鸭押压[5]亚哑
#ia	
p	[3]壁-璧-[6]□{脚踢}
pʰ	[1]□{拖着扫}[3]劈-[5]□{打巴掌}
t	[1]爹[3]摘[5]□{歪歪扭扭地走}
tʰ	[1]蓆[2]斜[3]□{编织竹器}[5]斜{陡}[6]谢
n	[3]惹[5]额
l	[1]□{枫树}□{圆形竹编晒器}
ts	[1]遮[3]只[5]借姐蔗脊-
ts	[1]车[3]赤[5]勺-[6]撤
s	[1]赊勺{舀}[2]余邪奢[3]写捨[5]泻舍赦[6]社射麝
k	[3]□{涩的味感}
kʰ	[1]欺-{威胁}[3]□{跟随}[5]胯
h	[1]籴[3]拆[5]□{设置障碍}[6]□{捆绑}
∅	[2]爷耶椰[3]野也冶亦-[6]丫=夜
#ua	
p	[3]拨=[5]钵
pʰ	[1]夺跋-{跌倒}[3]泼脱跋={后～}
m	[3]瓦-豁[6]抹-
t	[3]掇{搬动}
tʰ	[3]切-
l	[3]捋
ts	[1]抓[3]撮
tsʰ	[3]獭{水獭}[5]戳
s	[1]□{鼠啮}[3]耍杀-[5]刷屑-力-{勤～：勤劳}
