□	tsʰuaʔ7	顫抖
礤	tsʰuaʔ7	
䟌	tsʰuaʔ8	歪～
沙	sua1	白
痧	sua1	白
鯊	sua1	白
唦	sua4	
耍	sua2	新
徙	sua3	～位
續	sua5	～接
煞	suaʔ7	白
殺	suaʔ7	白
撒	suaʔ7	白，～鹽
瓜	kua1	
過	kua1	菜老
□	kua1	銅～：銅板
樺	kua2	白
寡	kua3	文
掛	kua5	
卦	kua5	
蓋	kua5	白
芥	kua5	白
過	kua5	白，罪～
割	kuaʔ7	白
葛	kuaʔ7	白
誇	kʰua1	
跨	kʰua1	
垮	kʰua1	
咵	kʰua1	
寡	kʰua3	白，守～
可	kʰua3	白，小～
𣹇	kʰua5	船著沙
渴	kʰuaʔ7	白
闊	kʰuaʔ7	
我	ɡua3	白
外	ɡua5	白
花	hua1	文
譁	hua1	
鏵	hua2	文
華	hua2	
樺	hua2	文
譁	hua2	
化	hua5	
喝	huaʔ7	白
伐	huaʔ8	白
何	ua2	白，無奈～
搲	ua5	～拐：拄拐杖
攨	ua5	
瓦	ua3	文
蛙	ua1	
倚	ua3	白
挖	ua1	白
窪	ua1	
夥	ua1	無～：數量不多
活	uaʔ8	白
夫	pɔ1	白，大～：男人
布	pɔ5	
波	pɔ1	
佈	pɔ5	
哺	pɔ2	
哺	pɔ5	又，咀嚼
怖	pɔ5	
捕	pɔ5	
播	pɔ5	
斧	pɔ3	白
晡	pɔ1	
步	pɔ5	
脯	pɔ3	魚～
蒲	pɔ2	
補	pɔ3	
埔	pɔ1	
菠	pɔ1	
波	pɔ1	白，風～
部	pɔ4	文
麩	pʰɔ1	
鋪	pʰɔ1	
扶	pʰɔ2	白
菩	pʰɔ2	
莆	pʰɔ2	
普	pʰɔ3	
譜	pʰɔ3	
圃	pʰɔ3	
頗	pʰɔ3	
浦	pʰɔ3	
簿	pʰɔ4	
廍	pʰɔ4	糖～
破	pʰɔ5	文
鋪	pʰɔ5	
摸	bɔ1	
模	bɔ2	
某	bɔ3	
牡	bɔ3	
畝	bɔ3	
姥	bɔ3	白
墓	bɔ5	
都	tɔ1	
多	tɔ1	
圖	tɔ2	
塗	tɔ2	糊～
徒	tɔ2	
濤	tɔ2	
陶	tɔ2	
淘	tɔ2	
陀	tɔ2	文
堵	tɔ3	
睹	tɔ3	
賭	tɔ3	
肚	tɔ3	腹～
屠	tɔ3	
島	tɔ3	
禱	tɔ3	
導	tɔ4	
肚	tɔ4	豬～
道	tɔ4	
到	tɔ5	
妬	tɔ5	
度	tɔ5	文
鍍	tɔ5	
渡	tɔ5	
盜	tɔ5	
惰	tɔ5	
滔	tʰɔ1	
拖	tʰɔ1	文
塗	tʰɔ2	泥土
桃	tʰɔ2	文，～源
土	tʰɔ3	
吐	tʰɔ3	～气
妥	tʰɔ5	
吐	tʰɔ5	～血
兔	tʰɔ5	
度	tʰɔ5	给予
奴	lɔ2	
孥	lɔ2	
爐	lɔ2	
蘆	lɔ2	
廬	lɔ2	
盧	lɔ2	
螺	lɔ2	文，～絲
勞	lɔ2	
澇	lɔ2	
癆	lɔ2	
老	lɔ3	白，～鼠
魯	lɔ3	
裸	lɔ3	
鹵	lɔ3	
虜	lɔ3	
櫓	lɔ3	
滷	lɔ4	鹽～
賂	lɔ5	
路	lɔ5	
露	lɔ5	
怒	lɔ5	
租	tsɔ1	
曹	tsɔ2	
座	tsɔ4	
坐	tsɔ4	文
左	tsɔ3	
佐	tsɔ3	
早	tsɔ3	文
祖	tsɔ3	
組	tsɔ3	
阻	tsɔ3	
助	tsɔ5	
磋	tsʰɔ1	
粗	tsʰɔ1	
楚	tsʰɔ3	
礎	tsʰɔ3	
草	tsʰɔ3	文，～～
挫	tsʰɔ5	
措	tsʰɔ5	
