来源：	李小芳 2001《临县三交话研究》；木瓜, 灰原哀 整理录入
说明：	
#符号说明：	-白=文*俗?待考
#调值	［1］24［2］44［3］312［5］42［7］4［8］24
#ər	
Ø	［2］儿｛一条～：伢～几岁哩？｝ □｛形容人特别莽撞：这小子～得多嘞｝［3］扔｛扔、弃：把这些烂西红柿～老吧！｝耳［5］二贰
#ɿ	
ts	［1］支枝吱｛象声词，动词： ～～地～甚嘞｝□｛研磨盐芝麻等：把盐给咱～一下｝□｛～上头；死～着嘞｝之肢芝资姿滋龇支｛～预：准备｝［3］指紫纸籽□｛顶：孩们念字的钱些～着嘞｝只｛～有｝旨止趾=址徴咫沚姊子梓滓秭仔［5］自｛自从： ～你念上字，其也不用你做｝字□｛量，称：秤上～下，看有多待重嘞｝至｛到： ～桌了兀里是你的，这头是我的｝志痣眦态蛭□｛～～：小刻痕｝
tsʰ	［1］刺｛拟声词｝□｛加上面后用力和面｝□｛在铺盖上瞎折腾：不要在铺盖～｝疵差｛参～｝哧｛不～，拟声词｝［2］瓷词□｛物休表面硬、结实：你拍得痛～；不听话不去做事：他～嘞，说也说不动，就得打嘞｝慈磁辞祠［3］此齿［5］刺渍｛油泥等积在上面难以除去｝次赐翅伺
s	［1］施姓丝诗咝□｛气势凶：扑得～～地家｝□｛～气，馊,饭菜等变质发出酸臭味：饭～气老,就不用吃哩｝师狮尸思私司斯撕嘶厮［2］时匙［3］屎使｛使用：你～甚做的嘞｝史｛姓｝死｛又表示极不耐烦，极其厌悉的情绪：往回～你的吧！ ｝豕矢驶始□｛面～：浆糊｝［5］是事士｛象棋用语（支～）｝试｛又～当，试：试当穿一下，看应手嘞不｝四寺市氏示视嗜仕柿俟恃侍筮谥弑拭舐似祀厶肆饲嗣驷泗□｛～正：人长得周正：又～～正正｝
#ʮ	
ts	［1］猪朱株珠｛～～、～子｝诸诛蛛侏铢茱侏［3］主｛又打牌时用的｝主拄煮阻瞩帚［5］坐住｛又作补语：逮～哩｝柱｛～～、～子｝著箸助驻注蛀铸翥炷贮苎伫座
tsʰ	［1］蛆初□｛液体、气休猛力冲出：操心教管了里的水～出来｝□｛～花火｝ □｛～～地,不出声哭的样子：嚎得～～地家｝［2］除锄｛又～～、大～、侯～～ □小～）｝厨雏刍滁蜍橱蹰徂殂［3］楚柞｛又顶：用脑～｝□｛暗中塞：可～里黑钱哩｝处=储褚础［5］处=□｛揉、碰：不要～眼，这地家眼更疼：操心些，不要～上灰：擦：手巾上瞎～老两下就算揩老脸哩｝绌黜搞矗畜蹴｛一～而就｝□｛～念：鞭炮没有放响或形容事情没有办成｝
s	［1］ 书梳输疏蔬舒枢殊摅倏姝抒殳处-｛别~｝［3］数｛动词｝锁｛又～子｝处-｛地方：去～、耍～；某段时间以内：三天～就来｝暑鼠黍署薯琐唢曙［5］数｛名词｝竖树庶恕戍墅
z	［2］如儒茹濡孺蠕［3］女-｛～子:女孩子；女儿｝孺□｛堵：心日头～得不散天得来｝汝乳［5］□｛伸：把手～里去｝蓐缛
#ɯ	
k	［1］刚-钢-［5］□｛跑，这小子～得可快嘞｝
kʰ	［1］糠-□｛麻疹：当～：出麻疹，那五岁家当的～｝康-［3］可｛差,减轻：小明～强啤；这两天感冒～哩｝［5］炕-｛这盘～不侯小｝渴-｛又渴义：跑老三圈问来～得我往下死嘞｝可｛正好：出去些～碰上他：全，满，到处： ～院家都起来哩。又“～铅”“~～铅”，正好义｝
x	［1］□｛熘：给咱～馍馍｝
ŋ	［1］屙［2］讹｛这硬～人嘞，哪能要老这地来家钱嘞｝鹅蛾｛～～：飞蛾｝俄｛俄国｝［3］我［5］饿
#i	
b	［1］屄□｛～豆：耳光｝［2］□｛～～，儿语，小车的喇叭，或指小车｝［3］比秕饼-彼鄙妣［5］闭被病-备蔽敝弊币毙陛毖笮婢裨弼愎蓖篦匕
pʰ	［1］批披不坯纰砒啤［2］皮凭-平-｛又甲不沓：脾气温和｝坪-评-屏-瓶□｛因为：～上你，我也去不成｝啤疲琵枇毗埤□｛圪～,强忍：圪～上会会就好哩｝［3］避｛兀些人些你～开些就对哩！｝□｛用手撕或用其他工具弄：～成三绺绺：～开｝痞脾癖否［5］屁臂庇痹媲
