pʰ	胚	赔			焙背（~书）
m	糜（粉：米~）□（作弄：~人）	梅霉枚媒煤玫		妹	
v	煨				会（开~）汇佛核（果核）
t	堆碓	夺*趸（批发：~货）	*趸（整批）	对队兑碓	
tʰ	推胎梯	脱苔	腿褪	退	代袋
n					内
l	*捋（贪心，厉害合音）	雷茹（含在口中：~糖子）擂（文，打~台）	屡	擂（打）	类捋累（文）
ʦ	锥	嘬缀（~辫子）		最	
ʦʰ	催崔摧	才材财裁	彩（~兴）	菜脆	罪莝揣（忆想）
s	衰	虽刷随隋		碎（琐~）	
ʧ	追			嘴赘坠	
ʧʰ	吹炊*罪（该~：受责罚）	啜（喝）癤（脓包）垂			
ʃ		说		税	瑞睡
k	该乖规归颏（喉结）圭闺	国葛割（白）骨（白）	改拐掘	盖怪	
kʰ	魁亏（白）	奎葵阔	傀	快筷块会（~计）	*刿（击：~一骨节）掘（~番薯）
ŋ		危桅巍	碍		外魏
h	开灰恢	活渴喝（~令）	海		害亥
0	哀（~姐：祖母）唉	挨（拨拢）		爱嗳（应声）	
#o					
p	波玻菠	剥驳博	趵（踢）	簸播	
pʰ	坡	拍（文）婆薄（~荷）		破剖	
m	摸	磨魔蘑			莫膜寞磨
f			火伙伙（哄）	货	祸
v	窝	禾和（~尚）榷（用棒猛击）	和（混合）		
t	多	铎	岛躲	捣剁	
tʰ	拖惰	托驮驼	妥		择（白）
n		挪捼（两手摩擦东西）		懦蹃（践踏）	糯
l		罗箩锣萝腡（指纹）络（妇女与异性发生不正当关系：~人）		摞	洛烙络落骆乐
ʦ		作桌捉卓	左	做	
ʦʰ	坐	龊		错措挫锉磋	浊座凿琢濯镯戳择
s	梭唆蓑嗦	索朔	锁琐		
ʧ		斫酌扚（打：一巴掌~去）着（~衫裤）			
ʧʰ		踔（单脚走：~~子）焯			着（对）
ʃ		*讹（说谎）		*勺（戽：~水）	杓
k	哥歌锅过□（钝）	各阁搁合鸽角郭觉	果裹	过	
kʰ	科苛	磕确扩榷坷	可	课阔	
ŋ		鹅娥俄握		噩（愚蠢）䫨（抬头）	饿岳鄂卧
h	呵*熏	何荷壳合（~算）*熝（加热）		嚯	合（~作）学合盒鹤
0	屙阿	恶燠（覆盖）	哦啊		卧
#io					
pʰ					缚
n		惹			弱虐
l					略
ʦ		雀鹊（文，喜～）			
ʦʰ		[雀]（跳）			
s		削			
