简	繁	注释	IPA	吴拼
渚	渚	渌～：地名	tsʮ³²⁴	tsyu3
□	□	用手指	tsʮ³²⁴	tsyu3
著	著		tsʮ⁵⁵	tsyu5
据	據		tsʮ⁵⁵	tsyu5
驻	駐		tsʮ⁵⁵	tsyu5
注	注		tsʮ⁵⁵	tsyu5
铸	鑄		tsʮ⁵⁵	tsyu5
句	句		tsʮ⁵⁵	tsyu5
趋	趨		tsʰʮ⁴⁴³	tshyu1
枢	樞		tsʰʮ⁴⁴³	tshyu1
区	區		tsʰʮ⁴⁴³	tshyu1
驱	驅		tsʰʮ⁴⁴³	tshyu1
吹	吹		tsʰʮ⁴⁴³	tshyu1
处	處	～理	tsʰʮ³²⁴	tshyu3
鼠	鼠	文读，老～	tsʰʮ³²⁴	tshyu3
取	取		tsʰʮ³²⁴	tshyu3
娶	娶		tsʰʮ³²⁴	tshyu3
处	處	～级	tsʰʮ⁵⁵	tshyu5
去	去	文读	tsʰʮ⁵⁵	tshyu5
遽	遽		tsʰʮ⁵⁵	tshyu5
趣	趣		tsʰʮ⁵⁵	tshyu5
除	除		dzʮ²³²	dzyu2
