简	繁	注释	IPA	吴拼
祠	祠		zɿ²³²	zy2
持	持		zɿ²³²	zy2
时	時		zɿ²³²	zy2
鲥	鰣		zɿ²³²	zy2
墅	墅		zɿ³¹³	zy6
誓	誓		zɿ³¹³	zy6
逝	逝		zɿ³¹³	zy6
是	是		zɿ³¹³	zy6
氏	氏		zɿ³¹³	zy6
豉	豉		zɿ³¹³	zy6
自	自		zɿ³¹³	zy6
雉	雉		zɿ³¹³	zy6
稚	稚		zɿ³¹³	zy6
示	示		zɿ³¹³	zy6
视	視		zɿ³¹³	zy6
字	字		zɿ³¹³	zy6
巳	巳		zɿ³¹³	zy6
祀	祀		zɿ³¹³	zy6
似	似		zɿ³¹³	zy6
寺	寺		zɿ³¹³	zy6
嗣	嗣		zɿ³¹³	zy6
饲	飼	喂	zɿ³¹³	zy6
俟	俟		zɿ³¹³	zy6
士	士		zɿ³¹³	zy6
事	事		zɿ³¹³	zy6
峙	峙		zɿ³¹³	zy6
恃	恃		zɿ³¹³	zy6
侍	侍		zɿ³¹³	zy6
伫	佇		zɿ³¹³	zy6
嗜	嗜		zɿ³¹³	zy6
噬	噬		zɿ³¹³	zy6
谥	諡		zɿ³¹³	zy6
汜	汜		zɿ³¹³	zy6
渍	漬		zɿ³¹³	zy6
屄	屄		pi⁴⁴³	pi1
比	比		pi³²⁴	pi3
蔽	蔽		pi⁵⁵	pi5
闭	閉		pi⁵⁵	pi5
彼	彼		pi⁵⁵	pi5
鄙	鄙		pi⁵⁵	pi5
泌	泌		pi⁵⁵	pi5
秘	秘		pi⁵⁵	pi5
批	批		pʰi⁴⁴³	phi1
披	披		pʰi⁴⁴³	phi1
譬	譬		pʰi³²⁴	phi3
庇	庇		pʰi³²⁴	phi3
屁	屁		pʰi³²⁴	phi3
箅	箅		bi²³²	bi2
皮	皮		bi²³²	bi2
疲	疲		bi²³²	bi2
脾	脾		bi²³²	bi2
琵	琵		bi²³²	bi2
枇	枇		bi²³²	bi2
毙	斃		bi³¹³	bi6
敝	敝		bi³¹³	bi6
币	幣		bi³¹³	bi6
弊	弊		bi³¹³	bi6
陛	陛		bi³¹³	bi6
被	被		bi³¹³	bi6
婢	婢		bi³¹³	bi6
避	避		bi³¹³	bi6
痹	痹		bi³¹³	bi6
篦	篦		bi³¹³	bi6
微	微	白读，～小	mi⁴⁴³	mi1
迷	迷		mi²³²	mi2
谜	謎		mi²³²	mi2
糜	糜		mi²³²	mi2
弥	彌		mi²³²	mi2
靡	靡		mi²³²	mi2
眉	眉		mi²³²	mi2
楣	楣		mi²³²	mi2
米	米		mi³²⁴	mi3
媚	媚		mi³¹³	mi6
飞	飛		fi⁴⁴³	fi1
绯	緋		fi⁴⁴³	fi1
啡	啡		fi⁴⁴³	fi1
榧	榧		fi³²⁴	fi3
翡	翡		fi³²⁴	fi3
废	廢		fi⁵⁵	fi5
肺	肺		fi⁵⁵	fi5
非	非		fi⁵⁵	fi5
匪	匪		fi⁵⁵	fi5
沸	沸		fi⁵⁵	fi5
痱	痱		fi⁵⁵	fi5
妃	妃		fi⁵⁵	fi5
菲	菲		fi⁵⁵	fi5
费	費	～用	fi⁵⁵	fi5
□	□	吵闹	fi⁵⁵	fi5
维	維		vi²³²	vi2
惟	惟		vi²³²	vi2
唯	唯		vi²³²	vi2
肥	肥		vi²³²	vi2
薇	薇		vi²³²	vi2
微	微	文读，细～	vi²³²	vi2
□	□	～iø²³²：蝙蝠	vi²³²	vi2
尾	尾	文读，～气	vi³¹³	vi6
未	未		vi³¹³	vi6
味	味		vi³¹³	vi6
费	費	姓氏	vi³¹³	vi6
低	低		ti⁴⁴³	ti1
氐	氐		ti⁴⁴³	ti1
底	底		ti³²⁴	ti3
抵	抵		ti³²⁴	ti3
帝	帝		ti⁵⁵	ti5
梯	梯	文读，电～	tʰi⁴⁴³	thi1
体	體		tʰi³²⁴	thi3
替	替		tʰi⁵⁵	thi5
涕	涕		tʰi⁵⁵	thi5
剃	剃		tʰi⁵⁵	thi5
堤	堤		di²³²	di2
提	提		di²³²	di2
题	題		di²³²	di2
蹄	蹄		di²³²	di2
啼	啼		di²³²	di2
弟	弟		di³¹³	di6
第	第		di³¹³	di6
递	遞	文读，快～	di³¹³	di6
隶	隸		di³¹³	di6
地	地		di³¹³	di6
你	你		ni⁵⁵	ni5
驴	驢		li²³²	li2
犁	犁		li²³²	li2
黎	黎		li²³²	li2
篱	籬		li²³²	li2
离	離		li²³²	li2
璃	璃		li²³²	li2
梨	梨		li²³²	li2
吕	呂		li³²⁴	li3
侣	侶		li³²⁴	li3
铝	鋁		li³²⁴	li3
旅	旅		li³²⁴	li3
礼	禮		li³²⁴	li3
履	履		li³²⁴	li3
厘	厘		li³²⁴	li3
李	李		li³²⁴	li3
理	理		li³²⁴	li3
里	里		li³²⁴	li3
里	裡		li³²⁴	li3
鲤	鯉		li³²⁴	li3
虑	慮		li³¹³	li6
滤	濾		li³¹³	li6
厉	厲		li³¹³	li6
励	勵		li³¹³	li6
例	例		li³¹³	li6
丽	麗		li³¹³	li6
荔	荔		li³¹³	li6
利	利		li³¹³	li6
痢	痢		li³¹³	li6
吏	吏		li³¹³	li6
泪	淚		li³¹³	li6
鸡	雞		tɕi⁴⁴³	ci1
稽	稽		tɕi⁴⁴³	ci1
羁	羈		tɕi⁴⁴³	ci1
肌	肌		tɕi⁴⁴³	ci1
饥	饑		tɕi⁴⁴³	ci1
几	几	茶～	tɕi⁴⁴³	ci1
基	基		tɕi⁴⁴³	ci1
姬	姬		tɕi⁴⁴³	ci1
矶	磯		tɕi⁴⁴³	ci1
机	機		tɕi⁴⁴³	ci1
虮	蟣	～糟：闷热	tɕi⁴⁴³	ci1
屐	屐		tɕi⁴⁴³	ci1
□	□	背～：背部	tɕi⁴⁴³	ci1
姊	姊	～～：姐姐	tɕi³²⁴	ci3
挤	擠		tɕi³²⁴	ci3
鼠	鼠	白读，黄～狼	tɕi³²⁴	ci3
几	幾	～个	tɕi³²⁴	ci3
己	己		tɕi³²⁴	ci3
祭	祭		tɕi⁵⁵	ci5
际	際		tɕi⁵⁵	ci5
穄	穄		tɕi⁵⁵	ci5
济	濟	文读，～公	tɕi⁵⁵	ci5
计	計		tɕi⁵⁵	ci5
继	繼		tɕi⁵⁵	ci5
系	繫	～鞋带	tɕi⁵⁵	ci5
寄	寄		tɕi⁵⁵	ci5
冀	冀		tɕi⁵⁵	ci5
记	記		tɕi⁵⁵	ci5
纪	紀		tɕi⁵⁵	ci5
既	既		tɕi⁵⁵	ci5
季	季		tɕi⁵⁵	ci5
觊	覬		tɕi⁵⁵	ci5
蛆	蛆		tɕʰi⁴⁴³	chi1
疽	疽		tɕʰi⁴⁴³	chi1
胥	胥	又读，～口：地名	tɕʰi⁴⁴³	chi1
妻	妻		tɕʰi⁴⁴³	chi1
凄	淒		tɕʰi⁴⁴³	chi1
溪	溪		tɕʰi⁴⁴³	chi1
奚	奚	又读，姓氏	tɕʰi⁴⁴³	chi1
欺	欺		tɕʰi⁴⁴³	chi1
栖	棲	～鹤：地名	tɕʰi⁴⁴³	chi1
启	啟		tɕʰi³²⁴	chi3
企	企		tɕʰi³²⁴	chi3
起	起		tɕʰi³²⁴	chi3
杞	杞		tɕʰi³²⁴	chi3
去	去	白读	tɕʰi⁵⁵	chi5
契	契	～约	tɕʰi⁵⁵	chi5
器	器		tɕʰi⁵⁵	chi5
弃	棄		tɕʰi⁵⁵	chi5
岂	豈		tɕʰi⁵⁵	chi5
气	氣		tɕʰi⁵⁵	chi5
汽	汽		tɕʰi⁵⁵	chi5
奇	奇	～数	dʑi²³²	ji2
骑	騎		dʑi²³²	ji2
畸	畸		dʑi²³²	ji2
岐	岐		dʑi²³²	ji2
歧	歧		dʑi²³²	ji2
祈	祈		dʑi²³²	ji2
鳍	鰭		dʑi²³²	ji2
耆	耆		dʑi²³²	ji2
棋	棋		dʑi²³²	ji2
其	其		dʑi²³²	ji2
期	期		dʑi²³²	ji2
技	技		dʑi³¹³	ji6
妓	妓		dʑi³¹³	ji6
忌	忌		dʑi³¹³	ji6
呢	呢		ȵi⁴⁴³	gni1
泥	泥		ȵi²³²	gni2
倪	倪		ȵi²³²	gni2
阋	鬩		ȵi²³²	gni2
宜	宜		ȵi²³²	gni2
仪	儀		ȵi²³²	gni2
尼	尼		ȵi²³²	gni2
腻	膩		ȵi²³²	gni2
疑	疑		ȵi²³²	gni2
凝	凝		ȵi²³²	gni2
拟	擬		ȵi²³²	gni2
蚁	蟻		ȵi³²⁴	gni3
引	引	～线：针	ȵi³²⁴	gni3
昵	昵		ȵi⁵⁵	gni5
艺	藝		ȵi³¹³	gni6
呓	囈		ȵi³¹³	gni6
刈	刈		ȵi³¹³	gni6
诣	詣		ȵi³¹³	gni6
义	義		ȵi³¹³	gni6
议	議		ȵi³¹³	gni6
谊	誼		ȵi³¹³	gni6
二	二	白读	ȵi³¹³	gni6
贰	貳	白读	ȵi³¹³	gni6
毅	毅		ȵi³¹³	gni6
胥	胥	～口：地名	ɕi⁴⁴³	shi1
西	西		ɕi⁴⁴³	shi1
栖	棲	文读，塘～：地名	ɕi⁴⁴³	shi1
犀	犀		ɕi⁴⁴³	shi1
兮	兮		ɕi⁴⁴³	shi1
嘻	嘻		ɕi⁴⁴³	shi1
嬉	嬉		ɕi⁴⁴³	shi1
禧	禧		ɕi⁴⁴³	shi1
熙	熙		ɕi⁴⁴³	shi1
希	希		ɕi⁴⁴³	shi1
稀	稀		ɕi⁴⁴³	shi1
髓	髓		ɕi⁴⁴³	shi1
尿	尿	白读	ɕi⁴⁴³	shi1
□	□	加在贬义形容词前加深程度：～臭	ɕi⁴⁴³	shi1
玺	璽		ɕi³²⁴	shi3
徙	徙		ɕi³²⁴	shi3
死	死	白读，～尸	ɕi³²⁴	shi3
喜	喜		ɕi³²⁴	shi3
蟢	蟢	～～：蜘蛛	ɕi³²⁴	shi3
絮	絮	棉花～	ɕi⁵⁵	shi5
细	細	文读，粗～	ɕi⁵⁵	shi5
婿	婿		ɕi⁵⁵	shi5
系	系	～统	ɕi⁵⁵	shi5
系	繫	联～	ɕi⁵⁵	shi5
系	係	关～	ɕi⁵⁵	shi5
牺	犧		ɕi⁵⁵	shi5
戏	戲		ɕi⁵⁵	shi5
徐	徐		ʑi²³²	zhi2
齐	齊		ʑi²³²	zhi2
脐	臍		ʑi²³²	zhi2
荠	薺		ʑi³¹³	zhi6
唉	唉	读书音	i⁴⁴³	i1
医	醫		i⁴⁴³	i1
依	依		i⁴⁴³	i1
衣	衣		i⁴⁴³	i1
奚	奚	姓氏	i²³²	i2
携	攜		i²³²	i2
移	移		i²³²	i2
夷	夷		i²³²	i2
姨	姨		i²³²	i2
矣	矣		i²³²	i2
怡	怡		i²³²	i2
贻	貽		i²³²	i2
沂	沂		i²³²	i2
遗	遺		i²³²	i2
伊	伊		i³²⁴	i3
瞖	瞖		i⁵⁵	i5
翳	翳		i⁵⁵	i5
意	意		i⁵⁵	i5
已	已		i⁵⁵	i5
以	以		i⁵⁵	i5
忆	憶		i⁵⁵	i5
亿	億		i⁵⁵	i5
渠	渠	白读，他	i³¹³	i6
易	易		i³¹³	i6
肄	肄		i³¹³	i6
异	異		i³¹³	i6
波	波		pu⁴⁴³	pu1
玻	玻		pu⁴⁴³	pu1
补	補		pu³²⁴	pu3
谱	譜		pu³²⁴	pu3
播	播		pu⁵⁵	pu5
布	布		pu⁵⁵	pu5
怖	怖		pu⁵⁵	pu5
颇	頗		pʰu⁴⁴³	phu1
坡	坡		pʰu⁴⁴³	phu1
铺	鋪	～床	pʰu⁴⁴³	phu1
普	普		pʰu³²⁴	phu3
浦	浦		pʰu³²⁴	phu3
甫	甫		pʰu³²⁴	phu3
跛	跛		pʰu⁵⁵	phu5
簸	簸		pʰu⁵⁵	phu5
铺	鋪	店～	pʰu⁵⁵	phu5
剖	剖		pʰu⁵⁵	phu5
破	破	文读，～坏	pʰu⁵⁵	phu5
婆	婆		bu²³²	bu2
