简	繁	注释	IPA	吴拼
猪	豬		tsɿ⁵³	tsy1
株	株	一～菜、树	tsɿ⁵³	tsy1
知	知		tsɿ⁵³	tsy1
蜘	蜘	～蛛网	tsɿ⁵³	tsy1
支	支		tsɿ⁵³	tsy1
枝	枝		tsɿ⁵³	tsy1
肢	肢		tsɿ⁵³	tsy1
栀	梔		tsɿ⁵³	tsy1
资	資		tsɿ⁵³	tsy1
姿	姿		tsɿ⁵³	tsy1
咨	諮		tsɿ⁵³	tsy1
脂	脂		tsɿ⁵³	tsy1
之	之		tsɿ⁵³	tsy1
芝	芝		tsɿ⁵³	tsy1
智	智	～力	tsɿ⁵³	tsy1
眵	眵	眼～涴：眼屎	tsɿ⁵³	tsy1
□	□	tsi⁵³的又音，背～头：背脊	tsɿ⁵³	tsy1
紫	紫		tsɿ⁵⁵	tsy3
纸	紙		tsɿ⁵⁵	tsy3
旨	旨		tsɿ⁵⁵	tsy3
指	指		tsɿ⁵⁵	tsy3
趾	趾		tsɿ⁵⁵	tsy3
止	止		tsɿ⁵⁵	tsy3
址	址		tsɿ⁵⁵	tsy3
子	子		tsɿ⁵⁵	tsy3
齿	齒	牙～	tsɿ⁵⁵	tsy3
制	制		tsɿ³³⁵	tsy5
致	致		tsɿ³³⁵	tsy5
至	至		tsɿ³³⁵	tsy5
梓	梓	东～关：地名	tsɿ³³⁵	tsy5
置	置		tsɿ³³⁵	tsy5
志	志		tsɿ³³⁵	tsy5
志	誌		tsɿ³³⁵	tsy5
贮	貯	盛放东西	tsɿ³³⁵	tsy5
�	�	盛饭	tsɿ³³⁵	tsy5
□	□	～夜梦：做梦	tsɿ³³⁵	tsy5
雌	雌		tsʰɿ⁵³	tshy1
痴	癡		tsʰɿ⁵³	tshy1
刺	刺		tsʰɿ³³⁵	tshy5
赐	賜		tsʰɿ³³⁵	tshy5
翅	翅		tsʰɿ³³⁵	tshy5
次	次		tsʰɿ³³⁵	tshy5
伺	伺		tsʰɿ³³⁵	tshy5
厕	廁	～所	tsʰɿ³³⁵	tshy5
痣	痣		tsʰɿ³³⁵	tshy5
此	此		tsʰɿ³³⁵	tshy5
耻	恥		tsʰɿ³³⁵	tshy5
