#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]²¹ [3]³⁵³ [5]³⁵ [7]²
#ɿ	
p	[1]杯碑卑悲[5]辈贝背倍焙
pʰ	[1]胚坯丕[2]陪培赔裴[5]沛配佩
m	[2]梅枚媒煤[3]每美[5]妹昧
t	[1]堆[5]对队兑
tʰ	[1]推[3]腿[5]退
l	[1]雷[3]儡{傀~}累{积~}垒蕊[5]摞{~起来}瑞累类泪{文读}
ts	[1]追锥[3]嘴[5]坠最罪缀赘醉
tsʰ	[1]催崔吹炊[2]锤槌[5]碎脆翠粹
s	[1]虽[2]随垂绥谁[3]髓水[5]岁税睡遂隧穗
k	[1]圭闺规龟归窥[3]诡轨鬼[5]桂跪刽桧柜贵
kʰ	[1]盔魁亏[2]奎逵葵[3]傀[5]愧
x	[1]恢灰挥辉徽非飞妃翡[2]茴回肥[3]悔毁匪[5]汇绘惠慧废肺吠痱费会{开~}贿
Ø	[1]煨危微威[2]桅为伪维惟唯违围伟纬[3]萎尾委苇[5]卫位未味胃谓魏畏慰蝟

#au	
p	[1]褒包胞[3]保堡宝饱抱[5]报暴爆豹
pʰ	[1]泡抛刨{~地}[2]袍跑[5]炮{枪~}泡{~在水中}鲍刨{~花}
m	[2]毛茅矛[3]卯[5]冒帽貌
t	[1]刀叨[3]祷岛倒{打~}[5]倒{~水}到道稻导盗
tʰ	[1]滔涛掏[2]桃逃淘{~米}陶萄[3]讨[5]套
l	[1]唠捞[2]劳牢涝饶挠{桨}[3]脑老恼扰绕[5]闹
ts	[1]遭糟[3]早枣澡蚤[5]皂灶躁造
tsʰ	[1]操[2]曹槽巢[3]草[5]糙
s	[1]骚臊{~气}[3]扫嫂晌{~午}[5]潲{猪食}
k	[1]高膏管羔糕教{~书}[3]稿搞[5]告
kʰ	[1]敲[3]考烤
x	[2]豪壕毫[3]好{~坏}[5]号浩好{喜~}耗
Ø	[2]熬[3]袄咬[5]懊傲奥

#iau	
p	[1]膘{肥~}标彪[3]表裱婊
pʰ	[1]漂飘鳔[2]瓢嫖[5]票
m	[1]猫貓[2]苗描锚[3]藐渺秒[5]庙妙谬
t	[1]刁貂雕叼[5]钓吊掉调{音~；~动}
tʰ	[1]挑[2]条调{~和}[5]跳粜
l	[2]燎疗聊辽撩寥[3]鸟了{~结}[5]瞭尿料廖
tʃ	[1]蕉焦椒樵朝{今~}召昭招沼诏[3]剿早[5]罩笊赵兆照
tʃʰ	[1]抄锹缲{~边}悄超[2]朝{~代}潮瞧[3]吵炒[5]钞俏鞘
ʃ	[1]梢捎稍消霄宵硝销烧韶萧箫屑[3]小少{多~}[5]笑少{~年}绍邵侥
k	[1]交郊胶教{文读}骄娇浇[3]绞狡铰搅饺[5]教{~育}校{~对}较酵窖觉{睡~}轿叫
kʰ	[1]敲{文读}[2]乔侨荞桥[3]巧[5]窍
x	[3]晓[5]孝效校{学~}
Ø	[1]杳妖邀腰要{~求}么{~二三}[2]摇窑姚尧[3]舀[5]耀要{重~}鹞

#eu	
pʰ	[3]剖否[5]埠{商~}
m	[2]谋[3]某亩牡[5]茂贸
t	[1]兜[5]斗抖豆陡逗
tʰ	[1]偷[2]头投[3]㪗{展开，~气}透
l	[1]楼耧[3]篓搂[5]漏陋
ts	[1]邹[3]走[5]奏皱绉骤
tsʰ	[2]愁[5]凑
s	[1]搜馊[3]叟[5]嗽瘦
k	[1]勾钩沟[3]狗苟[5]够构购勾{~当}
kʰ	[1]抠眍[3]口[5]叩扣寇
x	[2]侯喉猴[5]后厚候
Ø	[1]鸥瓯欧殴[3]藕偶呕{~吐}[5]沤{久浸水中}怄

#ieu	
t	[1]丢
l	[1]溜[2]馏流刘留榴硫琉{~璃}牛[3]纽扭妞柳
tʃ	[1]揪周舟州洲[3]酒帚[5]就昼纣宙咒
tʃʰ	[1]秋抽[2]绸稠筹仇酬[3]丑醜[5]臭
ʃ	[1]修羞收[2]囚泅[3]手首守[5]秀绣兽锈袖受寿授售嗅
k	[1]鸠阄[3]九久韭纠灸[5]救究臼舅咎旧柩
kʰ	[1]丘鞠[2]求球仇{姓}
x	[1]休[3]朽
Ø	[1]优忧悠幽[2]柔尤邮由油游犹[3]友酉有诱[5]又右祜柚釉幼

#iɲ	
p	[1]彬宾槟殡冰兵[3]禀丙秉饼[5]柄病並
pʰ	[1]拼[2]贫频凭平坪评瓶屏萍苹[3]品[5]聘姘
m	[2]闽民萌鸣明名铭[3]悯敏皿[5]命
t	[1]丁钉疔[3]顶鼎[5]订锭定
tʰ	[1]听厅汀[2]亭停廷庭蜓[5]挺艇
l	[1]宁灵零铃伶拎翎迎陵凌菱凝邻鳞燐林淋临[3]领岭[5]令另吝
