汉字	拼音	IPA	注释		
細	soi5	soi˨˩˨			
婿	sai5	sai˨˩˨			
雞	koi1	koi˧˧			
稽	ki1	ki˧˧			
計	ki5	ki˨˩˨	文，夥~		
計	koi5	koi˨˩˨	白		
繼	ki5	ki˨˩˨			
溪	khoi1	kʰoi˧˧			
啟	khi3	kʰi˥˩			
契	khoi5	kʰoi˨˩˨			
倪	goi2	goi˥˥			
詣	tsi3	tsi˥˩	俗		
兮	hi1	hi˧˧			
奚	hi2	hi˥˥			
蹊	khi1	kʰi˧˧	俗		
系	hi4	hi˨˥			
繫	hi4	hi˨˥			
係	hi4	hi˨˥			
縊	i5	i˨˩˨			
杯	pue1	pue˧˧			
輩	pue5	pue˨˩˨			
背	pue4	pue˨˥	文，動詞		
背	pue5	pue˨˩˨	文，名詞		
背	pi5	pi˨˩˨	替，動詞		
坯	phue1	pʰue˧˧			
胚	phue1	pʰue˧˧			
配	phue5	pʰue˨˩˨			
培	pue2	pue˥˥			
陪	pue2	pue˥˥			
賠	pue2	pue˥˥			
倍	pue4	pue˨˥			
佩	pue4	pue˨˥			
媒	bue2	bue˥˥			
枚	bue2	bue˥˥			
玫	mung2/bung2	muŋ˥˥/buŋ˥˥	俗		
梅	bue2	bue˥˥			
莓	bue2	bue˥˥			
莓	m6	m˨˩	覆盆子		
每	mue3	mue˥˩			
昧	mue4	mue˨˥			
妹	mue4	mue˨˥	小稱		
妹	mue6	mue˨˩			
堆	tui1	tui˧˧			
堆	tu1	tu˧˧	口語		
對	tui5	tui˨˩˨			
推	thui1	tʰui˧˧	新		
推	tshui1	tsʰui˧˧	文		
推	tho1	tʰo˧˧	白		
腿	thui3	tʰui˥˩			
退	tho5	tʰo˨˩˨			
頽	thue2	tʰue˥˥			
隊	tui6	tui˨˩			
餒	nue3	nue˥˩			
内	lai4	lai˨˥	訓“裏”		
雷	lui2	lui˥˥			
儡	lui3	lui˥˩			
催	tshui1	tsʰui˧˧			
崔	tshui1	tsʰui˧˧			
罪	tsue4	tsue˨˥			
罪	tso4	tso˨˥	白，得~		
碎	tshui5	tsʰui˨˩˨			
瑰	kui5	kui˨˩˨			
盔	khue1	kʰue˧˧			
魁	khue2	kʰue˥˥			
詼	khue1	kʰue˧˧			
恢	hue1	hue˧˧			
傀	kui3	kui˥˩			
塊	ko5	ko˨˩˨			
灰	hui1	hui˧˧	新		
灰	hue1	hue˧˧			
灰	hu1	hu˧˧	替		
悔	hue5	hue˨˩˨			
賄	iu4	iu˨˥	俗		
晦	hue5	hue˨˩˨			
回	hue2	hue˥˥			
匯	hue4	hue˨˥			
潰	khui4	kʰui˨˥			
兑	tue4	tue˨˥			
最	tsue5	tsue˨˩˨			
劊	kuai5	kuai˨˩˨			
會	kuai5	kuai˨˩˨			
外	gua6	gua˨˩			
會	hue4	hue˨˥			
會	oi4	oi˨˥	訓“解”		
繪	kuai5	kuai˨˩˨			
乖	kuai1	kuai˧˧			
怪	kuai5	kuai˨˩˨	文		
怪	kue5	kue˨˩˨	白，無~		
淮	huai2	huai˥˥			
懷	huai2	huai˥˥			
槐	huai2	huai˥˥			
壞	huai4	huai˨˥			
拐	kuai3	kuai˥˩			
掛	khua5	kʰua˨˩˨	文		
掛	kua5	kua˨˩˨	佩戴		
掛	kui5	kui˨˩˨	白，~紙		
卦	kua5	kua˨˩˨	文		
卦	kue5	kue˨˩˨	白		
歪	uai1	uai˧˧			
畫	ue6	ue˨˩	名詞		
畫	ueh8	ueʔ˥˦	動詞		
快	khuai5	kʰuai˨˩˨	文		
快	khue5	kʰue˨˩˨	白		
快	khuann5	kʰuã˨˩˨	白，~活		
筷	khuai5	kʰuai˨˩˨			
話	ue6	ue˨˩			
脆	tshui5	tsʰui˨˩˨			
脆	tshui3	tsʰui˥˩	又		
歲	sue5	sue˨˩˨			
歲	hue5	hue˨˩˨	白		
彗	hui4	hui˨˥			
綴	tshuak7	tsʰuak˨			
綴	tue5	tue˨˩˨			
贅	tsui4	tsui˨˥			
税	sue5	sue˨˩˨			
説	sueh7	sueʔ˨			
衛	ue4	ue˨˥			
鋭	jue4	dzue˨˥			
廢	hui5	hui˨˩˨			
肺	hui5	hui˨˩˨			
吠	pui6	pui˨˩			
穢	ue5	ue˨˩˨			
圭	kui1	kui˧˧			
閨	kui1	kui˧˧			
桂	kui5	kui˨˩˨			
奎	khui2	kʰui˥˥			
携	hi4	hi˨˥			
慧	hui4	hui˨˥			
惠	hui4	hui˨˥			
卑	pi1	pi˧˧			
碑	pi1	pi˧˧			
彼	pi3	pi˥˩			
俾	pi3	pi˥˩			
臂	pi5	pi˨˩˨			
披	phi1	pʰi˧˧			
譬	phi5	pʰi˨˩˨			
皮	phi2	pʰi˥˥	文		
皮	phue2	pʰue˥˥	白		
疲	phi2	pʰi˥˥			
脾	phi2	pʰi˥˥			
被	pi4	pi˨˥	文		
被	phue4	pʰue˨˥	白，名詞		
婢	pi4	pi˨˥			
避	pi6	pi˨˩			
糜	mi2	mi˥˥	文		
糜	mue2	mue˥˥	白，粥		
彌	ni3	ni˥˩			
靡	mi2	mi˥˥			
籬	li2	li˥˥			
離	li2	li˥˥			
離	li6	li˨˩			
璃	li2	li˥˥			
麗	li2	li˥˥			
荔	li4	li˨˥	文		
荔	noinn6	nõi˨˩	白，~果，荔枝		
紫	tsi3	tsi˥˩			
雌	tshur2	tsʰɯ˥˥			
此	tshur3	tsʰɯ˥˩			
刺	tshng5	tsʰŋ˨˩˨			
刺	tshi5	tsʰi˨˩˨	名詞		
刺	tshiah7	tsʰiaʔ˨	白		
疵	tshur1	tsʰɯ˧˧			
斯	sur1	sɯ˧˧			
撕	sur1	sɯ˧˧			
厮	sur1	sɯ˧˧			
璽	jur3	dzɯ˥˩	俗		
徙	sua3	sua˥˩			
賜	sur5	sɯ˨˩˨			
知	ti1	ti˧˧	文		
知	ti5	ti˨˩˨	~識		
知	tsai1	tsai˧˧	白		
智	ti5	ti˨˩˨			
池	ti2	ti˥˥			
馳	tshi2	tsʰi˥˥			
支	tsinn1	tsĩ˧˧			
支	ki1	ki˧˧	白		
枝	ki1	ki˧˧			
肢	tsinn1	tsĩ˧˧			
肢	ki1	ki˧˧	白		
梔	ki1	ki˧˧			
只	tsi3	tsi˥˩			
紙	tsua3	tsua˥˩			
侈	tshi3	tsʰi˥˩			
施	si1	si˧˧			
豕	si3	si˥˩			
翅	tshi5	tsʰi˨˩˨	魚~		
翅	thi5	tʰi˨˩˨			
匙	si2	si˥˥			
是	si4	si˨˥			
氏	si4	si˨˥			
豉	si6	si˨˩			
兒	ji2	dzi˥˥			
兒	ni1	ni˧˧	白		
爾	jur3	dzɯ˥˩			
羈	ki1	ki˧˧			
寄	kia5	kia˨˩˨			
企	ki4	ki˨˥			
企	khia4	kʰia˨˥	訓，~鵝		
奇	khi2	kʰi˥˥			
奇	khia1	kʰia˧˧			
騎	khia2	kʰia˥˥			
歧	khi2	kʰi˥˥			
歧	ki2	ki˥˥			
技	ki4	ki˨˥			
妓	ki4	ki˨˥			
徛	khia4	kʰia˨˥			
宜	ngi2	ŋi˥˥			
儀	ngi2	ŋi˥˥			
蟻	hiann4	hiã˨˥			
義	ngi4	ŋi˨˥			
議	ngi3	ŋi˥˩			
誼	ngi5	ŋi˨˩˨			
犧	hi1	hi˧˧			
桸	hia1	hia˧˧			
戲	hi5	hi˨˩˨			
椅	inn3	ĩ˥˩			
倚	i3	i˥˩	文		
倚	ua3	ua˥˩	白		
移	i2	i˥˥			
易	i4	i˨˥	文		
易	ek8	ɛk˥˦	文		
易	iah8	iaʔ˥˦	白，~經		
易	goi6	goi˨˩	訓		
悲	pui1	pui˧˧			
悲	pi1	pi˧˧			
鄙	phi3	pʰi˥˩			
比	pi3	pi˥˩			
庇	pi5	pi˨˩˨			
痹	pi5	pi˨˩˨			
泌	pi5	pi˨˩˨			
秘	pi5	pi˨˩˨			
痞	phi3	pʰi˥˩	文		
痞	phainn3	pʰãi˥˩	白		
丕	phi3	pʰi˥˩			
屁	phui5	pʰui˨˩˨			
琵	pi2	pi˥˥			
備	pi4	pi˨˥			
鼻	phinn6	pʰĩ˨˩			
篦	ping5	piŋ˨˩˨			
眉	bai2	bai˥˥			
楣	bai2	bai˥˥			
霉	bue2	bue˥˥			
美	mui3	mui˥˩			
媚	mi4	mi˨˥			
寐	mue4	mue˨˥			
地	ti6	ti˨˩			
地	to5	to˨˩˨	替，口語		
尼	ni2	ni˥˥			
呢	ni1	ni˧˧			
呢	ni2	ni˥˥			
呢	ne1	nɛ˧˧	替		
膩	jur4	dzɯ˨˥	文		
膩	ji6	dzi˨˩	白，小~		
梨	lai2	lai˥˥			
履	li3	li˥˩			
利	li4	li˨˥	文		
利	lai6	lai˨˩	白		
咨	tsur1	tsɯ˧˧			
資	tsur1	tsɯ˧˧			
姿	tsur1	tsɯ˧˧			
姊	tsi3	tsi˥˩			
次	tshur5	tsʰɯ˨˩˨			
瓷	tshur2	tsʰɯ˥˥			
糍	tsi2	tsi˥˥			
自	tsur6	tsɯ˨˩			
私	sur1	sɯ˧˧	文		
私	si1	si˧˧	白，家~		
私	sai1	sai˧˧	白		
死	si3	si˥˩			
四	si5	si˨˩˨			
肆	sur5	sɯ˨˩˨	文		
肆	si5	si˨˩˨	白		
致	ti5	ti˨˩˨			
遲	tshi2	tsʰi˥˥			
稚	tsinn3	tsĩ˥˩	訓		
師	sur1	sɯ˧˧	文		
師	sai1	sai˧˧	白		
獅	sai1	sai˧˧			
柿	sai4	sai˨˥			
脂	tsinn1	tsĩ˧˧			
指	tsi3	tsi˥˩			
指	tsng3	tsŋ˥˩	訓，~甲		
指	tsoinn3	tsõi˥˩	白，手~		
指	ki3	ki˥˩	白，動詞		
旨	tsi3	tsi˥˩			
至	tsi5	tsi˨˩˨			
示	si6	si˨˩			
尸	si1	si˧˧			
矢	si3	si˥˩			
屎	sai3	sai˥˩			
視	si4	si˨˥			
視	si6	si˨˩			
二	ji4	dzi˨˥	文		
二	ji6	dzi˨˩			
貳	ji4	dzi˨˥	文		
貳	ji6	dzi˨˩			
肌	ki1	ki˧˧			
飢	ki1	ki˧˧			
几	ki3	ki˥˩			
冀	ki5	ki˨˩˨			
器	khi5	kʰi˨˩˨			
棄	khi5	kʰi˨˩˨			
祈	khi2	kʰi˥˥			
伊	i1	i˧˧			
懿	i4	i˨˥			
夷	i2	i˥˥			
姨	i2	i˥˥			
肄	i5	i˨˩˨			
你	lur3	lɯ˥˩			
厘	li2	li˥˥			
李	li3	li˥˩			
理	li3	li˥˩			
里	li3	li˥˩			
裏	li3	li˥˩	文		
裏	lai4	lai˨˥	白		
鯉	li3	li˥˩			
吏	li6	li˨˩			
兹	tsur1	tsɯ˧˧			
滋	tsur1	tsɯ˧˧			
子	tsur3	tsɯ˥˩	文		
子	tsi3	tsi˥˩	白		
仔	tsur3	tsɯ˥˩			
仔	tsai3	tsai˥˩			
仔	kiann3	kiã˥˩	訓		
梓	tsur3	tsɯ˥˩			
磁	tshur2	tsʰɯ˥˥			
慈	tshur2	tsʰɯ˥˥			
字	jur4	dzɯ˨˥	文		
字	ji6	dzi˨˩	白		
司	sur1	sɯ˧˧	文		
司	si1	si˧˧	白		
絲	si1	si˧˧			
思	sur1	sɯ˧˧	文		
思	sur5	sɯ˨˩˨	文，意~		
思	si1	si˧˧	白，相~		
伺	sur4	sɯ˨˥			
辭	sur2	sɯ˥˥	文		
辭	si2	si˥˥	白		
詞	sur2	sɯ˥˥			
祠	sur2	sɯ˥˥			
巳	tsi4	tsi˨˥			
祀	sur4	sɯ˨˥			
似	sur4	sɯ˨˥			
寺	si6	si˨˩			
嗣	sur2	sɯ˥˥			
飼	sur4	sɯ˨˥	文		
飼	tshi6	tsʰi˨˩	白		
置	ti5	ti˨˩˨			
痴	tshi1	tsʰi˧˧			
耻	tshinn3	tsʰĩ˥˩			
持	thi2	tʰi˥˥			
持	ti2	ti˥˥	记~		
峙	sur4	sɯ˨˥			
痔	thi4	tʰi˨˥			
治	ti6	ti˨˩			
治	ti4	ti˨˥	又		
治	thai2	tʰai˥˥	白		
輜	tsur1	tsɯ˧˧			
廁	tshe5	tsʰɛ˨˩˨			
俟	sur4	sɯ˨˥			
士	sur4	sɯ˨˥			
事	sur6	sɯ˨˩	文		
事	tai6	tai˨˩	白		
史	sur3	sɯ˥˩	文		
史	sai3	sai˥˩	白，姓氏		
使	sai3	sai˥˩			
使	sai5	sai˨˩˨			
駛	sai3	sai˥˩			
芝	tsur1	tsɯ˧˧			
之	tsur1	tsɯ˧˧			
址	tsi3	tsi˥˩			
止	tsi3	tsi˥˩			
趾	tsi3	tsi˥˩			
志	tsi5	tsi˨˩˨			
誌	tsi5	tsi˨˩˨			
痣	ki5	ki˨˩˨			
齒	tshi3	tsʰi˥˩	文，不~		
齒	khi3	kʰi˥˩	白		
詩	si1	si˧˧			
始	sur3	sɯ˥˩			
試	tshi5	tsʰi˨˩˨			
時	si2	si˥˥			
市	tshi4	tsʰi˨˥			
恃	si4	si˨˥			
侍	si4	si˨˥			
而	jur2	dzɯ˥˥			
耳	jur3	dzɯ˥˩	文		
耳	hinn4	hĩ˨˥	白		
基	ki1	ki˧˧			
姬	ki1	ki˧˧			
己	ki3	ki˥˩			
紀	ki3	ki˥˩			
紀	ki5	ki˨˩˨			
記	ki5	ki˨˩˨			
欺	khi1	kʰi˧˧			
起	khi3	kʰi˥˩			
杞	khi3	kʰi˥˩			
棋	ki2	ki˥˥			
其	khi2	kʰi˥˥			
旗	ki2	ki˥˥			
期	khi2	kʰi˥˥			
忌	ki4	ki˨˥	文		
忌	khi6	kʰi˨˩	白		
疑	gi2	gi˥˥			
擬	ngi3	ŋi˥˩			
嘻	hi1	hi˧˧			
嬉	hi1	hi˧˧			
禧	hi1	hi˧˧			
熙	hi1	hi˧˧			
喜	hi3	hi˥˩			
醫	ui1	ui˧˧			
意	i5	i˨˩˨			
矣	i6	i˨˩			
怡	i2	i˥˥			
貽	i2	i˥˥			
已	inn3	ĩ˥˩			
以	inn3	ĩ˥˩			
異	i4	i˨˥			
機	ki1	ki˧˧	文		
機	kui1	kui˧˧	白		
譏	ki1	ki˧˧			
饑	ki1	ki˧˧			
幾	ki1	ki˧˧			
幾	ki3	ki˥˩	文		
幾	kui3	kui˥˩	白		
既	ki5	ki˨˩˨			
豈	kha3	kʰa˥˩			
氣	khi5	kʰi˨˩˨	文		
氣	khui5	kʰui˨˩˨	白		
汽	khi5	kʰi˨˩˨			
祈	khi2	kʰi˥˥			
沂	khi2	kʰi˥˥	俗		
毅	ngi5	ŋi˨˩˨			
希	hi1	hi˧˧			
稀	hi1	hi˧˧			
依	i1	i˧˧			
衣	i1	i˧˧	文		
衣	ui1	ui˧˧	白		
累	lui3	lui˥˩			
累	lui6	lui˨˩			
嘴	tshui5	tsʰui˨˩˨	訓“喙”		
髓	tshue3	tsʰue˥˩			
隨	sui2	sui˥˥			
吹	tshue1	tsʰue˧˧			
炊	tshue1	tsʰue˧˧			
垂	sui2	sui˥˥	文		
垂	sue2	sue˥˥	白		
睡	sui4	sui˨˥			
瑞	sui4	sui˨˥			
蕊	lui3	lui˥˩			
規	kui1	kui˧˧			
詭	kui3	kui˥˩			
虧	khui1	kʰui˧˧			
窺	kui1	kui˧˧			
跪	kuinn4	kũi˨˥			
危	ngui2	ŋui˥˥			
偽	ngui4	ŋui˨˥			
麾	hui1	hui˧˧			
毁	huinn3	hũi˥˩			
委	ui3	ui˥˩			
喂	ui3	ui˥˩			
為	ui2	ui˥˥			
為	ui6	ui˨˩			
壘	lui3	lui˥˩			
類	lui6	lui˨˩			
淚	lui4	lui˨˥			
醉	tsui5	tsui˨˩˨			
翠	tshui5	tsʰui˨˩˨			
悴	tsui4	tsui˨˥			
綏	sui2	sui˥˥			
雖	sui1	sui˧˧			
荽	sui1	sui˧˧			
粹	tsui4	tsui˨˥			
遂	sui2	sui˥˥			
隧	sui6	sui˨˩			
穗	sui6	sui˨˩			
追	tui1	tui˧˧			
槌	thui2	tʰui˥˥			
錘	tui2	tui˥˥			
錘	thui2	tʰui˥˥			
捶	tui2	tui˥˥			
墜	tui6	tui˨˩			
墜	thui6	tʰui˨˩	白		
衰	sue1	sue˧˧			
摔	tsuk7	tsuk˨			
摔	suk7	suk˨			
帥	sue5	sue˨˩˨			
錐	tsui1	tsui˧˧			
水	sui3	sui˥˩	文		
水	tsui3	tsui˥˩	白		
誰	sui2	sui˥˥			
龜	ku1	ku˧˧			
軌	khui3	kʰui˥˩			
癸	kui5	kui˨˩˨			
季	khui5	kʰui˨˩˨			
季	kui5	kui˨˩˨	又，姓氏		
葵	khui2	kʰui˥˥	文		
葵	kuenn2	kuẽ˥˥	~頭扇		
逵	khui2	kʰui˥˥			
櫃	kuinn6	kũi˨˩			
帷	jui2	dzui˥˥			
位	ui6	ui˨˩			
維	jui2	dzui˥˥			
惟	jui2	dzui˥˥			
遺	jui2	dzui˥˥			
唯	jui2	dzui˥˥			
飛	hui1	hui˧˧	文		
飛	pue1	pue˧˧	白		
非	hui1	hui˧˧			
匪	huinn3	hũi˥˩			
沸	huk7	huk˨	俗		
痱	pui5	pui˨˩˨			
妃	hui1	hui˧˧			
菲	hui1	hui˧˧			
費	hui5	hui˨˩˨	文		
費	pi5	pi˨˩˨	白，姓氏		
肥	pui2	pui˥˥			
薇	mui2	mui˥˥			
微	bi2	bi˥˥	稀~		
微	mui2	mui˥˥			
尾	bue3	bue˥˩			
未	bi6	bi˨˩	地支		
未	bue4	bue˨˥			
未	bue6	bue˨˩	又		
味	bi6	bi˨˩			
歸	kui1	kui˧˧			
鬼	kui3	kui˥˩			
貴	kui5	kui˨˩˨			
巍	ngui2	ŋui˥˥			
魏	ngui6	ŋui˨˩			
揮	hui1	hui˧˧			
輝	hui1	hui˧˧			
徽	hui1	hui˧˧			
諱	hui5	hui˨˩˨			
威	ui1	ui˧˧			
畏	uinn5	ũi˨˩˨			
慰	ue5	ue˨˩˨			
違	ui2	ui˥˥			
圍	ui2	ui˥˥			
葦	ui3	ui˥˩			
偉	ui3	ui˥˩			
緯	ui3	ui˥˩			
胃	ui4	ui˨˥			
謂	ui4	ui˨˥			
謂	ui5	ui˨˩˨			
猬	ui3	ui˥˩			
匯	hue4	hue˨˥			
褒	phau1	pʰau˧˧			
保	pau3	pau˥˩	文		
保	po3	po˥˩			
堡	pau3	pau˥˩			
寶	po3	po˥˩			
報	po5	po˨˩˨			
袍	phau2	pʰau˥˥			
抱	pho4	pʰo˨˥			
暴	pau4	pau˨˥			
毛	mau2	mau˥˥	文		
毛	mo2	mo˥˥			
冒	mau4	mau˨˥			
帽	bo6	bo˨˩			
刀	to1	to˧˧			
叨	tau1	tau˧˧			
倒	tau3	tau˥˩	文		
倒	to3	to˥˩			
島	tau3	tau˥˩			
禱	tau3	tau˥˩			
到	tau5	tau˨˩˨			
到	kau5	kau˨˩˨	訓		
倒	to5	to˨˩˨			
掏	thau1	tʰau˧˧			
滔	thau1	tʰau˧˧			
討	tho3	tʰo˥˩			
套	thau5	tʰau˨˩˨	文		
套	tho5	tʰo˨˩˨			
桃	to2	to˥˥	楊~		
桃	tho2	tʰo˥˥			
逃	to2	to˥˥			
陶	thau2	tʰau˥˥			
萄	tho2	tʰo˥˥			
濤	thiu2	tʰiu˥˥			
稻	tau4	tau˨˥			
稻	tiu4	tiu˨˥	訓		
道	tau4	tau˨˥			
導	tau4	tau˨˥			
盗	tau4	tau˨˥			
腦	nau3	nau˥˩	文		
腦	lo3	lo˥˩	白		
惱	nau3	nau˥˩	文		
惱	lo3	lo˥˩	白，煩~		
勞	lau2	lau˥˥			
撈	lau1	lau˧˧	文		
撈	lo1	lo˧˧	白		
嘮	lau1	lau˧˧			
牢	lo2	lo˥˥			
老	lau3	lau˥˩	文		
老	lau4	lau˨˥	白		
遭	tsau1	tsau˧˧			
糟	tsau1	tsau˧˧	文		
糟	tso1	tso˧˧	鏖~		
早	tsau3	tsau˥˩	文		
早	tsa3	tsa˥˩	白		
棗	tso3	tso˥˩			
蚤	tsau3	tsau˥˩			
澡	tshau5	tsʰau˨˩˨			
躁	tshau5	tsʰau˨˩˨			
灶	tsau5	tsau˨˩˨			
操	tshau1	tsʰau˧˧			
操	tshau5	tsʰau˨˩˨			
造	tsau4	tsau˨˥			
草	tshau3	tsʰau˥˩	文		
草	tsho3	tsʰo˥˩			
草	tshau3	tsʰau˥˩	白		
曹	tshau2	tsʰau˥˥			
槽	tso2	tso˥˥			
皂	tsau4	tsau˨˥			
造	tsau4	tsau˨˥			
騷	sau1	sau˧˧			
臊	tshau5	tsʰau˨˩˨			
臊	tsho1	tsʰo˧˧			
嫂	sau3	sau˥˩	文，又		
嫂	so3	so˥˩	白		
掃	sau5	sau˨˩˨			
高	kau1	kau˧˧	文		
高	ko1	ko˧˧			
膏	ko1	ko˧˧			
羔	ko1	ko˧˧			
糕	kau1	kau˧˧	文，糟~		
糕	ko1	ko˧˧			
稿	ko3	ko˥˩			
告	kau5	kau˨˩˨	文		
告	ko5	ko˨˩˨			
考	khau3	kʰau˥˩			
烤	khau3	kʰau˥˩			
靠	khau5	kʰau˨˩˨	文		
靠	kho5	kʰo˨˩˨			
靠	kou4	kou˨˥	訓“怙”		
犒	khau5	kʰau˨˩˨			
熬	ngau2	ŋau˥˥			
傲	ngau4	ŋau˨˥			
蒿	hau1	hau˧˧	文		
蒿	o1	o˧˧	白		
薅	hau1	hau˧˧	文		
薅	khau1	kʰau˧˧	白		
好	hau3	hau˥˩	文		
好	haunn5	hãu˨˩˨			
好	ho3	ho˥˩			
耗	ho5	ho˨˩˨			
豪	hau2	hau˥˥	文		
豪	ho2	ho˥˥	~豬		
毫	hau2	hau˥˥			
蠔	hau2	hau˥˥	文		
蠔	o2	o˥˥	白		
浩	hau1	hau˧˧			
號	hau1	hau˧˧	文		
號	ho6	ho˨˩	白		
襖	o3	o˥˩			
懊	au5	au˨˩˨			
懊	o5	o˨˩˨	又		
奥	o5	o˨˩˨			
包	pau1	pau˧˧			
胞	pau1	pau˧˧			
飽	pa3	pa˥˩			
豹	pa5	pa˨˩˨			
爆	pau4	pau˨˥			
泡	phau5	pʰau˨˩˨	文		
泡	pha4	pʰa˨˥	白		
抛	phau1	pʰau˧˧	文		
抛	pha1	pʰa˧˧	白		
炮	phau5	pʰau˨˩˨			
跑	phau3	pʰau˥˩			
鮑	pau4	pau˨˥			
刨	phau1	pʰau˧˧			
茅	mau2	mau˥˥			
卯	bau3	bau˥˩			
貌	mau4	mau˨˥			
撓	nau1	nau˧˧	文		
撓	niau1	niau˧˧			
鬧	nau4	nau˨˥	文		
鬧	nau6	nau˨˩	文		
鬧	lau6	lau˨˩	白，~熱		
嘲	tshiau3	tsʰiau˥˩			
罩	tsau4	tsau˨˥	文		
罩	ta5	ta˨˩˨	白		
抓	tsuann1	tsuã˧˧			
爪	jiau3	dziau˥˩			
爪	jiau5	dziau˨˩˨			
找	tau3	tau˥˩			
抄	tshau1	tsʰau˧˧			
鈔	tshau1	tsʰau˧˧			
炒	tsha3	tsʰa˥˩			
吵	tshau1	tsʰau˧˧			
巢	tshau2	tsʰau˥˥			
梢	sau1	sau˧˧			
梢	siau1	siau˧˧			
稍	tshiau3	tsʰiau˥˩			
交	kau1	kau˧˧			
郊	kau1	kau˧˧			
膠	ka1	ka˧˧			
絞	ka3	ka˥˩			
狡	kau3	kau˥˩			
鉸	ka1	ka˧˧			
搞	kau3	kau˥˩			
攪	kiau3	kiau˥˩			
攪	ka3	ka˥˩	白		
教	ka5	ka˨˩˨			
較	ka5	ka˨˩˨			
酵	kann5	kã˨˩˨			
窖	ka5	ka˨˩˨			
敲	khiau1	kʰiau˧˧			
敲	kha5	kʰa˨˩˨	白		
巧	khiau3	kʰiau˥˩			
巧	kha3	kʰa˥˩	白		
咬	ka4	ka˨˥			
孝	hau5	hau˨˩˨	文		
孝	ha5	ha˨˩˨	白		
肴	ngau2	ŋau˥˥			
淆	ngau2	ŋau˥˥			
效	hau6	hau˨˩			
校	hau4	hau˨˥			
校	ka5	ka˨˩˨			
拗	au3	au˥˩	文		
拗	a3	a˥˩	白		
飈	phiau1	pʰiau˧˧	文		
飈	pio1	pio˧˧	白		
標	phiau1	pʰiau˧˧	文		
標	pio1	pio˧˧	白		
表	piau3	piau˥˩	文		
表	pio3	pio˥˩	白		
錶	pio1	pio˧˧			
飄	phiau1	pʰiau˧˧			
票	phio5	pʰio˨˩˨			
漂	phiau1	pʰiau˧˧			
漂	phio5	pʰio˨˩˨			
嫖	phiau2	pʰiau˥˥			
瓢	phiau2	pʰiau˥˥			
鰾	phio4	pʰio˨˥			
描	miau2	miau˥˥	文		
描	bio2	bio˥˥	白		
苗	miau2	miau˥˥	文		
苗	bio2	bio˥˥	白		
瞄	miau2	miau˥˥	文		
瞄	bio2	bio˥˥	白		
貓	ngiau1	ŋiau˧˧			
藐	miau3	miau˥˩			
渺	miau3	miau˥˩			
秒	miau3	miau˥˩			
廟	bio6	bio˨˩			
妙	miau4	miau˨˥			
燎	liau2	liau˥˥			
焦	tsiau1	tsiau˧˧			
椒	tsio1	tsio˧˧			
剿	jiau3	dziau˥˩			
悄	tshiau3	tsʰiau˥˩			
俏	tshiau3	tsʰiau˥˩			
樵	tsiau1	tsiau˧˧			
瞧	tshiau2	tsʰiau˥˥			
消	siau1	siau˧˧			
宵	siau1	siau˧˧			
霄	siau1	siau˧˧	文		
霄	sio1	sio˧˧	白，地名		
硝	siau1	siau˧˧			
銷	siau1	siau˧˧			
小	siau3	siau˥˩	文		
小	sio3	sio˥˩	白		
笑	tshio5	tsʰio˨˩˨			
鞘	siau1	siau˧˧			
朝	tsiau1	tsiau˧˧			
超	thiau5	tʰiau˨˩˨			
朝	tshiau2	tsʰiau˥˥			
潮	tio2	tio˥˥			
趙	tio4	tio˨˥			
兆	tiau4	tiau˨˥			
肇	siau4	siau˨˥			
召	tiau4	tiau˨˥			
昭	tsiau1	tsiau˧˧			
招	tsiau1	tsiau˧˧	文		
招	tsio1	tsio˧˧	白		
沼	jiau5	dziau˨˩˨			
照	tsiau5	tsiau˨˩˨	文		
照	tsio5	tsio˨˩˨	白		
詔	jiau5	dziau˨˩˨			
燒	sio1	sio˧˧			
少	siau3	siau˥˩	文		
少	siau5	siau˨˩˨	文		
少	tsio3	tsio˥˩	白		
韶	siau4	siau˨˥			
紹	siau4	siau˨˥			
邵	siau4	siau˨˥			
饒	jiau2	dziau˥˥	文		
饒	jio2	dzio˥˥	白，地名		
擾	jiau3	dziau˥˩			
繞	jiau5	dziau˨˩˨			
驕	kiau1	kiau˧˧			
嬌	kiau1	kiau˧˧			
矯	kiau3	kiau˥˩			
蹺	khiau1	kʰiau˧˧			
喬	khiau2	kʰiau˥˥			
橋	kio2	kio˥˥			
轎	kio6	kio˨˩			
囂	ngau1	ŋau˧˧			
枵	iau1	iau˧˧			
妖	iau1	iau˧˧			
邀	hiau1	hiau˧˧			
邀	khiau1	kʰiau˧˧	帶領		
腰	io1	io˧˧			
要	iau1	iau˧˧			
夭	iau1	iau˧˧			
要	iau5	iau˨˩˨			
搖	iau2	iau˥˥	文		
搖	io2	io˥˥	白		
謠	iau2	iau˥˥			
窯	io2	io˥˥			
姚	io2	io˥˥			
舀	io3	io˥˩			
耀	iau4	iau˨˥	文		
耀	tshionn7	tsʰiõ˨˩	白		
刁	tiau1	tiau˧˧			
貂	tiau1	tiau˧˧			
雕	tiau1	tiau˧˧			
鳥	tsiau3	tsiau˥˩			
吊	tiau5	tiau˨˩˨			
釣	tionn5	tiõ˨˩˨			
挑	thiau1	tʰiau˧˧	文		
挑	thio1	tʰio˧˧	白		
跳	thiau5	tʰiau˨˩˨			
糶	thio5	tʰio˨˩˨			
跳	tio2	tio˥˥			
