汉字	拼音	IPA	注释		
啞	e3	ɛ˥˩			
亞	a5	a˨˩˨			
亞	a1	a˧˧	又		
嗟	tsa1	tsa˧˧			
姐	tse3	tsɛ˥˩			
姐	tsia3	tsia˥˩	小~		
且	tshiann3	tsʰiã˥˩			
藉	tsia4	tsia˨˥			
些	se1	sɛ˧˧			
寫	sia3	sia˥˩			
瀉	sia5	sia˨˩˨			
卸	sia5	sia˨˩˨			
邪	sia2	sia˥˥			
斜	sia2	sia˥˥	文		
斜	sia1	sia˧˧	白		
謝	sia6	sia˨˩	文		
謝	tsia6	tsia˨˩	白，姓氏		
爹	tia1	tia˧˧			
遮	tsia1	tsia˧˧			
者	tsia3	tsia˥˩			
蔗	tsia5	tsia˨˩˨			
車	tshia1	tsʰia˧˧			
扯	tshe3	tsʰɛ˥˩			
蛇	tsua2	tsua˥˥			
射	sia6	sia˨˩			
奢	tshia1	tsʰia˧˧			
捨	sia5	sia˨˩˨			
赦	sia5	sia˨˩˨			
舍	sia5	sia˨˩˨			
社	sia4	sia˨˥			
惹	jia3	dzia˥˩			
耶	ia1	ia˧˧			
椰	ia2	ia˥˥			
爺	ia2	ia˥˥			
冶	ia3	ia˥˩			
也	ia3	ia˥˩			
野	ia3	ia˥˩			
夜	menn5	mɛ̃˨˩˨	俗，又		
夜	menn2	mɛ̃˥˥	訓“暝”		
傻	sa4	sa˨˥			
耍	sng3	sŋ˥˩	訓“爽”		
瓜	kue1	kue˧˧			
蝸	o1	o˧˧	俗		
蝸	ua1	ua˧˧	俗，又		
寡	kuann3	kuã˥˩			
咵	khua1	kʰua˧˧			
垮	khua1	kʰua˧˧			
跨	khua1	kʰua˧˧			
娃	ua1	ua˧˧			
瓦	ua1	ua˧˧	文		
瓦	hiann4	hiã˨˥	白		
花	hua1	hua˧˧	文		
花	hue1	hue˧˧	白		
化	hua1	hua˧˧	替		
化	hue5	hue˨˩˨			
華	hua1	hua˧˧			
華	hua2	hua˥˥			
划	hua2	hua˥˥	划算		
划	ko5	ko˨˩˨	~船		
蛙	ua1	ua˧˧			
洼	ua1	ua˧˧			
補	pou3	pou˥˩			
譜	phou3	pʰou˥˩			
