#符号说明：$单字调&连读前字调	
#调值	[1]³³ [2]⁴² [3]⁴⁵² [5]²¹² [7]⁵
#ɿ	
pʰ	[1]偏篇[2]便{便宜}[5]骗片
m	[2]棉绵[3]免缅[5]面
t	[1]颠癫[3]点典碘[5]店电垫
tʰ	[1]天添[2]田甜填
ȵ	[1]拈[2]黏年俨[3]撵[5]念
l	[2]连莲廉镰联怜帘[3]殓敛潋脸[5]练炼链
tɕ	[1]监尖兼间{中间}艰煎坚肩奸歼今[3]减碱俭捡检拣剪茧[5]舰剑渐间{间隔}贱溅箭践件建健见鉴
tɕʰ	[1]签谦千牵迁[2]钳乾钱前[3]遣浅[5]嵌歉欠
ɕ	[1]先仙[2]咸嫌闲衔[3]显险[5]陷馅限苋线献现羡
Ø	[1]烟淹[2]岩盐炎严颜延然言沿研[3]眼掩染演[5]验焰厌燕艳雁
	
#yɪ᷉n	
tɕ	[1]捐娟鹃[3]卷[5]倦
tɕʰ	[1]圈铅[2]拳权全泉[3]犬[5]劝
ɕ	[1]掀鲜宣[2]弦悬玄[3]选癣[5]县炫
Ø	[1]冤渊[2]原源袁元园圆员缘援[3]远[5]怨院
	
#əŋ	
p	[1]奔绷崩[3]本□{抱的意思}[5]笨蹦迸
pʰ	[1]喷碰[2]盆膨彭朋棚蓬
m	[1]蒙{蒙住}[2]门们蒙{蒙古}盟[3]猛懵[5]闷焖孟梦
f	[1]分风丰峰锋蜂封[2]坟冯逢[3]粉[5]份粪奋缝{一条缝}奉
v	[1]温瘟嗡[2]文纹蚊闻[3]稳[5]问蕹{蕹菜}
t	[1]灯登炖东冬□{用手把某物（细长物如牙签、钞票）从中抽出、拔出}[3]等董懂[5]凳邓洞动栋冻吨顿盾
tʰ	[1]通[2]疼腾藤澄{水浑、澄一下}铜同桐筒童[3]统捅桶[5]□{挨时间、拖时间}
n	[2]能农脓
l	[1]聋{聋子}[2]聋{耳朵聋}笼龙[3]拢[5]弄
ts	[1]曾增争睁蒸真珍贞征正{正月}钟中忠终宗综棕[3]枕诊整总肿种{种子}[5]赠阵震镇证郑政正{正面}粽纵重{轻重}
tsʰ	[1]聪葱匆冲充称{称呼}撑[2]层沉尘陈辰乘承成城诚丛崇虫从重{重复}[3]宠□{推的意思}[5]衬秤
s	[1]生牲僧升深参{人参}声申伸身森松[2]神什绳[3]省{节省}沈审[5]剩胜圣盛{盛开}宋送诵
k	[1]跟根耕庚羹{调羹（勺子）}公工攻功宫弓恭龚[3]哽梗拱[5]更{更好}共供贡
kʰ	[1]空{空虚}[2]□{某物拱起来、鼓起来}[3]肯啃垦恳恐孔[5]控空{空闲}
ŋ	[1]恩□{搂、抱的意思}[5]硬
x	[1]烘轰[2]痕衡恒红虹洪宏弘[3]很狠哄[5]恨
	
#iəŋ	
p	[1]宾殡斌彬冰兵[3]饼柄丙[5]并病
pʰ	[1]拼乒[2]贫频瓶凭平苹萍评[3]品□{甩打}[5]聘
m	[2]民明名[3]敏闽[5]命
t	[1]丁盯叮钉[3]顶鼎[5]订定
tʰ	[1]听厅[2]亭停婷[3]挺
ȵ	[2]宁[3]忍[5]□{形容食物弹性好、有嚼劲}
l	[2]林琳临邻霖鳞零铃玲龄灵陵菱[3]领岭[5]令另
tɕ	[1]金襟筋津巾斤京惊精经[3]锦紧井憬警颈{颈脖子}[5]禁{禁止}劲进近尽{尽管}镜竞静净敬
tɕʰ	[1]亲侵轻清青倾{倾向}针[2]琴勤秦擎{擎伞}晴情琼穷寻[3]寝倾{倾斜}[5]庆
ɕ	[1]心芯新辛兴{兴起}星腥兄凶胸[2]行{行走}型形熊[3]醒省{反省}[5]信杏幸兴{高兴}姓性
Ø	[1]音阴{阴凉}荫{树荫}因莺鹰应{应该}英拥[2]银人仁迎赢荣营萤绒融容茸[3]饮引寅隐影永勇[5]印认应{答应}映用
	
#ᵘəŋ	
t	[3]墩{墩子}[5]盾钝
tʰ	[1]吞[2]豚
n	[5]嫩
l	[2]轮仑伦[5]论
ts	[1]尊遵[3]准
tsʰ	[1]村春[2]存[3]蠢[5]寸
s	[1]孙[2]纯唇[3]损笋[5]顺瞬训
k	[3]滚[5]棍
kʰ	[1]昆坤[3]捆[5]困
x	[1]昏婚荤[2]横混{水混}浑魂[3]混{搞混}[5]混{鬼混}
	
#yəŋ	
tɕ	[1]军均君[5]俊骏
tɕʰ	[2]群裙[3]菌
ɕ	[1]熏勋[2]巡询[5]□{用力甩}
Ø	[1]晕[2]匀云[3]允[5]韵运
	
#m̩	
Ø	[1]姆{姆妈（母亲的背称）}

#u̜ʔ	
l	[7]褥
ts	[7]镯捉浊

#yʔ	
tɕ	[5]觉角

#aʔ	
p	[7]八&拔&
ph	[7]抹&
f	[7]法&发&罚&
v	[7]袜&
t	[7]答&达&搭&
tʰ	[7]踏&塔&塌&沓&
l	[7]辣&瘌&腊&蜡&
ts	[7]眨&闸&扎&
tsʰ	[7]插&
s	[7]杀&
	
#iaʔ	
tɕ	[7]夹&甲&
ɕ	[7]瞎&
Ø	[7]轧&押&鸭&压&
	
#uaʔ	
k	[7]刮&括&
x	[7]滑&划&
	
#ɤʔ	
p	[7]北&白&百&不
pʰ	[7]迫&拍&魄&
m	[7]墨&麦&脉&
t	[7]得&德&
tʰ	[7]特&
ts	[7]摘&窄&责&直&折&浙&
tsʰ	[7]拆&册&测&策&
s	[7]识&食&湿&十&实&失石设
x	[7]黑&
	
#iɛʔ	
p	[7]憋&碧&笔&逼&必&别&璧&壁&
pʰ	[7]撇&劈&辟&僻&
m	[7]□&{掰的意思}灭&密&秘&密&
t	[7]跌&叠&碟&蝶&谍&滴&笛&敌&
tʰ	[7]铁&贴&帖&踢&
ȵ	[7]捏&轰&孽&逆&
l	[7]劣&裂&列&例&笠&立&力&历&
tɕ	[7]杰&节&结&接&极&级&劫&集&急&及&籍&吉&击&疾揭
tɕʰ	[7]七&漆&契&乞&戚&砌&吃&
ɕ	[7]协&吸&熄&息&惜&席&蓆&锡&
k	[7]隔&格&
kʰ	[7]客&克&咳&刻&
Ø	[7]叶&热&业&日&一&液&
	
#yɛʔ	
tɕ	[7]绝&决&诀&
tɕʰ	[7]缺&
ɕ	[7]血&穴&雪&薛&
Ø	[7]月&越&约&
	
#oʔ	
p	[7]博&薄&剥&拨&□&{将原本断了的线状物重新连接起来}
pʰ	[7]泼&扑&
m	[7]幕&默&末&沫&木&目&
f	[7]佛&福&复&覆&服&{服气}
v	[7]握&屋&物&
t	[7]夺&独&读&毒&督&
tʰ	[7]拓&托&脱&
l	[7]落&洛&络&六&陆&鹿&录&禄&绿&入
ts	[7]昨&作&桌&浊&镯&捉&着&烛&足&撮&卒&族&竹
tsʰ	[7]出&促&
s	[7]刷&术&速&叔&熟&述&粟&俗&赎&束&属&
k	[7]鸽&割&骨&郭&角&国&谷&各&
ŋ	[7]恶&
x	[7]鹤&盒&藿&活&或&吓&{恐吓}获&合&
Ø	[7]沃&
	
#ioʔ	
tɕ	[7]足&绝&决&橘&菊&脚&
tɕʰ	[7]缺&角&觉&局&屈&曲&
ȵ	[7]弱&虐&疟&
ɕ	[7]学&削&蓄&
Ø	[7]药&约&跃&岳&月&育&浴&狱&越&肉&
