	字	音	調	注			聲調																																										
	一	ziʔ	7				調類	陰平	陽平	上	去	入																																					
	乙	ziʔ	7				調值	˦	˧˨	˥˩	˩˦	˧																																					
	二	ɤ	5				數表	1	2	3	5	7																																					
	十	siʔ	7				口語變調：當詞句中出現連續的陽平或陽平位於入聲前，第一個陽平爲꜓꜒（非固定變調），上聲在詞句中非末尾爲˥，去聲在詞句中非末尾爲˩。																																										
	丁	teŋ	1																																														
	廠	tsʰaŋ	3																																														
	七	tsʰiʔ	7																																														
	蔔	pɔʔ	7				聲母																																										
	八	paʔ	7				p	pʰ	m	f	v																																						
	人	zen	2				t	tʰ	n	l																																							
	入	zuʔ	7				ts	tsʰ	s	z																																							
	兒	ɤ	2				k	kʰ	ŋ	h																																							
	兒	əi	2				Ø(不標出)																																										
	匕	pi	3																																														
	幾	ki	3				韻母																																										
	九	kiu	3				ɿ	i	u	y																																							
	刁	tiau	1				a	ia	ua																																								
	了	liau	3				ɔ																																										
	刀	tau	1					iu																																									
	力	liʔ	7					iɛ		yɛ	yi																																						
	乃	lai	3				ɤ		uə																																								
	又	zəu	5				ai		uai																																								
	三	san	1				au	iau																																									
	幹	kan	5				əu																																										
	於	zy	2				əi		uəi																																								
	於	vu	1					en	yin																																								
	虧	kʰuəi	1				an																																										
	工	kuŋ	1				ən	iən	uən																																								
	土	tʰu	3					eŋ	uŋ																																								
	士	si	5				aŋ	iaŋ	uaŋ																																								
	才	tsʰəi	2				əŋ		iuŋ																																								
	下	hia	5					iʔ	uʔ	yʔ																																							
	寸	tsʰeŋ	5				aʔ	iaʔ	uaʔ																																								
	大	ta	5				ɔʔ	iɔʔ																																									
	大	tai	5						uəʔ																																								
	丈	tsaŋ	5				ɤʔ																																										
	與	zy	3					iɛʔ		yɛʔ																																							
	萬	vaŋ	5				əiʔ																																										
	上	saŋ	5																																														
	小	siau	3																																														
	口	kʰəu	3																																														
	山	saŋ	1																																														
	巾	keŋ	1																																														
	千	tsʰiəŋ	1																																														
	乞	kʰiʔ	7																																														
	乞	kʰi	3																																														
	川	tsʰuəŋ	1																																														
	億	zi	5																																														
	個	kɔ	5																																														
	夕	siʔ	7																																														
	久	kiu	3																																														
	麽	mə	1																																														
	勺	sɔʔ	7																																														
	凡	faŋ	2																																														
	丸	van	2																																														
	及	kiʔ	7																																														
	廣	kuaŋ	3																																														
	亡	vaŋ	2																																														
	門	mən	2																																														
	丫	za	1																																														
	義	zi	5																																														
	之	zɿ	1																																														
	屍	si	1																																														
	己	ki	3																																														
	已	zi	3																																														
	巳	sɿ	5																																														
	弓	kuŋ	1																																														
	子	zɿ	3																																														
