广韵字	繁体字	简体字	常用级	频率	声母	韵母	调值	声调	国际音标	说明	
吧	吧	吧	A3	87536	p	a	13	阴平	pa13		
巴	巴	巴	A3	74917	p	a	13	阴平	pa13		
疤	疤	疤	C	1765	p	a	13	阴平	pa13		
笆	笆	笆	C	896	p	a	13	阴平	pa13		
粑	粑	粑	E		p	a	13	阴平	pa13		
芭	芭	芭	C	1615	p	a	13	阴平	pa13		
鈀	鈀	钯	E		p	a	13	阴平	pa13		
八	八	八	A3	92700	p	a	24	阳平	pa24		
拔	拔	拔	B	13865	p	a	24	阳平	pa24		
捌	捌	捌	C	104	p	a	24	阳平	pa24		
撥	撥	拨			p	a	24	阳平	pa24	开拔	
魃	魃	魃	E		p	a	24	阳平	pa24		
鮁	鮁	鲅	E		p	a	24	阳平	pa24		
把	把	把	A2	340730	p	a	42	上声	pa42		
靶	靶	靶	C	1411	p	a	42	上声	pa42		
壩	壩	坝	C	2552	p	a	45	去声	pa45		
柄	柄	柄			p	a	45	去声	pa45	白读	
灞	灞	灞	E		p	a	45	去声	pa45		
罷	罷	罢	B	18492	p	a	45	去声	pa45		
霸	霸	霸	B	8639	p	a	45	去声	pa45		
捭	捭	捭	E		p	ai	42	上声	pai42		
擺	擺	摆	B	23853	p	ai	42	上声	pai42	显摆	
拜	拜	拜	B	20978	p	ai	45	去声	pai45		
敗	敗	败	A3	39627	p	ai	45	去声	pai45		
稗	稗	稗	E		p	ai	45	去声	pai45		
扳	扳	扳	C	1540	p	an	13	阴平	pan13		
斑	斑	斑	C	6622	p	an	13	阴平	pan13		
班	班	班	A3	38130	p	an	13	阴平	pan13		
癍	癍	癍	E		p	an	13	阴平	pan13		
頒	頒	颁	C	4742	p	an	13	阴平	pan13		
板	板	板	B	35332	p	an	42	上声	pan42		
版	版	版	A3	42853	p	an	42	上声	pan42		
舨	舨	舨	D		p	an	42	上声	pan42		
鈑	鈑	钣	E		p	an	42	上声	pan42		
闆	闆	板	D		p	an	42	上声	pan42		
辦	辦	办			p	an	45	去声	pan45		
幫	幫	帮	A3	47065	p	aŋ	13	阴平	paŋ13		
梆	梆	梆	C	545	p	aŋ	13	阴平	paŋ13		
浜	浜	浜	E		p	aŋ	13	阴平	paŋ13		
邦	邦	邦	B	17153	p	aŋ	13	阴平	paŋ13		
榜	榜	榜	C	3458	p	aŋ	42	上声	paŋ42		
綁	綁	绑	C	4112	p	aŋ	42	上声	paŋ42		
蒡	蒡	蒡	E		p	aŋ	42	上声	paŋ42		
傍	傍	傍	C	3444	p	aŋ	45	去声	paŋ45		
棒	棒	棒	C	4917	p	aŋ	45	去声	paŋ45		
蚌	蚌	蚌	C	605	p	aŋ	45	去声	paŋ45		
謗	謗	谤	C	1387	p	aŋ	45	去声	paŋ45		
包	包	包	A3	91240	p	au	13	阴平	pau13		
孢	孢	孢	E		p	au	13	阴平	pau13		
胞	胞	胞	B	17702	p	au	13	阴平	pau13		
苞	苞	苞	C	712	p	au	13	阴平	pau13		
褒	褒	褒	C	987	p	au	13	阴平	pau13		
保	保	保	A2	164424	p	au	42	上声	pau42		
堡	堡	堡	B	13533	p	au	42	上声	pau42		
寶	寶	宝	A3	42836	p	au	42	上声	pau42		
煲	煲	煲	E		p	au	42	上声	pau42		
葆	葆	葆	E		p	au	42	上声	pau42		
褓	褓	褓	D		p	au	42	上声	pau42		
飽	飽	饱	C	7059	p	au	42	上声	pau42		
鴇	鴇	鸨	E		p	au	42	上声	pau42		
報	報	报	A2	182411	p	au	45	去声	pau45		
抱	抱	抱	B	25069	p	au	45	去声	pau45		
暴	暴	暴	B	29566	p	au	45	去声	pau45		
曝	曝	曝	D		p	au	45	去声	pau45		
爆	爆	爆	B	20340	p	au	45	去声	pau45		
爆	爆	爆	B	20340	p	au	45	去声	pau45		
豹	豹	豹	C	3683	p	au	45	去声	pau45		
趵	趵	趵	E		p	au	45	去声	pau45		
鉋	鉋	刨	C	888	p	au	45	去声	pau45		
鮑	鮑	鲍	D		p	au	45	去声	pau45		
齙	齙	龅	E		p	au	45	去声	pau45		
伯	伯	伯	A3	42513	p	e	24	阳平	pe24		
佰	佰	佰	D		p	e	24	阳平	pe24		
北	北	北	A2	136939	p	e	24	阳平	pe24		
柏	柏	柏	B	11902	p	e	24	阳平	pe24		
白	白	白	A2	148728	p	e	24	阳平	pe24		
百	百	百	A3	103938	p	e	24	阳平	pe24		
舶	舶	舶	C	4743	p	e	24	阳平	pe24		
卑	卑	卑	C	6572	p	əi	13	阴平	pəi13		
悲	悲	悲	B	23500	p	əi	13	阴平	pəi13		
杯	杯	杯	B	16068	p	əi	13	阴平	pəi13		
盃	盃	杯	D		p	əi	13	阴平	pəi13		
碑	碑	碑	C	5509	p	əi	13	阴平	pəi13		
陂	陂	陂	E		p	əi	13	阴平	pəi13		
鵯	鵯	鹎	E		p	əi	13	阴平	pəi13		
擺	擺	摆			p	əi	42	上声	pəi42	白读，做	
倍	倍	倍	B	16102	p	əi	45	去声	pəi45		
備	備	备	A3	107114	p	əi	45	去声	pəi45		
唄	唄	呗	E		p	əi	45	去声	pəi45		
悖	悖	悖	D		p	əi	45	去声	pəi45		
憊	憊	惫	C	1879	p	əi	45	去声	pəi45		
揹	揹	背	E		p	əi	45	去声	pəi45		
焙	焙	焙	C	601	p	əi	45	去声	pəi45		
狽	狽	狈	C	1688	p	əi	45	去声	pəi45		
碚	碚	碚	E		p	əi	45	去声	pəi45		
背	背	背	A3	45181	p	əi	45	去声	pəi45		
背	背	背	A3	45181	p	əi	45	去声	pəi45		
蓓	蓓	蓓	D		p	əi	45	去声	pəi45		
被	被	被	A2	268905	p	əi	45	去声	pəi45		
褙	褙	褙	E		p	əi	45	去声	pəi45		
貝	貝	贝	B	24675	p	əi	45	去声	pəi45		
輩	輩	辈	B	14384	p	əi	45	去声	pəi45		
邶	邶	邶	E		p	əi	45	去声	pəi45		
鋇	鋇	钡	E		p	əi	45	去声	pəi45		
韝	韝	鞴	E		p	əi	45	去声	pəi45		
奔	奔	奔	B	18989	p	ən	13	阴平	pən13		
賁	賁	贲	D		p	ən	13	阴平	pən13		
錛	錛	锛	E		p	ən	13	阴平	pən13		
本	本	本	A1	388118	p	ən	42	上声	pən42		
畚	畚	畚	D		p	ən	42	上声	pən42		
苯	苯	苯	E		p	ən	42	上声	pən42		
憑	憑	凭	B	15618	p	ən	45	去声	pən45	白，依靠	
坌	坌	坌	E		p	ən	45	去声	pən45		
奔	奔	奔	B	18989	p	ən	45	去声	pən45		
笨	笨	笨	C	4712	p	ən	45	去声	pən45		
篦	篦	篦	E		p	i	13	阴平	pi13		
蓖	蓖	蓖	C	190	p	i	13	阴平	pi13		
壁	壁	壁	B	16588	p	i	24	阳平	pi24	壁头	
弼	弼	弼	D		p	i	24	阳平	pi24		
必	必	必	A2	174963	p	i	24	阳平	pi24		
畢	畢	毕	B	26148	p	i	24	阳平	pi24		
筆	筆	笔	A3	34057	p	i	24	阳平	pi24		
篳	篳	筚	E		p	i	24	阳平	pi24		
蓽	蓽	荜	E		p	i	24	阳平	pi24		
蹕	蹕	跸	E		p	i	24	阳平	pi24		
逼	逼	逼	B	12623	p	i	24	阳平	pi24		
俾	俾	俾	D		p	i	42	上声	pi42		
匕	匕	匕	C	1388	p	i	42	上声	pi42		
妣	妣	妣	D		p	i	42	上声	pi42		
