#符号说明：-白=文/书*俗?待考	
#调值	［1］45［2］21［3］53［5］213［0］轻声
#ɿ	
ts [1]资姿咨兹滋辎 [3]紫姊梓子籽滓 [5]自字滞{停～}	
tsʰ[1]差{参～}跐 [2]雌瓷{～器}餈{～巴}慈磁辞词祠 [3]此 [5]疵{吹毛求～}刺赐次巳{辰～午未}伺{～候}嗣	
s [1]斯厮撕私司丝思厕{茅～}[3]死 [5]四肆嗜似祀寺饲俟	
#ʅ	
tʂ [1]知蜘支枝肢栀之芝隻{一～鸡}[2]置蛰{惊～}执汁姪质直值植殖织职掷只{一～， 两～}[3]纸只{～有}脂旨指止趾址 [5]制智翅雉{～鸡}致稚至治志誌痣	
tʂʰ[1]痴嗤 [2]池驰迟持赤尺吃滞 [3]耻齿 [5]侈痔秩斥	
ʂ [1]施师狮尸屍诗 [2]豕豉{豆～}时湿十什拾实失室食蚀识适释石 [3]矢屎始使史驶 [5]世势誓逝匙是氏示视士仕柿市事恃侍试式饰	
ʐ [2]日肏	
#i	
p [1]蓖{～麻}逼屄 [2]笔毕必璧碧壁鼻 [3]彼俾鄙比秕 [5]蔽敝弊币毙陛闭箅被{～子}婢臂庇备篦	
pʰ[1]批屄{又音}[2]裴皮疲琵{～琶}枇{～杷}匹弼僻辟劈 [3]避 [5]屁	
m [1]眯 [2]迷谜麋{～子}糜弥眉楣秘密蜜觅 [51]米靡 [5]迷{～子， 潜水}	
t [1]低 [2]的{目～}滴嫡笛敌狄 [3]底抵 [5]弟第递帝隶{～书}地	
tʰ[1]梯剔 [2]堤题提蹄踢 [3]体 [5]替涕剃{～头}屜	
l [2]犁黎梨离{～别}篱璃狸{果子～： 一种野兽}立笠粒栗力历曆厘隶{奴～}[3]礼李里理鲤 [5]例厉励丽荔离{～开}利痢吏	
tɕ [1]鸡稽饥肌几{茶～，～乎}机讥基 [2]脐{～带}杞缉{通～}集辑{编～}楫急级及疾吉即鲫极戟屐积迹脊籍藉绩寂击激给{供～}[3]挤几{～个}己{自～}[5]祭际穄{草～子}荠济剂{面～子}计继系{～裤腰带}髻技妓寄纪记忌既季	
tɕʰ [1]妻溪欺期戚 [2]齐奇骑岐鳍其棋旗祈泣七漆乞讫 [3]启起岂 [5]契喫{～饭}企器弃气汽	
ɲ [2]泥倪宜 {适 ～}仪尼疑匿逆溺蚁 [3]你拟 [5]艺-谊腻义议	
ɕ [1]西犀棲奚兮携畦牺嬉熙希稀吸锡析 [2]习悉膝息熄媳惜昔席夕 [3]洗玺徙喜袭 [5]细系{联～}戏 [0]婿{女～}	
∅ [1]倚伊医沂衣依 [2]移夷姨饴{高粱～}揖{作～}乙一逸益亦译液腋抑遗{～留}[3]椅矣已以 [5]艺=刈缢瞖易冀肄意异毅忆亿翼液疫役	
#u	
p [2]不卜{萝～}[3]补 [55]部簿布怖{恐～}步埠	
pʰ[1]铺{～盖}[2]蒲菩{～萨}脯{果～}讣醭朴樸仆{～人}扑{～上去}仆{～倒}瀑{～布}[3]谱普浦甫捕堡哺{～育}[5]铺{店～}赴	
m [2]模{～子， ～范}木沐目穆牧睦 [3]牡母拇	
f [1]夫肤麸敷俘 [2]扶芙孵浮复佛{仿～}缚福幅蝠{蝙～}腹複復{～原}覆{反～}辐{～条， 辐射}服伏 [3]符府腑俯甫辅斧釜腐抚阜 [5]付赋傅父附妇负富副 [0] 袱{包～}	
t [1]都{～城}[2]笃督毒独读牍犊{半～子}[3]堵赌肚{猪～子}[5]杜肚{～子}度渡镀	
tʰ[2]徒屠途塗图突秃 [3]土吐 [5]兔	
l [2]鹿禄奴卢炉芦庐{～山}律{纪～}六陆绿录 [3]努鲁橹掳虏滷 [5]怒路露鹭{～鸶}	
ts [1]租 [3]祖组阻 [5]做	
tsʰ[1]粗初雏{～雁}[2]锄猝{仓 ～}族促 [3]楚礎 [5]醋助	
s [1]苏酥梳{～子}疏{生 ～}蔬枢 [2]粟 [3]数{～数 字}[5]素诉塑嗉{鸡～子}数{～字}漱{～口}	
tʂ [1]猪诸朱蛛株硃珠诛茱 [2]术{苍 ～}烛嘱触 [3]煮主竹筑逐轴祝粥 [5]苎{～麻}著{～名}箸{筷子}柱驻注蛀住註铸	
tʂʰ[2]除储厨出畜{～牲}[3]褚{姓}处杵拄{～拐杖}[5]处{～所}	
ʂ [1]书舒抒输{～赢， 运～}枢 [2]殊叔熟淑赎束蜀属 [3]暑署薯鼠黍 [5]庶恕竖树术述秫戍	
ʐ [2]如儒入褥 [3]汝乳擩{～进去， 塞进去的意思}辱	
k [1]姑孤 [2]骨榖谷 [3]古估牯股鼓 [5]故固锢痼雇顾	
kʰ[1]箍枯酷 [2]瓠{～芦}哭窟 [3]苦 [5]库裤绔	
x [1]乎呼 [2]胡湖狐壶鬍{～子}葫忽斛 [3]虎浒{水～传}[5]户沪戽互护瓠{～子}核{桃子～}	
