音标	调类	调值	
tsɿ	1	21	资姿咨兹滋辎（～重）
tsɿ	3	54	紫姊子梓滓
tsɿ	5	213	做
tsɿ	6	33	自祀（祭～）巳（辰～）
tsʰɿ	1	21	雌
tsʰɿ	2	42	疵（吹毛求～）瓷（～器）糍（～粑）慈磁（～石）辞词祠
tsʰɿ	3	54	此
tsʰɿ	5	213	刺赐次伺
tsʰɿ	6	33	字牸（牝牛）
sɿ	1	21	斯厮撕私师狮司丝思
sɿ	3	54	死
sɿ	5	213	四肆
sɿ	6	33	似嗣饲士仕柿（西红～）俟事市恃侍
tʂʅ	1	21	知蜘（～蛛）支枝肢栀（～子花）脂之芝炙
tʂʅ	3	54	纸旨指止趾址
tʂʅ	5	213	滞（停～，积～）制智致稚（幼～）至置志痣
tʂʅ	6	33	雉（～鸡）痔治
tʂʅ	7	34	执汁侄质植（早种禾）织职殖掷
tʂʰʅ	3	54	□（赶牲畜的声音）
ʂʅ	1	21	施尸诗
ʂʅ	2	42	匙（汤～，钥～）时鲥
ʂʅ	3	54	豕矢屎使史驶始□（赶牲畜的声音）
ʂʅ	5	213	世势誓逝试
ʂʅ	6	33	舐（以舌取物）是氏豉（～豉）示视嗜
ʂʅ	7	34	湿十什（～物）拾（～起来）虱实失室食蚀识式饰适释
pi	1	21	碑
pi	3	54	敝彼避比（～较）秕（～子，～谷）
pi	5	213	贝蔽闭臂
pi	6	33	币蓖（～麻）陛（～下）鐾（～刀布，把刀～～）卑俾被（～打，～迫）鄙备鼻篦
pi	7	34	笔毕必弼逼碧璧壁
pʰi	1	21	批披丕
pʰi	2	42	皮疲脾琵（～琶）枇（～杷）
pʰi	3	54	譬（～喻）辔庇痹（麻～）僻劈
pʰi	5	213	沛毙屁
pʰi	6	33	弊箅（～子）被（～卧，～子）婢
pʰi	7	34	匹（一～布，一～马）辟
mi	2	42	迷糜（粥）弥眉楣霉觅
mi	3	54	米美
mi	6	33	谜靡秘泌媚寐
mi	7	34	密蜜
ti	1	21	低
ti	3	54	底抵
ti	5	213	帝
ti	6	33	递
ti	7	34	的（目～）滴嫡笛敌狄氽
tʰi	1	21	堤梯
tʰi	2	42	题提蹄啼
tʰi	3	54	体
tʰi	5	213	替剃屉（抽～，笼～）
tʰi	6	33	涕（鼻～）弟第地
tʰi	7	34	剔
ni	2	42	泥倪宜谊尼疑
ni	3	54	你
ni	5	213	
ni	6	33	蚁义腻拟
ni	7	34	匿逆（顺～，风）溺（～死）
li	1	21	历
li	2	42	犁黎离（～别）篱璃（玻～）梨厘狸（～猫）
li	3	54	旅虑滤礼李里理鲤
li	6	33	例厉励丽（美～）隶荔（～枝）离（～开）半寸利痢吏
li	7	34	立笠粒栗力
tɕi	1	21	鸡稽饥（～饿，～荒）肌基几（～乎）机讥脊
tɕi	3	54	挤技妓几（茶～，～个）己
tɕi	5	213	济计继系（～鞋带）髻寄冀纪（～律，世～，年～）记忌既季
tɕi	6	33	祭际穄（～子）荠剂（一～药，面～子）
tɕi	7	34	缉（～鞋口）集辑（编～）急级给（～你，供～）及疾吉即鲫极戟屐（木～）积迹籍藉（狼～）绩寂击激
tɕʰi	1	21	蛆（生～）妻栖欺乞
tɕʰi	2	42	齐脐奇骑岐祁鳍其棋期（时～）旗祈
tɕʰi	3	54	启企起杞岂
tɕʰi	5	213	砌契（～约）器弃气汽
tɕʰi	7	34	泣七漆膝讫戚
ɕi	1	21	须需西犀溪牺嬉熙希稀悉惜昔析
ɕi	2	42	奚兮携畦（菜～）袭
ɕi	3	54	洗玺徙喜嬉（～子）
ɕi	5	213	絮细婿（女～）戏
ɕi	6	33	系（连～）
ɕi	7	34	习吸恤息熄媳席夕锡
i	1	21	伊医衣依液疫役
i	2	42	移夷姨饴（高粱馅）沂（～河）遗逸
i	3	54	徛（立）倚椅矣已以
i	5	213	意
i	6	33	艺刈缢瞖（目～）仪议易（难～）肄（～业）异毅
i	7	34	揖（作～）乙一忆亿抑翼益亦译易（交～）
pu	3	54	补
pu	5	213	布怖（恐～）部
pu	6	33	簿步
pu	7	34	不薄卜
pʰu	1	21	铺（～设）捕扑
pʰu	2	42	蒲菩（～萨）脯（胸～）
pʰu	3	54	谱普浦埠（商～）甫脯（杏～）朴
pʰu	5	213	铺（店～）
pʰu	7	34	噗（醋生白～）仆（倒）瀑（～布）
mu	1	21	摸
mu	2	42	模（～子，～范）摹（～仿）
mu	3	54	某亩母拇
mu	6	33	暮慕墓募
mu	7	34	膜幕寞木目穆牧
fu	1	21	呼夫肤跗（～面，脚面）敷俘（～虏）孵（～小鸡）麸（麦～子）
fu	2	42	胡湖狐壶乎瓠（～卢）胡符扶芙（～蓉）浮
fu	3	54	虎浒（水～）府腑俯斧抚殕（食上生白毛）釜腐辅
fu	5	213	戽（～水）付赋傅赴讣附富副妇负阜
fu	6	33	户沪互护瓠（～子，～瓜）父复（～兴）
fu	7	34	缚福幅蝠（蝙～）复腹覆（反～）服伏袱（梁）复（～原）
lu	3	54	卤
ku	1	21	姑孤
ku	3	54	古估（～计）牯股鼓
ku	5	213	顾
ku	6	33	故固锢（～露锅）雇
ku	7	34	骨（筋～，～头）谷
kʰu	1	21	箍枯窟（～窿）酷
kʰu	3	54	苦
kʰu	6	33	库裤
kʰu	7	34	哭
xu	1	21	忽斛
u	1	21	乌污戊勿
u	2	42	吴蜈（～蚣）吾梧（～桐）无巫诬
u	3	54	五伍午坞武舞侮鹉（鹦～）
u	6	33	误悟务雾
u	7	34	杌（～子，～凳）屋
ly	2	42	驴
ly	3	54	吕稆（～生；野生）缕（丝～）履
ly	6	33	屡
ly	7	34	律率（～率）
tɕy	1	21	居车（～马炮）驹俱
tɕy	3	54	矩（规～）
tɕy	5	213	据锯（～子，～木头）巨拒距聚拘句具惧
tɕy	7	34	橘剧（～烈，戏～）菊掬（一～，一捧）锔（～碗）局
tɕʰy	1	21	趋区（～域）驱焌（火～手了）曲（～折，歌～）
tɕʰy	2	42	渠瞿□（～哝，小声说话）
