#a								
p	[1]巴芭疤爸[3]把[5]垻霸壩欛豹[6]罷							
pʰ	[1]□{用篩狀的廚具從液體裏撈出}[2]琶爬[5]怕							
m	[1]嫣[2]麻蟆[3]嫣[5]焉碼[6]罵							
f	[1]花[5]化							
v	[1]窪蛙娃[2]華[3]□{肯定句末語氣詞}[6]話							
t	[1]噠{～～車，指汽車}[3]打□{～a33渠：隨他去，別管他}							
tʰ	[1]他[2]忒{太……，帶有否定意義}							
n	[2]拿哪{～吒}[5]乸							
ts	[1]楂{山～}渣抓遮{雨傘}[5]乍炸昨蔗炸榨[6]遮{擋住陽光雨露等}							
tsʰ	[1]車叉杈差奢[2]茶搽查[3]扯[5]岔汊詫廁							
s	[1]些沙蹤娑{疑}[2]蛇[3]灑灑耍曜[5]社舍{宿～}[6]射赦							
k	[1]佳加家傢嘉[3]假[5]架嫁價稼駕賈							
kʰ	[2]□{太……，帶有否定意義}							
ŋ	[2]牙芽衙[3]瓦雅孲[6]訝							
h	[1]蝦[2]遐暇瑕霞{3}□{應聲詞}[6]下夏廈							
j	[2]椰耶爺[5]也冶野[6]夜							
∅	[1]阿丫鴉亞[3]啞							
#o								
p	[1]波玻坡[5]播							
pʰ	[2]婆[3]頗[5]破							
m	[1]摸{偷偷～～}摩[2]磨{～豆}魔模[3]摸{～傢伙：摸東西}[6]磨{石～}							
f	[3]火夥[5]貨							
v	[1]蝸[2]禾和[6]禍							
t	[1]多[3]躲[6]惰墮舵							
tʰ	[1]拖[2]陀馱駝砣坨[3]妥							
n	[2]挪□{用力揉壓}[6]糯							
l	[1]囉[2]羅籮鑼[3]□{討要}							
ts	[3]阻左佐[6]做座							
tsʰ	[1]初[2]鋤[3]楚[5]坐銼矬措錯							
s	[1]唆梭梳疏疏蔬[2]傻[3]所瑣鎖							
k	[1]戈鍋哥歌[3]果裹[5]過個							
kʰ	[1]科棵顆苛軻[3]可裸{疑}[5]課□{祭拜用的一種紙寶}							
ŋ	[2]訛俄蛾鵝[5]我[6]臥餓							
h	[2]何河荷[6]賀							
∅	[1]倭窩[2]蠔{牡蠣}[3]□{～som53：一種猜拳的號子}[5]哦							
#i								
p	[1]卑碑悲啤[2]脾{～胃}[3]俾彼比[5]閉痹泌秘臂庇{包～}[6]篦婢裨避備鼻庇{～佑}被{～動}							
pʰ	[1]披丕[2]皮疲琵脾{～氣}[3]鄙[5]屁被{～單}[6]譬□{叫小孩吐出來}							
m	[1]眯咪[2]微薇彌糜靡眉楣媚迷謎[3]□{量詞，張、片}[5]痱尾美[6]木味昧寐							
f	[1]妃飛菲非[2]肥							
t	[1]知{白}蛛{白}[6]地							
n	[2]擬[5]你							
l	[2]璃雕籬厘梨盧驢[3]履李[5]裏理鯉呂侶旅[6]痢厲濾慮利							
ts	[1]茲滋輜咨姿資支{文}枝{文}知{文}諸豬朱株珠誅脂[3]止子梓址趾只紙紫煮旨指姊主詣{疑}[5]志智{魯～深}著至致注稚擠置痣[6]治聚箸住駐鑄痔恃巳峙自字智{～慧}							
tsʰ	[1]趨癡嗤疵[2]臍除徐持詞慈磁辭廚池馳雌祠遲瓷糍[3]此侈鼠取恥齒始[5]刺翅賜處趣次似柱							
s	[1]尸屍師獅書舒殊輸須需施斯厮撕詩思{～想}絲司私樞[2]時匙鰣儲薯寺飼[3]暑署屎死史[5]試市四肆矢思{意～}[6]侍伺恕庶序叙樹豎豉氏是士事祀嗣俟示視嗜							
k	[1]機譏饑肌飢駒車居羈姬基支{白}枝{白}肢{白}[3]几己紀杞舉幾矩豈{训}[5]句具鋸據遽寄記冀企佢{第三人称单数}忌既痣{白}[6]巨拒距俱懼妓技							
kʰ	[1]區驅拘[2]騎期其棋旗岐渠祈{～祷}[5]企{站立}							
ŋ	[2]宜儀兒誼疑而漁魚爾[3]耳餌女[5]語[6]二貳議義							
h	[1]希稀虚嘘墟犧欺熙嘻嬉[3]喜禧起許祈{～福}[5]汽氣去戲棄器							
∅	[1]醫瞖衣依淤伊于[2]余於餘怡貽夷姨移如迂盂愉逾榆娛愚虞儒[3]椅[5]意肄懿與已以矣宇羽雨禹[6]易預豫譽御禦與芋喻裕愈寓遇吁籲異							
#u								
p	[3]捕脯斧[5]布佈怖埠{渡口}[6]步部簿							
pʰ	[1]鋪[2]菩蒲浮瓠[3]浦普譜[5]鋪							
m	[2]模毋無[3]舞侮[5]母拇武鵡[6]幕募墓慕暮務霧							
f	[1]乎呼夫敷膚俘[2]狐胡壺湖扶符[3]虎滸苦{～味}甫府俯釜腑撫[5]褲戽副富賦[6]負互户滬護婦父付附計赴傅腐輔							
t	[1]都[3]堵賭肚[6]妒杜度渡鍍							
tʰ	[1]□{用抹布等平平地擦过}[2]徒途屠圖[3]土[5]兔吐							
n	[2]奴[3]努[6]怒							
