冷水滩	
#ɿ	
s	[1]司思斯丝私撕厮嘶师施诗尸狮厕[3]死使始驶[5]四试
ʃ	[1]式什{什物什:什么东西}十{文读}食实希习稀息西吸锡惜夕析袭析悉媳熙日{文读，日本}失室湿犀膝识适释[3]喜洗起玺[5]世戏系细
z	[2]时词辞瓷慈祠磁匙豉糍[5]是事市士视示氏似字自柿寺牸
ʒ	[2]十石席直值奇{奇怪}齐旗植寂池迟持歧时{夜边时崽：傍晚}籍鳍芪辑期弛骑集殖日{白读}棋极侄其祁及入{脏话：~你老母亲}[5]治企{企业}技嫉忌徛{站立}稚
ts	[1]资之栀咨姿支{量词}滋枝芝[3]子紫仔籽孜梓姊指纸只{只有}止旨齿[5]刺至致痣志
tʃ	[1]机急几{几乎、茶几}饥鸡基迹吉积脊击激级只{量词}绩鲫吸知织职奇{~数}汁质执给{供给}[3]几{几个}挤己[5]季制寄记计济智置{安置}这
tsʰ	[3]耻此[5]次赐
tʃʰ	[1]吃七妻尺赤漆戚泣欺溪乞迄沏[3]岂启[5]气契器汽弃砌
#ə	
l	[2]时匙[5]是事市士柿
t	[1]支枝[3]子籽[5]至
d	[5]字
#y	
ɕ	[1]虚需须墟书输舒殊嘘蓄畜{~牧}絮戌婿旭荽{芫~菜}恤[2]如[3]许暑鼠署[5]庶
tɕ	[1]狙猪朱株珠诸拘菊橘俱居车{~马炮}[3]主举煮褚矩[5]著{~名}注蛀驻巨拒锯{文读}距句剧据铸惧
tɕʰ	[1]屈区驱出曲趋蛆枢躯[3]处杵娶取[5]趣祛
ʑ	[2]徐除渠殊入如局瞿厨橱储儒术薯[5]竖树述序绪住柱具聚
l	[2]律{纪~}[3]履缕捋旅铝吕[5]滤虑
ȵ	[3]女
Ø	[1]淤纡[2]余域欲育鱼于誉律俞渔渝儒{文读}如{文读}薯[3]乳雨吕宇羽语与屿禹[5]玉预遇裕浴郁芋愉愈豫狱喻御树住
#a	
b	[2]袜{白读}罚拔爬耙扒杷琶乏阀筏□{一共}□{~船：划船}[5]罢
p	[1]八粑爸巴疤捌叭笆□{黏住}[3]把靶[5]霸把{刀~}坝
pʰ	[5]怕
f	[1]发{头~、~财}法
d	[2]达[5]大
m	[1]妈抹{~布}[2]麻[3]马□{~不到方向：找不到方向}蚂玛码[5]骂
l	[1]拉垃捺[2]辣蜡达腊邋[3]喇哪[5]大
n	[2]拿呐[3]纳[5]那
t	[1]答搭瘩[3]打
tʰ	[1]他{文读}她{文读}它{文读}䍇塔踏塌挞榻遢
s	[1]杀沙莎砂纱煞杉刹鲨痧裟萨[3]撒洒傻[5]厦{大~}
z	[2]茶搽查杂
ts	[1]渣楂闸砸铡扎札炸{油~}[3]鲊眨[5]炸{爆~}榨诈乍蛰{躲}
tsʰ	[1]差叉插察擦杈[5]岔汊
k	[1]甲{指甲}夹挟痂家伽{~堂:烧香拜佛的地方}□{两根手指伸开的距离}[3]□{~~蛋：圆蛋}假□{小~崽：小孩}[5]嫁架
kʰ	[1]掐咖[3]卡
ŋ	[1]鸭丫{指~~：手指之间的部位}鸦[2]牙芽□{张开}[3]哑{白读}[5]轧
x	[1]哈瞎虾煆□{喉咙不舒服，有痰、声音嘶哑}[3]□{~□/ɕi͂55/：蠢子}哈{哈巴狗}
ɣ	[1]□{他，第三人称单数}[2]蛤[5]下{白读}
Ø	[1]□{他，第三人称单数}阿{~哥}[3]哪
#ia	
ʑ	[2]斜{白读}峡侠匣霞□{按下去、压}□{~子：手残者}[5]夏下{文读}
tɕ	[1]夹{文读}稼甲{文读}家{文读}加□{~好：刚好}嘉炙{白读：炙火}涩{果子涩嘴}只{量词。岚角山、伊塘口音}[3]假{真假、放假}贾[5]驾架{文读}嫁{文读}
tɕʰ	[1]恰[5]笡{白读}
t	[1]爹{爹爹：爷爷}扚{提起}[5]滴{白读}
tʰ	[1]□{①穿鞋不襻上鞋帮；②~~鞋：没有鞋帮的鞋子}
l	[2]苶{累}[3]□{舔}[5]沥{白读}
ȵ	[1]□{①有粘性；②粘住}
Ø	[1]压鸭{文读}押[2]牙{文读}衙{文读}[3]雅哑[5]亚讶下
#i	
p	[1]笔必毕壁碧[3]比彼匕[5]滗弊鄙臂闭蓖毙痹币庇
b	[2]皮脾匹枇琵啤疲鼻肥[5]被{~盖}备{白读}避篦
pʰ	[1]批劈披砒僻坯[3]痞[5]屁
l	[2]力沥立离厘粒黎篱历栗梨狸璃堤提题蹄笛迪狄涤啼[3]理李礼鲤里履{接~桥，地名}[5]厉利例荔吏莉隶励丽地弟第递
t	[1]的低滴敌[3]底抵[5]蒂缔帝
d	[2]堤提题蹄笛迪狄涤啼[5]地弟第递
tʰ	[1]梯踢剔[3]剔{白读}体[5]剃替屉涕惕
ȵ	[2]匿逆泥尼呢{呢子}霓疑宜[3]你拟[5]腻溺谊艺{白读}
m	[1]眯糜{软烂}[2]眉{白读}密猕谜迷蜜[3]尾{白读}女{~人家}米[5]觅沕未{~有}
Ø	[1]一依医衣易{交易}译揖益忆伊[2]移遗颐怡姨仪[3]以椅已[5]易{容易}意异义抑亿议懿
#ie	
p	[1]逼憋鳖[3]□{折断}
pʰ	[1]撇
b	[2]别
m	[1]灭篾搣
t	[1]爹{父亲}跌
d	[2]碟叠蝶谍
tʰ	[1]铁贴帖
l	[2]列猎裂烈劣碟叠蝶谍
ȵ	[2]聂孽镊业[3]捏
ɕ	[1]些歇协设赊佘楔摄涉蝎奢[3]写惹舍{~得}[5]泻卸舍{宿~}泄
ʑ	[2]斜邪携谐蛇杰舌茄挟热截折{丢失}[5]射社谢
tɕ	[1]接节洁揭折{折断}哲遮浙结疖蔗桔{桔梗}[3]姐者[5]借鹧蔗诫
tɕʰ	[1]切{切断，一切}车撤彻怯窃澈妾[3]扯且[5]笡
Ø	[1]叶乙页液腋[2]爷舌热{文读}[3]野也冶惹{文读}[5]夜
#o	
b	[2]薄{与厚相对}泊{停~}婆渤铂箔[5]薄{~荷}
p	[1]波博菠玻勃脖搏剥拨钵播帛膊驳[3]□{~~蛋：圆蛋}[5]簸播
pʰ	[1]坡魄泼颇泊{湖~}迫珀[3]笸[5]破
m	[1]摸摩模磨{拖拉}[2]蘑漠寞末魔沫莫膜[3]□{看不到的情况下摸东西}[5]磨{石~ }
n	[1]捼[2]诺挪[5]糯懦
l	[1]啰[2]落萝罗洛络骆螺锣酪骡逻乐{快~}[3]裸[5]摞
t	[1]多[3]躲朵垛[5]剁
d	[2]夺坨陀驼砣驮鸵铎[5]垛舵惰堕
tʰ	[1]拖托脱[3]妥
s	[1]梭索趖嗦唆蓑硕朔[3]所锁
ts	[1]作桌捉卓茁灼啄琢拙[3]左佐[5]做
tsʰ	[1]搓戳绰撮磋龊[3]□{~子：瞎了一只眼的人}[5]措错挫锉
z	[2]浊镯昨凿着[5]坐座
k	[1]锅哥割歌葛鸽各阁角郭[3]裹椁果[5]个过
kʰ	[1]颗壳科渴柯嗑磕瞌棵蝌阔廓苛[3]可[5]课
x	[1]棵{白读}窠喝藿霍豁鹤[3]伙火[5]货
ɣ	[2]和合河何盒荷禾[5]贺祸和
ŋ	[2]鹅俄蛾峨鳄噩[3]我[5]饿卧
Ø	[1]恶莴窝倭蜗屙涡阿{~胶}
#uo	
Ø	[2]薄婆渤铂箔[5]薄
#yo	
ȵ	[2]虐疟
l	[2]略[3]掠
ʑ	[2]学弱若芍勺
ɕ	[1]削
tɕ	[1]角{文读}嚼脚觉{~得}
tɕʰ	[1]确鹊雀却
Ø	[1]约[2]岳钥药乐{音~}学弱{文读}若{文读}
#ye	
ȵ	[3]软{累（部分乡镇口音）}
ɕ	[1]说雪薛靴血
ʑ	[2]绝穴
tɕ	[1]蕨倔决诀掘
tɕʰ	[1]缺阙
Ø	[2]月越阅曰悦粤[3]哕
#ue	
k	[1]国
ɣ	[2]或活惑获
Ø	[1]物[2]白
#e	
p	[1]百北伯柏
b	[2]白
pʰ	[1]拍
m	[2]墨麦脉没{沉~}
t	[1]得德
d	[2]特
l	[2]肋特勒[5]勒{~断：（用细绳等工具）割断}□{嘴~起：歪嘴}
s	[1]色塞虱啬
z	[2]贼翟泽择
ts	[1]则摘窄责侧
tsʰ	[1]测策侧{文读}拆册坼{开裂}[3]□{~□/tʃɿ33/：石头剪刀布}
k	[1]革格隔疙[5]锯{白读，用锋利物品切割}
kʰ	[1]刻克客咳[5]去
ŋ	[2]额
x	[1]吓黑[5]去{句中读音}
ɣ	[2]核
Ø	[2]儿而[3]耳尔饵
#ua	
ts	[1]抓
s	[1]刷[3]耍
k	[1]刮瓜括□{~白话：讲闲话}[3]寡剐□{~嘴壳子：多嘴的人}[5]卦挂
kʰ	[1]夸跨挎[3]垮胯
x	[1]花哗[5]化
ɣ	[2]滑划{划船}桦猾华[5]画话划{计划}
Ø	[1]挖蛙洼娃[2]华袜{文读}袜{文读}罚拔爬耙扒杷琶乏阀筏[3]瓦搲[5]话画划
#əɯ	
