来源：	王梅弘 2015《垣曲县新城镇方言语音研究》；Hynuza, Skanda 整理录入
说明：	
#符号说明：	-白=文*俗?待考
#调值	［1］12［3］44［5］53［0］轻声
#ɿ	
ts	［1］□{～哩：瞎叫唤}［3］紫姊{～妹俩}子梓滓纸只旨指{～头}止趾址籽［5］资姿咨滋支{量词}枝肢栀{～子花}脂{～肪}至{冬～}之芝志痣自=字=吱渍
tsʰ	［1］雌瓷{～器}慈磁辞词［3］此取-{～东西}［5］刺次疵跐{～破啦}自-{～个}字-{写～}赐哧{～溜}眵{～头：眼屎}翅差{参～}□{人～：人不机灵，反应慢}伺{～候}□{～能：逞能}
s	［1］祠{～堂}时［3］死使史驶屎始［5］嗜斯四司思似寺饲仕俟私师士丝狮示施{～肥}尸诗试肆匙是撕祀伺氏柿事视市侍燍{～气：馊，变质}斯厮{～跟：相跟}嗣
#ʅ	
tʂ	［1］执侄=直=职殖=植=值=［5］知蜘智致置稚治-汁秩-质织炙掷只这-{～会}□{～气:赌气}稙{～玉米：种得早或熟得早}
tʂʰ	［1］池驰迟持值-{～日}侄-{～儿子}直-{～接}殖-{繁～}植-{～树}［3］耻侈齿豉尺治-秩-嗤{象声词}［5］吃滞制饬斥赤叱嗤
ʂ	［1］十拾实食蚀石［5］世势誓逝湿失室识式饰适释什{～锦}
ʐ	［5］日
#ɚ	
Ø	［1］儿而［3］耳［5］二贰饵
#i	
p	［1］鼻=［3］彼鄙比笔［5］臂蔽蓖{～麻}闭箅{～子：蒸锅中的竹屉}弊敝币毙陛毕必弼逼碧壁璧痹
pʰ	［1］皮疲脾琵枇鼻-{～疙瘩}［3］匹{一～布}［5］披譬屁被{～子}婢避批僻劈庇{～护}
m	［1］眉-{～眼}迷谜弥{～勒佛}［3］米□{～～蒿：一种野生植物}［5］密蜜觅眯咪秘篾{竹～}
t	［1］嫡狄笛=的{～确}［3］底抵［5］低堤=帝递=第=弟=的{目～}得滴=地=
tʰ	［1］题蹄啼提笛-{～子}敌{～人}□{马～：荸荠}［3］体［5］地-梯替剃屉涕{鼻～}递-{～东西}第-{～一}地-{～方}弟-{兄～}踢剔{～骨头}堤-{～堰}嚏{喷～}
l	［1］离篱璃梨犁黎厘狸{狐～}锂劙{～了一下：割破，划伤}［3］李里理鲤礼［5］荔利痢{～疾}吏例厉励丽立粒笠栗力历厉沥{～一下水：过滤使渗出}隶［0］哩
tɕ	［1］集=辑急级及疾极即藉棘［3］己给{供～}脊{～背}挤［5］寄饥肌讥冀基姬纪记祭技{科～}际济剂鸡稽髻{发～}继系{～鞋带}季吉鲫绩迹寂击激圾机嫉几{茶～}积稷计继忌畸
tɕʰ	［1］集-{赶～}奇骑岐祁鳍籍-其棋齐脐{肚～眼}旗祈［3］企绮起岂启乞杞{枸～}［5］器弃欺气汽技妓期旗忌祈妻砌契疿-{热～子}泣七漆讫戚去-{～哪儿}□{～子:面条}箕{簸～}凄沏徛{～起：使物体倚靠站立}
ȵ	［1］疑-{～问}尼泥宜-{便～}霓{～虹灯}［3］你倚椅拟妮{～子}［5］腻意-{故～}衣-{～裳}匿逆溺猗{临～：地名}
ɕ	［1］习袭肥-{人～啦}媳席玺［3］喜习洗［5］戏嬉熙希稀西栖犀细溪奚兮系{联～}飞-{～虫}吸悉膝熄息惜昔夕锡析蟋隙牺嘻
Ø	［1］宜=疑=沂移姨遗一［3］蚁以尾-{～巴}已［5］谊义议毅意-衣-依
#u	
p	［1］葡{～萄}不［3］卜{～卦}捕补［5］布怖部=步={～骤}
pʰ	［1］蒲菩脯{胸～}仆{～人}圃{花～}［3］谱普浦朴［5］铺部-{～队}簿-{电话～}步-{一～}捕-埠扑瀑曝饽{面～}
m	［1］谋毛-{出～:发霉}没［3］某牡亩母姆{保～}拇□{～一下：动词，估计}［5］沐暮牡墓穆牧木={～头}苜募睦慕目幕
f	［1］符扶芙佛{仿～}伏浮服伏［3］府腑俯甫脯斧否［5］夫付赋傅敷俘孵麸{经常用作饲料}抚赴讣父釜腐辅附缚腹覆妇负富副复幅福福蜉{蚂蚂蚍～}
t	［1］读=独=毒=［3］笃［5］督肚=
tʰ	［5］突
ts	［1］族
s	［5］肃粟
tʂ	［1］逐［3］煮拄主嘱［5］猪诸诛蛛株驻朱硃珠注蛀筑祝柱={擎天～}住=
