简体	繁體	声	韵	调	备注	其他的话	音標
支	支	ʦ	ɿ	阴平			ʦɿ˧˧˦
枝	枝	ʦ	ɿ	阴平			ʦɿ˧˧˦
肢	肢	ʦ	ɿ	阴平			ʦɿ˧˧˦
栀	梔	ʦ	ɿ	阴平			ʦɿ˧˧˦
知	知	ʦ	ɿ	阴平			ʦɿ˧˧˦
资	資	ʦ	ɿ	阴平			ʦɿ˧˧˦
姿	姿	ʦ	ɿ	阴平			ʦɿ˧˧˦
咨	咨	ʦ	ɿ	阴平			ʦɿ˧˧˦
脂	脂	ʦ	ɿ	阴平			ʦɿ˧˧˦
兹	茲	ʦ	ɿ	阴平			ʦɿ˧˧˦
滋	滋	ʦ	ɿ	阴平			ʦɿ˧˧˦
梓	梓	ʦ	ɿ	阴平			ʦɿ˧˧˦
辎	輜	ʦ	ɿ	阴平			ʦɿ˧˧˦
之	之	ʦ	ɿ	阴平			ʦɿ˧˧˦
芝	芝	ʦ	ɿ	阴平			ʦɿ˧˧˦
槠	櫧	ʦ	ɿ	阴平			ʦɿ˧˧˦
姊	姊	ʦ	ɿ	阴上			ʦɿ˥˧
紫	紫	ʦ	ɿ	阴上			ʦɿ˥˧
子	子	ʦ	ɿ	阴上			ʦɿ˥˧
纸	紙	ʦ	ɿ	阴上			ʦɿ˥˧
旨	旨	ʦ	ɿ	阴上			ʦɿ˥˧
指	指	ʦ	ɿ	阴上			ʦɿ˥˧
止	止	ʦ	ɿ	阴上			ʦɿ˥˧
趾	趾	ʦ	ɿ	阴上			ʦɿ˥˧
左	左	ʦ	ɿ	阴上	～手		ʦɿ˥˧
□	□	ʦ	ɿ	阴上	～岸：田埂		ʦɿ˥˧
济	濟	ʦ	ɿ	阴去			ʦɿ˥˥˦
剂	劑	ʦ	ɿ	阴去			ʦɿ˥˥˦
祭	祭	ʦ	ɿ	阴去			ʦɿ˥˥˦
际	際	ʦ	ɿ	阴去			ʦɿ˥˥˦
穄	穄	ʦ	ɿ	阴去	芦～：玉米		ʦɿ˥˥˦
制	制	ʦ	ɿ	阴去			ʦɿ˥˥˦
制	製	ʦ	ɿ	阴去			ʦɿ˥˥˦
智	智	ʦ	ɿ	阴去			ʦɿ˥˥˦
致	致	ʦ	ɿ	阴去			ʦɿ˥˥˦
至	至	ʦ	ɿ	阴去			ʦɿ˥˥˦
置	置	ʦ	ɿ	阴去			ʦɿ˥˥˦
志	志	ʦ	ɿ	阴去			ʦɿ˥˥˦
志	誌	ʦ	ɿ	阴去			ʦɿ˥˥˦
痣	痣	ʦ	ɿ	阴去			ʦɿ˥˥˦
妻	妻	ʦʰ	ɿ	阴平			ʦʰɿ˧˧˦
栖	棲	ʦʰ	ɿ	阴平			ʦʰɿ˧˧˦
雌	雌	ʦʰ	ɿ	阴平			ʦʰɿ˧˧˦
痴	癡	ʦʰ	ɿ	阴平			ʦʰɿ˧˧˦
嗤	嗤	ʦʰ	ɿ	阴平			ʦʰɿ˧˧˦
蜻	蜻	ʦʰ	ɿ	阴平	～蜓		ʦʰɿ˧˧˦
□	□	ʦʰ	ɿ	阴平	眯		ʦʰɿ˧˧˦
□	□	ʦʰ	ɿ	阴平	～虫：孑孓		ʦʰɿ˧˧˦
耻	恥	ʦʰ	ɿ	阴上			ʦʰɿ˥˧
鼠	鼠	ʦʰ	ɿ	阴上			ʦʰɿ˥˧
此	此	ʦʰ	ɿ	阴上			ʦʰɿ˥˧
疵	疵	ʦʰ	ɿ	阴上			ʦʰɿ˥˧
□	□	ʦʰ	ɿ	阴上	撕		ʦʰɿ˥˧
侈	侈	ʦʰ	ɿ	阴上			ʦʰɿ˥˧
齿	齒	ʦʰ	ɿ	阴上			ʦʰɿ˥˧
砌	砌	ʦʰ	ɿ	阴去			ʦʰɿ˥˥˦
刺	刺	ʦʰ	ɿ	阴去			ʦʰɿ˥˥˦
次	次	ʦʰ	ɿ	阴去			ʦʰɿ˥˥˦
滞	滯	ʣ	ɿ	阳平			ʣɿ˨˧˩
池	池	ʣ	ɿ	阳平			ʣɿ˨˧˩
驰	馳	ʣ	ɿ	阳平			ʣɿ˨˧˩
迟	遲	ʣ	ɿ	阳平			ʣɿ˨˧˩
持	持	ʣ	ɿ	阳平			ʣɿ˨˧˩
□	□	ʣ	ɿ	阳平	拔毛		ʣɿ˨˧˩
雉	雉	ʣ	ɿ	阳上			ʣɿ˧˩
稚	稚	ʣ	ɿ	阳上			ʣɿ˧˩
痔	痔	ʣ	ɿ	阳上			ʣɿ˧˩
是	是	ʣ	ɿ	阳上	1		ʣɿ˧˩
箸	箸	ʣ	ɿ	阳去			ʣɿ˨˩˧
治	治	ʣ	ɿ	阳去			ʣɿ˨˩˧
诗	詩	s	ɿ	阴平			sɿ˧˧˦
师	師	s	ɿ	阴平			sɿ˧˧˦
狮	獅	s	ɿ	阴平			sɿ˧˧˦
梳	梳	s	ɿ	阴平	1		sɿ˧˧˦
筛	篩	s	ɿ	阴平			sɿ˧˧˦
西	西	s	ɿ	阴平			sɿ˧˧˦
犀	犀	s	ɿ	阴平			sɿ˧˧˦
斯	斯	s	ɿ	阴平			sɿ˧˧˦
厮	廝	s	ɿ	阴平			sɿ˧˧˦
施	施	s	ɿ	阴平			sɿ˧˧˦
私	私	s	ɿ	阴平			sɿ˧˧˦
尸	屍	s	ɿ	阴平			sɿ˧˧˦
丝	絲	s	ɿ	阴平			sɿ˧˧˦
司	司	s	ɿ	阴平			sɿ˧˧˦
思	思	s	ɿ	阴平			sɿ˧˧˦
燍	燍	s	ɿ	阴平	～臭了：饭馊了		sɿ˧˧˦
樨	樨	s	ɿ	阴平			sɿ˧˧˦
使	使	s	ɿ	阴上			sɿ˥˧
史	史	s	ɿ	阴上			sɿ˥˧
驶	駛	s	ɿ	阴上			sɿ˥˧
洗	洗	s	ɿ	阴上			sɿ˥˧
死	死	s	ɿ	阴上			sɿ˥˧
始	始	s	ɿ	阴上			sɿ˥˧
髓	髓	s	ɿ	阴上			sɿ˥˧
试	試	s	ɿ	阴去			sɿ˥˥˦
世	世	s	ɿ	阴去			sɿ˥˥˦
絮	絮	s	ɿ	阴去			sɿ˥˥˦
赐	賜	s	ɿ	阴去			sɿ˥˥˦
细	細	s	ɿ	阴去			sɿ˥˥˦
婿	婿	s	ɿ	阴去			sɿ˥˥˦
势	勢	s	ɿ	阴去			sɿ˥˥˦
四	四	s	ɿ	阴去			sɿ˥˥˦
肆	肆	s	ɿ	阴去			sɿ˥˥˦
时	時	z	ɿ	阳平			zɿ˨˧˩
薯	薯	z	ɿ	阳平			zɿ˨˧˩
齐	齊	z	ɿ	阳平			zɿ˨˧˩
荠	薺	z	ɿ	阳平			zɿ˨˧˩
匙	匙	z	ɿ	阳平			zɿ˨˧˩
瓷	瓷	z	ɿ	阳平			zɿ˨˧˩
磁	磁	z	ɿ	阳平			zɿ˨˧˩
慈	慈	z	ɿ	阳平			zɿ˨˧˩
辞	辭	z	ɿ	阳平			zɿ˨˧˩
词	詞	z	ɿ	阳平			zɿ˨˧˩
祠	祠	z	ɿ	阳平			zɿ˨˧˩
糍	糍	z	ɿ	阳平			zɿ˨˧˩
□	□	z	ɿ	阳平	zʌɯ53～：涎		zɿ˨˧˩
睡	睡	z	ɿ	阳平	瞌睡、打盹		zɿ˨˧˩
是	是	z	ɿ	阳上	2		zɿ˧˩
氏	氏	z	ɿ	阳上			zɿ˧˩
侍	侍	z	ɿ	阳上			zɿ˧˩
似	似	z	ɿ	阳上			zɿ˧˩
巳	巳	z	ɿ	阳上			zɿ˧˩
士	士	z	ɿ	阳上			zɿ˧˩
柿	柿	z	ɿ	阳上			zɿ˧˩
市	市	z	ɿ	阳上			zɿ˧˩
饵	餌	z	ɿ	阳上			zɿ˧˩
耳	耳	z	ɿ	阳上	2		zɿ˧˩
尔	爾	z	ɿ	阳上	1		zɿ˧˩
事	事	z	ɿ	阳去			zɿ˨˩˧
誓	誓	z	ɿ	阳去			zɿ˨˩˧
逝	逝	z	ɿ	阳去			zɿ˨˩˧
豉	豉	z	ɿ	阳去			zɿ˨˩˧
自	自	z	ɿ	阳去			zɿ˨˩˧
示	示	z	ɿ	阳去			zɿ˨˩˧
视	視	z	ɿ	阳去			zɿ˨˩˧
嗜	嗜	z	ɿ	阳去			zɿ˨˩˧
祀	祀	z	ɿ	阳去			zɿ˨˩˧
寺	寺	z	ɿ	阳去			zɿ˨˩˧
嗣	嗣	z	ɿ	阳去			zɿ˨˩˧
饲	飼	z	ɿ	阳去			zɿ˨˩˧
字	字	z	ɿ	阳去			zɿ˨˩˧
伺	伺	z	ɿ	阳去			zɿ˨˩˧
侍	侍	z	ɿ	阳去			zɿ˨˩˧
屄	屄	ʔb	i	阴平			ʔbi˧˧˦
比	比	ʔb	i	阴上			ʔbi˥˧
彼	彼	ʔb	i	阴上			ʔbi˥˧
鄙	鄙	ʔb	i	阴上			ʔbi˥˧
蔽	蔽	ʔb	i	阴去			ʔbi˥˥˦
毙	斃	ʔb	i	阴去			ʔbi˥˥˦
闭	閉	ʔb	i	阴去			ʔbi˥˥˦
臂	臂	ʔb	i	阴去			ʔbi˥˥˦
秘	秘	ʔb	i	阴去			ʔbi˥˥˦
批	批	pʰ	i	阴平			pʰi˧˧˦
披	披	pʰ	i	阴平	2		pʰi˧˧˦
□	□	pʰ	i	阴平	劈成薄片		pʰi˧˧˦
丕	丕	pʰ	i	阴上			pʰi˥˧
譬	譬	pʰ	i	阴去			pʰi˥˥˦
庇	庇	pʰ	i	阴去			pʰi˥˥˦
屁	屁	pʰ	i	阴去			pʰi˥˥˦
□	□	pʰ	i	阴去	～轻：很轻		pʰi˥˥˦
皮	皮	b	i	阳平			bi˨˧˩
疲	疲	b	i	阳平			bi˨˧˩
脾	脾	b	i	阳平			bi˨˧˩
琵	琵	b	i	阳平			bi˨˧˩
琵	琵	b	i	阳平			bi˨˧˩
痹	痹	b	i	阳平			bi˨˧˩
貔	貔	b	i	阳平	～貅：刺猬		bi˨˧˩
□	□	b	i	阳平	层，排。量词。		bi˨˧˩
肥	肥	b	i	阳平	～肉		bi˨˧˩
被	被	b	i	阳上			bi˧˩
敝	敝	b	i	阳去			bi˨˩˧
弊	弊	b	i	阳去			bi˨˩˧
币	幣	b	i	阳去			bi˨˩˧
蓖	蓖	b	i	阳去			bi˨˩˧
篦	篦	b	i	阳去			bi˨˩˧
俾	俾	b	i	阳去			bi˨˩˧
婢	婢	b	i	阳去			bi˨˩˧
避	避	b	i	阳去			bi˨˩˧
□	□	b	i	阳去	斜向摩擦		bi˨˩˧
鐾	鐾	b	i	阳去	～布：鐾刀布		bi˨˩˧
迷	迷	m	i	阳平			mi˨˧˩
