漢字	音標	註釋
堵	tu3	
□	tu3	～目睡：打瞌睡
妒	tu5	
度	tʰu1	
渡	tʰu1	
鍍	tʰu1	
徒	tʰu2	
屠	tʰu2	
途	tʰu2	
塗	tʰu2	
圖	tʰu2	
杜	tʰu2	
土	tʰu3	
吐	tʰu5	
兔	tʰu5	
怒	nu1	
奴	nu2	
努	nu2	
路	lu1	
露	lu1	
黸	lu1	
𧀦	lu1	蕨草
盧	lu2	
爐	lu2	
蘆	lu2	
廬	lu2	
驢	lu2	
擄	lu2	
虜	lu2	
□	lu2	抱（柴火）
滷	lu5	
賂	lu5	
魯	lu5	
煮	tʃu3	
除	tʃʰu2	
姑	ku1	
孤	ku1	
枯	ku1	
鴣	ku1	
□	ku2	嘟囔
古	ku3	
估	ku3	
牯	ku3	
股	ku3	
鼓	ku3	
故	ku5	
固	ku5	
僱	ku5	
顧	ku5	
□	kʰu1	拄（柺杖）
□	kʰu2	（腿）半屈
苦	kʰu3	文
庫	kʰu5	
誤	ŋu1	
悟	ŋu1	
娛	ŋu1	
□	u3	那
濾	ly1	
呂	ly5	
慮	ly5	
旅	ly5	
絮	sy3	
緒	sy3	
豬	tʃy1	
諸	tʃy1	
朱	tʃy1	
珠	tʃy1	
誅	tʃy1	
蛛	tʃy1	
株	tʃy1	
鑄	tʃy1	
著	tʃy5	
注	tʃy5	
註	tʃy5	
蛀	tʃy5	
苎	tʃʰy1	
箸	tʃʰy1	
趨	tʃʰy1	
趣	tʃʰy1	
聚	tʃʰy1	文
駐	tʃʰy1	
住	tʃʰy1	
廚	tʃʰy2	
主	tʃʰy3	
處	tʃʰy5	相～；～所
柱	tʃʰy5	
魚	ȵy2	
漁	ȵy2	
愚	ȵy2	
虞	ȵy2	
女	ȵy3	
語	ȵy5	
序	ʃy1	
敘	ʃy1	
書	ʃy1	
舒	ʃy1	
庶	ʃy1	
恕	ʃy1	
虛	ʃy1	
墟	ʃy1	
噓	ʃy1	
輸	ʃy1	
豎	ʃy1	
樹	ʃy1	
戌	ʃy1	
儲	ʃy2	
薯	ʃy2	
蜍	ʃy2	
殊	ʃy2	
暑	ʃy3	
鼠	ʃy3	
署	ʃy3	
許	ʃy3	
居	ky1	
車	ky1	～馬炮
巨	ky1	
距	ky1	
拘	ky1	
駒	ky1	
舉	ky3	
矩	ky3	
據	ky5	
拒	ky5	
句	ky5	
樞	kʰy1	
俱	kʰy1	
區	kʰy1	
驅	kʰy1	
瞿	kʰy1	
懼	kʰy1	
具	kʰy1	
渠	kʰy2	
去	kʰy5	文
御	y1	
預	y1	
儒	y1	
遇	y1	
寓	y1	
迂	y1	
羽	y1	
愈	y1	
逾	y1	
喻	y1	
裕	y1	
如	y2	
於	y2	
汝	y2	
瘀	y2	
淤	y2	
餘	y2	
余	y2	
與	y5	
豫	y5	
雨	y5	
宇	y5	
禹	y5	
譽	y5	
愉	y5	
巴	pa1	
疤	pa1	
爸	pa1	
芭	pa1	
吧	pa1	
粑	pa1	
揹	pa2	背小孩
把	pa3	
靶	pa3	
霸	pa5	
壩	pa5	
垻	pa5	
扒	pʰa1	～飯
爬	pʰa2	
琶	pʰa2	
杷	pʰa2	
耙	pʰa2	
怕	pʰa5	
帕	pʰa5	
麻	ma2	
蟆	ma2	
嫲	ma2	
媽	ma3	
馬	ma5	
碼	ma5	
罵	ma5	
花	fa1	
華	fa1	
畫	fa1	
華	fa2	
樺	fa2	
鏵	fa2	
化	fa5	
蛙	va1	
窪	va1	
哇	va1	
話	va1	
打	ta3	
他	tʰa1	
她	tʰa1	
它	tʰa1	
顱	na2	頭～：頭
哪	na2	～吒
拿	na3	
娜	na3	
拉	la1	
蝓	la2	～蠷：蜘蛛
□	la2	探望
罅	la5	縫隙
渣	tsa1	
吒	tsa1	哪～
詐	tsa5	
榨	tsa5	
炸	tsa5	
叉	tsʰa1	
差	tsʰa1	
釵	tsʰa1	
茶	tsʰa2	
搽	tsʰa2	
查	tsʰa2	
沙	sa1	
紗	sa1	
痧	sa1	
倽	sa2	別～人：別人
灑	sa3	
遮	tʃa1	
抓	tʃa1	
者	tʃa3	
蔗	tʃa5	
鷓	tʃa5	
車	tʃʰa1	
賒	tʃʰa1	
奢	tʃʰa1	
扯	tʃʰa3	
且	tʃʰa3	
射	ʃa1	
麝	ʃa1	
蛇	ʃa2	
畲	ʃa2	
佘	ʃa2	
捨	ʃa3	
社	ʃa5	
舍	ʃa5	
家	ka1	
加	ka1	
嘉	ka1	
瓜	ka1	
豭	ka1	豬～：公豬（種豬）
□	ka2	甜～～：甜津津
賈	ka3	
假	ka3	真～；放～
寡	ka3	
剮	ka3	
架	ka5	
駕	ka5	
嫁	ka5	
價	ka5	
掛	ka5	
卦	ka5	
夸	kʰa1	
誇	kʰa1	
垮	kʰa1	
跨	kʰa1	
桍	kʰa3	樹～：樹枝
牙	ŋa2	
芽	ŋa2	
雅	ŋa2	
瓦	ŋa3	
廈	ha1	
下	ha1	一～
夏	ha1	
霞	ha2	
蝦	ha2	
瑕	ha2	
遐	ha2	
㰺	ha2	發～氣：哮喘
下	ha5	底～；～降
阿	a1	
亞	a1	
鴉	a1	
啞	a3	
□	pia2	象聲詞
摸	mia1	白
爹	tia1	
□	tsia2	藍～～：藍藍的
姐	tsia3	
借	tsia5	
謝	tsʰia1	
斜	tsʰia2	
些	sia1	
邪	sia2	
寫	sia3	
卸	sia5	
瀉	sia5	
□	ȵia2	一～：什麼
惹	ȵia5	
嘢	ȵia5	閑～：東西
□	kia1	（手指）凍殭，不靈活
□	kʰia1	（跨）張腿
□	kʰia2	瞪（眼）
蠷	kʰia2	蝓～：蜘蛛
□	kʰia2	黃～～：黃澄澄
谺	hia1	～開：稍微張開
夜	ia1	
喏	ia1	唱～：拜神時作揖，伴有禱告言語
耶	ia2	
椰	ia2	
爺	ia2	
搲	ia3	抓
野	ia5	
也	ia5	
波	pɔ1	
菠	pɔ1	
坡	pɔ1	
玻	pɔ1	
煲	pɔ1	
播	pɔ5	
婆	pʰɔ2	
菩	pʰɔ2	
頗	pʰɔ3	
破	pʰɔ5	
磨	mɔ1	石～
摸	mɔ1	文
毛	mɔ1	文
魔	mɔ2	
摩	mɔ2	
磨	mɔ2	～刀
賀	fɔ1	
和	fɔ2	～平
火	fɔ3	
夥	fɔ3	
貨	fɔ5	
禍	vɔ1	
媧	vɔ1	
窩	vɔ1	
禾	vɔ2	
□	vɔ3	使喚
多	tɔ1	
朵	tɔ3	
剁	tɔ5	
拖	tʰɔ1	文
惰	tʰɔ1	
駝	tʰɔ2	
鴕	tʰɔ2	
佗	tʰɔ2	
馱	tʰɔ2	
舵	tʰɔ2	
唾	tʰɔ2	
妥	tʰɔ3	
橢	tʰɔ5	
糯	nɔ1	
捼	nɔ2	揉
羅	lɔ2	
鑼	lɔ2	
籮	lɔ2	
螺	lɔ2	
腡	lɔ2	
□	lɔ5	取，討
左	tsɔ3	
佐	tsɔ3	
阻	tsɔ3	
做	tsɔ5	
初	tsʰɔ1	
助	tsʰɔ1	
鋤	tsʰɔ2	
楚	tsʰɔ3	
礎	tsʰɔ3	
坐	tsʰɔ5	
座	tsʰɔ5	
錯	tsʰɔ5	
□	tsʰɔ5	選擇
蓑	sɔ1	
唆	sɔ1	
梭	sɔ1	
蔬	sɔ1	
疏	sɔ1	
梳	sɔ1	
傻	sɔ2	
鎖	sɔ3	
瑣	sɔ3	
所	sɔ3	
□	tʃɔ2	倒（水）
□	tʃʰɔ5	滑（倒）；在粗糙物上摩擦
靴	ʃɔ1	
哥	kɔ1	
瘑	kɔ1	～毛絕代：斷子絕孫
果	kɔ3	
裹	kɔ3	
個	kɔ5	～別
過	kɔ5	
戈	kʰɔ1	
科	kʰɔ1	
可	kʰɔ3	
顆	kʰɔ3	
棵	kʰɔ3	
課	kʰɔ5	
餓	ŋɔ1	
鵝	ŋɔ2	
俄	ŋɔ2	
蛾	ŋɔ2	
訛	ŋɔ3	
臥	ŋɔ3	
我	ŋɔ5	文
荷	hɔ2	薄～；～花
河	hɔ2	
何	hɔ2	
□	hɔ5	用蒸汽熱食物
屙	ɔ1	
□	tsiɔ2	綿～～：軟綿綿
□	ȵiɔ1	（把紙）揉（成團）
□	kiɔ1	癱軟
茄	kʰiɔ2	
擺	pai3	
拜	pai5	
敗	pʰai1	
排	pʰai2	
牌	pʰai2	
派	pʰai5	
買	mai1	
埋	mai2	
邁	mai3	
賣	mai5	
壞	fai1	
槐	fai2	
淮	fai2	
塊	fai5	
筷	tai5	
戴	tai5	
大	tʰai1	
拖	tʰai1	白，下垂及地
態	tʰai5	
太	tʰai5	
泰	tʰai5	
乃	nai1	
耐	nai1	
捺	nai1	
奈	nai1	
奶	nai5	少～～
賴	lai1	
癩	lai1	
遺	lai2	白，～尿
災	tsai1	
齋	tsai1	
宰	tsai3	
滓	tsai3	
債	tsai5	
