漢字	音標	註釋
謬	miɛu3	
藐	miɛu3	
貓	miɛu5	
刁	tiɛu1	
雕	tiɛu1	
鳥	tiɛu1	白
叼	tiɛu1	
屌	tiɛu5	
釣	tiɛu5	
吊	tiɛu5	
掉	tiɛu5	替，發羊～：癲癇
叼	tiɛu5	（蜂）蟄；（蚊蟲）叮
挑	tʰiɛu1	
跳	tʰiɛu1	～舞
調	tʰiɛu1	聲～；～動
糶	tʰiɛu2	
條	tʰiɛu2	
調	tʰiɛu2	～和
跳	tʰiɛu5	辣辣～：辣辣的
料	liɛu1	
廖	liɛu1	
鷯	liɛu1	
嫽	liɛu1	玩耍
療	liɛu2	
聊	liɛu2	
遼	liɛu2	
撩	liɛu2	
瞭	liɛu2	
寮	liɛu2	
了	liɛu3	～結
焦	tsiɛu1	
蕉	tsiɛu1	
椒	tsiɛu1	
樵	tsiɛu1	
噍	tsʰiɛu1	咀嚼
繰	tsʰiɛu1	
消	siɛu1	
宵	siɛu1	
銷	siɛu1	
簫	siɛu1	
蕭	siɛu1	
小	siɛu3	
笑	siɛu5	
尿	ȵiɛu1	
饒	ȵiɛu2	
澆	ȵiɛu2	
堯	ȵiɛu2	
繞	ȵiɛu3	
鳥	ȵiɛu5	文
驕	kiɛu1	
嬌	kiɛu1	
矯	kiɛu1	
繳	kiɛu3	
餃	kiɛu3	
叫	kiɛu5	
噭	kiɛu5	替，哭
轎	kʰiɛu1	
喬	kʰiɛu2	
僑	kʰiɛu2	
橋	kʰiɛu2	
嬌	kʰiɛu2	訓，撒嬌（提出要求）
竅	kʰiɛu5	
妖	iɛu1	
邀	iɛu1	
腰	iɛu1	
要	iɛu1	～求
耀	iɛu1	
鷂	iɛu1	
夭	iɛu1	
漚	iɛu1	替，（泥巴等）稀爛
謠	iɛu2	
窯	iɛu2	
搖	iɛu2	動～
舀	iɛu3	
要	iɛu5	重～
丟	tiu1	
扭	niu3	
流	liu2	
劉	liu2	
留	liu2	
榴	liu2	
瘤	liu2	
溜	liu2	
柳	liu5	
酒	tsiu3	
皺	tsiu5	
秋	tsʰiu1	
就	tsʰiu1	
鰍	tsʰiu1	
聚	tsʰiu1	白，撿～：收拾好
袖	tsʰiu1	
囚	tsʰiu2	
泅	tsʰiu2	
修	siu1	
羞	siu1	
休	siu1	
□	siu2	由痙攣引起的抽痛
□	siu3	抽打
秀	siu5	
繡	siu5	
周	tʃiu1	
舟	tʃiu1	
州	tʃiu1	
洲	tʃiu1	
肘	tʃiu3	
晝	tʃiu5	
咒	tʃiu5	
抽	tʃʰiu1	
宙	tʃʰiu1	
綢	tʃʰiu2	
稠	tʃʰiu2	
籌	tʃʰiu2	
紂	tʃʰiu2	
獸	tʃʰiu2	
酬	tʃʰiu2	
丑	tʃʰiu3	
醜	tʃʰiu3	
獸	tʃʰiu5	
臭	tʃʰiu5	
收	ʃiu1	
受	ʃiu1	
壽	ʃiu1	
授	ʃiu1	
丘	ʃiu1	
朽	ʃiu1	
仇	ʃiu2	
讎	ʃiu2	
售	ʃiu2	
手	ʃiu3	
首	ʃiu3	
守	ʃiu3	
九	kiu3	
久	kiu3	
韭	kiu3	
灸	kiu5	
救	kiu5	
究	kiu5	
臼	kʰiu1	
舅	kʰiu1	
舊	kʰiu1	
求	kʰiu2	
球	kʰiu2	
右	iu1	
佑	iu1	
幼	iu1	
郵	iu2	
由	iu2	
油	iu2	
遊	iu2	
游	iu2	
魷	iu2	
柔	iu3	
憂	iu3	
優	iu3	
尤	iu3	
悠	iu3	
誘	iu3	
柚	iu3	
幽	iu3	
酉	iu3	
有	iu5	
友	iu5	
又	iu5	
吳	m2	
蜈	m2	
吾	m2	
梧	m2	
唔	m2	未
五	m3	
伍	m3	
午	m3	
耽	tam1	
擔	tam1	～任
探	tam1	抬（頭）
膽	tam3	
擔	tam5	～竿：扁擔
貪	tʰam1	
探	tʰam1	頭或身體的上部嚮前伸出
潭	tʰam2	
譚	tʰam2	
談	tʰam2	
痰	tʰam2	
探	tʰam5	偵～；～橋：搭橋
淡	tʰam5	
南	nam2	
男	nam2	
纜	lam1	
籃	lam2	
藍	lam2	
攬	lam3	
欖	lam3	
覽	lam5	
濫	lam5	
簪	tsam1	
斬	tsam3	
站	tsam5	
參	tsʰam1	～加
滲	tsʰam1	
鏨	tsʰam1	
蠶	tsʰam2	
慚	tsʰam2	
劖	tsʰam2	同“鑱”
鑱	tsʰam2	（被尖銳物體）刺到
慘	tsʰam3	
杉	tsʰam5	
衫	sam1	
三	sam1	
甘	kam1	
柑	kam1	
橄	kam1	
監	kam1	
尷	kam1	
鑑	kam1	
感	kam3	
敢	kam3	
減	kam3	
艦	kam5	
□	kam5	相間
堪	kʰam1	
龕	kʰam1	
坎	kʰam1	
砍	kʰam3	
啱	ŋam1	剛好
岩	ŋam2	
□	ŋam3	點（頭）
憾	ham1	
撼	ham1	
陷	ham1	
餡	ham1	
含	ham2	
函	ham2	
咸	ham2	
鹹	ham2	
涵	ham2	
銜	ham2	
喊	ham5	
□	tɛm1	用容器裝著置於涼水中使降溫
□	tɛm3	跺（腳）；踢
□	tɛm5	遲鈍
□	nɛm1	膩
□	nɛm2	（水果）熟透變軟
諗	nɛm3	訓“恁”，想
恁	nɛm3	想
□	nɛm5	～雨：連陰雨
□	tsɛm3	蓋（章）
森	sɛm1	
參	sɛm1	～參
□	sɛm1	小氣，形容小孩子受不得委屈
沾	tʃɛm1	
瞻	tʃɛm1	
占	tʃɛm5	
佔	tʃɛm5	
禪	ʃɛm2	
蟬	ʃɛm2	
嫌	ʃɛm2	
陝	ʃɛm3	
閃	ʃɛm3	
險	ʃɛm3	
蟾	kʰɛm2	～蜍
咳	kʰɛm3	訓，咳嗽
蓋	kʰɛm3	
噞	hɛm1	替，嚷
庵	ɛm1	
揞	ɛm1	捂
□	ɛm3	窺視
暗	ɛm5	
□	ɛm5	～～覆：俯臥
掂	tiɛm1	
點	tiɛm3	
店	tiɛm5	
添	tʰiɛm1	
甜	tʰiɛm2	
廉	liɛm2	
鐮	liɛm2	
簾	liɛm2	
□	liɛm3	～檢：利索
斂	liɛm3	（水）乾（了）
斂	liɛm5	
殮	liɛm5	
尖	tsiɛm1	
櫼	tsiɛm1	
蘸	tsiɛm3	
暫	tsʰiɛm1	
簽	tsʰiɛm1	
漸	tsʰiɛm1	
□	tsʰiɛm1	（用刀）刺入（動物體內）
潛	tsʰiɛm2	
兼	kiɛm1	
鹼	kiɛm3	
檢	kiɛm3	
撿	kiɛm3	
劍	kiɛm5	
謙	kʰiɛm1	
鉗	kʰiɛm2	
儉	kʰiɛm5	
欠	kʰiɛm5	
歉	kʰiɛm5	
檻	kʰiɛm5	
驗	ȵiɛm1	
拈	ȵiɛm1	
念	ȵiɛm1	
粘	ȵiɛm2	
黏	ȵiɛm2	
閻	ȵiɛm2	
嚴	ȵiɛm2	
鮎	ȵiɛm2	
□	ȵiɛm3	（用手指）擠壓
染	ȵiɛm5	
淹	iɛm1	
閹	iɛm1	
艷	iɛm1	
焰	iɛm1	
□	iɛm1	抖動
炎	iɛm2	
鹽	iɛm2	
簷	iɛm2	
掩	iɛm3	
厭	iɛm5	
壬	nim1	
任	nim1	
吟	nim2	
林	lim2	
淋	lim2	
臨	lim2	
浸	tsim5	
侵	tsʰim1	
尋	tsʰim2	
沉	tsʰim2	
心	sim1	
沁	sim1	
針	tʃim1	
斟	tʃim1	
砧	tʃim1	
□	tʃim1	（用手指）按
枕	tʃim3	
深	tʃʰim1	
鑫	ʃim1	
欣	ʃim1	
沈	ʃim3	
瀋	ʃim3	
審	ʃim3	
甚	ʃim3	
慎	ʃim3	
嬸	ʃim3	
今	kim1	
金	kim1	
錦	kim3	
禁	kim5	
襟	kʰim1	
欽	kʰim1	
撳	kʰim1	
琴	kʰim2	
禽	kʰim2	
擒	kʰim2	
音	im1	
陰	im1	
蔭	im1	
淫	im2	
飲	im3	～料
飲	im5	～田：水滲透灌溉農田
斑	pan1	
班	pan1	
頒	pan1	
扳	pan1	
板	pan3	
版	pan3	
粄	pan3	
扮	pan5	
襻	pan5	
辦	pʰan1	
攀	pʰan1	
拌	pʰan1	摔
盼	pʰan3	
瓣	pʰan3	
慢	man1	
萬	man1	
蠻	man1	替，細～仔：小孩子
蠻	man2	
□	man2	閉（嘴）
饅	man3	
漫	man3	
曼	man3	
晚	man5	
范	fan1	
範	fan1	
犯	fan1	
患	fan1	
藩	fan1	
翻	fan1	
番	fan1	文
飯	fan1	
凡	fan2	
帆	fan2	
幻	fan2	
煩	fan2	
礬	fan2	
繁	fan2	
反	fan3	
氾	fan5	文
泛	fan5	文
販	fan5	
彎	van1	
灣	van1	
鯇	van1	～魚：草魚
還	van2	～錢
環	van2	
挽	van3	
丹	tan1	
單	tan1	
蛋	tan3	
誕	tan5	
旦	tan5	
灘	tʰan1	
攤	tʰan1	
檀	tʰan2	
壇	tʰan2	
彈	tʰan2	～琴；子～
坦	tʰan3	
炭	tʰan5	
嘆	tʰan5	
難	nan1	患～
難	nan2	難易
爛	lan1	
蘭	lan2	
攔	lan2	
欄	lan2	
懶	lan5	
盞	tsan3	
讚	tsan5	
贊	tsan5	
賺	tsʰan1	
餐	tsʰan1	
棧	tsʰan1	碗～：碗櫥
殘	tsʰan2	
泉	tsʰan2	
燦	tsʰan3	
鏟	tsʰan3	
產	tsʰan3	
綻	tsʰan5	
□	tsʰan5	頑～：頑皮
山	san1	
刪	san1	
散	san3	鬆散
散	san5	分～
間	kan1	中～
奸	kan1	
關	kan1	
簡	kan3	
揀	kan3	
繭	kan3	
梘	kan3	
間	kan5	～接
慣	kan5	
刊	kʰan1	
鼾	kʰan1	俗，～睡：打鼾
雁	ŋan1	
岸	ŋan1	
奀	ŋan1	瘦小
顏	ŋan2	
頑	ŋan2	
眼	ŋan3	
□	ŋan3	（一）件（上衣）
諺	ŋan5	
限	han1	
恨	han1	
閑	han2	
閒	han2	
還	han2	～有
晏	an5	遲
般	pɔn1	
搬	pɔn1	
半	pɔn5	
潘	pʰɔn1	
盤	pʰɔn2	
盆	pʰɔn2	
絆	pʰɔn5	
伴	pʰɔn5	
拌	pʰɔn5	
叛	pʰɔn5	
判	pʰɔn5	
浼	mɔn1	身體的污垢
滿	mɔn3	
瞞	mɔn5	
寬	fɔn1	
歡	fɔn1	
緩	fɔn1	
番	fɔn1	（一）床（被子）
桓	fɔn2	
喚	fɔn3	
煥	fɔn3	
換	vɔn1	
完	vɔn2	
丸	vɔn2	
碗	vɔn3	
腕	vɔn3	
宛	vɔn3	
端	tɔn1	
短	tɔn3	
碫	tɔn5	台階
鍛	tʰɔn1	
段	tʰɔn1	
緞	tʰɔn1	
斷	tʰɔn5	
暖	nɔn5	
亂	lɔn1	
卵	lɔn3	文
□	lɔn5	半～tsʰɔn31：（做事做到）中途
鑽	tsɔn1	動詞
鑽	tsɔn5	名詞
氽	tsʰɔn1	
閂	tsʰɔn1	
□	tsʰɔn5	半lɔn31～：（做事做到）中途
酸	sɔn1	
算	sɔn5	
蒜	sɔn5	
專	tʃɔn1	
磚	tʃɔn1	
轉	tʃɔn3	
川	tʃʰɔn1	
穿	tʃʰɔn1	
傳	tʃʰɔn2	傳達
竄	tʃʰɔn3	
傳	tʃʰɔn3	～記
篆	tʃʰɔn3	
喘	tʃʰɔn3	
串	tʃʰɔn5	
船	ʃɔn2	
弦	ʃɔn2	
玄	ʃɔn2	
眩	ʃɔn2	
懸	ʃɔn2	
䘆	ʃɔn3	蚯蚓
乾	kɔn1	～燥
竿	kɔn1	
官	kɔn1	
棺	kɔn1	
觀	kɔn1	
稈	kɔn3	
管	kɔn3	
館	kɔn3	
幹	kɔn5	～部
貫	kɔn5	
灌	kɔn5	
罐	kɔn5	
冠	kɔn5	～軍
款	kʰɔn3	
看	kʰɔn5	
玩	ŋɔn3	
汗	hɔn1	
寒	hɔn2	
韓	hɔn2	
漢	hɔn5	
旱	hɔn5	
焊	hɔn5	
翰	hɔn5	
安	ɔn1	
鞍	ɔn1	
按	ɔn5	
案	ɔn5	
聯	liɔn2	
戀	liɔn2	
全	tsʰiɔn2	
宣	siɔn1	
旋	siɔn2	
選	siɔn3	
願	ȵiɔn1	
言	ȵiɔn2	
原	ȵiɔn2	
源	ȵiɔn2	
軟	ȵiɔn5	
捐	kiɔn1	
卷	kiɔn3	
捲	kiɔn3	
建	kiɔn5	
鍵	kʰiɔn1	
健	kʰiɔn1	
圈	kʰiɔn1	
乾	kʰiɔn2	
拳	kʰiɔn2	
權	kʰiɔn2	
顴	kʰiɔn2	
犬	kʰiɔn3	
勸	kʰiɔn5	
券	kʰiɔn5	
冤	iɔn1	
縣	iɔn1	
淵	iɔn1	
丸	iɔn2	
圓	iɔn2	
員	iɔn2	
緣	iɔn2	
沿	iɔn2	
鉛	iɔn2	
元	iɔn2	
阮	iɔn2	
援	iɔn2	
□	iɔn2	（蟲等）爬
院	iɔn3	
遠	iɔn3	
崩	pɛn1	
冰	pɛn1	
憑	pʰɛn1	白，依靠
朋	pʰɛn2	
萌	mɛn2	
盟	mɛn2	
猛	mɛn5	
孟	mɛn5	
□	vɛn1	（去了一）趟
登	tɛn1	
燈	tɛn1	
瞪	tɛn1	
等	tɛn3	
凳	tɛn5	
鄧	tʰɛn1	
騰	tʰɛn2	
藤	tʰɛn2	
挺	tʰɛn3	
幐	tʰɛn5	～手：幫忙
能	nɛn2	
□	nɛn3	踮（腳）
嚨	lɛn2	俗，喉～
曾	tsɛn1	姓
增	tsɛn1	
憎	tsɛn1	
贈	tsɛn1	
僧	tsɛn1	
甑	tsɛn5	
曾	tsʰɛn2	～經
層	tsʰɛn2	
生	sɛn1	文
擤	sɛn5	
氈	tʃɛn1	
展	tʃɛn3	
振	tʃɛn3	
震	tʃɛn3	
碾	tʃɛn3	
戰	tʃɛn5	
纏	tʃʰɛn2	
莧	ʃɛn1	
軒	ʃɛn1	
掀	ʃɛn1	文
賢	ʃɛn2	
膳	ʃɛn3	
顯	ʃɛn3	
現	ʃɛn3	
蜆	ʃɛn3	
憲	ʃɛn3	
扇	ʃɛn5	
善	ʃɛn5	
鱔	ʃɛn5	
獻	ʃɛn5	
艱	kɛn1	
跟	kɛn1	
根	kɛn1	
更	kɛn1	文，～換
耿	kɛn3	
更	kɛn5	～加
埂	kɛn5	坡
亨	kʰɛn1	
凝	kʰɛn1	白，霜凍
凝	kʰɛn2	白，凝結
肯	kʰɛn3	文
墾	kʰɛn3	
銀	ŋɛn2	
□	ŋɛn3	發～：生氣
杏	hɛn1	
幸	hɛn1	
恨	hɛn1	
□	hɛn1	（尿）臊
痕	hɛn2	
恆	hɛn2	
衡	hɛn2	
□	hɛn2	緊
很	hɛn3	
肯	hɛn3	白
恩	ɛn1	
□	ɛn3	挺（胸，肚子）
鞭	piɛn1	文，～策
邊	piɛn1	
辮	piɛn1	
貶	piɛn3	
扁	piɛn3	
匾	piɛn3	
變	piɛn5	
編	pʰiɛn1	
篇	pʰiɛn1	
偏	pʰiɛn1	
辯	pʰiɛn1	
辨	pʰiɛn1	
便	pʰiɛn1	方～
遍	pʰiɛn1	
便	pʰiɛn2	～宜
片	pʰiɛn3	
騙	pʰiɛn5	
勉	miɛn1	
緬	miɛn1	
麪	miɛn1	
棉	miɛn2	
綿	miɛn2	
免	miɛn5	
面	miɛn5	
顛	tiɛn1	
奠	tiɛn1	
典	tiɛn3	
墊	tiɛn5	
天	tʰiɛn1	
殿	tʰiɛn1	
田	tʰiɛn2	
佃	tʰiɛn2	
填	tʰiɛn2	
電	tʰiɛn3	
練	liɛn1	
楝	liɛn1	
鏈	liɛn1	
□	liɛn1	～家世：炫耀家世
連	liɛn2	
蓮	liɛn2	
□	liɛn3	吐
臉	liɛn5	
煎	tsiɛn1	
剪	tsiɛn3	
箭	tsiɛn5	
踐	tsiɛn5	
薦	tsiɛn5	
遷	tsʰiɛn1	
賤	tsʰiɛn1	
千	tsʰiɛn1	
錢	tsʰiɛn2	
前	tsʰiɛn2	
淺	tsʰiɛn3	
仙	siɛn1	
鮮	siɛn1	
先	siɛn1	文
癬	siɛn3	
羨	siɛn3	
線	siɛn5	
研	ȵiɛn1	
硯	ȵiɛn1	
年	ȵiɛn2	
堅	kiɛn1	
見	kiɛn5	
牽	kʰiɛn1	
件	kʰiɛn1	
遣	kʰiɛn3	
掀	iɛn1	白
煙	iɛn1	
殷	iɛn1	
然	iɛn2	
燃	iɛn2	
延	iɛn2	
演	iɛn3	
燕	iɛn5	
宴	iɛn5	
奔	pun1	
本	pun3	
笨	pun5	
糞	pun5	
□	pʰun1	厚
㖹	pʰun2	吹
□	pʰun2	溢出
粉	pʰun3	白，～鬆
噴	pʰun5	
悶	mun1	
蚊	mun1	
炆	mun1	
門	mun2	
文	mun2	
紋	mun2	
聞	mun2	
□	mun2	～nɛi35：怎樣
問	mun5	
昏	fun1	
婚	fun1	
分	fun1	
紛	fun1	
芬	fun1	
份	fun1	
混	fun1	
葷	fun1	
焚	fun2	
墳	fun2	
粉	fun3	文
奮	fun3	
睏	fun5	睡
溫	vun1	
瘟	vun1	
魂	vun2	
渾	vun2	
吻	vun2	
隱	vun3	
穩	vun3	
搵	vun5	浸泡
□	vun5	關（起來）
敦	tun1	
墩	tun1	
頓	tun3	
墩	tun3	牛～：拴牛的木樁
囤	tun3	囤積
□	tun5	失足跌傷
吞	tʰun1	
豚	tʰun2	
臀	tʰun2	
囤	tʰun2	
團	tʰun2	
屯	tʰun3	
盾	tʰun3	
鈍	tʰun3	
嫩	nun1	
□	nun3	捻
論	lun1	
倫	lun2	
輪	lun2	
遵	tsun1	
尊	tsun1	
罇	tsun1	瓶子
俊	tsun5	
村	tsʰun1	
存	tsʰun2	
寸	tsʰun5	
□	tsʰun5	（用手指）搓（體垢）
孫	sun1	
遜	sun1	
旬	sun2	
巡	sun2	
殉	sun2	
損	sun3	
筍	sun3	
榫	sun3	
□	tʃun1	顫抖
準	tʃun3	
准	tʃun3	
圳	tʃun5	
春	tʃʰun1	
膥	tʃʰun1	蛋
伸	tʃʰun1	伸（手）；（衣服）伸展不皺
蹲	tʃʰun2	
蠢	tʃʰun3	
順	ʃun1	
熏	ʃun1	
勳	ʃun1	
唇	ʃun2	
舜	ʃun2	
純	ʃun2	
醇	ʃun2	
馴	ʃun2	順服的
訓	ʃun5	
均	kun1	
鈞	kun1	
君	kun1	
軍	kun1	
滾	kun3	
棍	kun5	
昆	kʰun1	
崑	kʰun1	
坤	kʰun1	
困	kʰun1	
菌	kʰun1	
裙	kʰun2	
群	kʰun2	
捆	kʰun3	
潤	iun1	
閏	iun1	
韻	iun1	
運	iun1	
暈	iun1	
勻	iun2	
云	iun2	
雲	iun2	
允	iun3	
彬	pin1	
賓	pin1	
殯	pin1	
兵	pin1	
鞭	pin1	白，釣～：釣竿
秉	pin3	
禀	pin3	
□	pin3	用力掙（脫）
併	pin5	
並	pin5	
烹	pʰin1	
聘	pʰin1	
拼	pʰin1	
貧	pʰin2	
頻	pʰin2	
平	pʰin2	文
評	pʰin2	
瓶	pʰin2	
萍	pʰin2	
憑	pʰin2	文，文～
品	pʰin3	
命	min1	文
眠	min2	
民	min2	
鳴	min2	
明	min2	文
皿	min3	
閩	min5	
敏	min5	
暈	fin2	頭～
□	fin5	甩
永	vin1	
泳	vin3	
詠	vin3	
丁	tin1	
鼎	tin3	
汀	tʰin1	
定	tʰin1	
亭	tʰin2	
停	tʰin2	
廷	tʰin2	
庭	tʰin2	
挺	tʰin3	
奶	nin1	奶水
擰	nin1	
寧	nin2	
令	lin1	文
□	lin1	輪流
憐	lin2	
鄰	lin2	
鱗	lin2	
陵	lin2	
凌	lin2	
靈	lin2	
卵	lin5	白，男陰
□	lin5	～～tsʰin31 tsʰin31：（人）搖搖晃晃
津	tsin1	
精	tsin1	文
晶	tsin1	
睛	tsin1	
晉	tsin3	
靖	tsin3	
進	tsin5	
盡	tsʰin1	
親	tsʰin1	
清	tsʰin1	文
靜	tsʰin1	
秦	tsʰin2	
情	tsʰin2	
□	tsʰin5	lin31 lin31～～：（人）搖搖晃晃
辛	sin1	
新	sin1	
薪	sin1	
星	sin1	
馨	sin1	
先	sin1	白，～生：醫生
訊	sin3	
省	sin3	
信	sin5	
性	sin5	
姓	sin5	
珍	tʃin1	
趁	tʃin1	
臻	tʃin1	
真	tʃin1	
診	tʃin1	
徵	tʃin1	
征	tʃin1	
懲	tʃin1	
蒸	tʃin1	
貞	tʃin1	
偵	tʃin1	
鎮	tʃin3	
拯	tʃin3	
證	tʃin5	
症	tʃin5	
正	tʃin5	文，～在
政	tʃin5	
稱	tʃʰin1	～呼；相～
陳	tʃʰin2	
塵	tʃʰin2	
乘	tʃʰin2	
承	tʃʰin2	
成	tʃʰin2	文，～功
誠	tʃʰin2	
逞	tʃʰin3	
呈	tʃʰin3	
陣	tʃʰin3	
秤	tʃʰin5	
認	ȵin1	
忍	ȵin1	
韌	ȵin1	
人	ȵin2	
身	ʃin1	
伸	ʃin1	
申	ʃin1	
升	ʃin1	
勝	ʃin1	～敗
興	ʃin1	～旺
神	ʃin2	
辰	ʃin2	
晨	ʃin2	
臣	ʃin2	
塍	ʃin2	
丞	ʃin2	
形	ʃin2	
型	ʃin2	
刑	ʃin2	
興	ʃin3	單用，歡喜
腎	ʃin5	
聖	ʃin5	
盛	ʃin5	
□	ʃin5	嗅
興	ʃin5	高～
肩	kin1	
巾	kin1	
斤	kin1	
筋	kin1	
莖	kin1	
京	kin1	
荊	kin1	
經	kin1	文
緊	kin3	
僅	kin3	
謹	kin3	
景	kin3	
警	kin3	
境	kin3	
竟	kin3	
勁	kin5	
敬	kin5	
卿	kʰin1	
勤	kʰin2	
芹	kʰin2	
瓊	kʰin2	
競	kʰin3	
傾	kʰin3	
頃	kʰin3	
近	kʰin5	
慶	kʰin5	
䐃	kʰin5	雞～：雞肫
胗	kʰin5	俗，雞～：雞肫
因	in1	
姻	in1	
□	in1	剩餘
應	in1	～該
鷹	in1	
鸚	in1	
櫻	in1	
英	in1	
嬰	in1	
纓	in1	
仁	in2	
寅	in2	
仍	in2	
蠅	in2	
盈	in2	
榮	in2	
引	in3	
孕	in3	
穎	in3	
印	in5	
應	in5	答～
□	in5	（石頭等）硌腳
㧍	paŋ1	拔、拉
砰	paŋ2	擬聲詞，槍聲
□	pʰaŋ1	吹（氣球）
彭	pʰaŋ2	
膨	pʰaŋ2	
棚	pʰaŋ2	
泛	pʰaŋ5	不實
蒙	maŋ1	白
盲	maŋ2	
蜢	maŋ3	
宕	faŋ5	（走）過頭
橫	vaŋ2	
冷	laŋ5	
爭	tsaŋ1	
箏	tsaŋ1	
睜	tsaŋ1	
撐	tsʰaŋ5	
生	saŋ1	白
牲	saŋ1	
甥	saŋ1	
正	tʃaŋ1	～月
整	tʃaŋ3	白，修理
正	tʃaŋ5	白，～好
鄭	tʃʰaŋ1	
澄	tʃʰaŋ2	
橙	tʃʰaŋ2	
程	tʃʰaŋ2	
成	tʃʰaŋ2	白，八～
聲	ʃaŋ1	
城	ʃaŋ2	
更	kaŋ1	白，深～半夜
庚	kaŋ1	
羹	kaŋ1	
耕	kaŋ1	
經	kaŋ1	白，織
哽	kaŋ3	
梗	kaŋ3	
徑	kaŋ5	
□	kaŋ5	絆倒
硬	ŋaŋ1	
坑	haŋ1	
行	haŋ2	～爲
桁	haŋ2	～子：檁條
罌	aŋ1	
硬	aŋ5	替，再（……也）
□	piaŋ1	用力向下擲
丙	piaŋ3	
餅	piaŋ3	
柄	piaŋ5	
偋	piaŋ5	藏
病	pʰiaŋ1	
平	pʰiaŋ2	白
坪	pʰiaŋ2	
命	miaŋ1	白
明	miaŋ2	白
名	miaŋ2	
銘	miaŋ2	
釘	tiaŋ1	
訂	tiaŋ1	
□	tiaŋ1	豎起
頂	tiaŋ3	
廳	tʰiaŋ1	
聽	tʰiaŋ1	～其自然
聽	tʰiaŋ5	～話
艇	tʰiaŋ5	
另	liaŋ1	
□	liaŋ1	謎語
零	liaŋ2	
伶	liaŋ2	～俐：乾淨
領	liaŋ5	
嶺	liaŋ5	
令	liaŋ5	白，美麗
精	tsiaŋ1	白
井	tsiaŋ3	
□	tsiaŋ5	倒轉或傾斜物體使裏面的東西倒出來
清	tsʰiaŋ1	白
淨	tsʰiaŋ1	
青	tsʰiaŋ1	
晴	tsʰiaŋ2	
請	tsʰiaŋ3	
腥	siaŋ1	
醒	siaŋ3	
□	ȵiaŋ1	推諉
迎	ȵiaŋ2	
驚	kiaŋ1	
鏡	kiaŋ5	
輕	kʰiaŋ1	
儆	kʰiaŋ1	節省
擎	kʰiaŋ2	
□	hiaŋ3	炫耀
縈	iaŋ1	繞（線）
贏	iaŋ2	
營	iaŋ2	
影	iaŋ3	
映	iaŋ3	
□	iaŋ3	這
□	iaŋ5	丘（一～田）
幫	pɔŋ1	
邦	pɔŋ1	
□	pɔŋ1	塗抹
榜	pɔŋ3	
綁	pɔŋ3	
□	pɔŋ3	～飯：下飯
嘭	pʰɔŋ1	替，用力重擊
旁	pʰɔŋ2	
傍	pʰɔŋ2	
□	pʰɔŋ2	小腫塊
蚌	pʰɔŋ5	
望	mɔŋ1	
忙	mɔŋ2	
芒	mɔŋ2	
茫	mɔŋ2	
亡	mɔŋ2	
網	mɔŋ3	
妄	mɔŋ3	
忘	mɔŋ5	
莽	mɔŋ5	
荒	fɔŋ1	
慌	fɔŋ1	
謊	fɔŋ1	
方	fɔŋ1	
芳	fɔŋ1	
房	fɔŋ2	
防	fɔŋ2	
肪	fɔŋ3	
仿	fɔŋ3	
妨	fɔŋ3	
訪	fɔŋ3	
紡	fɔŋ3	
放	fɔŋ5	
旺	vɔŋ1	
汪	vɔŋ1	
黃	vɔŋ2	
簧	vɔŋ2	
皇	vɔŋ2	
王	vɔŋ2	
枉	vɔŋ3	
往	vɔŋ5	
當	tɔŋ1	～時
□	tɔŋ2	液體下滴
黨	tɔŋ3	
擋	tɔŋ3	
當	tɔŋ5	～鋪
湯	tʰɔŋ1	
燙	tʰɔŋ1	
劏	tʰɔŋ1	
盪	tʰɔŋ1	
堂	tʰɔŋ2	
棠	tʰɔŋ2	
唐	tʰɔŋ2	
糖	tʰɔŋ2	
塘	tʰɔŋ2	
蕩	tʰɔŋ3	
摥	tʰɔŋ5	粉刷（牆壁）
趟	tʰɔŋ5	
囊	nɔŋ2	
瓤	nɔŋ2	
襠	nɔŋ5	
□	nɔŋ5	～做：白做
浪	lɔŋ1	
晾	lɔŋ1	訓，～篙：晾衣竹竿
郎	lɔŋ2	
廊	lɔŋ2	
狼	lɔŋ2	
朗	lɔŋ5	
贓	tsɔŋ1	
臟	tsɔŋ1	
莊	tsɔŋ1	
裝	tsɔŋ1	
葬	tsɔŋ5	
髒	tsɔŋ5	
壯	tsɔŋ5	
倉	tsʰɔŋ1	
蒼	tsʰɔŋ1	
瘡	tsʰɔŋ1	
狀	tsʰɔŋ1	
藏	tsʰɔŋ2	隱～；西～
牀	tsʰɔŋ2	
闖	tsʰɔŋ3	
創	tsʰɔŋ3	
桑	sɔŋ1	
喪	sɔŋ1	婚～
霜	sɔŋ1	
喪	sɔŋ3	～失
爽	sɔŋ3	
張	tʃɔŋ1	
章	tʃɔŋ1	
障	tʃɔŋ1	
長	tʃɔŋ3	生～
掌	tʃɔŋ3	
漲	tʃɔŋ5	
賬	tʃɔŋ5	
帳	tʃɔŋ5	
脹	tʃɔŋ5	
仗	tʃɔŋ5	文，打～
丈	tʃʰɔŋ1	文，一～
昌	tʃʰɔŋ1	
仗	tʃʰɔŋ1	白，炮～：鞭炮
長	tʃʰɔŋ2	～短
腸	tʃʰɔŋ2	
場	tʃʰɔŋ2	
暢	tʃʰɔŋ3	
杖	tʃʰɔŋ3	
長	tʃʰɔŋ3	生～
倡	tʃʰɔŋ3	
