字	聲韻	調	注釋
我	ŋo	33	
汝	nɯ	33	
我	ŋo	24	~□xɯ55：我們
□	xɯ	55	我~：我們
□	o	24	這
某	mo	24	那
□	lau	24	相當於普通話的疑問代詞“哪”；~人：誰
人	ȵi	33	□lau24~：誰
什	sɿ	31	~物：什麼
物	mo	55	什~：什麼
不	pu	33	
都	la	33	全
多	tie	33	
一	ji	33	
對	ta	55	二
大	la	31	與“小”相對
細	ɕie	31	小
高	ko	33	長
□	ɣuo	33	~□tshuo33：人
□	tshuo	33	□ɣuo33~：人
魚	ɣoŋ	24	
雀	tsɿ	31	~雀：鳥
雀	tsɿ	24	雀~：鳥
犬	khui	55	
虱	sei	55	
樹	so	55	
□	tsu	33	根
膚	pəu	31	皮膚
赤	tshɿ	31	~~：血
骨	kui	55	
頭	tuo	31	骨~
角	ko	55	
髮	pei	55	頭髮
頭	to	33	~頭：頭
頭	do	55	頭~：頭
耳	ȵi	33	~□kha33：耳朵；~□dzɿ33：眼睛
□	kha	33	耳~：耳朵
□	dzɿ	33	耳~：眼睛
鼻	bi	31	~□kei33：鼻子
□	kei	33	相當於普通話的詞尾“子”，鼻~：鼻子
脾	pi	31	嘴
齒	tshei	55	~□pei55：牙
□	pei	55	齒~：牙
舌	dzɿ	33	~□ta31：舌頭
□	ta	31	舌~：舌頭
爪	tsau	31	
腳	ku	55	
手	suo	55	
□	məu	31	~肚：肚子
肚	luo	31	□məu31~：肚子
□	suŋ	33	~頸：脖子
頸	kuŋ	33	□suŋ33~：脖子
□	mi	55	乳房
心	san	33	心臟；~肝：肝
肝	ka	33	心~：肝
咀	zu	31	喫
飲	an	31	喝
瞻	tsan	33	看
聽	thi	55	
知	tiu	33	知道
睡	dzɿ	33	
死	sɿ	55	
殺	ɕi	33	
飛	bu	33	
行	ɣa	31	行走
來	ɣɯ	31	
踞	ku	31	坐
站	dan	33	
與	a	33	給
講	xa	33	說
日	en	33	~□soŋ31：太陽
□	soŋ	31	日~：太陽
月	ko	55	~片□ja33：月亮
片	pei	55	月~□ja33：月亮
□	ja	33	月片~：月亮
星	ɕi	55	~□su31：星星
□	su	31	星~：星星
水	sɿ	55	
雨	zɿ	33	
石	dza	31	
沙	sa	33	
地	le	31	
煙	in	24	
火	fai	55	
堤	ti	31	山
赤	tshɿ	55	紅
黃	ɣuŋ	31	
黑	khɯ	55	
綠	lo	33	
白	bia	33	
宿	sa	55	晚上
焙	pei	31	熱
寒	ka	31	冷
新	ɕin	33	
誇	khua	31	好
名	mi	31	名字
犃	bəu	33	公的
勤	ɡa	31	勤勞
末	mo	33	細
多	tie	33	
少	so	55	
木	mi	31	麻木
濁	do	33	渾
硬	ŋa	33	
顛	ȵan	33	尖
潰	kui	55	破爛
滑	gui	33	
重	doŋ	33	
嫩	ȵuo	31	
醜	dzuo	31	
肥	pu	31	
鈍	ʈan	33	頑皮
荒	xa	33	荒蕪
軟	ȵu	31	
促	tshuo	33	短
茄	ŋa	24	紫
乾	ka	33	
酸	sa	33	
反	pei	55	
比	pi	33	
過	kua	33	
方	faŋ	31	
飽	pəu	55	
痛	suŋ	31	
瞎	ʈha	33	
花	kua	55	
青	tshɿ	33	
甜	tɕan	31	
苦	khu	55	
鹹	tʂen	31	
澀	san	55	
淡	da	31	
臭	tsho	31	
直	tsɿ	31	
薄	bu	33	
舊	ku	55	
牛	ŋu	31	
寬	khua	33	
陡	tɯ	31	
倒	tau	33	
斜	ɕie	31	
滿	ma	33	
癟	pi	55	
脆	tshe	31	
髒	tsaŋ	31	
毒	tu	31	
深	san	33	
緊	tɕin	55	
濕	dzɿ	31	
粘	ȵan	31	
粗	tshu	33	粗糙
熟	dzuo	33	
涼	lan	31	
啞	ja	31	
脹	tshen	33	
腫	ɣuŋ	33	
齊	tɕi	31	
擠	tɕi	55	擁擠
真	tse	33	
假	tɕa	55	
匆	tshuo	55	匆忙
貴	kui	31	
美	mia	31	
半	pa	31	
清	tshɿ	33	~乾：乾淨
翻	phei	33	心~：惡心
教	ko	55	~馬：馴
馬	me	33	
發	fa	31	~財：富
財	tsəu	31	發~：富
要	lio	33	
得	tu	33	要~：妥當
生	xa	33	
年	nen	31	
亂	la	31	
悄	tɕuo	31	
田	len	31	
穗	sɿ	31	~稻穀：稻子
穀	kuo	24	穗~：稻子
今	khien	33	
姊	tɕi	55	
三	sa	33	
弟	he	33	
□	sɿ	31	相當於普通話的助詞“的”
豬	li	31	
□	mi	24	貓
跑	piau	33	
群	tshuo	31	
烘	xaŋ	33	臭~烘
烘	xaŋ	55	臭烘~
大	te	33	~家
去	kue	33	
做	tɕe	55	
得	lɯ	55	助詞
在	tɯ	31	
伊	je	33	他
搓	tshu	33	
□	ɯ	33	衣服
株	dzuo	33	
回	pei	55	
柱	du	33	
繩	su	55	
子	tsɿ	31	
□	ȵie	33	相當於普通話的量詞“個”
個	ko	31	
□	ȵuŋ	24	姑娘
輕	tshɿ	33	
□	xu	55	相當於普通話的疑問代詞“哪”
很	hen	33	
起	xɯ	55	
只	tsɿ	55	
面	min	31	~孔：臉
孔	kuŋ	33	面~：臉
□	tɕuo	33	快
要	niɔ	31	
路	ho	55	
地	le	33	助詞
還	xa	31	
份	pen	55	
條	ta	55	
□	do	31	灰
□	dɯ	33	壞
□	li	24	慢
厚	guo	33	
□	bi	33	低
□	khu	33	香
□	tsuo	31	亮
□	da	33	晴朗
□	dəu	33	陰
□	phei	55	辣
□	tsho	31	腥
□	ji	33	彎，歪
□	tin	33	圓
□	ta	55	窄
□	dza	33	碎
□	min	31	韌
□	dəu	33	淺
□	ȵaŋ	33	快
□	zɿ	55	暖和
□	ko	33	旺
□	ʈan	33	聾
□	ka	33	弱
□	lo	33	夠
□	ka	55	土
□	tsɿ	33	瘦
□	tsan	55	野蠻
□	ɬa	55	年輕
□	tɕin	31	耐用
□	ȵi	31	清楚
□	ti	55	遠
□	ȵan	33	聰明
□	tsuŋ	31	懶
□	tʂan	33	豎
□	mu	33	結實
□	na	31	晚
□	phia	33	溫
大	ta	24	~意：粗心；~膽
意	ji	33	
辛	san	33	
□	tshɿ	31	淫蕩
惡	ŋo	31	
膽	la	31	
困	khun	24	~難
難	lan	31	困~
糊	fu	31	~塗
塗	thu	31	糊~
順	sun	33	~手：方便
老	lo	33	~實
實	sɿ	31	老~
□	tse	31	~□tse33：確實
□	tse	33	□tse31~：確實
布	pu	31	
種	tsuŋ	31	
□	u	33	碗
□	di	31	犁
□	da	33	~年：去年
菜	tshəu	31	
□	tsa	31	肉
□	ŋuo	33	煎
感	kan	33	聾~：愚蠢
□	mbəu	33	量詞“座”
□	sui	55	些
□	ɳan	31	~□ɳu33：芭蕉
□	ɳu	33	□ɳan31~：芭蕉
□	du	31	蓬松
□	ka	33	稠
□	nan	31	稀
□	həu	33	疏
□	ɡuo	33	密
□	en	33	焦
