#备注：	《海安县志》																		
#调值	[1]21 [2]45 [3]213 [4]33 [5]3 [6]45																		
#符号说明：-白=文																			
#ɿ																			
kʰ	[1]开揩[2]□{~酸水：～气}[3]慨凯[4]𬮿																		
x	[1]害解-{~姓}[2]孩鞋-谐-咳1{呻吟}还1□{斜视}[3]海蟹桸{网,捞~}																		
Ø	[1]哀碍挨1{～近}艾[2]挨2{~打}呆2{~板}岩崖-颜-[3]矮冶[4]爱																		
#iɛ																			
tɕ	[1]街=阶=皆=[3]姐=解=[4]介=界=																		
tɕʰ	[3]且																		
ɕ	[2]鞋=[3]写=[4]些=谢=																		
Ø	[1]夜=[3]野=也=[4]液=																		
#uɛ																			
k	[1]乖[3]拐[4]怪																		
kʰ	[1]挎[2]甩1{打人；甩动}[3]㧟{斜挎，~包}傀[4]快块会{~计}筷																		
x	[1]坏1[2]怀=槐淮[3]甩2{打人：甩动}																		
#yɛ																			
tɕ	[3]拽[4]坠1{跌}																		
tɕʰ	[4]揣踹啐																		
ɕ	[1]摔衰[3]甩3{摆威风}[4]帅{~元}																		
#ɑ																			
p	[1]巴疤扒1{~草}根粑笆[3]扈[4]霸坝罢爸把{门~手}																		
pʰ	[1]趴汃䯲[2]扒2{~儿手}爬耙琶[4]怕																		
m	[1]妈骂[2]麻[3]马码把																		
t	[1]大3[3]打[4]爹1{伯父}																		
tʰ	[1]他																		
n	[1]拉[2]拿[3]哪喇旯[4]那=																		
ts	[1]渣遮奓1{张开，~嘴}拃{一捺~}[2]昨=[3]砟{碎}[4]诈榨奓2{裂开}																		
tsʰ	[1]叉车-差{出~；~距}杈[2]茶搽查[3]扯[4]岔																		
s	[1]沙纱砂痧赊 [2]蛇佘[3]洒傻1舍1{~得}撒[4]赦舍2{地名，朱家~}																		
ʐ	[3]惹喏{唱~}																		
k	[1]家稼加枷[3]玍{~古}[4]嫁-架-尬																		
kʰ	[1]抲1{塞进}[2]揢{抢占}[3]卡[4]抲2{握住；收藏}																		
x	[1]虾下-[2]还2[3]傻2{糊涂，~儿}																		
Ø	[1]丫砑鸦-[2]牙-芽-伢{小孩,~儿}[3]哑也-[4]挜{吃饱了还硬吃}垩-																		
#iɑ																			
m	[2]□{快活啊~下去啊}[3]乜																		
t	[1]爹2[3]嗲																		
tɕ	[1]家=加=嘉[3]假贾姐-[4]价驾借架=嫁=																		
tɕʰ	[1]谢-[2]斜邪-[4]笡{歪斜}																		
ɕ	[1]夏下=谢-[2]霞邪=[3]写-[4]泻些卸																		
Ø	[1]鸦=夜-[2]爷2{叔父}牙=芽=崖=[3]雅也-野-[4]亚																		
#uɑ																			
k	[1]瓜[3]寡剐[4]褂挂卦																		
kʰ	[1]夸垮[2]□{刮,~皮}[3]侉[4]跨胯																		
x	[1]花话画1{名词}[2]华[3]□{碎}[4]化																		
Ø	[1]画2{动词}瓦{~刀}划1{～开}蛙[2]划2{~船}[3]瓦{~砖}搲{舀}[4]洼																		
#yɑ																			
tɕ	[1]抓[3]爪																		
tɕʰ	[2]瘸																		
ɕ	[1]靴[3]耍□{糕，团子等食品不黏}																		
Ø	[1]曰□{手，手臂功能缺陷}[2]□{示弱，~把他}																		
#ɔ																			
p	[1]包脬鲍=[3]饱保宝堡[4]报暴豹爆趵																		
pʰ	[1]抱抛鲍-刨[2]袍跑[4]泡炮																		
m	[1]冒1帽毛1{上~}[2]猫毛2茅矛锚[3]卯铆[4]貌冒2{～充}																		
t	[1]刀[3]祷捣岛倒1{~下}导=[4]到倒{~水}道={~路}																		
tʰ	[1]稻滔道-[2]逃桃陶淘[3]导-讨[4]套																		
n	[1]闹[2]挠捞劳牢[3]老脑恼																		
ts	[1]糟遭朝1招昭[3]早枣爪找[4]躁灶照罩兆燥																		
tsʰ	[1]皂抄吵赵[2]曹潮朝2槽嘈[3]草炒[4]造糙钞																		
s	[1]骚臊搔烧梢稍[2]绍韶□{短}[3]扫1{~地}少1{~量}[4]扫2{~帚}少2{老~}䴛{咸}肖1{生肖，~属}𢜶{快}																		
ʐ	[1]绕[2]饶[3]扰[4]□{马虎．囊蠢}																		
k	[1]高膏羔糕教-篙茭叫-鲛[3]稿搞搅-[4]告膏-{上油，~油}窖觉-酵-交-{量词，洗一~}																		
kʰ	[1]敲-拷1[3]考烤[4]靠拷2{~手}																		
x	[1]蒿号1{~子；~}码[2]毫豪嚎号2{~叫}壕[3]好1{~坏}[4]好2{爱~}耗																		
Ø	[1]熬[3]袄咬[4]傲拗凹																		
#iɔ																			
p	[1]标彪镖膘[3]表裱																		
pʰ	[1]飘[2]瓢嫖[4]票漂																		
m	[1]庙[2]苗瞄描[3]秒渺[4]妙																		
t	[1]刁雕貂叨[3]屌[4]吊钓掉=调1{~动}																		
tʰ	[1]挑掉-[2]条调2[3]调3{~位子}[4]跳																		
n	[1]料撂[2]疗聊辽僚镣撩[3]鸟了[4]□{扭动}																		
tɕ	[1]焦蕉椒交=郊胶骄浇[3]绞搅较1{比~}[4]叫=教=较2{~量}																		
tɕʰ	[1]轿悄跷缲撬敲=[2]桥乔侨樵翘1{不平}[3]巧[4]俏翘2窍																		
ɕ	[1]消霄宵硝箫销肖2枵{薄}□{翻开}[2]肴淆[3]小晓[4]笑孝校效酵=																		
Ø	[1]妖邀腰要1{～求}幺夭1[2]摇谣遥姚窑[3]舀夭2{歪，~理，放~在下：不平}[4]要2耀																		
#ʊ																			
p	[1]波玻坡[3]播簸1{~稻}跛[4]簸2{~箕}																		
pʰ	[1]婆[3]剖[4]破																		
m	[1]磨1{~面}[2]摩魔模磨2{~洋工}[3]母亩沫拇牡某[4]慕暮募墓贸茂																		
t	[1]多[3]朵躲[4]惰1剁																		
tʰ	[1]拖2舵垛[2]驼驮砣[3]妥[4]惰2{~懒；逃避}毻{~毛}																		
n	[1]糯摞[2]奴骡罗锣箩[3]努裸[4]怒懦																		
ts	[3]左[4]做揍1																		
tsʰ	[1]坐座搓[4]锉挫错1																		
s	[1]蓑梭趁[2]睃[3]所锁琐																		
k	[1]哥歌锅过[3]果裹[4]个过																		
kʰ	[1]科棵颗窠疴□{画圈，~圈}[3]可[4]课囗{蔓延}																		
ŋ	[3]我																		
x	[1]贺祸烀[2]河何荷禾和[3]火伙[4]货																		
Ø	[1]屙饿窝莴涡婀[2]俄蛾讹鹅丸讹[4]卧																		
#ɘi																			
p	[1]杯背=卑碑悲辈[4]蔽敝弊币倍备被=																		
pʰ	[2]培陪=赔=[4]配=佩																		
m	[2]枚梅=眉=煤脢[3]每美=[4]媚妹=																		
f	[1]非飞[2]肥[3]匪[4]费肺废菲䉬																		
v	[1]魏为-味威未位煨痿[2]围2维违危惟唯帷桅微[3]伪尾苇伟委[4]尉畏谓猬2卫慰蔚																		
#uɘi																			
t	[1]堆=[4]对=兑=队=																		
