	符號說明：-白讀，=文讀
#i	
p	[1]蓖陂蜱未-味邊-沕{潛水}[2]脾-[3]米匕比妣[5]蔽敝弊幣斃閉=臂秘泌庇痹[6]陛被避備憊辮-{～頭毛：編辮子}蔑[9]鱉憋癟
pʰ	[1]披鼻[2]疲脾=琵枇[3]彼婢鄙痞疕{痂}[5]譬屁=[9]撇
m	[1]面[2]迷謎彌獼靡眉楣媚嵋微薇棉綿-眠-[5]瞇{半閉著眼}[6]寐未=魅物-
t	[1]地-[2]遲纏-[3]底=[5]戴-帝=遞締蒂=渧{潮濕的樣子}[6]弟第=地=碟-[9]弟蒂{脰～：脖子}
tʰ	[1]天-䋎{縫補}[2]堤提啼苔[3]體[5]涕剃屜隸逮[6]添{添加}[9]鐵
n	[2]汝{姓}泥尼妮梨-{山～：桃金娘}[3]女擬染-[5]呢
l	[1]痢吏劙-{劃開}[2]離籬璃漓梨=厘狸=鸝[3]呂鋁侶旅李里裏=理鯉娌[5]劙=[6]慮厲勵礪麗儷利=俐莉蒞[9]裂-
ts	[1]諸蜘支枝肢梔膣{女陰}[2]錢[3]紫只脂姊旨指=黹子=仔籽梓止趾址芷咫[5]著際濟霽知智雉致稚至摯置志誌箭煎姊[6]住-巳痔治峙舌[9]接折-即-
tsʰ	[1]妻淒萋雌疵癡嗤飼鮮生-[2]儲殊臍=池馳持鶿[3]侈豕矢似恥齒=[5]處趣刺廁翅試弑[6]舌蠘{梭子蟹}[9]黐{粘貼}
ɬ	[1]舒須需棲斯廝撕施私師=螄屍司=鷥思詩抒[2]匙時[3]暑署曙徙=死[5]絮庶世勢婿=四駟肆扇[6]序緒是氏豉獅嗜柿市寺=蝕={～本}[9]豎戍樹=逝祀閃
ȵ	[2]兒=[3]語爾=邇耳=[5]齞{～牙：齜牙}[6]義議[9]曳
j	[1]二貳[2]茹餘余輿儒蠕愚虞娛禺盂榆逾愉瑜萸禹宜儀移=誼夷胰遺疑怡頤[3]如與宇予雨=羽已以[6]馭禦御譽預豫愈嫗遇寓喻諭裕籲易肄異
k	[1]居奇羈饑肌几基箕姬幾機譏飢[2]棋旗舷-{邊緣處}墘[3]舉莒矩指-己紀杞幾=[5]計=繼冀痣記既暨見-[6]巨拒距炬據俱具懼颶技妓伎忌=[9]瞿臒訣
kʰ	[1]樞拘駒區驅軀㩻{傾斜}欺忌-蹊[2]奇歧琦芪祁其期琪蜞淇麒祈[3]起豈齒-[5]器氣=汽[9]缺
h	[1]犧熹羲熙禧希稀虛噓硯[2]年[3]許栩詡喜[5]係系繫戲棄[6]士-耳-頁餌[9]嬉嘻
∅	[1]於淤伊醫衣依[2]姨圓-[3]椅倚=[5]意薏[9]飫{飽～～：吃東西吃撐了}
#u	
p	[1]伏[2]浮-匏[5]佈怖[6]部步=婦
pʰ	[1]鋪敷-[2]蒲葡浮-[3]譜圃普浦溥莆捕哺甫脯
m	[2]模[3]武鵡舞=母=拇=侮姆[5]暮慕募霧[6]務戊[9]模=摹巫誣
t	[1]都豬箸[2]廚櫥[3]堵賭睹[6]妒度渡=鍍=
tʰ	[2]徒屠途塗圖[3]土=[5]杜
n	[2]奴=努[9]怒
l	[2]盧蘆瀘顱轤廬驢閭兒=[3]魯=櫓虜擄鹵汝爾-而[5]蛀-[6]露=
ts	[1]書誅蛛株朱硃珠侏[2]薯蜍茨[3]煮主拄[5]駐注註蛀=炷鑄
tsʰ	[1]蛆趨疽芻雛[2]徐除滁[3]鼠杵[5]厝{房屋}
ɬ	[1]蘇酥輸斯-資姿咨師-司-絲-之芝[2]瓷糍茲滋慈磁辭詞祠飼[3]數此子史始[5]素訴嗉恕賜次茨示視[6]自士=仕恃伺寺-嗣事=侍
k	[1]姑=菇=孤沽辜車龜舊[2]牛[3]古=股鼓=蠱久[5]故固顧鋸句灸-[6]舅[9]蛄-菰
kʰ	[1]枯估丘-[3]苦=[5]去[6]臼
ŋ	[2]吾梧[3]忤[6]誤悟晤寤互[9]趶{蹲}
h	[1]呼=乎墟夫膚敷=俘孵麩灰{火～：草木灰}[2]胡湖狐壺葫鬍蝴瑚糊=弧魚漁符=扶芙[3]滸府腑俯釜[5]賦富副咐駙[6]扈滬護父腐輔付傅赴訃附婦=負
∅	[1]烏=汙=嗚趺{骹～頭：膝蓋}[5]塢惡[6]有
#a	
p	[1]巴芭疤笆苞-{～蘿：菠蘿蜜}[2]無貓蝥[3]把=靶飽[5]霸壩豹[6]罷[9]疤爸叭扒趴
pʰ	[1]葩拋[2]爬琶杷[5]怕[6]脬[9]拍-
m	[1]馬{～虎}[2]麻=[3]嬤{祖母}[5]嬤{外祖母}[9]媽
w	[1]外-[3]我[6]偌{～久：多久}
t	[1]奈擔-[3]膽[5]擔[6]大=踏[9]答搭褡瘩
tʰ	[1]他她它[5]抄{翻找}[6]疊-[9]塔
n	[2]拿籃-林-{～投：露兜樹的一種變種}[3]哪那欖-[9]捺-
l	[2]膫{油脂}垃[5]軂{～kʰia44： 身體過高}[6]鬧-臘蠟[9]拉啦喇
ts	[1]楂渣抓昨[3]早[5]詐=榨=炸乍罩[6]閘鍘[9]抸{搬動}
tsʰ	[1]差[2]查柴[3]炒吵[9]插衩
ɬ	[1]三衫[3]灑耍[6]煠{用清水煮}
ȵ	[3]惹[6]絮叫
j	[1]也[5]呀
k	[1]膠鉸鮫茭甘-[3]絞-攪-搞敢-[5]教校-[6]咬[9]甲胛鉀蓋
kʰ	[1]骹[5]敲[9]籗{魚～：魚簍}卡
ŋ	[2]衙=雅[3]雅瓦=[6]訝[9]丫
h	[5]孝-[6]縖{束緊}[9]哈許{遠指指示詞，那}
∅	[1]阿鴉椏亞[3]拗[5]詏{強辯}[9]鴨押-
#ia	
p	[1]兵[3]丙餅[9]壁
pʰ	[2]坪-[9]𩩍{掩～骨：肋骨}僻-
m	[1]命-[2]名
t	[1]爹{～孃}定-[2]程-[3]鼎-[5]碇[9]爹{伯伯}
tʰ	[1]聽廳[5]痛[9]拆
n	[3]領-嶺
l	[6]糴搦{捕捉}掠{俗}[9]㔏{削}
ts	[1]遮謝-{姓}正[2]情-成-[3]姐=整-飷{味道淡}[5]蔗正-[6]食-[9]脊-隻
tsʰ	[1]車[2]邪斜[3]請[9]赤刺{織}
ɬ	[1]畲奢賒聲-[2]佘城[3]寫捨[5]瀉卸赦舍聖-[6]社謝=榭射麝[9]錫-
k	[1]驚猄[2]行檠[3]囝[5]寄鏡[6]崎屐[9]揭-
kʰ	[1]徛-{把物體豎立或斜立}[2]騎[6]徛={站立}[9]隙
h	[1]艾-兄[2]霞瑕遐暇[5]嚇[6]下=夏廈夏瓦-蟻額-[9]歇-
∅	[1]贏營-[3]野-魘[6]野-易-
#ua	
p	[2]磨-盤-[3]粄[5]簸半[6]跋-{摔倒}[9]缽
pʰ	[1]潘-番-[5]破[6]伴拌[9]撥潑-
m	[1]披[2]麻-瞞[3]滿-[9]抹-
t	[1]大-單-[2]彈-壇-[5]帶-
tʰ	[1]拖攤-[3]鏟-[5]炭碳[9]獺
