#符号说明：-白=文/书*俗?待考	
#调值	[1]²²⁴ [2]⁴⁴⁵ [3]⁵⁵ [6]⁵³⁵ [7]⁵ [8]¹³ [0]⁰
#ɿ	
ts	[1]脂2齿{牙~}[3]子2
s	[1]絮1鹚蛳使史驶□{翼~：翅膀}[2]糍[0]齿{~苋}□{刀~：刀鞘}

#i	
p	[1]蓖闭秘泌庇痹[3]毙陛譬鄙比
pʰ	[1]批披屁[2]皮疲脾琵肥{~皂}[3]被{名词}被{介词}[6]蔽敝弊币鐾避备鼻{~涕}
m	[2]迷谜弥眉楣媚鸣[3]米糜靡尾[6]未
f	[1]废肺非绯飞妃匪痱费翡[2]肥{~料}[3]吠榧
v	[2]维惟唯微[6]味
t	[1]帝嘀{里~：这里}[3]抵
tʰ	[1]替[2]堤题提蹄啼[3]体隶[6]递地
l	[1]裹{~~：这里}[2]驴{~狗子：驴}犁黎离篱璃梨厘[3]缕屡礼丽狸李里{—~路}裹{哪~}理鲤泪[6]滤2厉励荔利痢莉吏
tɕ	[1]祭际济鸡稽计继繫寄笄飢肌几{茶~}基箕纪记幾{~乎}机讥饑既季[3]挤己忌2幾{~个}[0]穄{芦~：高粱}
tɕʰ	[1]妻栖溪契2奚器弃欺气汽[2]奇骑岐祁鳍其棋期旗[3]启企技妓起忌1祈岂
ɕ	[1]西犀细{粗~}婿兮系{~统}係{联~}牺戏嬉熙希稀袭[2]介脐荠携[3]洗玺徙喜
Ø	[1]易{容~}肄医意异衣依揖忆亿易{贸~}[2]倪宜谊移尼伊姨疑饴尹凝[3]椅拟矣已以[6]艺仪蚁2义议

#u	
p	[1]波玻布{公~}怖2把{个~}
pʰ	[1]颇坡[2]婆匏{丝瓜~：油条}[3]脯浦阜
m	[2]魔磨{动词}摩馍模{~子}模{~范}摹谋[3]某牡母{~亲}拇1[6]磨{名词}暮慕墓募茂贸幕牧
f	[1]肤俘妇负[3]贺{姓}[0]荷{薄~}河{护城~}夥
v	[1]俄阿{~胶}卧倭浣{屎}娱[2]蛾鹅和{~尚}湖{千岛~}壶2[3]我获[6]饿婺话戊[0]悟{觉~}务{家~}
t	[1]多剁都{首~；~是}[3]朵躲
tʰ	[1]拖[2]驼驮{抱}途2涂2[3]妥椭惰[6]大{~细:大小}
l	[1]啰[2]罗锣箩萝{包~：玉米}骡螺脶[3]撸{捋}[6]努
ts	[1]做[3]左佐
tsʰ	[1]搓锉错
s	[1]唆鬚[3]坐锁琐唢[6]座诉
k	[1]歌哥锅戈过菇故2[3]果裹馃粿
kʰ	[1]科窠棵颗课
x	[1]货呼乎[2]河{黄~}何荷{~花}和{~气}禾狐{~臭}[3]火伙{~食}祸[6]贺{~城}

#y	
l	[3]铝
tɕ	[3]嘴
tɕʰ	[0]坠{耳~}
Ø	[1]絮2须{必~}需[3]序叙绪许2水2

#ɿa	
ts	[1]制{~度}製知蜘智支枝肢栀资姿咨致脂1至滋置之芝志痣醉[3]紫姊纸衹旨指子1籽梓止趾址
tsʰ	[1]蛆雌疵刺次雉痴嗤试[2]池驰瓷迟稚兹慈辞词持[3]此撕1是耻齿[6]嗣治[0]翅{鱼~}
s	[1]斯厮撕2赐筛{筛子}施私四肆师狮尸示视嗜司丝思伺寺饲焦柿诗市尿{名词}[2]匙祠时鲥恃□{~杷：枇杷}[3]氏死似祀巳始[6]自字事侍

#a	
m	[3]妈{大姨~}亩母{雌性}[6]忘
v	[1]互乌污恶{可~}赴莴□{煮}[2]吴蜈梧胡{姓}湖{一个~}狐{~狸}壶1葫蝴糊无诬[3]伍{队~}户沪坞抚武舞侮鹉[6]误护务{~农}雾
t	[0]嗒{语气词}
l	[0]啦
ŋ	[3]五午
Ø	[0]啊
ɭ	[2]儿[3]耳1{~朵}[6]二{~哥}

#ua	
p	[1]菠布{~鞋}怖2[3]补谱1
pʰ	[1]铺{动词}铺{名词}[2]蒲菩[3]谱2普簿甫脯{果~}[6]薄{~荷}部步捕埠辅伏{孵}
f	[1]戽夫敷麸父付赋富副{量词}[2]符扶芙浮[3]虎浒府腑俯斧釜[6]傅腐附副{正~}[0]孚{美~灯} 
t	[3]堵赌肚{猪~}妒
tʰ	[1]唾吐{呕~}兔[2]徒屠途1涂1图[3]舵土吐{~痰}杜肚{腹~}[6]度渡镀
l	[2]奴卢炉芦鸬庐[3]鲁橹虏卤[6]糯怒路赂露鹭思滤2
ts	[1]租[3]祖组阻
tsʰ	[1]粗醋措初[3]楚[6]助
s	[1]蓑梭苏酥素塑疏蔬数{名词}
k	[1]姑孤枯雇顾[3]古估牯股鼓故1固
kʰ	[1]箍库裤[3]苦
ɭ	[3]耳2{~朵}

#ya	
tɕ	[1]猪著诸居车{~马炮}巨拒距据诛蛛株2驻注住朱殊珠殊蛀铸拘驹俱瞿句具惧[3]煮举拄主矩
tɕʰ	[1]趣枢区驱吹炊[2]除储渠{~道}厨槌锤[3]苎处{相~}处{~所}鼠取娶柱[6]柜{粮柜}[0]住{补语}
ɕ	[1]梳书舒庶墟虚嘘输戍帅[47]徐锄[3]褚暑恕署许1聚竖水1[6]树
Ø	[1]语淤儒乳愚虞吁迁羽愈喻[2]如鱼渔余{姓}馀于盂榆逾愉围{~裙}[3]女{男~}吕旅汝预雨宇禹履[6]御誉豫遇寓芋裕

#ɑ	
p	[1]簸{动词}把{介词}爸拜罢[3]摆[0]吧
pʰ	[1]破派[2]排牌簰[6]败
m	[2]埋[3]妈{大~}[6]买卖迈
t	[1]戴{动词}带□{拿}□{~~：爸爸}
tʰ	[1]他太泰[6]大{~夫,~学}□{什么}
l	[1]哪{~个}奶拉{动词}拉{人称代词复数词尾}[2]哪{~里}[6]拿{给}乃赖懒[0]呐{唢~}
ts	[1]斋债寨
tsʰ	[1]差{~事}[6]射{解大小便}
s	[1]筛1{斟}[2]豺柴[3]筛2{斟}洒
k	[1]个{一~}阶介界芥尬疥届戒械佳街解{~送}[3]解{~开}哽{喧}[0]个{的}
kʰ	[1]揩□{~kʰeʔ7:蛤蜊}[2]□{他们。“渠拉”的合音}[3]楷
x	[2]鞋[3]蟹
Ø	[2]还{~有}[3]也矮蚁1

#iɑ	
t	[1]低[3]爹底
tʰ	[1]涕剃屉[3]弟[6]第
l	[1]□{咬}
tɕ	[1]借[3]贾
tɕʰ	[1]笡{斜}[3]且
ɕ	[1]细{小}[2]霞邪斜[3]写[6]泻谢
Ø	[1]吆{咬}[2]耶爷泥[3]雅亚野[6]夜

#uɑ	
s	[3]傻耍
k	[1]乖怪[3]拐
kʰ	[1]快筷[3]垮[6]□{提梁}
x	[2]划{~水：鱼胸腹部的鳍}
Ø	[1]歪□{~拉：我们}[2]怀槐淮[6]外坏

#o	
p	[1]巴芭疤霸把{柄}壩□{~~：伯母}[3]把{一~}
pʰ	[1]琶杷怕[2]爬耙{铁~}[6]耙{碎土农具}稗
m	[2]麻[3]马码蚂[6]骂
t	[3]□{~柱：帮助挑担用的棍子}
l	[3]女{~婿}
ts	[1]楂渣诈榨炸{~弹}蔗抓{~牌：摸牌}煠{用油炸}
tsʰ	[1]叉权差{~不多,出~}岔车{汽~}钗□{掐}[2]茶搽查
s	[1]沙纱痧晒[2]蛇[3]社所
k	[1]家加痂茄嘉傢架驾嫁稼价瓜挂卦褂[3]假{真~}假{放~}寡
kʰ	[1]揢{捉}跨[3]可
x	[1]讹{读“化”字音}虾花化华{~山；姓}[2]华{中~}桦[3]下{底~}夏{姓}厦{~门}下{~来}[6]下{~饭}夏{春~}
Ø	[1]丫桠挖[2]牙芽衙华{金~：地名}划{~船}[3]哑瓦[6]画

#ui	
k	[3]诡癸鬼
kʰ	[3]跪轨

#e	
p	[1]贝杯辈背{背部}碑卑悲
pʰ	[1]胚坯配[2]培陪赔裴[3]倍[6]沛佩背{~书}焙丕
m	[1]□{~觉:睡觉}[2]梅霉枚媒煤[3]每美[6]妹昧 
f	[1]灰2[3]辉2
t	[1]戴{姓}堆对碓队
tʰ	[1]胎台{~州：地名}态梯推退[2]臺苔抬[3]待怠殆腿[6]贷代袋玳屉{抽~}兑
l	[2]来雷[3]累{~积}累{连~}□{tʰɑ6~：什么}[6]耐奈内累{劳~}类[0]儡{傀~}嘞{语气词} 
ts	[1]遮灾载再在[3]宰
tsʰ	[1]猜菜蔡催崔[2]栽才{奴~}材{~料}财{~产}[3]彩采睬[0]□{阿~：喷嚏}
s	[1]赊鳃赛世势岁[2]材{棺~}财{发~}裁纔{~得：刚,才}随1[3]捨舍{宿~}罪碎粹[6]射{~箭}麝赦誓逝遂隧
k	[1]该概溉盖丐[3]改
kʰ	[1]开慨[3]凯徛{站立}[0]及{来得~}
x	[2]孩[3]海亥[6]害
Ø	[1]哀埃爱蔼[2]呆[6]碍艾[0]诶{语气词}

#ue	
ts	[1]株1{茬儿}最追
tsʰ	[1]脆翠[2]随2髓垂[6]术{白~}
s	[1]靴税虽绥衰摔谁[3]□{~家：搬家}[6]瑞
k	[1]圭闺桂规龟归贵鳜
kʰ	[1]盔魁傀块刽桧溃亏愧[2]奎逵葵[6]会2{~计}绘2柜{~台}
x	[1]恢灰1悔晦麾徽[3]贿毁挥辉1讳
Ø	[1]桅煨萎威{~武}[2]回茴危伪为{作~}违围{~巾}伟苇韦[3]委威{~坪：地名}[6]会1{~计}匯会{开~}会{~不~}绘1惠慧卫为{介词}位魏畏纬胃谓猬彙

#ə	
p	[1]褒报包胞豹[3]保堡宝饱
pʰ	[1]泡{名词；名词}抛炮[2]袍跑[3]抱鲍[6]暴爆刨{木工用具}瀑
m	[1]猫1[2]毛茅矛[3]锚卯[6]冒帽貌
f	[3]否
t	[1]刀到倒{~立}[3]祷岛倒{打~}倒{~水}
tʰ	[1]滔掏套[2]桃逃淘陶萄涛[3]讨道稻盗导
l	[1]挠□{掏}[2]萝{~菔:萝卜}劳捞牢唠涝[3]脑恼老嘞{语气词,表感叹}[6]闹
ts	[1]遭1糟灶罩笊朝{今~}昭招沼照诏[3]早枣蚤澡抓{搔}爪找
tsʰ	[1]操造躁糙抄耖超[2]遭2{被}曹槽朝{~代}潮[3]草钞炒吵赵兆召
s	[1]骚臊扫{~地}扫{~帚}燥烧绍少{~年}[2]韶[3]皂嫂少{多~}[6]邵
k	[1]高膏篙羔糕告交{~费}茭佼教{~书}校{~准}窖觉{困~：睡觉}[3]稿绞搞
kʰ	[1]去1{了}靠{依~}敲[3]去2{了}考烤犒[6]靠{~岸}
x	[1]浩耗酵孝哮[2]豪壕毫号{~啕大哭}[3]好{形容词；动词}酷[6]号{~码}
Ø	[1]奥懊澳坳讴{叫}袄{~坑:地名}[2]熬[3]袄拗{拧}[6]傲

#iə	
p	[1]膘标鳔彪[3]表{~格}婊
pʰ	[1]票[2]瓢嫖[3]飘漂{~流}漂{~白}漂{~亮}
m	[2]苗描猫2[3]藐渺秒妙杪{梢}[6]庙谬
t	[1]刁貂雕钓吊[3]屌{~□（pɔʔ7）：阴茎}
tʰ	[1]挑{用肩挑}粜[2]条调{~解}跳笤[6]挑{挑选}掉调{声}调{~动}
l	[2]燎疗聊辽撩寥髎{~子：阴茎}[3]了嘹[6]料廖
tɕ	[1]交{~关：非常}郊胶蛟教{~育}焦蕉椒醮骄娇浇叫[3]狡铰搅县较校{学~}校{上~}矫缴侥饺
tɕʰ	[1]跷锹缲[2]巢樵剿乔侨桥荞[3]巧悄窍[6]轿
ɕ	[1]梢捎稍效消宵霄硝销俏笑鞘嚣萧箫□{楔,揳}[3]小晓
Ø	[1]妖邀腰要{~求}要{重~}幺[2]饶摇谣窑姚尧[3]扰舀鸟{动物名}跃[6]绕耀鹞尿{~素}

#ɯ	
t	[1]兜篼鬥丢[3]斗{一~}抖陡
tʰ	[1]偷透[2]头投[3]㪗{展开}[6]豆逗痘
l	[1]溜馏[2]流刘留榴瘤硫琉[3]了{知~}篓搂柳[6]漏陋
ts	[1]奏昼宙邹皱绉周舟州洲咒[3]走帚
tsʰ	[1]凑抽臭[2]绸稠筹愁仇{报~}酬[3]丑{子~寅卯}醜纣[6]售
s	[1]嗽搜飕馊瘦收受[3]叟手首守[6]兽寿授
k	[1]锯勾钩沟够构购阉[3]狗苟耇
kʰ	[1]去{来~}抠叩扣寇[2]渠{他}[3]口厚1
x	[1]鲎{虹}[2]侯喉猴瘊[3]吼後{前~}厚2[6]後{午~}候
Ø	[1]欧呕殴[3]藕偶

#iɯ	
tɕ	[1]鬏鸠纠救[3]酒九久韭灸咎究
tɕʰ	[1]揪秋鳅丘[2]囚求球[3]臼舅[6]旧柩
ɕ	[1]修羞秀绣锈袖休嗅[6]就
Ø	[1]忧优幽幼[2]柔揉牛尤邮由油游犹悠[3]纽扭有友酉荛远[6]又右佑柚釉

#a᷉	
p	[1]□{撮}
pʰ	[1]潘判[2]般搬盘盆蟠[3]伴拌绊叛
m	[1]□{蒙,遮盖}[2]瞒馒鳗[3]满
v	[1]冤怨[2]圆员缘元原源袁辕园援[3]软阮宛远[6]院愿县
t	[1]端□{峰~：牛脖子上突起的肌肉}[3]短
tʰ	[1]贪吞[2]潭谭罈{酒~}团{~长}[6]断{判~}断{~气}锻段缎椴
l	[1]漤□{你的；~拉：你们}[2]南男鸾[3]卵[6]乱嫩[0]呢1
ts	[1]簪站{车~}沾粘瞻占{~卜}估赞灒毡战颤钻{动词；名词}[3]展
tsʰ	[1]窜村寸[2]谗馋[3]忖
s	[1]膻扇{动词}扇{名词}酸算蒜孙狲[2]蚕蟾蝉禅{~宗}廛{~基：浮厝的建筑物}[3]錾陕闪善膳[6]单{姓}[0]鳝{黄~}
k	[1]甘柑泔干{天~}肝乾{~燥}竿羹2{瓢~}[3]感敢橄杆杆擀赶幹
kʰ	[1]堪龛勘墈{~上：地名}磡看{~守；~见}刊[3]坎砍□{砸,敞打}
x	[1]蚶汉[2]含函寒韩[3]憾罕旱[6]喊汗焊翰
Ø	[1]庵暗安鞍按案□{~拉：你们}[6]岸

#ia᷉	
p	[1]鞭编变边遍[3]汴蝙扁匾
pʰ	[1]篇偏骗片[2]便{~宜}[3]辨辩辫[6]便{方~}缏
m	[2]绵棉眠[3]免勉娩缅□{捻}[6]面{脸}麺
t	[1]掂店颠癫[3]点典
tʰ	[1]添掭天[2]甜田填[3]舔簟[6]电殿奠佃垫[0]□{ɕia᷉~：蜥蜴}
l	[2]廉镰帘连联怜莲鲢恋[3]脸[6]殓练炼楝[0]裢{褡~}
tɕ	[1]尖剑兼艰煎箭犍键建健腱毽荐肩坚见[3]检捡剪茧笕
tɕʰ	[1]歼签欠谦迁千牵纤□{拴,系}[2]钳乾虔掮[3]潜捷俭锨歉浅践件旋{~转}
ɕ	[1]仙鲜{新~}线掀先宣喧[2]钱前贤弦全泉[3]渐险鲜{朝~}实党癣羡轩宪献显选旋{头上的}筅鏾{~鸡：阉鸡}□{~tʰia᷉⁰：蜥蜴}[6]贱饯
Ø	[1]黏厌焰烟燕{鸟名；姓}咽□{香~：较小的柚子}[2]炎盐{食~}阎檐严嫌涎然燃焉延筵言年研沿铅[3]染冉淹掩艳晏碾演堰宴厣{鳞}□{嫩满~：小孩儿}[6]验盐{腌}念廿砚现

#ua᷉	
ts	[1]专砖眷卷{名词}绢捐鹃[3]转{~移}转{~动}掩
tsʰ	[1]川穿圈{圆~}劝[2]缠传{~达}椽拳权颧[3]篆喘犬[6]传{~记}串券
s	[1]闩拴楦[2]船玄悬
Ø	[0]哇{疑问语气词}

#ɑ᷉	
p	[1]扮班斑颁扳帮谤邦摒{拔}[3]板版榜浜
pʰ	[2]爿滂旁螃膀[3]攀[6]瓣办
m	[2]蛮忙芒{~种}茫芒{麦~}盲虻[6]慢漫幔
f	[1]欢2藩翻番幡荒2慌2方肪芳放3[2]凡帆烦矾繁房防[3]范{姓}犯患2宦2反贩畈1妨仿{~造}纺彷访[6]泛饭畈2
t	[1]耽担{动词}担{名词}丹单{简~}诞旦当{~时}挡当{上~}裆[3]胆掸蛋党打
tʰ	[1]探坍滩摊炭叹汤烫[2]谈痰檀壤{天~}弹{~琴}堂棠螳唐糖墉[3]毯淡坦但倘躺荡{~秋千,~街,涮洗}趟{去一~}[6]炭{白~}弹{子~}趟{一~字}□{平坦的场地}[0]膛{灶~}
l	[1]囡{~人：女儿}□{皮肤上起的疙瘩}[2]蓝篮难{困~}兰拦栏郎廊狼螂榔[3]懒冷[6]览揽榄滥缆难{大~}烂囊朗浪啷{语气词}
ts	[1]蘸赃麟葬张帐账胀庄装妆壮章樟蟑障瘴争睁[3]斩盏长{生~}涨掌
tsʰ	[1]参{~加}惨搀餐仓苍畅创昌菖唱倡撑[2]惭残藏{隐~；西~}臟长{~短}肠场常偿□{春：~米}[3]赚灿铲产{生~}栈丈仗杖闯厂窗[6]状□{春,捶打}□{扔}
s	[1]参{人~}三杉衫珊山删疝桑丧{婚~；~失}霜孀商伤生牲笙甥[2]床{竹~}尝[3]暂散{鞋带~}伞散{~会}产{~mɔm⁰：产妇}磉嗓爽赏省{~长；节~；反~}[6]上{~山}尚上{~面}[0]裳2{衣~}
k	[1]尴监鉴舰间奸冈岗刚纲钢缸{沉~桶：一种木桶}江降{~童：跳神}更{五~}粳庚羹耕[3]减碱简柬拣谏趼港
kʰ	[1]嵌康糠抗炕坑[2]蛤{~蟆}[3]㦿{窗户}慷
x	[1]苋[2]鹹衔闲行{银~}航杭降{投~}行{~路,为}行{品~}桁[3]陷馅限夯项杏[6]巷
Ø	[1]眼{~睛}肮□{~tɕʰia᷉3：恰恰}[2]岩颜昂[3]眼{~面前：眼前}[6]雁硬

#iɑ᷉	
l	[2]良凉量{~长短}粮梁粱[3]两{~个；几~}辆[6]亮谅量{数~}
tɕ	[1]将{~来}浆酱将{大~}疆僵薑缰降{下~}[3]蒋奖桨姜{姓}
tɕʰ	[1]枪呛腔[47]详祥强[3]抢戗□{ɑ᷉1~：恰恰}
ɕ	[1]相{互~}箱厢湘襄镶相{~貌}香乡向[2]墙[3]想鲞象像橡饷享响[6]匠
Ø	[1]央秧殃[2]娘羊洋烊杨阳扬疡[3]壤攘嚷仰养痒映[6]酿让样[0]颺{纸~：风筝}

#uɑ᷉	
k	[1]官棺观{参~}冠{衣~}贯灌{~脓：化脓}罐观{寺~}冠{~军}鳏关惯光□{~艾：艾}[3]管馆广梗
kʰ	[1]宽匡筐眶[2]狂[3]款旷矿[6]掼{扔,投掷}□{纽~：纽襻}
x	[1]欢1荒1慌1[3]缓患1宦1谎晃况
Ø	[1]豌腕弯湾汪[2]完丸顽还{~原}环黄1簧皇蝗隍亡王横{~直}横{蛮~无理}[3]玩皖碗幻晚挽妄望枉往旺[6]换万

#en	
p	[1]奔锛[3]本
pʰ	[1]喷{~水；~香}[2]朋烹彭膨[3]笨
m	[2]门蚊明{~年}[6]闷孟
f	[1]昏婚分芬纷粪拚{~箕：簸箕}份荤[2]焚坟文纹闻[3]混2粉愤忿奋
v	[1]温瘟□{~楤：尖头扁担}[2]魂馄浑匀雲[7s]稳永泳咏[6]润闰问韵运晕
t	[1]敦墩登灯凳镫邓澄[3]顿等
tʰ	[2]屯豚饨臀囤沌腾誊藤[3]盾[6]断{断绝}钝遁[0]□{户~：门槛}
l	[1]拎□{那}[2]论{~语}仑伦沦轮能[3]暖[6]论{议~}
ts	[1]针斟珍镇真诊疹尊遵曾{姓}增僧僧甑赠征惩蒸证症贞侦正{~月；~反}政砧[3]枕{名词；动词}振震整
tsʰ	[1]称{~呼}称{相~}秤[2]沉陈尘臣存旬呈程成城{淳~}诚[3]逞□{~子：乌柏}[6]趁阵衬郑
s	[1]森渗深身申伸娠逊升声圣[2]神辰展层乘绳塍承丞蝇城{~里}[3]葚沈审婶甚肾慎损荀笋榫蛏蕈[6]剩胜盛{兴~}
k	[1]今{~阴：今天}跟根更{~加}粳[3]耿
kʰ	[1]揿{用力按}[3]恳垦啃肯
x	[2]痕恒衡[3]很狠亨[6]恨
Ø	[1]恩

#in	
p	[1]彬宾槟殡鬓冰兵柄[3]禀丙秉饼乒
