#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平33 2阳平32 3阴上11ʔ 5阴去12 6阳去阴入35 8阳入43ʔ
飞	pəi1	
陪	pəi2	
掸	pəiʔ3	训，掸掉蚊子
背	pəiʔ8	背在背上或肩上
背	pəi5	
焙	pəi6	
背	pəi6	背诵
倍	pəiʔ8	
发	pəi6	
被	pʰəiʔ3	
杮	pʰəi5	木片
配	pʰəi5	配饭
梅	məi2	
糜	məi2	
煤	məi2	
媒	məi2	
尾	məiʔ3	
每	məiʔ3	
妹	məi5	
未	məi6	
袜	məiʔ8	
堆	təi1	
搥	təi2	
锤	təi2	砝码
短	təiʔ3	
对	təi5	
碓	təi5	
缀	təi5	跟随
袋	təi6	
代	təi6	
梯	tʰəi1	
胎	tʰəi1	
腿	tʰəi3	
退	tʰəi5	
雷	ləi2	
擂	ləi2	
螺	ləi2	田螺；膝头螺
骡	ləiʔ3	
猡	ləiʔ3	训，一种小猴子
篓	ləiʔ3	训，鱼篓
儡	ləiʔ3	傀儡
蕾	ləiʔ3	
朘	tsəi1	阴茎
坐	tsʰəi1	
罪	tsəi6	
切	tsʰəi6	
衰	səi1	倒霉；瘦
锅	vəi1	训
围	vəi1	~身：身体
禾	vəi2	
和	vəi2	~尚
弃	væʔ8	训，丢弃
该	kəi1	
改	kæʔ3	
怀	kuəi2	麦子孕穗
胲	kuəi1	喉结
傀	kuəiʔ3	
髻	kuəi5	
怪	kuəi5	
盖	kuəi5	
开	kʰuəi1	
快	kʰuəi5	
外	ŋuəi6	
海	həiʔ3	
亥	həi6	
灰	fəi1	
䀁	fəi2	瓷器
火	fəiʔ3	
失	sie6	
纸	tsieʔ3	
蜇	tsie6	
汁	tsie6	
织	tsie6	
舌	tsɨʔ8	
泄	tsʰie6	训，漏尿
识	sie6	
十	sieʔ8	
蚀	sɨʔ8	蚀本
急	kie6	
结	kie6	打结
橘	kie6	
柿	kʰieʔ8	
级	kʰie6	台阶
出	kʰie6	一~戏
出	kʰye6	
乞	kʰye6	
月	ŋuiʔ8	
平	peŋ2	
坪	peŋ2	
丙	peg3	
饼	peg3	
柄	peŋ5	
摒	peŋ5	藏
病	peŋ6	
名	meŋ2	
命	meŋ6	
晾	leŋ2	
岭	leg3	
领	leg3	
另	leŋ6	
精	tseŋ1	漂亮
晴	tseŋ2	
𫗚	tseg3	味淡
井	tseg3	
青	tsʰeŋ1	
请	tsʰeg3	
醒	tsʰeg3	
生	tsʰeŋ1	训，本字为青
姓	seŋ5	
猄	keŋ1	
颈	keg3	
镜	keŋ5	
跨	keŋ6	训
轻	kʰeŋ1	
浸	tsiaŋ5	
真	tsie1	太；非常
针	tsie1	
真	tsie1	
珍	tsie1	~珠
沉	tsie2	
尘	tsie2	
枕	tsieʔ3	
震	tsieʔ3	
针	tsie5	叮
深	tsʰie1	
寻	tsʰæ2	一~
塍	tsʰie2	
程	tsʰie2	
称	tsʰie5	
沉	tsʰie6	训，鱼咬钩时提起鱼竿
升	sie1	量词
申	sie1	地支
身	sie1	
神	sie2	
辰	sie2	地支
婶	sie5	
圣	sie5	~筊
籯	ie2	一种小畚箕
壬	ie2	天干
龈	fie2	训，牙龈
永	ieʔ3	
薳	vieʔ3	树芽
闰	vie6	
今	kie1	
金	kie1	
跟	kie1	
紧	kieʔ3	紧；越来越
妗	kieʔ8	
肾	kieʔ8	鸡胗
凝	kie6	训
淬	kie5	训，淬火
根	kye1	
斤	kye1	
筋	kye1	
振	kye1	发抖
巾	kye1	
准	kyeʔ3	
近	kʰye1	
圳	kye5	
牵	kʰie1	
琴	kʰie2	
芹	kʰie2	
桕	kʰie2	训，乌桕树
肯	kʰieʔ3	
春	kʰye1	
椿	kʰye1	
伸	kʰye1	
人	ŋie2	
银	ŋye2	
忍	ŋieʔ3	
韧	ŋye6	
斑	peŋ1	
边	peŋ1	多
反	peg3	
扁	peg3	
□	peŋ5	用于捣蛋
篇	pʰeŋ1	
䘆	pʰeg3	
办	pʰeŋ6	烹饪
盲	meŋ2	青~：瞎
慢	meŋ6	
甜	teŋ2	
填	teŋ2	
田	teŋ2	
点	teg3	
店	teŋ5	
殿	teŋ6	
靛	teŋ6	
□	teŋʔ8	不甘愿地给
年	neŋ2	
踮	neŋ5	训
连	leŋ2	
莲	leŋ2	
鲢	la2	~鲤：穿山甲
瓣	leŋ5	训
前	tseŋ2	
剪	tseg3	买草药
秈	tsʰeŋ1	
青	tsʰeŋ1	~盲：瞎
签	tsʰeŋ1	
藓	tsʰeg3	
先	seŋ1	
引	seŋ2	训，呼叫动物
毡	tseŋ1	
□	tsʰieʔ3	高粱
闪	seg3	
鳝	sie1	
扇	seŋ5	
俺	eŋ1	训，咱们
烟	eŋ1	
萤	eŋ1	训，萤火~：萤火虫
盐	eŋ2	
檐	eŋ2	
援	eg3	训，翻被子，翻页
踩	eŋ5	训，脚踩到东西痛
艾	eŋ5	
燕	eŋ5	
园	veŋ2	
圆	veŋ2	
铅	veŋ2	
䘼	veg3	袖子
远	veg3	
县	vəŋ6	
肩	keŋ1	
间	keŋ1	
舷	keŋ2	边缘
笕	keg3	
砖	kyeŋ1	
转	kyeg3	
牶	kyeŋ5	牛鼻木
建	kyeŋ5	
磕	kʰeg3	训，用石头敲开
盖	kʰeŋ5	训，盖住食物
缝	kʰeŋ6	训，裂缝
穿	kʰyeŋ1	
传	kʰyeŋ2	
串	kʰyeŋ5	
劝	kʰyeŋ5	
眼	ŋiʔ3	龙~
源	nyeŋ2	赖~：地名
软	ŋyeg3	
闲	heŋ2	
苋	heŋ6	
船	feŋ2	
献	feŋ5	训，摆动
编	pʰeŋ1	名词
编	pʰeŋ1	动词
变	peŋ5	
骗	pʰeŋ5	
棉	meŋ2	
面	meŋ6	麪
癫	teŋ1	
颠	teŋ1	
缠	tseŋ2	
满	tʰeŋ1	训，太满了
掂	teŋ5	
电	teŋ6	
天	tʰeŋ1	
添	tʰeŋ1	
□	tsʰeŋ5	谷子的单位
拦	leŋ2	训，一种网
镰	leŋ2	~铁：肝
链	leŋ6	
煎	tseŋ1	
□	tseŋ1	行贿；塞住瓶子
尖	tseŋ1	
钱	tseŋ2	
吮	tsʰeŋ1	
箭	tseŋ5	
旋	tseŋ6	
贱	tseŋ6	
千	tsʰəŋ1	
浅	tsʰeg3	
蹭	tsʰeŋ5	训，刮下
鲜	seŋ1	
先	seŋ1	~生
线	seŋ5	
碱	keŋ1	草木灰
囝	keg3	
件	keŋ6	
□	pa1	用于忘记
饱	paʔ3	
豹	pa5	
泡	pʰa1	训，一~灯；一~花
刨	pʰa2	
泡	pʰa5	
鳔	pʰa5	
茅	ma2	
猫	ma5	
多	ta1	人称复数标记；几~：多少
打	taʔ3	普化说法中用
大	ta6	
拖	tʰa1	~鞋
脱	tʰa6	
凹	na5	训，凹陷
□	la2	用于蜘蛛
癞	la6	
焦	tsa1	训，干燥
爪	tsaʔ3	
笊	tsa5	
漈	tsa5	瀑布
寨	tsa6	
扎	tsa6	把长细的东西绑起来
裁	tsʰa2	
炒	tsʰaʔ3	
𢲵	tsʰa5	搅拌
蔡	tsʰa5	姓，本地没有
铝	sa1	用于铝的传统名称
沙	sa1	
酾	sa1	倒酒
畲	sa2	人
阿	a1	亲属的前缀
拗	aʔ3	
铰	ka1	用剪刀剪；买布料
胶	ka1	
解	kæʔ3	解毒
搅	kaʔ3	手臂的圆周运动
蚧	ka5	
筊	ka5	
个	ko6	
个	ka6	
教	ka5	
较	ka5	
跤	kʰa1	脚
敲	kʰa5	
概	kʰæ5	
我	ŋa1	
哈	ha2	吹热气
包	pa1	
簸	pa5	
钵	pa6	大陶碗；花盆
博	paʔ8	训，打赌
柚	pʰa1	训
破	pʰa5	
泡	pʰa5	动词
炮	pʰa5	
泼	pʰa6	
挂	pʰaʔ8	训，挂在手臂上
磨	ma2	
卯	maʔ3	地支
抹	ma6	
带	ta5	
戴	ta5	~耳环，项链
太	tʰa5	曾祖父
断	tʰaʔ8	断掉；输
焫	na6	烫
箩	la2	
拉	la2	训，伸舌头；垂下
萝	la2	萝卜
濑	la5	河滩
嬲	la6	玩
赖	la6	赖源
辣	laʔ8	
邋	laʔ8	用于脏
灾	tsa1	
斋	tsa1	
才	tsa2	奴~
在	tsaʔ8	所~
再	tsa5	
吸	tsa6	训，吸出
蚻	tsaʔ8	蟑螂
猜	tsʰa1	
抄	tsʰa1	
擦	tsʰa6	
獭	tsʰa6	
豺	sa2	馋；狼
萨	sa6	菩~
歪	va1	丑
交	ka1	~春：立春
割	ka6	收获；雕刻
葛	ka6	
□	kuaʔ8	一~痰
会	faʔ8	训，用于不会
条	ta2	
鸟	taʔ3	
钓	ta5	
铫	ta6	
粜	tʰa5	
寮	la2	
了	laʔ3	
料	la6	
黏	ŋa2	训
壁	pia6	
撇	pʰia6	笔画
劈	pʰia6	
摸	mia1	
籴	tæʔ8	
摘	tia6	
舔	liaʔ3	训
历	liaʔ8	训，装谷物的篮子
畲	tsia2	旱地，本地写作斜
姐	tsiaʔ3	
谢	tsia6	姓氏
□	tsia6	劈里啪啦
脊	tsia6	
迹	tsia6	
借	tsia6	
□	tsiaʔ8	啵嘴声
斜	tsʰia2	
笡	tsʰia5	陡，斜
刺	tsʰia6	织，刺猪
蓆	tsʰiaʔ8	草席
□	sia1	用于撒娇
鳃	si1	
□	sie2	非常累
写	siaʔ3	
泻	sia5	
谢	sia6	花谢；感谢
惜	sia6	疼爱
粞	sia6	训，面粉；浸泡
锡	sia6	
也	iaʔ3	
毑	iaʔ3	丈夫的妈妈；祖母
叶	ia6	训，挥手
□	kia1	用于屎壳郎
帚	kia6	训，扫净
夹	kia6	训，黏
隔	ko6	~壁
揭	kiaʔ8	扛
屐	kiaʔ8	
擎	kʰia2	扛，拿笔，打伞
□	kʰia2	蜘蛛
歪	kʰiaʔ8	训，歪斜
拍	hia5	训，
靴	fia1	
桸	fia1	瓢
褟	tsʰo6	吊；捆住手
拆	tsʰo6	
快	lia6	训
爷	io2	
眨	io6	用于闪电
叶	ioʔ8	训，拍打翅膀
搲	viaʔ3	抓紧
拾	ŋio6	训，弯腰用两手捡起东西
没	mæ6	训，木头腐烂
凸	tʰæʔ8	训，坍塌；凸出
艻	læ6	刺
脱	læ6	脱落
捋	læʔ8	
卒	tsæ6	棋子
尽	tsæ6	任他去
拭	tsæʔ8	训，擦
疾	tsæʔ8	痛
塞	tsʰæ6	塞粪
息	sæ6	曾孙
戌	sæ6	地支
熨	vie6	
滑	væʔ8	
捡	væ6	训，用畚箕捡
国	ko6	
骨	kuæ6	
掘	kuæʔ8	
窟	kʰuæ6	
摔	fæ6	训，摔倒
核	fæʔ8	果核
佛	fæʔ8	
笔	pie6	
必	pie6	裂开
北	pie6	
卜	pieʔ8	萝卜
幅	pʰie6	一~画
墨	mieʔ8	
密	mieʔ8	
得	tæ6	
值	tsieʔ8	
直	tsieʔ8	
笛	tæʔ8	唢呐
蜇	tsʰieʔ8	惊蛰
太	tʰæ5	
踢	tʰæ6	
笠	læ6	
立	læʔ8	用于节气
栗	læʔ8	
力	læʔ8	
测	tsæ6	把脉
侧	tsæ6	
七	tsʰæ6	
漆	tsʰæ6	
戚	tsʰæ6	
塞	tsʰæ6	放入；堵塞
膝	tsʰæ6	
贼	tsʰæʔ8	
翼	sæʔ8	
习	sɨ6	~惯
事	sæ6	用于东西
虱	sæ6	
色	sæ6	
一	æ6	
乙	æ6	
歇	hæʔ8	
冰	pie1	
兵	pie1	
崩	pie1	
瓶	pie2	
便	pie2	~宜
便	pie2	用于没用，漫无目的
平	pie2	章~，地名
凭	pʰie6	靠
明	mie2	聪~
眠	mie2	
丁	tæ1	天干
□	tæ1	动词后缀，表示丢失或离开的动作
钉	tæ1	
灯	tæ1	
藤	tæ2	
陈	tsie2	
等	tæʔ3	
顶	tæʔ3	一~斗笠；最
凳	tæ5	
定	tæ6	定日子；必定
厅	tʰæ1	
汀	tʰæ1	~江
奶	næ1	
宁	næ2	~洋，地名
嫩	næ6	
捏	næ6	训，摘花
鳞	læ1	
凌	læ2	~冰：冰
林	læ2	
锅	læ2	训，铸造铁锅
零	læ2	
冷	læʔ3	
曾	tsæ1	
昨	tsəŋ2	
层	tsæ2	
尽	tsæ6	
亲	tsʰæ1	
清	tsʰæ1	水清澈
新	sæ1	
心	sæ1	
生	sæ1	接~婆；先~
星	sæ1	
辛	sæ1	天干；~苦
参	sæ1	人~
蝇	sæ2	
省	sæʔ3	
信	sæ5	
擤	sæ5	
性	sæ5	
囟	sæ5	额~：前额
烟	æ1	烟；熏蚊子
英	æ1	群~，地名
阴	æ1	
饮	æʔ3	
印	æ5	
应	æ5	回应
屻	æ6	山岗，用于地名
眩	hæ2	眩晕
恒	hæ2	紧
杏	hæ6	
腹	pɔ6	
缚	pɔʔ8	
朴	pʰɔ6	小猪
覆	pʰɔ6	翻转
目	mɔʔ8	
木	mɔʔ8	
斫	tɔ6	
涿	tɔ6	淋雨
毒	tɔʔ8	
搭	tʰɔ6	训，用于不搭理
读	tʰoʔ8	
脑	nog3	
揉	nɔ6	训，揉；搅拌
捞	lɔʔ3	训，欺骗
漉	lɔ6	陷入泥中
摝	lɔ6	套上袋子保护
摝	lɔʔ8	翻谷
鹿	lɔʔ8	
吵	tsʰɔʔ3	
竹	tsɔ6	
烛	tsɔ6	
畜	tsʰɔ6	
甩	tsʰɔʔ8	训，甩干
叔	sɔ6	
熟	sɔʔ8	
赎	sɔʔ8	
屋	ɔ6	
沃	ɔ6	浇水
菊	kɔ6	
淹	kɔ6	训
鼓	kɔ6	训，结实
谷	kɔ6	
角	kɔ6	鸡~：小公鸡
哭	kʰɔ6	
盖	kʰɔ6	覆盖
曲	kʰiɔ6	
后	hio6	~生
福	hɔ6	福建
老	lɔʔ3	~虎；~鼠
落	lɤ6	角~
镯		手镯
浞	tsʰɔʔ8	呛水
角	kɤ6	~落
靠	kʰɔ5	
藕	ŋɔʔ3	
轴	tsʰɔʔ8	
六	liɔʔ8	
录	liɔʔ8	
挤	tsiɔ6	训，挤出
刺	tsʰiɔ6	训
涩	siɔ6	
粟	siɔ6	
翘	kʰiɔ5	
皱	ŋiɔ6	
玉	ŋiɔʔ8	
额	ŋioʔ8	
翕	hiɔ6	闷热，湿热
枫	paŋ1	
枋	pioŋ1	
缝	paŋ2	
□	pag3	伯母合音
放	pioŋ5	
蜂	pʰaŋ1	
帆	pʰaŋ2	
冯	pʰoŋ2	
缝	pʰaŋ6	
幎	miaŋ1	覆盖
朦	maŋ2	~露：雾
咀	maŋʔ3	训，没牙的人咀嚼东西
梦	maŋ5	
冬	taŋ1	
东	taŋ1	
铜	taŋ2	
童	taŋ2	
筒	taŋ2	
同	taŋ2	
动	tʰaŋ1	
重	tsʰaŋ1	
冻	taŋ5	
崠	taŋ5	山顶
通	tʰaŋ1	
虫	tʰaŋ2	
桶	tʰag3	
暖	naŋ2	训，加热
脓	naŋ6	
聋	laŋ1	
窿	laŋ1	走廊；洞
笼	laŋ2	
砻	laŋ2	
窿	laŋ2	山凹陷的部分，用于地名
笼	lag3	
笼	lag3	训，差的
弄	laŋ6	交合
棕	tsaŋ1	
鬃	tsaŋ1	
丛	tsaŋ2	
总	tsag3	训，知~：知道
粽	tsaŋ5	
葱	tsʰaŋ1	
聪	tsʰaŋ1	
双	saŋ1	
松	saŋ1	
㧐	sag3	推
送	saŋ5	
宋	saŋ5	
舂	tsaŋ1	
宗	tsaŋ1	训，停车；搁浅
钟	tsaŋ1	
重	tsaŋ2	
种	tsag3	
肿	tsag3	
种	tsaŋ5	芒种
着	tsɤ6	穿衣服
冲	tsʰaŋ1	
涌	tsʰag3	~气：喘气
铳	tsʰaŋ5	
铳	tsʰaŋ5	冒气
雄	saŋ2	壮
熊	saŋ2	
壅	aŋ1	撒肥料
牛	aŋ2	
梧	aŋ2	~宅：地名
五	ag3	
午	ag3	
□	ag3	弟媳
无	aŋ6	否定
公	kaŋ1	
供	kaŋ1	养；生小孩
工	kaŋ1	一工：一天
含	kaŋ2	
穷	kaŋ2	
孔	kag3	秧苗之间的空隙
盖	kag3	
感	kag3	感冒
拱	kaŋ5	弯曲；驼背
共	kaŋ5	
空	kʰaŋ1	鼻空：鼻；洞穴
孔	kʰag3	一~店
孔	kʰag3	开盖子
戆	ŋag3	笨
胸	haŋ1	
红	haŋ2	
件		训，一~事
巷	haŋ5	
风	haŋ1	风；风领；风炉
封	haŋ1	
峰	haŋ1	
幎	miaŋ1	用布盖
沾	tiaŋ5	训，快速地用手指沾水
窗	tsʰiaŋ1	
诵	liaŋ1	训，背诵，大声朗读
龙	liaŋ2	
松	tsiaŋ2	松树
榕	iaŋ2	松洋传统说liaŋ2
用	iaŋ6	
兼	kiaŋ1	同时做
咸	kiaŋ2	
盖	kiaŋ2	训，捉鸡用的圆锥形篮子
减	kiag3	
欠	kʰiaŋ5	
酽	ŋiaŋ2	茶浓
蘞	hiaŋ1	刺鼻
租	tsɨ1	
荠	tsɨ2	
糍	tsɨ2	
脐	tsɨ2	
祖	tsɨʔ3	
子	tsɨʔ3	
紫	tsɨʔ3	
姊	tsɨʔ3	
只	tsɨʔ3	
字	tsɨ6	
自	tsɨ6	
巳	tsɨ6	
牸	tsɨ6	小母猪
初	tsʰɨ1	
粗	tsʰɨ1	
滁	tsʰɨ1	肥料
醋	tsʰɨ5	
丝	sɨ1	
蓑	sɤ1	
师	sɨ1	
鹚	sɨ1	
畲	sɨ2	地名，意义不明
死	sɨʔ3	
所	sɨʔ3	~在
四	sɨ5	
数	sɨ5	记~：账本
事	sɨ6	
士	sɨ6	棋子
腟	tsɨ1	女阴
指	tsɨʔ3	
洷	tsɨ5	墨水在纸上散开
至	tsɨ5	节气
治	tsʰɨ2	杀
市	tsʰɨ6	
尸	sɨ1	
时	sɨ2	
匙	sɨ2	
屎	sɨʔ3	
世	sɨ5	世界
豉	sɨ6	
般	pəŋ1	
盘	pəŋ2	
盘	pəŋ2	训，跳，摔倒
粄	pəg3	
坂	pəg3	用于地名
拌	pʰəŋ1	打米
半	pəŋ5	
饭	pəŋ6	
跘	pʰəŋ2	跳过
盘	pʰeg3	胎盘
爿	məŋ1	训，一片水稻的量词，指一个人不动可以种植的大小
闽	məŋ2	~江
鳗	məŋ2	
晚	məg3	最小的女儿
满	məg3	
蔓	məŋ6	依靠
㿸	məŋ6	
单	təŋ1	
箪	təŋ1	小袋子，用来装米带在路上
弹	təŋ2	
□	təg3	经常
缎	təŋ6	绸~
段	təŋ6	
摊	tʰəŋ1	
团	tʰəŋ2	
毯	tʰəg3	
难	nəŋ2	
暖	nəg3	
懒	ləŋ1	
澜	leg3	口水
卵	leg3	
僆	nəŋ5	小母鸡
烂	ləŋ6	
乱	ləŋ6	
全	tsəŋ2	
泉	tsəŋ2	
盏	tsəg3	一~龙眼
钻	tsəŋ5	
荐	tsəŋ5	床垫
赚	tsəŋ6	
铲	tsʰəg3	
山	səŋ1	
酸	səŋ1	
伞	səg3	
算	səŋ5	
散	səŋ5	
安	əŋ1	缝扣子
还	vəŋ2	归还
碗	vəg3	
腕	vəg3	
䯘	vəŋ5	手肘，膝盖内部
万	vəŋ6	
干	kəŋ1	
甘	kəŋ1	
菅	kəŋ1	芦苇
稈	kəg3	稻草
关	kuəŋ1	
官	kəŋ1	训，~蜱：臭虫
官	kuəŋ1	
棺	kuəŋ1	
关	kuəŋ1	~帝
管	kuəg3	
惯	kuəŋ5	
贯	kuəŋ5	竹~：地名
灌	kuəŋ5	
罐	kuəŋ5	
宽	kʰuəŋ1	慢
寒	həŋ2	
旱	həŋ1	
汗	həŋ6	
翻	fəŋ1	
番	fəŋ1	一~被子
番	fəŋ1	国外
欢	fəŋ1	欢喜
□	fəŋ2	芋头的叶子
搬	pəŋ1	
棚	pʰəŋ2	
泛	pʰəŋ5	不实，膨胀
暝	məŋ2	
嬷	məg3	祖母
担	təŋ1	
胆	təg3	
探	tʰəŋ1	用手去够
潭	tʰəŋ2	
痰	tʰəŋ2	
□	tʰəŋ6	引水
男	nəŋ2	
南	nəŋ2	
颅	nəŋ2	训，头~
钻	nəŋ5	训，爬过洞
□	ləŋ1	用于蝉
篮	ləŋ1	
咙	ləŋ2	
蓝	ləŋ2	
榄	ləg3	
争	tsəŋ1	
踭	tsəŋ1	
压	tsəŋʔ8	训，按压
郑	tsəŋ6	
掺	tsʰəŋ1	
掺	tsʰəg3	用手臂抱小孩
惨	tsʰəg3	训，~~：赶紧
撑	tsʰəŋ5	支撑；撑船
三	səŋ1	
衫	səŋ1	
杉	səŋ1	
生	səŋ1	生育
糁	səg3	米粒
省	səg3	省钱
蠳	əŋ1	蝇~：蜻蜓
庵	əŋ1	
腌	əŋ1	
暗	əŋ5	
横	vəŋ2	
庚	kəŋ1	天干
经	kəŋ1	织布
更	kəŋ1	
柑	kəŋ1	
肝	kəŋ1	
干	kəŋ1	烘干
敢	kəg3	
橄	kəg3	
坑	kʰəŋ1	山间小溪
磡	kʰəŋ5	堤坝
岩	ŋəŋ2	龙~
硬	ŋəŋ6	
喉	həŋ2	
桁	həŋ2	长细东西的量词，或为茎
鼾	həŋ2	训，打鼾
喊	həŋ5	
鼎	tsəg3	
听	tsʰəŋ1	
蚕	tsʰəŋ2	
正	tsəŋ1	正月
整	tsəŋ5	修理
声	səŋ1	
兄	səŋ1	
城	səŋ2	
成	səŋ2	成痧：中暑
盛	səŋ6	嫁妆的托盘
檉	səŋ6	嫁妆的托盘
行	həŋ2	
岩	ŋiəŋ2	悬崖
营	ŋiəŋ2	
赢	ŋiəŋ2	
暎	ŋiəŋ5	看
疤	po1	
拍	po1	训，打
爬	po2	
耙	po2	
把	poʔ3	
柏	po6	
百	po6	
掰	po6	
白	poʔ8	
扒	pʰa1	扒饭
帕	pʰo5	
嫲	mo2	雌性后缀，也用于斗笠等
马	moʔ3	
拍	moʔ8	打，通用说法
脉	maʔ8	
麦	maʔ8	
爹	to1	祖父
托	to6	
搭	to6	用于下巴
搭	to6	搭船
踏	toʔ8	
塔	tʰo6	
叠	tʰoʔ8	
拿	no1	
搦	noʔ8	抓鱼；抓小偷
隙	lo6	训，缝隙
摞	lo6	训，一~碗
猎	loʔ8	
蜡	loʔ8	
茶	tso2	
炸	tso5	
鉔	tso6	种红薯
笮	tso6	
差	tsʰo1	
岔	tsʰo1	
叉	tsʰo1	食指和大拇指之间的距离
叉	tsʰo1	鱼叉
舀	tsʰo6	训
册	tsʰo6	
宅	tsʰoʔ8	梧宅
纱	so1	
□	so6	烟尘刺眼
搓	so6	训，用盐搓
煠	soʔ8	
遮	tso1	
蔗	tso5	
炙	tso6	
车	tsʰo1	
尺	tsʰo6	
赤	tsʰo6	
