#符号：-白=文	
ɿ	
ʂ	[1]刷□{象声词，如快速穿过声}[3]耍
k	[1]瓜呱{~~叫}刮{~风}[3]剐刮{~胡子}寡{~妇}[5]挂卦
kʰ	[1]夸{~奖}[3]胯[5]跨挎{~着书包上学去吧！}
x	[1]花华哗{~啦啦}[2]滑{~倒}[5]话化画划
∅	[1]挖袜蛙={青~}娲哇{乱叫：别给那~啦啊！}[2]娃[3]搲{舀：~水}瓦凹[5]洼
#o	
p	[1]波博播{~种}剥拨[5]薄搏{~击}[3]簸{~箕}
pʰ	[1]坡泼{~水}迫颇□{豁出去：~上啦，就那干吧！}[2]婆[3]坡{~儿}[5]破{~烂儿}魄
m	[1]摸末漠[2]魔膜磨2{~蹭}馍[3]抹[5]磨1{~面}
f	[2]佛
t	[1]多哆{~嗦}[2]夺{~走}铎[3]躲朵[5]跺{~脚}垛{麦秸~}堕{~落}剟{切、削：把这块肉~~。}
tʰ	[1]托拖脱坨[2]驮驼{~背}[3]□{躺：~那睡吧！}妥
n	[1]搦{~死}[2]挪[5]诺糯懦={~弱}
l	[1]落洛乐烙{~饼}[2]逻锣罗螺[3]咯□{割：~肉}裸[5]摞络
k	[1]搁1{放：你拿过来~到那都中啦！}歌咯{打~}割胳{~膊}鸽[2]硌{被石头~住啦！}搁2{值得：~不着}[3]哥=[5]个各
kʰ	[1]壳{硬币：钱~儿}搕{敲击：~锅灰}渴磕{~头}□{摔：~住啦！}[3]可
x	[1]喝[2]河盒和1{一起}合[3]嗬{惊奇的语气：呦~，是你啊！}[5]贺鹤
#uo	
ts	[1]作{~业}[2]咗{~烂}琢{~磨}[3]左□{吝啬：~挤}撮1{一~毛}[5]坐座
tsʰ	[1]搓{~背}撮2{用簸箕等物把东西聚在一起：天快要下雨啦，把晒的麦子~了去吧！}蹉{~跎}[3]□{用脚搓：~开}[5]错挫痤{~疮}
s	[1]嗍{吮吸：~奶头}梭缩[3]唆嗦{哆~}锁所索
tʂ	[1]桌卓捉啄{~木鸟}[2]拙灼着镯{手~}
tʂʰ	[1]焯{用热水烫一下再捞出来调制：~藕}[2]戳{~弄}
ʂ	[1]□{靠墙而立：把铁锨~那吧！}[2]勺{~鱼}[5]硕燿
ʐ	[5]弱
k	[1]□{吵闹：~咧荒}锅郭过2{超~}[3]果裹[5]过1
kʰ	[1]科{~学}扩棵括{包~}[5]课{上~}阔
