#调值	［1］44［2］13［3］52［5］325
#ɿ	
ʦ [1]只{一~}知蜘支枝肢栀资姿咨兹滋辎之芝[3]紫纸姊脂旨指子梓滓止趾址 [5]掷炙滞制智只{~有}自致雉稚至字置痣治志痣执汁侄质直值织职殖植	
Ǿ [1]煨微威[2]桅危为维惟唯违围[3]伪萎委尾伟苇纬[5]卫位未味魏畏慰胃谓猥	
#ao	
p [1]褒包胞[3]保堡宝饱[5]报抱暴豹爆鲍雹曝	
pʰ [1]抛[2]袍刨狍[3]跑[5]泡炮泡	
m [1]猫[2]毛茅锚某{指自己}矛[3]卯[5]冒帽貌茂贸	
t [1]刀叨[3]祷岛倒{打~}[5]到倒{~水}道稻盗导	
tʰ [1]滔掏涛[2]桃逃淘陶萄[3]讨[5]套	
l [1]唠[2]劳捞牢涝挠[3]脑恼老[5]闹	
ʦ [1]遭糟朝{今~}召昭招沼诏[3]早枣蚤澡皂找[5]躁灶造罩赵兆照	
ʦʰ [1]操抄钞超焯[2]曹槽巢朝{~代}潮[3]草炒吵[5]糙	
s [1]骚梢捎稍烧[2]韶勺芍[3]扫{打~}嫂少{多~}[5]臊扫{~帚}潲少{~年}绍邵	
ɹ [2]饶[3]扰[5]绕	
k [1]高膏篙羔糕[3]稿搞[5]告	
kʰ [3]考烤[5]靠犒	
ŋ [1]熬[3]袄[5]懊奥坳	
x [1]蒿薅[2]豪壕毫[3]好{~坏}郝[5]好{爱~}耗号浩	
#iao	
p [1]膘标彪[3]表	
pʰ [1]飘漂鳔[2]瓢嫖[5]票漂	
m [2]苗描[3]藐渺秒[5]庙妙谬	
t [1]刁貂雕[5]钓吊掉调{声~ }	
tʰ [1]挑[2]条调{~和}[5]跳	
l [1]撩[2]燎疗聊辽寥瞭[3]了[5]料廖	
ʨ [1]交郊胶焦蕉椒骄娇浇[3]绞狡搅剿缴侥饺[5]教校较窖觉{睡~}轿叫	
ʨʰ [1]敲锹悄[2]樵瞧乔侨荞[3]巧[5]俏窍	
ȵ [3]鸟[5]尿	
ɕ [1]淆消宵霄硝销嚣箫[3]小晓[5]酵孝效校笑	
Ǿ [1]妖邀腰要{~求}吆[2]肴摇谣窑姚尧[3]咬舀[5]耀	
#ou	
m [2]模摹眸谋[3]某亩牡[5]暮慕墓募	
f [2]浮[3]否	
t [1]都兜督[2]毒[3]堵赌肚抖陡[5]妒杜度渡镀斗豆逗独读牍犊	
tʰ [1]偷[2]徒屠途涂图头投[3]土[5]吐兔透突秃	
l [2]奴卢炉芦鸬庐楼[3]努鲁橹卤缕篓搂[5]怒路赂露鹭漏陋鹿禄六陆绿录	
ʦ [1]租邹绉周舟州洲[3]祖组阻走肘帚[5]做助奏昼宙皱骤咒卒{兵~}族竹筑轴祝粥足烛嘱	
ʦʰ [1]粗初抽[2]锄雏绸稠筹愁仇酬[3]楚础丑[5]醋凑臭猝畜逐促触	
s [1]苏酥梳疏蔬搜飕馊搜收[3]数{动词}手首守[5]素诉数{名词}叟嗽瘦漱兽受寿授售速肃宿缩叔熟淑粟俗赎束蜀属	
ɹ [2]柔揉[5]肉辱褥	
k [1]勾钩沟勾[3]狗苟[5]够构购	
kʰ [1]抠[3]口[5]叩扣寇	
ŋ [1]欧殴[3]藕偶呕[5]怄	
x [2]吼侯喉猴[5]厚后候	
#iou	
t [1]丢	
l [1]溜[2]流刘留硫琉[3]榴柳	
ʨ [1]揪鸠阄纠灸咎[3]酒九久韭[5]就救究臼舅旧柩	
ʨʰ [1]秋丘[2]囚泅求球仇{姓}[5]曲	
ȵ [2]牛[3]纽扭	
ɕ [1]修羞休[3]朽[5]秀绣宿{星~}锈袖嗅畜{~牧}蓄	
Ǿ [1]忧优悠幽[2]尤邮由油游犹[3]有友酉[5]又右佑莠诱柚幼欲	
#an	
p [1]班斑颁扳般搬[3]板版[5]扮瓣办半伴拌	
pʰ [1]攀潘[2]盘[5]盼绊判叛	
m [2]蛮瞒馒[3]满[5]慢漫幔	
f [1]欢翻番藩[2]凡帆桓烦繁[3]缓反[5]泛范犯唤焕换幻宦贩饭	
t [1]耽担{~任}丹单{~独}[3]胆掸[5]担{挑~}淡旦诞但弹{子~}蛋	
tʰ [1]贪滩摊[2]潭谭谈痰檀坛弹{~琴}[3]毯坦[5]探炭叹	
l [2]南男蓝篮难{~过}兰拦栏[3]览揽缆懒[5]滥难{患~}烂	
ʦ [1]簪蘸沾粘瞻簪毡[3]斩盏展攒[5]暂錾站占赞绽战颤钻{木用工具 }	
ʦʰ [1]参搀餐窜[2]蚕惭谗馋残缠蝉禅[3]惨铲产[5]灿	
s [1]三杉衫珊山删[3]陕闪散{鞋带~了}伞[5]散疝膻扇善膳单{姓 }	
ɹ [2]然燃[3]染冉	
k [1]甘柑尴干{~净}肝[3]感敢竿杆擀赶[5]干	
kʰ [1]堪龛勘看{~守}刊[3]坎砍[5]看{~见 }	
ŋ [1]庵安鞍[5]暗岸按案	
x [1]憨酣鼾[2]含函寒韩[3]喊[5]憾撼罕汉旱汗焊翰苋{~菜 }	
#iᴇn	
p [1]鞭编边[3]贬蝙扁匾[5]变辨辩汴便{方~}遍辫	
pʰ [1]篇偏[2]便{~宜}[5]骗片	
m [2]绵棉眠[3]免勉娩缅渑[5]面	
