	注释：-白读，=文读																																																
#ɿ																																																	
ts	[1]支=之脂肢资姿膣{女阴}只指止址趾子梓紫[2]瓷兹慈[3]纸=[4]姪[5]制至誌志痣诗自=字=[7]汁执职质织																																																
tsʰ	[1]雌疵痴[3]齿耻此[5]次刺=[7]□{闭眼}																																																
s	[1]施师狮=尸诗私思司斯[2]时辞祠词[3]屎始使驶矢死[4]是祀市似拾实食十什[5]世试誓事=士寺赐嗣伺[7]失室识饰适释式																																																
#i																																																	
p	[1]碑悲卑裨□{拔}[2]脾琵枇[3]比彼[4]婢弼[5]被{～动}痺币备避=敝蔽鳖箅[7]必笔毕逼碧壁=鳖辟																																																
pʰ	[1]披丕[2]皮疲[3]疤鄙[5]鼻[7]僻癖匹疋																																																
m	[1]眯[2]迷眉楣弥[3]米美[4]觅密蜜[5]谜□{潜水}																																																
t	[1]知低蜘[2]迟驰持[3]底=抵=里-[4]治姪-秩值蛰笛[5]地痔智致置帝[6]滴的																																																
tʰ	[1]梯筛[2]苔治{杀，～鱼}[3]体[5]替=涕[7]剔惕																																																
l	[2]离璃梨黎厘尼狸[3]李里{十～}理鲤[4]荔立粒力=栗溺[5]厉励丽利痢吏																																																
ts	[2]餈齐=荠[3]姊[4]疾[5]祭际济自-字-[7]积迹=即鲫绩																																																
tsʰ	[1]妻凄悽[5]刺-[7]七戚辑																																																
s	[1]西丝犀撕[3]死[4]习席袭夕[5]四[7]息熄惜=媳昔悉析																																																
ʃ	[1]希稀嬉=牺熙[2]兮奚携[3]喜[5]戏系[7]吸恤																																																
k	[1]基肌饥枝机讥支-妓姬技[2]奇骑其棋期旗祁祈[3]几己纪杞[4]及=极急级[5]寄=记计继既[7]给吉枯激击																																																
kʰ	[1]欺欹{歪}[2]蜞[3]起岂[4]柿[5]气汽弃器[7]泣																																																
ŋ	[1]你-[2]宜谊疑仪[3]尔你=拟[4]入日及-[5]义议蚁=二赋艺毅																																																
∅	[1]伊衣依医[2]移夷姨儿而寅怡贻饴[3]倚已以耳=[4]亦奕逸译液易{交～}易容{～意}忆亿翼=异醫冀[7]一乙益揖抑																																																
#u																																																	
p	[1]夫-{丈～}[2]菩蒲瓠□{煨熟}[3]补脯斧部妇-{新～}簿缚[5]布佈怖步孵[7]卜腹-剥-																																																
pʰ	[1]麸铺{床～}[2]莆[3]普谱浦埔殕{霉}[4]曝[5]铺{店～}[7]仆朴覆-																																																
m	[1]摸[2]模[3]母姆拇[4]目木牧穆[5]墓暮募慕戊																																																
k	[1]姑枯沽孤[2]糊-{米～}[3]古估鼓股估[5]故固雇顾□{蹲}[7]谷角旮																																																
kʰ	[1]□{咬去皮}[3]苦[5]库裤[7]壳酷																																																
ŋ	[1]我-[2]吴蜈吾梧[3]五伍午[5]误悟																																																
h	[1]夫=肤=麸[2]呼胡糊{～塗}湖芙符扶壶狐[3]虎浒府腑俯[4]户妇=雨-沪父傅{师～}服伏袱[5]护互腐富副付附赴赋[7]福幅腹=覆=複																																																
∅	[1]乌巫坞菇-[2]无[3]武舞鹉侮[5]芋务雾=恶{可～}[7]屋沃{浇}																																																
#y																																																	
t	[2]除厨[3]拄[4]逐轴[5]箸住[7]竹筑																																																
tʰ	[2]锄[7]畜-																																																
l	[2]驴[3]吕旅屡缕[4]律六绿录[5]虑滤																																																
ts	[2]徐[7]足																																																
s	[1]鬚须需[4]绪续俗蜀[7]粟=宿																																																
tʃ	[1]猪诸朱珠诛蛛[2]储[3]灵主[5]注蛀著驻铸[7]烛粥祝嘱																																																
tʃʰ	[1]蛆[3]取娶=鼠暑处{相～}[5]处{～所}趣树[7]粟-																																																
ʃ	[1]书舒输胥虚墟枢[2]薯[3]许黍[4]熟塾[5]竖恕戌[7]叔淑畜戍																																																
k	[1]居驹车{～马炮}[2]渠瞿[3]举[4]具剧局惧[5]句锯拒据巨[7]菊掬□{溺}																																																
kʰ	[1]区驱躯嬉-{玩}[4]倔[5]去=[7]曲粬屈																																																
ŋ	[1]渠{他}[2]鱼渔愚虞娱[3]女汝语[4]玉肉[5]遇寓御禦[7]□{扭伤}																																																
∅	[1]於迂[2]余儒[3]雨=乳宇禹与羽[4]辱褥浴狱欲域[5]愈裕预喻豫																																																
#ɛ																																																	
p	[1]□{竹片}[2]排牌[3]□{裂开}[4]别拔[5]避=稗[7]八																																																
pʰ	[1]批胚坯[5]秕杮{木片}[7]撇劈																																																
m	[2]埋[3]买[4]灭篾□{不会}[5]卖[7]□{瘪下去}																																																
t	[1]爹歹[2]池蹄题[3]底-抵-{遮}[4]弟碟谍[5]滴[7]跌得=																																																
tʰ	[1]□{竹板斜打}[2]啼[3]□{鸡扒}[4]叠贴[5]剃[7]铁贴																																																
l	[1]奶-[2]泥犁[3]奶=□{舔}□{追}[5]例[7]捏列烈裂=劣																																																
ts	[2]齐侪{俺～}[4]绝捷[5]渍□{多}[7]接节截																																																
tsʰ	[4]蠞{海蟹}䖳[5]砌脆尺{工～}[7]切妾																																																
s	[1]□{竹鞭}□{鱼草}[3]洗徙髓[4]踅[5]细[7]雪薛歇																																																
k	[3]解[4]□{拥挤}[5]疥																																																
h	[3]蟹																																																
∅	[1]换=[2]鞋[3]矮[4]解{会}狭峡[7]换-																																																
#iɛ																																																	
tʃ	[4]折{～本}[5]寨债[7]摘折{打～}摺哲浙																																																
tʃʰ	[1]差钗[2]箠[7]湿沏彻撤斥																																																
ʃ	[1]□{捞}[2]匙[4]胁协涉[5]势□{种、养}[7]设																																																
k	[1]街鸡羁{栓}[2]鲑{咸鱼}[4]杰揭竭夹{名词}[5]计[7]劫结夹{动词}																																																
kʰ	[1]溪[2]瘸[5]契[7]缺□{相压}																																																
ŋ	[2]宜凝[4]业[7]聂孽																																																
∅	[3]椅[4]叶{姓}食{吃}[7]□{叫}																																																
#uɛ																																																	
