简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
稚	稚		dz	ɿ	³¹³	dzɿ³¹³	dzy6	
峙	峙		dz	ɿ	³¹³	dzɿ³¹³	dzy6	
治	治		dz	ɿ	³¹³	dzɿ³¹³	dzy6	
□	□	～□iɔ2：小蝉	dz	ɿ	³¹³	dzɿ³¹³	dzy6	
筛	篩		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
斯	斯		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
撕	撕		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
厮	廝		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
施	施		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
私	私		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
师	師		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
狮	獅		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
尸	屍		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
司	司		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
丝	絲		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
思	思		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
诗	詩		s	ɿ	⁴⁴³	sɿ⁴⁴³	sy1	
矢	矢		s	ɿ	⁵³	sɿ⁵³	sy3	
屎	屎		s	ɿ	⁵³	sɿ⁵³	sy3	
史	史		s	ɿ	⁵³	sɿ⁵³	sy3	
使	使		s	ɿ	⁵³	sɿ⁵³	sy3	
驶	駛		s	ɿ	⁵³	sɿ⁵³	sy3	
始	始		s	ɿ	⁵³	sɿ⁵³	sy3	
势	勢		s	ɿ	⁴⁴	sɿ⁴⁴	sy5	
世	世		s	ɿ	⁴⁴	sɿ⁴⁴	sy5	
赐	賜		s	ɿ	⁴⁴	sɿ⁴⁴	sy5	
四	四		s	ɿ	⁴⁴	sɿ⁴⁴	sy5	
肆	肆		s	ɿ	⁴⁴	sɿ⁴⁴	sy5	
伺	伺		s	ɿ	⁴⁴	sɿ⁴⁴	sy5	
试	試		s	ɿ	⁴⁴	sɿ⁴⁴	sy5	
□	□	几介～：几倍	s	ɿ	⁴⁴	sɿ⁴⁴	sy5	
锄	鋤	白读，～头	z	ɿ	²³²	zɿ²³²	zy2	
匙	匙		z	ɿ	²³²	zɿ²³²	zy2	
祠	祠		z	ɿ	²³²	zɿ²³²	zy2	
时	時		z	ɿ	²³²	zɿ²³²	zy2	
鲥	鰣		z	ɿ	²³²	zɿ²³²	zy2	
莳	蒔	～萝	z	ɿ	²³²	zɿ²³²	zy2	
誓	誓		z	ɿ	³¹³	zɿ³¹³	zy6	
逝	逝		z	ɿ	³¹³	zɿ³¹³	zy6	
是	是	～弗～	z	ɿ	³¹³	zɿ³¹³	zy6	
氏	氏		z	ɿ	³¹³	zɿ³¹³	zy6	
豉	豉		z	ɿ	³¹³	zɿ³¹³	zy6	
示	示		z	ɿ	³¹³	zɿ³¹³	zy6	
嗜	嗜		z	ɿ	³¹³	zɿ³¹³	zy6	
视	視		z	ɿ	³¹³	zɿ³¹³	zy6	
字	字		z	ɿ	³¹³	zɿ³¹³	zy6	
巳	巳		z	ɿ	³¹³	zɿ³¹³	zy6	
祀	祀		z	ɿ	³¹³	zɿ³¹³	zy6	
似	似		z	ɿ	³¹³	zɿ³¹³	zy6	
寺	寺		z	ɿ	³¹³	zɿ³¹³	zy6	
嗣	嗣		z	ɿ	³¹³	zɿ³¹³	zy6	
饲	飼	喂	z	ɿ	³¹³	zɿ³¹³	zy6	
痔	痔		z	ɿ	³¹³	zɿ³¹³	zy6	
俟	俟		z	ɿ	³¹³	zɿ³¹³	zy6	
士	士		z	ɿ	³¹³	zɿ³¹³	zy6	
事	事		z	ɿ	³¹³	zɿ³¹³	zy6	
市	市		z	ɿ	³¹³	zɿ³¹³	zy6	
恃	恃		z	ɿ	³¹³	zɿ³¹³	zy6	
