简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
疑	疑		ȵ	i	²³²	ȵi²³²	gni2	
沂	沂		ȵ	i	²³²	ȵi²³²	gni2	
凝	凝	～拢来：凝固	ȵ	i	²³²	ȵi²³²	gni2	
蚁	蟻	白～	ȵ	i	⁵³	ȵi⁵³	gni3	
拟	擬		ȵ	i	⁵³	ȵi⁵³	gni3	
染	染	～颜色	ȵ	i	⁵³	ȵi⁵³	gni3	
碾	碾		ȵ	i	⁵³	ȵi⁵³	gni3	
引	引	～线：针	ȵ	i	⁵³	ȵi⁵³	gni3	
艺	藝		ȵ	i	³¹³	ȵi³¹³	gni6	
呓	囈		ȵ	i	³¹³	ȵi³¹³	gni6	
谜	謎	～子：谜语	ȵ	i	³¹³	ȵi³¹³	gni6	
诣	詣		ȵ	i	³¹³	ȵi³¹³	gni6	
义	義		ȵ	i	³¹³	ȵi³¹³	gni6	
议	議		ȵ	i	³¹³	ȵi³¹³	gni6	
谊	誼		ȵ	i	³¹³	ȵi³¹³	gni6	
二	二	白读，数词	ȵ	i	³¹³	ȵi³¹³	gni6	
毅	毅		ȵ	i	³¹³	ȵi³¹³	gni6	
砚	硯		ȵ	i	³¹³	ȵi³¹³	gni6	
牺	犧		ɕ	i	⁴⁴³	ɕi⁴⁴³	shi1	
嘻	嘻		ɕ	i	⁴⁴³	ɕi⁴⁴³	shi1	
嬉	嬉		ɕ	i	⁴⁴³	ɕi⁴⁴³	shi1	
禧	禧		ɕ	i	⁴⁴³	ɕi⁴⁴³	shi1	
熙	熙		ɕ	i	⁴⁴³	ɕi⁴⁴³	shi1	
希	希		ɕ	i	⁴⁴³	ɕi⁴⁴³	shi1	
稀	稀	稀疏	ɕ	i	⁴⁴³	ɕi⁴⁴³	shi1	
喜	喜		ɕ	i	⁵³	ɕi⁵³	shi3	
蟢	蟢	小蜘蛛	ɕ	i	⁵³	ɕi⁵³	shi3	
系	系	中文～	ɕ	i	⁴⁴	ɕi⁴⁴	shi5	
系	係	关～	ɕ	i	⁴⁴	ɕi⁴⁴	shi5	
