#a			
pʰ	[1]□{拦河坝}[5]派[6]稗败		
m	[1]□{水瓢}[2]埋[4]买[6]卖		
t	[2]臺抬苔{青~}[5]戴带[6]大		
tʰ	[1]胎[5]态太泰[6]贷待代袋		
n	[4]奶{牛~；~nai²¹：祖母}[6]耐奈		
l	[1]拉[2]来[5]□{~须：络腮胡子}□{蔓延}[6]赖		
ɬ	[1]腮鳃		
ts	[1]灾栽斋[2]才材财裁豺[3]宰[5]再债		
tsʰ	[1]猜差{出~}钗□{~船佬：艄公}[3]睬采彩踩[5]菜蔡[6]在寨		
s	[2]柴[5]赛晒		
k	[1]该阶皆佳街[3]改解[5]盖介戒界		
kʰ	[3]凯楷[5]概慨{慷~}		
ŋ	[2]捱{~罚款}[6]碍艾		
h	[1]开[2]孩鞋[3]海[6]亥害械		
Ø	[1]哀挨{挨近，挨住}[5]爱		
ŋi	[3]□{咀嚼}		
ku	[1]乖[4]□{舀}[5]怪		
kʰu	[3]拐{~棍：拐杖}[5]会{~计}快{愉~}筷		
w	[1]歪[2]怀淮槐[5]快{~手：动作快}[6]外坏		
#o̞i			
p	[1]杯[2]陪培赔[4]倍[5]贝背辈		
pʰ	[5]配佩[6]背{背诵}		
m	[2]梅媒煤[4]每[6]妹		
t	[1]堆[2]颓{笨}[5]碓对		
tʰ	[1]推[3]腿[5]退蜕[6]队兑□{人称代词复数：我~（我们）}		
n	[6]内		
l	[1]□{牛口~：牛笼嘴}垒{堡~}[2]雷		
ɬ	[5]碎		
tsʰ	[1]崔催{~债}[6]罪		
h	[1]恢盔灰[2]回茴[3]悔毁贿[6]汇会绘彙{~集}		
Ø	[1]煨		
#ɐi			
p	[1]碑悲□{~脚佬：瘸子}[4]避{~雨；~孕}[5]闭		
pʰ	[1]批坯{削}[6]币毙		
m	[1]劘{削}[2]迷谜[4]米美		
t	[1]低[2]啼提题蹄[3]底抵[4]弟{老~}[5]帝		
tʰ	[1]梯[3]体[5]剃涕替[6]递第弟{徒~}		
n	[1]□{什么；哪么}[2]泥尼[6]腻		
l	[2]犁黎梨[4]礼[6]例丽荔[5]{寻找：~嘢（找东西）}□{人称代词复数：我~（我们）}		
ɬ	[1]西蛳{螺~}[3]洗[5]细婿		
ts	[1]挤剂[2]齐脐[5]际祭济制{~造}		
tsʰ	[1]妻[5]砌[6]滞{塞~：积滞}		
s	[1]筛师狮[3]史使[4]柿{~饼}[6]士仕事侍{服~}		
k	[1]鸡[5]髻		
kʰ	[1]溪		
ŋ	[1]□{哀求}[6]艺毅		
h	[1]㞓{女阴}[5]与{给：~本书佢（给他一本书）}[6]系		
Ø	[3]矮		
j	[2]□{（质量、能力等）差}		
ku	[1]龟归[2]畦{菜~}葵[3]诡轨鬼[5]鳜桂贵		
kʰu	[1]规亏挥{指~}[6]柜跪		
w	[1]威[2]危为{作~}维唯围违[3]委伟[5]慰[6]惠卫为{~国~民}位胃谓		
#ɵ̜i			
p	[2]皮脾枇[3]比[4]被{被子}[5]臂		
pʰ	[1]披[5]屁[6]备婢{老~：女仆}被{~迫}币毙		
m	[2]眉微[4]尾[5]沕{潜水}[6]未味		
f	[1]飞非[2]肥[4]匪[5]废肺费[6]吠{狗~：狗叫}		
t	[6]地		
n	[4]你		
l	[1]璃{玻~}[2]离篱厘狸[4]李里裏理鲤[6]利吏俐{伶~}		
ɬ	[1]私丝司思斯[3]死[5]四肆		
ts	[1]支枝肢滋[2]糍{~粑}匙{饭~骨：肩胛骨}[3]纸子[5]置		
tsʰ	[3]齿[5]刺[6]牸{~牛：未生育的母牛}		
s	[2]时匙		
k	[1]饥{肚~：肚子饿}基机[2]旗骑[3]己纪几{~个}[4]徛{站立}[5]计继技寄记季		
kʰ	[6]忌[5]契{地~}		
h	[1]牺欺希稀[2]移姨[3]启起喜岂[5]戏器气汽[6]易{容~}		
Ø	[1]医衣依[3]椅[5]意		
ŋi	[2]儿{儿子}[4]耳		
#ʊi			
l	[4]累{~积；连~}[6]泪类		
ɬ	[1]虽[5]岁		
ts	[1]追锥[2]随锤[3]嘴[5]最醉		
tsʰ	[1]崔吹炊[5]脆翠[6]坠		
s	[1]衰[2]垂[3]水[5]税帅[6]睡		
Ø	[5]喂{~鸡}		
#au			
p	[1]褒包煲[2]袍铇刨穮{~谷：秕子}□{蹭：牛~墙}[3]宝保堡饱[4]抱[5]报		
pʰ	[1]抛[3]跑[5]雹炮泡{~水；灯~}[6]菢{孵（蛋）}暴爆		
m	[2]毛茅矛[4]牡卯[6]冒帽貌蚂{~蟥}		
t	[1]刀[2]逃桃陶淘綯{栓，绑}錭{锉}[3]岛倒{打~；~数第一名}捣[5]到		
tʰ	[1]滔涛[3]讨导[5]套[6]道盗		
n	[2]挠[4]恼脑[6]闹		
l	[1]捞{~钱}[2]劳牢捞{~篱：笊篱}[4]老佬		
ɬ	[1]骚臊[3]嫂[5]扫{~地}		
ts	[1]遭糟{酒~}[2]曹槽[3]早枣[5]灶罩		
tsʰ	[1]操抄[3]草吵炒[5]糙[6]造		
s	[1]稍[5]潲{猪食}		
k	[1]高膏糕交[3]稿{禾~：稻草}搞搅{~拌机}[4]铰{合页}[5]告教校{~钟；学~}		
kʰ	[3]考[5]靠		
ŋ	[2]熬{~酒：制酒}[6]傲		
h	[1]薅{~田：耘田}敲蒿[2]毫豪[3]好{~坏}[5]好{喜~}耗孝酵[6]浩号{~数}		
Ø	[5]袄奥坳{山~：山口}		
ŋi	[1]抓{挠，搔}[3]爪{鸡~}[4]咬		
#eu			
p	[2]瓢{~羹：羹匙}[5]豹{豺狼虎~}		
m	[5]猫		
t	[4]屌{男性生殖器}		
n	[2]□{柔韧}		
l	[1]撩[5]□{蔫：菜~哦（菜蔫了）}		
k	[3]绞搅{搅拌}		
ŋ	[3]爪{鸡~}		
h	[2]姣{女人言行不正经}		
Ø	[1]吆{喊叫}[3]拗{~断}[5]拗{~颈：顶牛}		
#iu			
p	[1]标錶猋{（狗、牛等）奔跑}熛{（水、火星）飞溅}[2]嫖薸{浮萍}[3]表		
pʰ	[1]飘[5]漂{~白粉}票		
m	[2]苗描[3]秒妙[6]庙		
t	[1]刁雕[2]调{~和}条[3]屌{交合}[5]弔钓吊{~颈：上吊}		
