汉字						声调
多	to阴平					调类
他	tʰa阴平					阴平
舵						阴上
大	tai阳上	tua阳去				阴去
拖	tʰo阴平	tʰua阴平				阴入
駝	tʰoʔ阳入					阳平
陀	tʰo阳平					阳上
馱	tʰo阳平					阳去
挪	no阳平					阳入
羅	lo阳平					
鑼	lo阳平	lua阳平				
籮	lo阳平	lua阳平				
左	tso阴上					
佐	tso阴上					
做	tso阴去					
搓	tsʰo阴平	so阴平				
娑	so阴平					
歌	ko阴平	kua阴平				
哥	ko阴平					
個	ko阴去	kai阳平				
軻	kʰo阴平					
可	kʰo阴上					
蛾	ŋo阳平					
鵝	go阳平					
俄	go阳平					
我	ŋo阴上	ua阴上				
餓	ŋo阳上					
何	ho阳平					
河	ho阳平					
荷	ho阳平	ho阳上				
苛	kʰo阴平					
荷	hõ阴去					
賀	ho阳上					
阿	a阴平					
阿						
阿						
阿						
阿						
阿						
茄	ke阴平					
茄	kio阳平					
波	po阴平					
波						
跛	paĩ阴上					
簸	po阴平	pua阴去				
播	po阴平					
簸						
頗	pʰo阴平					
坡	po阴平					
玻	po阴平					
頗						
婆	po阳平	pʰua阳平				
魔	mo阳平					
磨	bua阳平					
摩	mo阴平					
磨						
朵	to阴上					
朵						
躲	to阴上					
剁	tok阴入					
妥	tʰo阴上	tʰua阴去				
唾	tʰo阴去	tʰua阴去				
惰	to阳上	tuã阳上				
墮	to阳上					
囉	lo					
糯	no阳上	nŋ阳去				
騾						
螺	le阳平					
腡						
裸	lo阴上					
摞						
锉						
銼	tsʰo阴去					
矬						
矬						
坐	tse阳上					
座	tse阳上					
蓑						
梭	so阴平					
唆	so阴平					
鎖	so阴上					
瑣	so阴上					
鍋	ko阴平	ue阴平				
過	kue阴去					
戈	kʰo阴平					
果	ko阴上	kue阴上				
裹	ko阴上	kue阴上				
科	kʰo阴平					
棵	kʰo阴上					
窠						
顆	kʰo阴平					
課	kʰue阴去					
訛						
臥	ŋo阳上					
火	hue阴上					
夥	hue阴上					
貨	hue阴去					
禾	ho阳平					
和	ho阳平	hua阳平				
禍	hua阳上					
和	ham阴上					
倭	o阴平					
窩	o阴平					
涴						
瘸	kʰue阳平					
靴	hia阴平					
巴	pa阴平					
疤	pa阴平					
芭	pa阴平					
把	pa阴上	pe阴上				
爸	pa阳上					
欛	pa阴上					
壩	pa阴去					
垻	pa阴去					
霸	pa阴去					
怕	pʰa阴去					
琶	pʰa阳平					
爬	pe阳平					
麻	ba阳平	mua阳平				
蟆						
媽	ma阳上					
馬	ma阴上	be阴上				
碼	be阴上					
罵	ma阳上	me阳去				
拿	na阳平					
詫						
茶	te阳平					
搽	tsʰa阳平					
查	tsʰe阳平					
渣	tsa阴平	tse阴平				
詐	tsa阴去					
榨	tsa阴去					
炸	tsa阴去	tsã阴去				
叉	tsʰa阴平	tsʰe阴平				
杈	tsʰa阴平	tsʰe阴平				
差	tsʰa阴平					
差	tsʰe阴平					
岔	tsʰa阴平	tsʰe阴平				
岔	tsʰa阴去					
查						
乍	tsa阴去					
沙	sa阴平	sua阴平				
紗	sa阴平	se阴平				
灑	sa阴上					
灑						
嘉	ke阴平					
家	ka阴平	ke阴平				
傢	ke阴平					
加	ke阴平					
假	ke阴上					
賈	ke阴上					
稼	ke阴去					
假	ke阴上					
價	ke阴去					
架	ke阴去					
駕	ke阴去					
嫁	ke阴去					
牙	ge阳平					
芽	ge阳平					
衙	ge阳平					
雅	ŋia阴上	ŋe阴上				
訝						
迓						
蝦	he阳平					
嚇	heʔ阴入					
霞	he阳平					
遐	hia阳平					
瑕	hia阳平					
下	hia阳上	e阳上				
夏	he阳上	e阳上				
廈	he阳上	e阳上				
暇	hia阳平					
夏						
丫	a阴平					
丫						
鴉	a阴平					
啞	e阴上					
亞	a阴去					
嗟	tse阴平					
姐	tse阴上					
姐	tsia阴上					
借	tsioʔ阴入					
且	tsʰiã阴上					
藉	tsiaʔ阴上					
褯						
些	se阴平					
寫	sia阴上					
瀉	sia阴去					
卸	sia阴去					
卸						
邪	sia阳平	ia阳平				
斜	sia阳平	sia阴平				
謝	sia阳去	tsia阳去				
爹	tia阴平	sia㸙				
遮	tsia阴平					
者	tse阴上					
蔗	tsia阴去					
車	tsʰia阴平					
車	ki阴平					
扯	tsʰia阴上	tsʰe阴上				
蛇	tsua阳平					
射	sia阴去	sia阳去				
奢	sia阴平					
賒	sia阴平					
捨	sia阴上					
赦	sia阴去					
舍	sia阴去					
社	sia阳上					
惹	dzia阴上					
耶	ia阴平	ge阳平				
椰	gia阳平					
爺	ia阳平					
冶	ia阴上					
也	ia阴上					
也						
野	ia阴上					
夜	ia阳上					
傻	so阳平					
耍	sua阴上	sŋ阴上				
瓜	kua阴平	kue阴平				
蝸	ko阴平	o阴平				
寡	kua阴上					
剮	kua阴上					
咵						
垮	kʰua阴上					
跨	kʰua阴平	huaʔ阳入				
娃	ua阴平					
瓦	ua阴上	hia阳上				
花	hue阴平					
化	hue阴去					
華	hua阳平					
華						
蛙	ua阴平					
洼	ua阴平					
補	pou阴上					
